Regulator	Target	MI	pvalue	directionality
SFRP2	ITB1	0.3104699731483733	0.04063898300798119	-0.0502442522343162
TRFE	IGKC	0.40676648205227184	2.1802350213112656e-07	0.324125579446412
FBLN1	SAA1	0.24116878580417633	0.002924214074144601	0.192902403261463
ANXA6	LRP1	0.3961938343419649	0.04063898300798119	0.0171162210730567
SAA4	RARR2	0.2931812811402608	0.04063898300798119	0.0472333385191793
PRG4	S10A8	0.2737996352869869	0.019017977014772886	-0.146504888049127
HPTR	TARSH	0.3716210349100259	0.04063898300798119	-0.167128403295942
CRAC1	APOC4	0.2987976062995961	0.04063898300798119	0.0202559892469451
IBP7	MUC18	0.30219850928315556	0.019017977014772886	0.170005301506215
OLFL3	CO1A2	0.3182049956519575	0.04063898300798119	0.202578558056125
POSTN	MXRA5	0.3562466994101652	2.0533923676087986e-05	0.303989228444431
ECM1	C1QC	0.2683065672193972	0.019017977014772886	0.10439595110982
C1QA	PCYOX	0.34560307565552717	0.0009678969456961303	0.159284704492805
RARR2	ITIH5	0.24590769789916012	0.04063898300798119	0.13031911685931
CO6A2	CO6A3	1.063516274226544	3.4959049630289566e-11	0.830897850884554
GELS	CD59	0.30135247916844954	0.019017977014772886	0.10235197110869
ZPI	KNG1	0.38592041919908354	0.019017977014772886	0.377520785192268
ITAV	COEA1	0.33257569721397423	0.04063898300798119	0.0303595029979897
CTHR1	ITIH1	0.26945909290375764	0.04063898300798119	0.153538265113903
CO6A2	CATG	0.31832550840287865	2.1802350213112656e-07	0.301875555882974
SFRP3	CO8G	0.31980080702824987	0.04063898300798119	0.216222415519394
HPT	FHR3	0.2787194558877632	0.002924214074144601	0.07364711005562
B2MG	SFRP3	0.3233099621101707	0.0009678969456961303	0.00589453140789121
CATF	AMBP	0.3204478122113453	0.0009678969456961303	0.309839342451525
THSD4	LTBP4	0.40175168441136416	0.04063898300798119	0.270976129319879
LTBP4	APOC1	0.24735815803860195	0.04063898300798119	0.0906268825437728
ICAM1	SODE	0.3808126420650198	0.04063898300798119	-0.111938569297414
MSRE	C1QB	0.3791009900264726	0.04063898300798119	0.163352152741358
SCUB3	MMP7	0.35870429516241026	0.04063898300798119	-0.195595997770686
HPT	FINC	0.2571137785206193	0.04063898300798119	0.139916624191582
OMD	LTBP1	0.4022681923755928	0.002924214074144601	0.29925524633198
MSRE	YBOX1	0.32188603444751135	0.0	0.340265492656037
PRG4	SFRP3	0.28976364361567547	0.019017977014772886	0.0675288098844505
OSTP	IBP5	0.5627706468624146	9.964985446294464e-14	0.45309680057783
CO8B	SFRP3	0.33678046013083157	0.019017977014772886	0.127722281570162
PGCA	CO2A1	0.4702529704745994	0.04063898300798119	0.174867266838293
CLC11	MSRE	0.4355416162912653	0.04063898300798119	0.139449078301352
PEDF	FBLN1	0.3164869266693556	0.04063898300798119	-0.170856388608181
CO8A2	SLPI	0.40257973481207543	0.04063898300798119	0.295599138742639
APOC3	PGS1	0.3704425897421377	0.04063898300798119	0.18375119681769
ANGL4	S10A4	0.37931569392553255	2.2458822249047097e-10	-0.0864037454662965
HRG	HEMO	0.3747856512556163	0.002924214074144601	0.265280523916837
CD97	C1S	0.22809996805117402	0.04063898300798119	-0.00157340085690699
FINC	F13B	0.3035025374799159	0.019017977014772886	0.0624036807911774
ANXA2	S10A4	0.5105906248082429	5.1381816171122964e-12	0.378608459886285
CRLF1	CO8G	0.3172418621488591	0.04063898300798119	-0.0925809374673156
LTBP2	OMD	0.4026392923198374	0.0009678969456961303	0.277239067811296
CBPB2	CO3	0.389443291922805	0.0	0.219419414426089
PRELP	CFAB	0.31694870430727545	0.04063898300798119	-0.0987663044374563
LEG1	FIBG	0.5288052186827462	0.019017977014772886	-0.173230438240363
SFRP2	CO6A2	0.24844368225634103	0.04063898300798119	-0.10379443613152
HPLN1	COEA1	0.3229261707125665	7.740224272696345e-09	0.176735792681063
LG3BP	CO4A2	0.3030380283659924	0.019017977014772886	-0.0692460721824091
ITA1	CSPG2	0.43492317915119205	0.04063898300798119	0.306020363658932
S10AA	VWA1	0.34766410425268407	0.019017977014772886	-0.00478921240863358
COLA1	MGP	0.4502620260793293	1.3472419865164454e-09	0.315416328733829
LTBP4	CO7	0.34368830902031267	0.04063898300798119	-0.0405831439829209
CO1A1	COFA1	0.47147502937175645	2.1802350213112656e-07	0.00748020456854909
MARCO	TRYB2	0.2461557340989032	0.04063898300798119	-0.00928301662380313
MFAP4	FBN1	0.3108622126037214	0.019017977014772886	0.0855964592235804
MMP2	CRAC1	0.3709574881335591	0.0009678969456961303	0.177595710060012
S10AB	CATZ	0.43569287840516907	0.002924214074144601	0.296444782571203
OSTP	APOC2	0.36501649317236273	0.04063898300798119	0.156365485338087
FHR5	POSTN	0.2570799191128885	0.04063898300798119	-0.0930015852822817
S10AA	ECM1	0.3880974298970494	0.04063898300798119	-0.111398530729923
SCUB3	LAMB1	0.3388583413818312	0.04063898300798119	0.131290003552515
TRFE	IGHG2	0.3705171593606256	2.1802350213112656e-07	0.325133669099219
COEA1	SAA4	0.3799935421296743	0.04063898300798119	-0.0930021359591119
YBOX1	KLKB1	0.4058764436770801	0.0002936860594511346	-0.036350289897668
MMP2	APOA	0.23725303694739036	0.019017977014772886	-0.0144250122705011
GRN	SAP	0.378532006157332	0.0009678969456961303	0.346974211550605
OMD	MGP	0.32182366194908196	0.04063898300798119	0.207918161911359
CO3A1	CRLF1	0.2894136534400029	0.007887110080537857	0.270980557587521
ALBU	CO7	0.3160074068567839	0.04063898300798119	0.208991535085943
LAMA4	CO8B	0.3399690422410212	0.007887110080537857	-0.125156800074951
PCOC1	EMIL2	0.33281790553354845	0.019017977014772886	0.00821613727848886
B2MG	ITAM	0.3127053562665365	0.0002936860594511346	0.0769410785282107
SODE	NID1	0.5014478403517494	0.04063898300798119	0.248566994164113
