Regulator	Target	MI	pvalue	directionality
APOC4	CO6	0.39362253121362806	0.025897753165099124	0.258502263950191
CRLF1	CO1A2	0.249256209930966	0.011122597681163091	0.0194614948422877
TENA	COCA1	0.295894202595544	0.025897753165099124	-0.00415962686408012
CBPB2	F13B	0.49788539047973684	0.025897753165099124	0.364391504752995
AACT	ANXA1	0.6060846328677144	0.025897753165099124	-0.24966913723154
CD5L	SPP24	0.30444305530548305	0.025897753165099124	0.0793601248278592
CD59	PA2GA	0.2411998572404686	5.15853392684822e-08	0.0687459775134443
LRP1	ANXA6	0.33195710254543115	0.025897753165099124	0.0194376729429456
CO8A	HEP2	0.6271431317167415	1.1148734409768661e-14	0.484658134980037
TRFL	VTDB	0.4288627167020226	0.011122597681163091	0.220422213053539
CO6A2	CO6A3	1.1763800798851929	0.0	0.871343240513869
PLIN2	S10A6	0.2772775017158999	0.025897753165099124	-0.143036363865862
ASPN	FINC	0.23961457349809034	0.011122597681163091	-0.093703836826049
YBOX1	S10AC	0.26192690289157305	0.011122597681163091	-0.0600858986558834
ANT3	VTNC	0.5893594324557422	0.025897753165099124	0.424776242300354
GDN	HPT	0.49601773143207994	0.025897753165099124	0.406806869470937
NID2	THSD4	0.38491862052198345	0.025897753165099124	0.0759694250250263
IGKC	CO5	0.4757510670622252	0.025897753165099124	0.343075309027869
TRFE	ZPI	0.4921221421991994	0.025897753165099124	0.288812279103127
MGP	MMP12	0.3711090442905785	0.00011426935458156464	0.0927654998228547
COBA1	LAMB2	0.3344603627127312	0.025897753165099124	-0.202018224029591
OSTP	IBP5	0.37199109257585466	0.011122597681163091	0.262516304892318
HPLN1	MGP	0.3206468737024526	0.025897753165099124	0.0139365940260933
CYTB	PA2GA	0.2826169160416939	0.0013866478992705853	0.0346175618715585
S10AB	YBOX1	0.2695872337296289	0.0013866478992705853	0.170348977110815
CEMIP	COIA1	0.4539793141826962	0.011122597681163091	-0.269435057812873
THRB	C1QC	0.40559792775518755	0.025897753165099124	0.202272307881128
MMP12	APOH	0.262240148634653	0.025897753165099124	-0.0695717277651865
PGBM	MMP12	0.45242414190161	0.011122597681163091	-0.177327143834622
A2MG	A1BG	0.45062295640666705	0.0013866478992705853	0.287516947241879
HRG	HEMO	0.5854114034747607	1.3877181573601078e-06	0.449313373121899
ANXA2	S10A4	0.39315196695016635	0.011122597681163091	0.173648779104938
PROP	CO3A1	0.2048433368004593	0.0041805172870513435	-0.102090800470184
CBPB2	CO3	0.5700978783205867	1.3877181573601078e-06	0.422278593031371
ANXA5	F13B	0.3313452720585584	0.0004203247054417994	-0.0070606514654433
HPLN1	COEA1	0.3980939901253809	0.00011426935458156464	0.238720583382669
ECM1	TAGL2	0.27633592069053686	0.025897753165099124	0.0017698542226501
ANXA1	ZPI	0.5252014485160218	6.564066925563181e-06	-0.275957708625896
C1QB	IGHG3	0.4708807518333975	0.025897753165099124	0.232751374787338
CD97	CO9	0.2712951692444354	0.0041805172870513435	-0.0811283227829045
IBP5	CO1A1	0.25905124853943	0.025897753165099124	0.133121575563493
CATZ	S10A8	0.4213067226667184	0.0041805172870513435	0.276874277373775
MMP2	CRAC1	0.24061879421796345	0.011122597681163091	0.0463739661128667
S10AB	CATZ	0.3845421504169542	5.07093336393703e-12	0.283800202465183
PROC	C1QC	0.3775346216805324	0.0013866478992705853	0.122393062249154
OSTP	APOC1	0.3350161322715617	0.025897753165099124	0.137133602152288
CLC11	S10AA	0.29037046317369564	0.025897753165099124	0.0412601255445322
BGH3	TENX	0.31409424146812387	0.0013866478992705853	0.0640276512341439
CLC11	CO7	0.3375890884884181	0.025897753165099124	-0.0483771431129556
SLPI	CO8A2	0.3698774133840313	0.0013866478992705853	0.295359961802462
FINC	NID2	0.29762524422400133	0.025897753165099124	0.19063977430164
TRFE	IGHG2	0.4606049816433016	0.011122597681163091	0.333300875660337
CATD	IGHG3	0.4323624426651924	0.025897753165099124	0.23264584839529
F13A	CD109	0.25235927974826877	0.025897753165099124	0.115149250637811
FGL2	PPT1	0.28867914379036747	0.025897753165099124	-0.0195031101396434
ITIH4	ITIH2	0.48138830785733067	0.011122597681163091	0.415260838782955
PRDX2	VINC	0.4472891027106083	0.0	0.426968436483795
CO4A1	SLPI	0.3252004987965395	0.0013866478992705853	0.265760398226633
COFA1	EDIL3	0.3370486569428704	0.011122597681163091	-0.0297200751760711
CO6A2	CO5A1	0.30373446203107674	0.025897753165099124	0.150597394470804
C1R	CCL18	0.3551081568117954	0.0041805172870513435	0.0894055709260837
TIMP1	HMCN1	0.3587519730287445	0.025897753165099124	-0.1315607938944
F13A	ELNE	0.31999518824171896	2.8520959865590143e-05	0.0613749025314872
PODN	CO5A2	0.30012629390709966	0.025897753165099124	0.156557734992711
IGHG4	GRP75	0.21664233447691825	0.025897753165099124	0.124315616024443
TINAL	BGH3	0.3813491699627436	0.025897753165099124	-0.153480534099402
A1AT	IGHG1	0.5469669451362178	1.5112606166489684e-09	0.4146740520142
CO8A2	TINAL	0.3820303582590885	0.025897753165099124	0.103329607992398
CO6	FRIL	0.43075154369935936	0.025897753165099124	0.14019525988416
FCGBP	FIBA	0.2936885692527249	0.025897753165099124	-0.0190304778912319
THRB	TARSH	0.3889455377877786	0.025897753165099124	-0.184752947822163
APOA4	NID1	0.32208235725427387	0.025897753165099124	-0.0626089320921066
