Regulator	Target	MI	pvalue	directionality
HTRA1	MFGM	0.37449228890967756	0.024787976637431597	0.304512031720349
ANXA2	OMD	0.28640300527217566	0.024787976637431597	-0.03182509657616
LRP1	CO4B	0.355628416806984	0.024787976637431597	-0.109823957402159
HEMO	IC1	0.48605222143132515	0.024787976637431597	0.457920918924629
MMP9	FINC	0.3730444578270343	0.024787976637431597	0.219844608224436
IGLC2	ANXA1	0.31405891306138134	0.024787976637431597	-0.0612622972514355
IGLC7	IBP7	0.2659165010682875	1.2187994802154407e-05	0.00999321833571016
CO6A2	CO6A3	0.764566719096344	0.0	0.743032172693202
CO4A	LYSC	0.300608183881331	1.2187994802154407e-05	0.00321854788571495
HDGF	ITA1	0.3156674240776782	0.004538626113914466	0.150024730776288
FBLN1	COEA1	0.4517407507491033	0.0	0.396773008433647
LEG3	CLC11	0.30496834720246	0.011275303101282793	-0.00301963949088145
IGF2	MFGM	0.38742011246728303	0.024787976637431597	0.314056010940108
APOD	CO8G	0.3308766150017923	0.024787976637431597	0.231971266723403
LECT2	GRP75	0.3128892608185924	0.0016539638887235505	0.0144916391610603
HDGR2	HPT	0.2760538104016391	0.024787976637431597	-0.0703283483303672
CAD13	IGHM	0.3330347328888149	1.420088137212038e-07	0.00902725309336081
APOC3	LAMA5	0.27608726847312337	0.024787976637431597	0.126204879009809
PROP	IBP5	0.25668194820916906	0.004538626113914466	-0.0264926818214672
SAP	LAMB1	0.3419438454578627	0.011275303101282793	0.0304858174994868
GAS6	SDF1	0.40556105811049814	0.004538626113914466	0.252093179616278
APOD	IGLC2	0.3420585347757679	0.024787976637431597	0.217303253618167
IGLC2	MUC18	0.3038341495272109	0.011275303101282793	-0.00947218275997808
A2AP	MANF	0.2813841984456398	0.00016656349631968234	-0.131542156849072
LECT2	SAP	0.31521516799750693	0.024787976637431597	-0.032277063717796
OSTP	IBP5	0.6180902961100756	0.00016656349631968234	0.514073391728159
QSOX1	A2MG	0.2941041811298002	0.004538626113914466	0.0625265526708845
C1QB	LTBP2	0.35585391913388426	4.6871277584285526e-05	0.224123493581588
LEG1	ANXA7	0.3194142310779232	0.024787976637431597	0.0481618174810843
HDGR3	SRP14	0.4073862294916896	0.00016656349631968234	0.254885481459963
FA9	CTHR1	0.429731679906009	0.024787976637431597	0.134137297843209
TARSH	PXDC2	0.3344396055658353	4.233902453937778e-12	0.243968988171528
APOC3	TTHY	0.31265478014670883	0.024787976637431597	0.0463329704666809
APOC3	CATB	0.31030396958902795	0.024787976637431597	-0.141030969556543
MANF	CCL18	0.2721238474869581	0.024787976637431597	0.00887823035356004
A2MG	A1BG	0.36750738873231176	0.0016539638887235505	0.256452877484507
OLFL3	OLFL1	0.4506529829313801	0.0	0.513173382743076
C1S	THIO	0.3208298008847198	0.0016539638887235505	0.0523614617399413
C1QC	LTBP2	0.39458407194258377	6.289954883287451e-13	0.1508860533429
HPTR	ANGI	0.2630942616135741	0.024787976637431597	-0.0489356911004486
ITA1	CSPG2	0.36664471124227077	0.024787976637431597	0.321036387997181
ITIH4	HTRA1	0.34413065892807426	0.011275303101282793	-0.0160532309256998
PROZ	LYSC	0.26432020875642565	0.004538626113914466	0.022415330548365
HGF	LAMB1	0.32806930782772403	0.0016539638887235505	0.0775098248478064
PEDF	APOC1	0.21802693184265692	0.024787976637431597	-0.0318969679843166
HDGR3	CD9	0.3760743559561517	0.004538626113914466	0.305822532368538
NPC2	APOA4	0.23066414103935376	0.024787976637431597	0.097936307129996
S10AB	CATZ	0.393298872560901	0.0	0.433703725817478
CERU	ANXA4	0.40119538995248216	9.687166997079206e-10	-0.235374977623427
SAP	HGF	0.4303730418807471	0.0	-0.0656333369655071
DCD	YBOX1	0.22797776281722792	0.011275303101282793	0.190838527105497
CLUS	GELS	0.25565306135643506	0.024787976637431597	-0.143066172641364
LTBP4	CATD	0.34574236054666674	0.024787976637431597	-0.102024358090533
LTBP4	CATZ	0.31481966411434187	0.024787976637431597	0.013915075081564
CO4A2	PRDX2	0.2817021713253186	0.011275303101282793	-0.0714059181781144
CATD	TIMP1	0.29653590490158166	0.024787976637431597	0.132082602987585
TRFE	IGHG2	0.47987164141966776	0.0	0.380383490816489
MMP2	AMBP	0.2534161630500213	0.0016539638887235505	-0.00788094848215166
LTBP4	PGS1	0.36954043936835557	0.024787976637431597	0.171393959206618
SDF1	LEG1	0.3551927155431296	2.8567305050267552e-08	-0.000203984267877833
GRN	SAP	0.386454514125355	0.004538626113914466	0.302452604539743
ICAL	CD44	0.40189173777216103	1.6793384983269362e-10	0.335813705083969
YBOX1	HDGR3	0.30453945643921326	0.024787976637431597	0.249196135698163
PRG4	CADH1	0.3086630030701374	0.011275303101282793	0.0648134824271165
PRDX2	VINC	0.3291280073850217	0.0005479767135168948	0.0726001388683889
IBP7	TSP2	0.42560543641321275	1.2187994802154407e-05	0.282672615945796
COCA1	PEPD	0.35108554647668083	0.024787976637431597	-0.0728154107468705
IBP7	IGJ	0.398027447136616	0.0016539638887235505	-0.0605976192865938
OLFL3	CO6A3	0.3608373519400589	2.936363295324155e-06	0.278616742273989
CFAD	SLPI	0.32796796969271735	0.024787976637431597	0.179455713619557
MIME	CPXM2	0.4928664343995924	0.004538626113914466	0.279827609560069
PLF4	S10AB	0.31502952635210785	1.420088137212038e-07	-0.132234869182338
CO8G	FBLN2	0.3100543571688078	0.011275303101282793	-0.0581665677423285
TIMP1	S10AC	0.49665127799763586	0.024787976637431597	0.346158650996365
SDF1	CO4A	0.3073165307189407	0.004538626113914466	-0.00745011669827311
SERPH	LRP1	0.32957010500006184	0.024787976637431597	0.076956269685568
SMOC2	SPP24	0.4085602849506431	2.936363295324155e-06	0.196130283693573
