Regulator	Target	MI	pvalue	directionality
APOA4	A1AG2	0.2991460484046751	0.04588680310929205	0.20905467126907
ECM1	TENX	0.31511983643532215	0.0012296275342434367	-0.0361392133767963
PRELP	CO6A2	0.24912512682497776	0.04588680310929205	0.117364854841792
PRELP	CO6A3	0.2618797519048865	0.04588680310929205	0.155631944462869
HPTR	TARSH	0.24337181509926564	0.04588680310929205	0.0074416869036851
SFRP3	PROZ	0.30466995481689035	0.04588680310929205	-0.0904116292854724
FBLN4	IBP3	0.2724826189581255	0.04588680310929205	-0.00806430387065391
AMBP	LECT2	0.2515107707501693	0.04588680310929205	0.161393232409182
SRP14	HDGR2	0.3011201968896346	0.04588680310929205	0.0767151550919741
APOH	PCOC1	0.27493929624159463	0.04588680310929205	0.0743704190813595
OLFL3	CO1A1	0.31303609966210083	0.04588680310929205	-0.0742010765369644
TENX	APOC1	0.25471530063476927	0.04588680310929205	-0.05058740505752
OLFL3	HEMO	0.35480522569071865	0.04588680310929205	-0.0727231061040199
PXDC2	PROC	0.3055102477005222	0.00038213523756899093	-0.0761991171042209
CO7	MIME	0.37678126476008167	0.04588680310929205	-0.1655648639586
CO6A2	CO6A3	0.7351332287679995	0.0	0.728394739395357
S10AD	CBPB2	0.30809298224809584	0.04588680310929205	-0.104880792533789
CO6A2	TTHY	0.32940466677355645	0.0012296275342434367	0.071804995144046
TETN	ECM1	0.2880540333875759	0.04588680310929205	0.02667139329638
IBP7	ANXA2	0.30417405899678024	0.04588680310929205	-0.094839236439193
CD44	APOA4	0.3341859610754341	0.022191044340168397	-0.0809493482170801
FGL2	CFAD	0.2303907486258868	0.04588680310929205	-0.0522820408160456
APOC3	TSP1	0.38797326415185784	0.04588680310929205	0.080754478642046
TINAL	MUC18	0.3439899647483271	0.04588680310929205	0.19826808330474
TSP2	ITIH1	0.42504992665561775	0.04588680310929205	0.263371842677227
HDGR3	TINAL	0.3856770729614743	0.04588680310929205	0.291194952459325
CO3	TSP2	0.4946620963368898	0.04588680310929205	0.238292360969646
LUM	TAGL2	0.26904295774634274	0.022191044340168397	-0.209664175755518
FRIL	TENX	0.30851527713654114	0.04588680310929205	-0.0972114805171029
HDGR3	C1S	0.5516072570168074	1.985753474932594e-09	-0.222643508446762
LUM	AEBP1	0.3344383344425519	0.0012296275342434367	-0.0279020478612143
APOA1	CO6	0.46826010992868206	0.0	0.422253795955698
APOM	MIME	0.36641591158335335	0.04588680310929205	-0.172864026983081
FBLN3	BGH3	0.41822124652945303	0.00038213523756899093	0.00451854945760289
OSTP	IBP5	0.44863195956665514	0.0035934388467223463	0.361626224429396
OLFL1	PGBM	0.3357149939577361	0.0035934388467223463	-0.0927739209443733
ICAL	TSP2	0.3519909987925657	0.009392649306636072	-0.206372589424798
CO3A1	POSTN	0.3351069187120232	0.04588680310929205	-0.175392871849952
HRG	HEMO	0.5154275341141331	0.000107772995171842	0.354413804443837
IGHA2	PON1	0.38470020183341447	0.0035934388467223463	0.27341490991378
IGHD	AEBP1	0.3357070913786317	1.1269493079212008e-08	-0.0735765673021362
CO5A2	CO1A2	0.6117010627731106	0.0	0.511740522200625
OLFL3	OLFL1	0.5013512030772747	0.0	0.527070952947283
LG3BP	OLFL3	0.2701683162530647	0.022191044340168397	-0.000395172260887774
LTBP2	OMD	0.27733312637422786	0.04588680310929205	0.132396258438683
CBPB2	CO3	0.44559075457090924	0.009392649306636072	0.330099799010919
CAD13	A1BG	0.40859527406768176	0.000107772995171842	-0.0783267552867585
PCOC1	BCAM	0.27460734637105055	0.022191044340168397	-0.0269667836229342
IBP6	IGHM	0.2481769720948881	0.04588680310929205	-0.0275914372353387
LTBP4	CO2	0.3336329979486665	0.04588680310929205	-0.0271213543512873
CATZ	HDGR2	0.23627803125534955	0.04588680310929205	0.145128858296248
CO4A1	FBLN4	0.33070730225032613	0.04588680310929205	-0.143225751543446
AACT	SFRP2	0.34608288474843824	0.04588680310929205	-0.00608933049334039
LAMA5	APOB	0.3326204918403837	0.04588680310929205	0.00287646895027156
MFAP4	FBN1	0.343247370549071	0.022191044340168397	0.214712658152376
HDGR3	CD9	0.3894242789991336	0.00038213523756899093	0.226162497360144
BCAM	SERPH	0.2805867878110148	0.04588680310929205	-0.0594716819933282
S10AB	CATZ	0.3012209884280554	0.000107772995171842	0.254313077410951
CO2	IGHM	0.2510560009498022	0.04588680310929205	-0.0171871189514978
ANT3	AEBP1	0.2569013587885717	0.009392649306636072	-0.0232439033742045
TRYB2	CPXM2	0.29692138776607235	0.04588680310929205	-0.149911380529179
BGH3	TENX	0.40069876928011666	0.022191044340168397	0.0397655699245067
CO4A2	PA2GA	0.2713196155660295	0.04588680310929205	0.129183085479891
OMD	FRIH	0.3218388969025483	0.022191044340168397	-0.107942881538304
SERPH	HDGF	0.261405326909093	0.04588680310929205	0.12848624252782
CD14	TSP2	0.3338947086083028	0.04588680310929205	0.176300373892577
HDGF	ECM1	0.30886429778561447	0.04588680310929205	0.0615309769173438
HGF	FA10	0.31018778828212046	0.04588680310929205	0.135443327530244
TRFE	IGHG2	0.5875231491946017	0.009392649306636072	0.509039304561561
MUC18	CD9	0.4063209013603133	0.009392649306636072	0.265273923542339
SDF1	SAP	0.3066037145339888	0.04588680310929205	-0.0273932803623472
ICAL	CD44	0.34905111703470876	1.985753474932594e-09	0.274845958581481
OMD	MGP	0.2728120326325503	0.04588680310929205	0.0903960415257366
A1AG2	CD9	0.3580136077261936	0.009392649306636072	-0.0716163200140691
LEG3	C1QC	0.2549925116055935	0.022191044340168397	0.155224939468647
SDF1	MFAP4	0.34695385981760524	0.0035934388467223463	-0.151334394042963
