	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N138A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N192A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N224A	N226A	N228A	N229A	N230A	N232A	N233A	N234A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N254A	N255A	N257A	N260A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A	N153AA
MMP2	6.766860144	6.596935142	5.852997588	6.002252452	8.567195561	5.786596362	6.388878339	7.344295908	4.678071905	6.553053253	6.163901214	6.03562391	6.50779464	6.100136671	6.161887682	6.847996907	6.414473836	7.00337736	6.87282876	5.532940288	6.712870868	6.272396509	6.371558863	6.568336182	6.251719093	6.355791547	6.909293086	5.752213368	5.270528942	5.638073837	5.857980995	6.422905743	6.904484098	5.532940288	5.270528942	5.923624611	6.969242604	6.662490364	5.057450272	6.730639956	6.590961241	6.703211467	6.475733431	6.571373436	6.451211112	5.51412226	6.545350645	5.705977902	6.581953751	6.518849829	7.185866545	6.221103725	6.139551352	6.711494907	8.240314329	6.287250643	6.721099189	6.504620392	7.323730338	6.859224162	6.867896464	6.38024459	6.528258743	6.575917361	7.307428525	6.92243574	6.529820947	6.601399391	6.441284272	6.938991439	6.532940288	5.797012978	6.794415866	6.292781749	6.157852169	6.159871337	5.887525271	7.11997861	6.663913842	7.170926525	6.943686952	7.675957033	5.911691582	7.141596278	7.05853297	6.87036472	5.217230716	6.495055528	5.491853096	5.865423978	6.334496768	5.733354341	6.577428828	5.865423978	7.532161085	7.279842694	6.703211467	6.491853096	6.375039431	6.696272084	5.930737338	6.442943496	7.263973355	6.244125943	6.633721813
AEBP1	6.834154981	6.301953395	6.780047576	5.686500527	4.419538892	5.584962501	5.201633861	5.822730148	4.314696526	7.609548139	5.205548911	4.882643049	6.832890014	6.439623138	5.575917361	5.773468928	6.675251386	6.6395216	6.163901214	5.048759312	6.708739041	6.253611152	6.998872454	6.341630009	6.854245054	6.236492618	5.205548911	5.862947248	6.46760555	6.30560579	6.729280846	4.560714954	6.472487771	4.776103988	3.935459748	6.635173947	6.503030646	6.772149591	4.722466024	7.109569509	5.845490051	6.673839056	4.995484519	6.948367232	5.266786541	5.797012978	6.963474124	3.925999419	5.432959407	5.8899602	6.768184325	6.274261661	6.147713722	6.50779464	5.213347282	6.037821465	6.646738698	5.947198584	6.432959407	5.083213368	6.821455119	6.017921908	5.968090752	6.171927354	6.531381461	6.752213368	5.321928095	6.783980414	6.426264755	6.238404739	6.385431037	5.266786541	6.58044702	6.548436625	5.652486495	6.769507291	5.730639956	6.14974712	7.671717965	7.264911693	5.703211467	5.008988783	5.217230716	6.692092375	6.8899602	6.048759312	4.694880193	4.781359714	5.596935142	5.599912842	3.307428525	4.781359714	7	5.329123596	5.852997588	6.341630009	4.705977902	6.404290064	5.091699834	6.300123725	5.700439718	6.54225805	6.662490364	5.714245518	7.559950613
ADIPO	6.493455201	6.185866545	6.998872454	6.54225805	7.020146573	6.125155131	6.06608919	6.610286657	5.646738698	6.925999419	6.92243574	4.548436625	6.777875279	6.528258743	5.783980414	6.809928866	7.006319317	5.887525271	6.500363567	6.437960088	6.133399125	6.242221395	6.545350645	6.14363831	6.187846909	6.482202926	7.944858446	6.64096791	6.802304533	7.063934306	7.162476087	6.352264173	5.909293086	7.636624621	6.17990909	7.132204973	7.226893814	6.678071905	6.368069877	6.133399125	6.456149035	7.689299161	5.911691582	6.787902559	5.578938713	7.224001674	7.163901214	5.074676686	5.364572432	5.43629512	6.880195729	5.799605422	6.798309782	6.14974712	3.378511623	6.944858446	6.255500733	6.724040456	6.66106548	6.569855608	6.173926932	5.87036472	6.738767837	7.610286657	7.048759312	6.213347282	6.318316841	6.309248961	6.416164165	6.033423002	6.432959407	6.897240426	6.713816094	6.837943242	6.726558779	6.738767837	6.387155718	6.40599236	6.587964989	6.403267134	6.510961919	5.623515741	7.241268177	6.569855608	6.974988112	6.577428828	5.44625623	6.83541884	6.979412739	6.645298164	4.649615459	5.523561956	7.185866545	5.714245518	5.032330882	6.168255605	6.781359714	7.822092774	6.813781191	6.652486495	6.249824549	6.731997787	8.07734983	6.412781525	6.249824549
AFAM	6.54225805	7.400025518	5.797012978	6.537606691	7.486231678	8.2244841	7.144658243	7.788555215	7.200653436	6.242221395	8.029563314	7.765534746	5.865423978	7.619119511	7.474111514	7.486231678	6.006746832	7.020146573	6.908092341	6.968090752	6.929554316	6.444600814	8.095397023	7.826548487	6.175923742	7.45779126	6.108524457	7.450386479	5.738767837	7.038918989	6.417852515	6.387155718	7.409390936	8.539158811	6.098032083	7.171927354	8.361943774	8.100662339	6.937815169	7.263973355	7.687200695	6.977279923	7.088523257	7.472487771	7.026800059	7.811856314	7.282625134	7.357552005	6.439623138	7.86913112	6.700439718	7.590212761	7.177917792	5.847996907	6.572889668	6.54689446	6.490249211	6.171927354	7.317412614	5.285402219	6.207502459	6.716990894	7.521992956	6.276124405	5.465974465	6.566815154	7.435461914	8.137503524	6.995484519	7.513332824	7.083213368	6.947198584	6.183883459	6.995484519	7.054197294	6.046578367	6.968090752	7.319220503	6.427941333	6.033423002	7.62058641	6.632268215	6.642412773	6.114783447	5.882643049	7.070389328	7.185866545	7.283551423	7.100136671	6.323730338	6.953032377	8.76420813	6.199672345	6.574404309	6.605849867	7.452858965	7.142617655	6.886306263	7.754219433	7.622783966	7.737416366	6.139551352	7.292781749	6.8008999	6.607330314
PGCA	6.452858965	5.185866545	5.64096791	5.510961919	4.760220946	4.566815154	5	6.978424465	4.655351829	4.689299161	5.510961919	4.995484519	7.183883459	5.263034406	5.201633861	7.466790238	6.804776378	5.596935142	6.217230716	5.977279923	4.336283388	4.399171094	6.213347282	5.307428525	6.366322214	6.66106548	5.663913842	8.413627929	5.752213368	6.482202926	5.988684687	6.407692649	7.511752654	7.882031608	4.112700133	6.827819025	5.478971805	5.266786541	5.224966365	6.726558779	7.045486656	6.478971805	7.175923742	6.700439718	4.510961919	6.633721813	7.00337736	4.683696454	5.485426827	7.283551423	7.256444596	6.236492618	5.584962501	7.146695948	5.14974712	7.346070441	6.92243574	6.081083929	5.346956889	6.300123725	7.612499946	5.469234794	6.424586226	5.757556689	6.131342539	6.636624621	5.817623258	6.757556689	6.385431037	4.517275693	6.215290306	6.159871337	6.741466986	7.230741003	6.944858446	6.842978832	4.882643049	7.022367813	5.133399125	6.181897643	6.329123596	6.485426827	5.655351829	5.64096791	7.197708158	6.063934306	4.314696526	6.98982022	5.475733431	5.209453366	4.510961919	6.199672345	6.836681593	4.64385619	7.056366761	4.40599236	4.399171094	6.314696526	5.336283388	6.359310317	4.336283388	6.45779126	6.937815169	5.675251386	7.892391026
A1AG1	5.778734244	7.849248703	4.700439718	7.460251099	9.291400959	7.336283388	7.139551352	7.897240426	7.01234519	5.892391026	6.475733431	7.310158318	6.183883459	6.472487771	6.905687849	5.432959407	4.944858446	6.387155718	10.12321611	5.842978832	4.981852653	6.86913112	8.052568051	7.697662633	5.738767837	6.598424761	7.668884984	7.123086751	5.50779464	6.893604905	4.153805336	8.652486495	6.314696526	6.949534933	8.192785959	6.578938713	7.906890596	7.568336182	5.590961241	6.283551423	6.478971805	6.741466986	8.771159296	6.777419716	7.315602457	7.356672044	5.984133595	10.11958962	9.406630203	6.614709844	6.753551055	6.745506266	7.198690586	5.236492618	10.66968232	5.956521363	5.714245518	7.953614461	7.527477006	6.910492832	5.157852169	5.746850183	6.6043679	7.014578465	6.517275693	5.887525271	8.821455119	7.105384749	6.941341105	7.347842794	5.738767837	6.521992956	6.509379149	6.221103725	6.437960088	5.449561375	6.963474124	7.242221395	6.129283017	5.832890014	6.773468928	9.920650595	7.686500527	4.292781749	5.569855608	6.008988783	6.887525271	6.452858965	5.705977902	5.773468928	6.50779464	7.141596278	3.867896464	4.781359714	9.437960088	6.521992956	11.75150222	6.798309782	8.261624836	6.112700133	6.318316841	5.666756592	6.770829046	6.441284272	6.098032083
A1AG2	6.251719093	8.200162974	4.277984747	6.953032377	8.378511623	7.563005553	7.485426827	7.347842794	6.574404309	6.211401637	7.459431619	7.929554316	6.48058827	6.746850183	7.375039431	7.429615964	5.897240426	6.711494907	6.155830172	6.037821465	5.501439145	6.334496768	8.682994584	7.907491593	6.081083929	6.860466259	6.636624621	6.876451084	4.385431037	7.444575115	5.719731057	7.409406555	7.454504938	6.777419716	5.694880193	6.45779126	8.038918989	8.019034669	6.442943496	6.387155718	7.467365417	6.948721365	6.421223299	7.495855027	6.285402219	7.932510053	6.655351829	7.874674032	11.30315286	5.694880193	6.807354922	6.951867504	7.36719631	5.193771743	5.529820947	6.495055528	6.587964989	6.085339669	7.131342539	4.995484519	6.135621903	7.140574178	6.916446787	6.145677455	6.089766251	6.31986895	6.731997787	7.653919873	7.220136447	7.998872454	6.332384099	6.93191939	7.444600814	6.276124405	6.756222713	5.791814071	8.408966552	6.866660751	6.813781191	6.929554316	6.687900522	5.956521363	6.017921908	4.217230716	5.695985838	6.106432078	5.988684687	6.765534746	5.692092375	6.482202926	6.807354922	8.454916138	5.908469213	5.318316841	6.249824549	6.14974712	6.822730148	7.011227255	8.48058827	6.432959407	7.221103725	5.820178962	6.984133595	6.74281467	6.392317423
AACT	6.205548911	8.586839788	3.807354922	8.005624549	9.181649224	7.911691582	6.352264173	7.185866545	5.669593751	5.937815169	7.568336182	8.584962501	6.626439137	7.578183968	6.809928866	6.980710829	6.312882955	6.806066226	5.608809243	6.62058641	5.646738698	6.159871337	7.383704292	8.410239331	5.469234794	7.60659028	6.94602899	7.283551423	5.87774425	6.87282876	5.409390936	6.777419716	6.626439137	7.168922782	6.022367813	4.949534933	7.866660751	7.682292371	5.812498225	6.636624621	7.165911939	7.184875343	6.699051844	7.089582893	7.289096702	7.361066489	6.648177796	7.36018867	5.247927513	6.268658955	6.427941333	7.273329387	6.802193217	5.840463234	6.290940402	6.860466259	6.986410935	6.601399391	6.528258743	4.817623258	6.031218731	6.475733431	7.375908263	6.626439137	6.100136671	6.327328083	7.400879436	6.859224162	7.830990481	7.694880193	6.294620749	6.87774425	8.086401646	6.300123725	6.545350645	5.510961919	7.270528942	7.371558863	7.122051448	5.951867504	6.548436625	6.129283017	7.226893814	5.757556689	4.95419631	6.383704292	7.361066489	7.543805176	6.348728154	6.197708158	7.590961241	7.17292749	4.867896464	6.607330314	5.700439718	6.203592714	7.836681593	6.531381461	6.221103725	6.686500527	6.978424465	6.394033895	7.06501215	6.209453366	6.548436625
A1AT	6.523561956	8.6231499	5.87774425	7.590212761	9.10433666	7.594697827	7.776762002	7.510170751	6.459431619	6.371558863	7.411087227	8.36018867	6.623515741	7.475733431	7.751544059	7.011227255	6.352264173	6.815063017	7.074676686	6.285402219	6.163901214	6.54689446	8.485829309	7.95942242	6.026800059	7.091699834	6.251719093	7.102238194	5.277984747	7.174925683	5.590961241	6.799605422	7.124121312	6.966937979	6.663913842	6.28169825	8.011227255	8.359310317	6.329123596	7.326429487	7.501439145	6.935459748	7.084276911	7.346070441	7.379378367	6.976134473	6.984133595	8.222553427	7.595443985	6.834154981	6.551516018	7.254556252	7.571373436	5.894817763	6.968090752	6.782670659	6.470862199	5.961160258	7.175923742	5.944858446	5.867896464	6.826548487	6.994353437	6.506208389	5.173926932	6.274261661	7.793115555	7.767522386	7.024585638	7.841092545	6.598424761	7.378511623	6.897240426	6.845490051	6.566815154	6.314696526	7.205548911	7.452035274	6.765534746	6.730639956	6.442943496	6.955359305	7.422064766	6.163901214	5.074676686	6.646738698	6.700439718	8.019590728	6.329123596	6.283551423	7.728600811	8.247452865	6.061776198	6.87036472	6.503030646	7.820178962	7.233619677	6.766860144	7.960581211	7.254556252	7.795065583	6.680886921	6.712870868	6.887525271	6.760220946
A1BG	6.015693807	7.461888664	5.523561956	6.723831566	8.192785959	7.783980414	7.084276911	7.656782364	6.707359132	6.343407822	7.29553937	8.065550771	6.605849867	7.378511623	7.05202456	7.015693807	6.633721813	6.659639187	6.718361626	6.817623258	6.336283388	6.633721813	8.244125943	7.830356747	6.155830172	6.887525271	7.17292749	6.804776378	6.534497434	6.921245889	6.193771743	6.727920455	6.676662335	7.00337736	6.875288598	6.54225805	7.598424761	7.765534746	7.159871337	6.811214118	6.882643049	6.976134473	7.432124273	7.224966365	6.193771743	7.406842755	7.173926932	7.978424465	7.29553937	6.197708158	6.66106548	7.786596362	6.694880193	6.0725346	7.107478647	6.795715007	7.053111336	6.503030646	6.980710829	5.951867504	6.562242424	6.74819285	7.17990909	6.574404309	6.118941073	6.556122818	7.503030646	7.617651119	7.389738879	7.664625055	6.6043679	7.022367813	7.190812368	6.794415866	6.83541884	6.311067102	7.160879862	7.413627929	6.820178962	6.811214118	7.021257621	7.304693557	6.958842675	6.017921908	5.482202926	6.472487771	6.864186145	7.716990894	6.832890014	6.478971805	7.87036472	7.854868383	5.655351829	6.474111514	7.256444596	6.911691582	7.904484098	6.704595348	7.049848549	7.289096702	7.188836073	6.475733431	7.207502459	7.233619677	6.846744023
