	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
FETUA	1.3829783881968254	0.8024623482237053	1.9634944281699456	6.281629948495049	4.7241241795415245	7.246810140513558e-06	0.005705991641705269	3.536548716956527	
CERU	-0.7018978434765871	-0.9977068643618148	-0.40608882259135953	6.718964118712871	-4.705249202772611	7.821784292947593e-06	0.005705991641705269	3.4677602362159705	
TKT	-0.4065522315349205	-0.592747011091899	-0.22035745197794196	6.5981574855049505	-4.329811450331163	3.439402027324831e-05	0.014290142843776563	2.1365258073120073	
MIF	-0.5183589656321428	-0.7576353640142763	-0.27908256725000924	6.629431707158416	-4.295867594154151	3.9177910469572485e-05	0.014290142843776563	2.0197835159669646	
PGS1	0.8066573842214282	0.4177317814323813	1.195582987010475	6.237383910970297	4.112848534819773	7.820392015311113e-05	0.019264400095184604	1.4012255668093152	
GSTO1	-0.482549916643651	-0.7165364785850882	-0.24856335470221383	6.748547824792079	-4.089511788097216	8.529371276341829e-05	0.019264400095184604	1.323702233548028	
S10A9	-1.4336286393964277	-2.1333296439147102	-0.7339276348781453	5.55962054719802	-4.0629764634893695	9.410370132724573e-05	0.019264400095184604	1.2359314615047632	
PTMS	0.6103857771396834	0.3101637463846992	0.9106078078946678	6.60928435630693	4.031642203395542	0.0001056307064849053	0.019264400095184604	1.1328087984437127	
CAV1	0.6373586463408721	0.3091719493237499	0.9655453433579944	6.303808533584158	3.8510844684572474	0.000203282081014977	0.02791464484504283	0.5498049637659648	
S10A8	-1.3099587440710312	-1.986458807500632	-0.6334586806414303	5.695408275	-3.8398115637834467	0.00021162666613538808	0.02791464484504283	0.5140515404459931	
TALDO	-0.40813411090872986	-0.6197609592918992	-0.19650726252556047	6.714332094138614	-3.824302742656066	0.00022364146507381278	0.02791464484504283	0.46498944877543735	
MIME	1.0874949017265874	0.5162408228061857	1.658748980646989	6.010801645019802	3.7750095200753173	0.00026629079349445035	0.02791464484504283	0.3100258413562651	
A1AG1	-0.9643521190182538	-1.471817028018337	-0.4568872100181707	6.38733905009901	-3.768337207409165	0.0002726261800063194	0.02791464484504283	0.28916466966432885	
PODXL	0.47976028062103215	0.22707865762630064	0.7324419036157637	6.513161827257425	3.7650501712469717	0.0002757996700729378	0.02791464484504283	0.2788977559736381	
TIMP1	-0.7924656187793641	-1.2117878512876612	-0.37314338627106697	6.356081557683169	-3.747595214311543	0.00029324853739728663	0.02791464484504283	0.22448985847017333	
SPRL1	0.5045896794861112	0.23671685401324344	0.7724625049589791	6.474911270445545	3.7353374377449438	0.0003061235898017034	0.02791464484504283	0.18639465829921065	
