	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
CO4A2	0.608672410910389	0.36880471555658934	0.8485401062641887	6.103787704306931	5.031952422896431	2.0387664823458283e-06	0.0029745602977425635	3.3659004354755844	
CO4A1	0.6346860288510827	0.3390020167891241	0.9303700409130413	6.0976870466732676	4.256530675787853	4.555297327389003e-05	0.03323089400330278	1.116058249617577	
APOA2	-0.5127071666467534	-0.8049216293567831	-0.22049270393672377	6.77514149349505	-3.479303811051827	0.0007353471255802284	0.35762381874051774	-0.8925926480388586	
CTNA1	0.307948292265369	0.12451178850432865	0.4913847960264094	6.501432432851485	3.329022322775868	0.0012058364598155275	0.43982884871771366	-1.2472436133003972	
KDSR	0.3988658169632031	0.1424564438970634	0.6552751900293428	6.3990734925544555	3.084733098561174	0.0026093496715680273	0.5202956478664575	-1.797946539704843	
KV224	-0.4447628845064936	-0.7335301313400233	-0.15599563767296393	6.695426872306931	-3.054254887596872	0.0028649810505278297	0.5202956478664575	-1.8643364374679252	
AT5G3	0.39395263157359334	0.13786702443797755	0.6500382387092092	6.794777040376237	3.0505876455830014	0.0028972559854128555	0.5202956478664575	-1.8722893100395335	
CY1	0.34012426149394054	0.11679378547262825	0.5634547375152528	6.68959289319802	3.0200511027399566	0.0031793697510233785	0.5202956478664575	-1.9382150535451736	
HNRPU	0.1915621804610377	0.06564726741090937	0.31747709351116604	6.69203160450495	3.016874703149978	0.0032101294876164237	0.5202956478664575	-1.9450421350210885	
ILVBL	0.2834303710900439	0.09167741869945595	0.4751833234806318	6.654696801851485	2.931088945475155	0.004152397026710642	0.5202956478664575	-2.1272309035871815	
EMIL2	0.39965302974545464	0.12519599731907172	0.6741100621718376	6.640244114623762	2.887575963548647	0.004722135924195893	0.5202956478664575	-2.2180110554931227	
ITIH3	-0.33696825159047533	-0.5685869754242285	-0.10534952775672216	6.6993705530396035	-2.8849612996658673	0.004758558087474882	0.5202956478664575	-2.2234306757382893	
KVD33	-0.5330682954588742	-0.903004788312298	-0.16313180260545046	6.663250507990099	-2.857461252359234	0.005157560039611519	0.5202956478664575	-2.280188606399472	
KV230	-0.46203254423160167	-0.7835204257311481	-0.1405446627320553	6.64038880519802	-2.849919755379575	0.0052722178840725	0.5202956478664575	-2.2956757304259092	
LV147	-0.4334012918272717	-0.7386157352754037	-0.1281868483791398	6.846414230752475	-2.815851784349687	0.00581984561758872	0.5202956478664575	-2.365217273913232	
CO6A2	0.3626277509601732	0.10568703152542824	0.6195684703949181	6.513535650712871	2.798676958252309	0.006115215378825008	0.5202956478664575	-2.4000137269687545	
KV240	-0.5360009609012982	-0.9249983209664697	-0.14700360083612674	6.600499353029703	-2.732395653706002	0.007387980462250597	0.5202956478664575	-2.5326420438082127	
CO4A	-0.40157902026666614	-0.6942122726571711	-0.10894576787616123	6.7296230260396035	-2.7212723768508615	0.007623802362261662	0.5202956478664575	-2.554639840383574	
SUN2	0.29625904250692664	0.07904833806130135	0.513469746952552	6.436673286009901	2.7046748482717478	0.007988424983294053	0.5202956478664575	-2.5873240348929665	
SDC2	0.2448485927653682	0.0644926405072371	0.42520454502349925	6.356148481851485	2.6921038185592727	0.008275056659034784	0.5202956478664575	-2.611967553151794	
HDGR3	0.25584378725497875	0.06614355588897788	0.4455440186209796	6.550980150445545	2.6744327777702233	0.008693764730606209	0.5202956478664575	-2.6464456785109007	
ECM1	-0.3266404908021652	-0.5689947529400465	-0.08428622866428387	6.710210495	-2.6726619407372914	0.008736765558813985	0.5202956478664575	-2.6498902415604753	
CO6A3	0.4762522805649358	0.12278380466757188	0.8297207564622997	6.474562184871287	2.671843723659231	0.008756699182592404	0.5202956478664575	-2.6514811565329364	
TOR3A	-0.4074128923372299	-0.7137429015541471	-0.10108288312031266	6.588295965188118	-2.637362917199678	0.009635134279297767	0.5202956478664575	-2.7181507962485485	
CD276	0.2984704237826841	0.07297395310299601	0.5239668944623722	6.596113832178218	2.6247396074066582	0.009976153970106847	0.5202956478664575	-2.7423751972700434	
DYL1	0.24098787602813918	0.057756354852825764	0.4242193972034526	6.519027305366337	2.6080726117091966	0.010443112124349544	0.5202956478664575	-2.7742085575133295	
HABP2	-0.40105602747835534	-0.7064013876101729	-0.09571066734653771	6.711251806118812	-2.604584155336563	0.01054330990295013	0.5202956478664575	-2.780849596271094	
FBLN1	-0.3146995704419917	-0.5551043743538969	-0.07429476653008649	6.53675481439604	-2.5958385632948824	0.010798330750646989	0.5202956478664575	-2.7974655278430594	
S10AA	0.2971815137077929	0.06956337286582412	0.5247996545497616	6.5245249937326735	2.5890449484624876	0.011000256458440133	0.5202956478664575	-2.8103400482469953	
NUMA1	0.5718228716852817	0.13121193411554877	1.0124338092550147	6.3927025949405945	2.573539983915264	0.011473911363300168	0.5202956478664575	-2.839615713410115	
MGST3	0.36170436745238194	0.08193239269044583	0.641476342214318	6.545047113465347	2.5637413968303613	0.011782635288003006	0.5202956478664575	-2.8580395367473588	
COFA1	0.26176520371688267	0.058413275367679734	0.4651171320660856	6.469387442613861	2.552632486428735	0.012141667109816696	0.5202956478664575	-2.87885447203956	
AFAM	-0.3152322078562769	-0.5603100205876606	-0.0701543951248933	6.671687960574258	-2.5506522952118837	0.012206688558190047	0.5202956478664575	-2.8825566704311734	
CAN1	0.22783501535454567	0.05060458641575383	0.4050654442933375	6.606887964138614	2.5492172784082476	0.012254004103025936	0.5202956478664575	-2.885238065679399	
RRAS	0.40380148158701357	0.08884506397683795	0.7187578991971892	6.165329822217822	2.542389683676053	0.01248138977061413	0.5202956478664575	-2.8979780502497814	
PROS	-0.5279730155848487	-0.9424794112319633	-0.11346661993773399	6.448235412990099	-2.525836077870057	0.013048501190782186	0.5288267565930892	-2.9287447708518606	
CO6A1	0.3596825476701299	0.07468423753570524	0.6446808578045546	6.431808055287129	2.5026594239651145	0.0138813528365865	0.5335140183073979	-2.97153114026609	
FBN1	0.3408146891891779	0.0701149067520277	0.6115144716263281	6.3241571206534655	2.496635086254014	0.014105491814742221	0.5335140183073979	-2.982597097024801	
LV310	-0.4836385338761901	-0.8684165195816959	-0.09886054817068435	6.586104669594059	-2.4925010546269313	0.014261169783405428	0.5335140183073979	-2.990177507665622	
FIBA	-0.5493770923857147	-0.9894788086625668	-0.10927537610886273	6.588483190168317	-2.475381585519372	0.014922341927936643	0.5338613624445298	-3.021453472934432	
PEF1	0.30050470007575697	0.0585286024267668	0.5424807977247471	6.481188180029703	2.4626544182814243	0.015431494203023323	0.5338613624445298	-3.044584389651088	
DNS2A	-0.2478042160173165	-0.44879270945049543	-0.04681572258413755	6.691380797178218	-2.4449060078243083	0.016167411514879416	0.5338613624445298	-3.076668862349747	
H4	0.3497499499965377	0.061135803494279106	0.6383640964987962	6.628272498782178	2.4030605745372435	0.01802768196631477	0.5338613624445298	-3.15151683275194	
TMM43	0.2744987132987016	0.04795336268153222	0.5010440639158711	6.537444338762376	2.4027568886536668	0.0180418506525507	0.5338613624445298	-3.1520559205487992	
ANO6	0.21850287948095276	0.036921298116069645	0.4000844608458359	6.465531727455446	2.3862175866671067	0.018828601766114436	0.5338613624445298	-3.1813259428223835	
APOL1	-0.44129605345974005	-0.8080643063411184	-0.07452780057836178	6.537027113584158	-2.3859590114303337	0.01884113981854884	0.5338613624445298	-3.181782149865936	
MYO1D	0.29741782991948057	0.048937130887999225	0.5458985289509619	6.470898589534653	2.37355342762634	0.019451443841684003	0.5338613624445298	-3.203618726987994	
NSF	-0.26247757624502105	-0.4822295536401493	-0.04272559884989277	6.626288086861386	-2.3685583435561384	0.019702087997757575	0.5338613624445298	-3.212383090030993	
HPTR	-0.49034761981212216	-0.9040713539625671	-0.07662388566167722	6.4823154157029705	-2.3502729775411857	0.020644191229349844	0.5338613624445298	-3.244328689899917	
FIBB	-0.5883171028731604	-1.084707951998693	-0.09192625374762775	6.483363189158416	-2.350240894051773	0.020645878672220733	0.5338613624445298	-3.2443845510520712	
A2AP	-0.44808673165411267	-0.8261611273814794	-0.07001233592674594	6.6810985339207924	-2.3502252563550274	0.020646701186826717	0.5338613624445298	-3.244411777890588	
ENOG	-0.20880030537835503	-0.3854848854388312	-0.032115725317878874	6.485347881653466	-2.3434578816347917	0.021005384574125846	0.5338613624445298	-3.2561795671066935	
RRBP1	0.22933702046753238	0.035009403677108336	0.42366463725795644	6.555636837732673	2.340261095076739	0.021176727580024042	0.5338613624445298	-3.261728110315822	
SPTB2	0.236075404677489	0.035571917047177354	0.43657889230780067	6.511423902445545	2.3348204209247156	0.02147118066964665	0.5338613624445298	-3.27115600360211	
SCRB2	0.2261750332705642	0.03295407465147049	0.4193959918896579	6.53214021879208	2.3212135764532045	0.022223478671612732	0.5338613624445298	-3.2946502906075312	
RAB8A	0.177638916739394	0.025314928076988125	0.32996290540179984	6.612471823514851	2.312567853725118	0.022713480340102715	0.5338613624445298	-3.309515709502996	
KRT85	-0.471578538653679	-0.8759835300584513	-0.06717354724890662	6.6128008434653465	-2.3123959316329232	0.022723319952987653	0.5338613624445298	-3.309810816667841	
VTDB	-0.2963867428411251	-0.5508188640747254	-0.04195462160752478	6.698958648247525	-2.3099974843737785	0.022860982581700894	0.5338613624445298	-3.313925777708101	
NONO	0.2319986375008658	0.032538776207139825	0.43145849879459175	6.724516967435644	2.306506024093138	0.023062694036268004	0.5338613624445298	-3.3199092756213098	
AT1A1	0.2005013292086591	0.027843806826492068	0.3731588515908261	6.4236168344851485	2.3028010729232524	0.02327845260265167	0.5338613624445298	-3.326249926057682	
AA2BR	0.2769252610809531	0.03832528199907953	0.5155252401628267	6.388303495217822	2.301531080766633	0.023352818902001173	0.5338613624445298	-3.3284213227659696	
APOA1	-0.5263630643995666	-0.9824248948921799	-0.07030123390695325	6.443064556623763	-2.288686733368288	0.024116774688294595	0.5338613624445298	-3.350322862423597	
TM109	0.2594005874939397	0.033955575795350385	0.484845599192529	6.53124366280198	2.281681371003715	0.024542634348668792	0.5338613624445298	-3.362222471153059	
IGKC	-0.4176599618281392	-0.7806714314188437	-0.054648492237434676	6.638992197603961	-2.2815351758748155	0.02455159159689903	0.5338613624445298	-3.3624704613451093	
GNA11	0.27545987675021577	0.03603891558037439	0.5148808379200571	6.338312086554455	2.281501982255707	0.024553625741250314	0.5338613624445298	-3.3625267655888758	
CO3A1	0.6337730301770559	0.08259090665925595	1.184955153694856	5.877023611039604	2.28014939078607	0.024636640248147122	0.5338613624445298	-3.3648204658094913	
H33	0.36740340912857167	0.047235304629848096	0.6875715136272953	6.624584967564356	2.2755678461150466	0.024919665403599116	0.5338613624445298	-3.372580837156961	
F13B	-0.4706846401887439	-0.8834816969025241	-0.057887583474963755	6.530199635623762	-2.2610913353931195	0.025832807998826094	0.5338613624445298	-3.397010913397004	
BAG2	0.2762910938549794	0.032279207582522174	0.5203029801274366	6.214875401752475	2.245332048449904	0.02686011080199264	0.5338613624445298	-3.4234487938419287	
UFL1	0.21010204679090905	0.02444648246326142	0.3957576111185567	6.688665387386139	2.2441246944051088	0.026940270722562446	0.5338613624445298	-3.42546749928323	
H2B1K	0.3270614574541129	0.0376377301499945	0.6164851847582313	6.532335006623763	2.2408867416148883	0.027156283514693385	0.5338613624445298	-3.4308766271168443	
CO3	-0.2919315751298692	-0.5510603715386251	-0.032802778721113424	6.787006316049505	-2.234035470496684	0.02761835526467149	0.5338613624445298	-3.44229909835527	
APOE	-0.32750358362207743	-0.6183885492742162	-0.036618617969938705	6.594636110277228	-2.2326438628793324	0.02771304581022245	0.5338613624445298	-3.44461539934162	
WFS1	0.5092680760735931	0.05624396668538295	0.9622921854618034	6.022605460475248	2.2292039771835115	0.02794832897844996	0.5338613624445298	-3.450335515150061	
