	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
PCOC1	0.41131946307351785	0.21302148309542204	0.6096174430516137	6.498724345445544	4.11325575361784	7.812977839629649e-05	0.0751373322128763	1.356219625613841	
HBB	-1.1582454249893273	-1.7540482174564542	-0.5624426325222002	6.051196654257426	-3.854985979496253	0.0002005590736686617	0.0751373322128763	0.54547875016224	
FBLN2	0.5750542112474314	0.27282648484338795	0.8772819376514749	6.15694365390099	3.7731079264089753	0.0002681953358727559	0.0751373322128763	0.29637065781768523	
ZN648	-1.2167299757905132	-1.873179356498052	-0.5602805950829746	5.947722094217822	-3.6755108446209785	0.00037719436001470237	0.0751373322128763	0.004598731078691465	
HBA	-0.9194850306596827	-1.4161235041565117	-0.42284655716285363	6.360110697425743	-3.6713775395993844	0.0003826321443496991	0.0751373322128763	-0.007632332021822563	
CAMP	-0.7511361521383394	-1.1571869790159002	-0.3450853252607786	6.547584860663366	-3.668284490668216	0.000386749894378061	0.0751373322128763	-0.0167783871987508	
HDGF	0.24559257152015831	0.11279365177361331	0.37839149126670335	6.635585424089109	3.6672914675969857	0.000388080781657032	0.0751373322128763	-0.01971350381260706	
PLEC	0.3197113097276678	0.14108537148159	0.4983372479737456	6.608059707277228	3.5492633167400673	0.0005812121488156104	0.0751373322128763	-0.3642977525156006	
PCYOX	-0.3645308786312262	-0.5685803692229979	-0.16048138803945441	6.4428839113069305	-3.5426116890987402	0.0005944377330771914	0.0751373322128763	-0.38346237022370655	
BLVRB	-0.8097026881482203	-1.2673664520244028	-0.35203892427203776	6.493160167821782	-3.508357141315583	0.0006671665470447314	0.0751373322128763	-0.48172051030652874	
PAIRB	0.20557808062252902	0.08888170109714813	0.32227446014790995	6.646794928940594	3.493366638076263	0.0007015660282267156	0.0751373322128763	-0.5244897721142587	
MFAP5	0.3738945223169965	0.16116449191039686	0.5866245527235961	6.326643376168317	3.48533914704962	0.0007206678132365604	0.0751373322128763	-0.547334978956548	
DEF1	-0.9193811770739129	-1.4430841871272924	-0.3956781670205334	6.2880283414455445	-3.481250554753039	0.0007305841779302502	0.0751373322128763	-0.5589550192598614	
RAC2	-0.41006735817984097	-0.6457621749061506	-0.17437254145353134	6.766015291613861	-3.4500859321493733	0.0008105052581702159	0.0751373322128763	-0.6471805134734945	
PTMS	0.5283751497794474	0.22293356551140803	0.8338167340474869	6.60928435630693	3.430354190667681	0.0008652872752576466	0.0751373322128763	-0.7027222198681988	
PGBM	0.4379971929209487	0.18363380087041964	0.6923605849714778	6.299619159138614	3.414612793101328	0.0009114686338285477	0.0751373322128763	-0.7468541461569247	
NID1	0.3527001127996046	0.1464114588107674	0.5589887667884419	6.517502175752475	3.390431701978688	0.000986945823367368	0.0751373322128763	-0.8143388884483249	
H10	0.2746539579517783	0.11364835288586636	0.43565956301769027	6.5961198162475245	3.3827477228678915	0.00101213378526213	0.0751373322128763	-0.8357049091095403	
AN32A	0.4770151788027665	0.19712886598214918	0.7569014916233838	6.716882490693069	3.379677665023133	0.001022365139694358	0.0751373322128763	-0.8442308831366319	
VIME	0.3435912356067194	0.14179198065891674	0.545390490554522	6.443185459049505	3.37634846338137	0.0010335698234222189	0.0751373322128763	-0.853469683066522	
TRA2B	0.3774214651011861	0.1548389112405444	0.6000040189618279	6.455754116227722	3.3624839412341427	0.001081483191549282	0.0751373322128763	-0.8918680555744389	
DPYL3	0.35698106379407146	0.14432605071158144	0.5696360768765615	6.356873578168317	3.3288505522432543	0.0012065132862088307	0.08001376748084926	-0.9845007270955453	
HBD	-0.726631537159288	-1.1659938104344283	-0.28726926388414753	6.482023030168317	-3.2795648595930564	0.0014143865423184897	0.08899679700421141	-1.1189127339612002	
IGHA2	-0.7474822256071142	-1.2009381321739574	-0.2940263190402711	6.409958345722773	-3.2688165685326402	0.0014639637615497423	0.08899679700421141	-1.1480141113381297	
PSMD9	0.29085511333162145	0.11262800460357159	0.4690822220596713	6.653438301049505	3.2361428588518524	0.0016248297198422192	0.0948250624499919	-1.2360115991691947	
OPA3	0.33605214198537553	0.12814509853100475	0.5439591854397463	6.651486860158416	3.2052522163972306	0.0017919594361138344	0.10055649297269555	-1.3185562672991837	
MOES	0.23702848914150165	0.08975517502952665	0.3843018032534766	6.575476613742574	3.191546909936761	0.0018711290969721992	0.10111027231416439	-1.3549754220000905	
AHNK	0.31057304765652133	0.1152007022088698	0.5059453931041729	6.449488558386139	3.1522845787119933	0.002116339551425607	0.10642362075582083	-1.4586107266560866	
MGP	1.0223462559948615	0.37797969223800343	1.6667128197517196	5.91936887629703	3.1462248571027125	0.002156746752698404	0.10642362075582083	-1.4745133714984062	
TENX	0.42372814200474246	0.1562639886471215	0.6911922953623635	6.309364689930693	3.1415680263783763	0.002188285553580963	0.10642362075582083	-1.4867175444710723	
CATA	-0.4551376589090902	-0.7446821196573956	-0.16559319816078477	6.682734774	-3.1171109029657416	0.0023610804681196353	0.10903479298263898	-1.5505716130276976	
ECM1	-0.35798175783201613	-0.5870110128596113	-0.1289525028044209	6.710210495	-3.099521688625931	0.002493095939631195	0.10903479298263898	-1.596243672717355	
CAH1	-0.562787036537549	-0.9234961950136846	-0.20207787806141336	6.513645370960396	-3.093938378658617	0.0025364131097761478	0.10903479298263898	-1.6106972405366458	
UE2NL	0.2692616541640315	0.09572203650192015	0.44280127182614293	6.643723108564356	3.076809564962639	0.0026736996910108842	0.10903479298263898	-1.6549060385146994	
IF5A1	-0.30749553555968323	-0.5066828575612655	-0.10830821355810094	6.811694389168317	-3.061271623745571	0.0028041628069730967	0.10903479298263898	-1.694835259749567	
SRSF1	0.33422185210276717	0.11754880798340636	0.550894896222128	6.524343851930693	3.058825488567209	0.0028252309655011796	0.10903479298263898	-1.701106229855525	
KCD12	0.3314543893316205	0.11631359969097715	0.5465951789722638	6.5567676396831684	3.055102320734539	0.00285757956203094	0.10903479298263898	-1.710643146557227	
DPYL2	0.287721591549407	0.10076565281892269	0.47467753027989135	6.49996357969307	3.051813097273883	0.0028864428836164447	0.10903479298263898	-1.7190605898325844	
S10AD	0.24468729995968433	0.08550090146271724	0.40387369845665144	6.52253452029703	3.048107049221588	0.00291928719885154	0.10903479298263898	-1.7285358172605862	
PSMD7	0.2332315425304352	0.08110999314839434	0.3853530919124761	6.57314541050495	3.0403339443492254	0.002989302069434927	0.10903479298263898	-1.7483785631184166	
LAP2B	0.2876102533126487	0.09922016339218973	0.4760003432331077	6.445365693851485	3.027408702423453	0.0031091733330566276	0.11055695652119377	-1.7812812124226545	
PTMA	0.4047770942312252	0.13896534057128962	0.6705888478911608	6.678392859712871	3.0197187219138284	0.0031825854516039326	0.11055695652119377	-1.8008021947567636	
IBP5	0.7195445040387362	0.2383525838233294	1.200736424254143	6.253099964217822	2.9652688662560265	0.003750008681758648	0.11937334027791939	-1.937849413015889	
OSTP	0.866960054695257	0.28715546854767027	1.4467646408428438	5.777833286673268	2.965119393450178	0.0037516873157745407	0.11937334027791939	-1.9382227860387609	
ENAH	0.49714778515573094	0.16414982050728383	0.830145749804178	5.994915689247525	2.960524597194323	0.0038036277632586034	0.11937334027791939	-1.949692660081178	
SRP14	0.2726904348418977	0.08997293223595873	0.4554079374478367	6.652180625772277	2.959473786966859	0.0038155990783141046	0.11937334027791939	-1.9523136971655846	
NPM	0.1582625270395262	0.052124404881021005	0.2644006491980314	6.64595307909901	2.9568646156123197	0.0038454742927088495	0.11937334027791939	-1.958818415865204	
FETUA	0.908533707502372	0.2947642031262846	1.5223032118784592	6.281629948495049	2.9353539867038094	0.004100111591064318	0.12343159875410394	-2.012263103624117	
RL12	0.2549238228656122	0.08221229807637767	0.4276353476548468	6.5540087885841585	2.9269401900225667	0.004203868058413214	0.12343159875410394	-2.0330793989543214	
RS27A	0.2429644702537553	0.07739371498224529	0.40853522552526533	6.492833697574257	2.909938988536781	0.0044209321816702585	0.12343159875410394	-2.0749893962654666	
DX39A	-0.2283583482205525	-0.38416010739267425	-0.07255658904843076	7.020888271386139	-2.906492989436214	0.0044661662480869994	0.12343159875410394	-2.0834593477592565	
ANXA3	-0.39869207161146253	-0.6707617303921602	-0.12662241283076486	6.61323549790099	-2.9059104801631066	0.004473854485187248	0.12343159875410394	-2.084890273792126	
H15	0.23084022898102804	0.0732727746031133	0.3884076833589428	6.606529983970297	2.905157763264585	0.0044838072199914385	0.12343159875410394	-2.086738957520996	
A2MG	-0.4792035874185771	-0.8073690967417512	-0.15103807809540304	6.60201011829703	-2.895688692913161	0.004610761400571893	0.12457594228582207	-2.1099609224413642	
RL31	0.20115643955177862	0.06306054641603193	0.3392523326875253	6.590516070138614	2.8885369053400036	0.004708826932988376	0.12491233627690983	-2.1274579206453987	
ENOG	0.24151808161541502	0.07481508868893083	0.4082210745418992	6.485347881653466	2.872969378920397	0.00492894483743723	0.1263716268035424	-2.165418815681592	
SULF1	0.3247744235924905	0.10051503965352337	0.5490338075314576	6.529148975316832	2.8718115622998788	0.004945687268540978	0.1263716268035424	-2.1682352380218526	
SELM	0.24930910528814185	0.07670908214004066	0.42190912843624306	6.352780548306931	2.864323290225495	0.005055236250840468	0.1263716268035424	-2.1864276568158743	
COR1B	0.2588721666644275	0.07941921103363012	0.4383251222952249	6.477729340465347	2.860615495156189	0.00511029882207608	0.1263716268035424	-2.1954208071351013	
S10AC	-1.073898562850197	-1.8238490226950907	-0.3239481030053032	5.39702684809901	-2.8395886345085355	0.005433094307372481	0.13157424763065328	-2.246235445707683	
PRDX2	-0.4072377158130434	-0.6921672609422087	-0.12230817068387806	6.697265113841584	-2.834231051979935	0.005518274214376518	0.13157424763065328	-2.259132384152848	
RRBP1	0.26163353310395276	0.07807266861696752	0.44519439759093804	6.555636837732673	2.8264288372082502	0.005644509187191796	0.13157424763065328	-2.2778773739713225	
RS28	0.24990302119565116	0.07424737804175569	0.42555866434954664	6.563893321425742	2.821201744773748	0.0057305526552743095	0.13157424763065328	-2.2904111782222536	
RL28	0.20353298734071112	0.05994032067360763	0.3471256540078146	6.655824871782178	2.810782816811339	0.005905648628684407	0.13157424763065328	-2.3153357656324225	
COCA1	0.4474967343438736	0.13157499898960068	0.7634184696981465	6.250538836049505	2.80889243113827	0.005937937038602923	0.13157424763065328	-2.319849667570371	
AGRIN	0.3604767916897229	0.10558764955691585	0.6153659338225299	6.435629780673267	2.8044694747230796	0.006014114044863246	0.13157424763065328	-2.3304008566166017	
NDRG1	0.24536390068300426	0.07167179289587378	0.41905600847013474	6.448478182148515	2.801272292116347	0.006069734446602702	0.13157424763065328	-2.3380191369161873	
MBNL1	0.3006259139747036	0.087542838920285	0.5137089890291222	6.478206421920792	2.7977068250753505	0.0061323158594135865	0.13157424763065328	-2.3465062912619437	
FINC	0.29475918849683846	0.08314108532150691	0.50637729167217	6.631510104009901	2.762099242107278	0.006790427957757552	0.13986643233256707	-2.430762492194753	
CERU	-0.4371228650166009	-0.7509966642851477	-0.12324906574805417	6.718964118712871	-2.761679038758527	0.006798564909790076	0.13986643233256707	-2.4317513208566766	
RARR2	0.3542758834513831	0.0996611391770007	0.6088906277257655	6.239102377920792	2.759197477152896	0.006846800173583302	0.13986643233256707	-2.437588358049742	
2B1E	0.6675960910901183	0.18635803605062962	1.148834146129607	6.174293129623762	2.750923833951478	0.0070098810045259394	0.13986643233256707	-2.457017042996199	
MAP1B	0.3608699571952573	0.10048342620208683	0.6212564881884277	6.284914378722772	2.7482545531881506	0.007063245079337927	0.13986643233256707	-2.4632746129555207	
RL10	0.19358452313992142	0.05382541805694904	0.33334362822289376	6.658178519059406	2.7467255400284984	0.007093979432906074	0.13986643233256707	-2.4668567327021864	
RALY	0.2745106158691702	0.07493098775589935	0.47409024398244104	6.516708030960396	2.7275183362829667	0.007490570221121196	0.145716559368211	-2.5117098583323605	
ELNE	-0.5774680247588927	-0.9997079693998105	-0.15522808011797484	6.484628353544554	-2.712023007705117	0.007825102573005973	0.1489576321348283	-2.5476989488915254	
PGS2	0.6465821560735175	0.17273270081383024	1.120431611333205	6.204210893118812	2.7058771373506394	0.007961506468528156	0.1489576321348283	-2.56192461862315	
RL3	0.211781602742688	0.05657186967656172	0.36699133580881427	6.611257181594059	2.7057895956383264	0.007963464911937359	0.1489576321348283	-2.562127049329341	
GAPR1	-0.2385885527229245	-0.41439843221322015	-0.06277867323262887	6.71274195679208	-2.691107646972697	0.008298181983931655	0.1490985234883676	-2.595998057217548	
