	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
VATD	-0.5696137714959598	-0.8812566338580394	-0.2579709091338802	6.625278918752476	-3.6245170735831933	0.0004497863384481695	0.5906425895367753	-2.89276568762663	
RAB7A	-0.3926040784737372	-0.6182391104435767	-0.16696904650389768	6.6717917413762375	-3.4504451798299636	0.000809653995252605	0.5906425895367753	-3.0545736773607417	
NCPR	-0.4876735491767675	-0.8034439075584143	-0.17190319079512068	6.550803493079208	-3.06256062407892	0.0027933829952197157	0.6105281215775294	-3.395846768601492	
KT3K	-0.4253964635060602	-0.7035286758323019	-0.14726425117981845	6.485694428673267	-3.0329792466450223	0.0030572548711419617	0.6105281215775294	-3.420700448319191	
S10AB	-0.531861183273737	-0.8802237337887446	-0.1834986327587294	6.626896922950495	-3.0275664760843286	0.0031079654817522634	0.6105281215775294	-3.4252292839696015	
CFAB	0.5649759037050506	0.17297859324611164	0.9569732141639895	6.632853998861386	2.8580754666084034	0.005148719333819621	0.6105281215775294	-3.5640235405535594	
MX1	-0.469103040805051	-0.8003093914364656	-0.13789669017363637	6.885814668108911	-2.808642391499898	0.005942636320677539	0.6105281215775294	-3.603375980224788	
WDR1	-0.33005482195757596	-0.5648630124715502	-0.09524663144360168	6.58151800990099	-2.787402556424866	0.006316936539018906	0.6105281215775294	-3.620124225679967	
GMFG	-0.4061066160454546	-0.6964485041206774	-0.1157647279702318	6.655831632930693	-2.773685536813868	0.0065699764190661	0.6105281215775294	-3.63088888640916	
VDAC1	-0.4220701765282826	-0.7250346848386764	-0.11910566821788887	6.7641396237722775	-2.7626111801926356	0.006780975714272444	0.6105281215775294	-3.639549984465673	
QCR1	-0.44542958018686873	-0.7672855104898335	-0.12357364988390401	6.5360156582178215	-2.744380928490687	0.007141806993838662	0.6105281215775294	-3.6537495962544266	
CHM1B	-0.3535611360434344	-0.6092612524224776	-0.09786101966439115	6.502153436792079	-2.741955794060644	0.007191103464203732	0.6105281215775294	-3.655633086572654	
RAB5C	-0.3866171253424246	-0.6694062298949244	-0.10382802078992487	6.69330274219802	-2.711098323437554	0.0078459759895185	0.6105281215775294	-3.679486248418198	
COCA1	0.6906714660484841	0.18425080057318688	1.1970921315237812	6.250538836049505	2.704499767379717	0.00799286341624643	0.6105281215775294	-3.684559848262754	
AFAM	0.5045265842626255	0.1313014217631206	0.8777517467621305	6.671687960574258	2.680649252733427	0.008544854404435977	0.6105281215775294	-3.702818144125457	
BIEA	-0.4978151666868688	-0.8669467172472316	-0.12868361612650597	6.749783684623762	-2.6743227002615217	0.00869696530054328	0.6105281215775294	-3.707640141401896	
RAC2	-0.5182614857020202	-0.9030924654903961	-0.13343050591364436	6.766015291613861	-2.6705810501191647	0.008788077887643275	0.6105281215775294	-3.7104877766099653	
TSP2	0.7678482428343437	0.1933267868828843	1.3423696987858031	6.265572478940594	2.6503058559997	0.009297012089558047	0.6105281215775294	-3.7258641738275866	
ECM1	-0.49407870023838446	-0.8645348723188732	-0.12362252815789576	6.710210495	-2.644759286777052	0.009440810832441238	0.6105281215775294	-3.7300545857545404	
HABP2	0.6174966628202011	0.15127338027994214	1.08371994536046	6.711251806118812	2.6264401627035516	0.009930158819278745	0.6105281215775294	-3.743845508810579	
TMED7	-0.42572268640707017	-0.747870747046995	-0.10357462576714543	6.483030299544555	-2.6205842503314187	0.010091351990872735	0.6105281215775294	-3.7482379874069967	
TENX	0.5724235205424231	0.13902915851532283	1.0058178825695232	6.309364689930693	2.619154194000848	0.01013107392522629	0.6105281215775294	-3.7493094863761938	
HYEP	-0.5987425835828281	-1.0565914367993108	-0.14089373036634528	6.464135437455446	-2.593252887061171	0.01087538756704588	0.6105281215775294	-3.7686364155281655	
HCD2	-0.3876362877989905	-0.6864308009027913	-0.08884177469518972	6.766313752178218	-2.5726378897286675	0.01150264424733444	0.6105281215775294	-3.783909781785292	
RL38	-0.48925275545454566	-0.8677589288509979	-0.1107465820580934	6.759359259564357	-2.563227577038994	0.011799654752224652	0.6105281215775294	-3.790849460924301	
SYWC	-0.43915534621313185	-0.7821865291332608	-0.09612416329300283	6.692112860960396	-2.5387002571274473	0.012606480788796387	0.6105281215775294	-3.808841654939476	
G6PD	-0.3460416915000005	-0.6183945622172624	-0.07368882078273864	6.652874933475247	-2.5195519811526528	0.01327043657017083	0.6105281215775294	-3.82279152069489	
COX5B	-0.41120641220404036	-0.7382986979339731	-0.08411412647410765	6.581513806752476	-2.4929664300782672	0.014244256389090918	0.6105281215775294	-3.8420184325251925	
CTHR1	0.45642176082020175	0.09194022004919161	0.8209033015912119	6.5681793432277225	2.4832340669331425	0.014616439181957852	0.6105281215775294	-3.8490157376153413	
SCRB2	-0.3682112807181807	-0.6622931463638008	-0.07412941507256066	6.53214021879208	-2.482879819351626	0.0146301487934985	0.6105281215775294	-3.849270013923798	
TMX1	-0.3857551685131315	-0.6945296610314502	-0.07698067599481279	6.547967806722772	-2.47740603284596	0.01484345440811977	0.6105281215775294	-3.8531953198934494	
CLC11	0.4982313144080808	0.09239964567294079	0.9040629831432209	6.411257553623763	2.4345121141547494	0.01661350622366087	0.6105281215775294	-3.883710883265646	
PTMA	0.5264723888020199	0.09523044269673142	0.9577143349073083	6.678392859712871	2.420925671996872	0.01721213011649963	0.6105281215775294	-3.8932857882799072	
TBA4A	-0.29338090120101046	-0.5342184067839979	-0.05254339561802307	6.662388455722772	-2.4156531228123104	0.017449562054038043	0.6105281215775294	-3.8969897425358186	
RAC1	-0.28214249226262617	-0.5140536208522505	-0.05023136367300182	6.65257340180198	-2.4125357782770327	0.017591307791068597	0.6105281215775294	-3.8991765554791744	
4F2	-0.42087345268484855	-0.7673387710834998	-0.0744081342861973	6.71610191690099	-2.408899152491838	0.01775795843161113	0.6105281215775294	-3.9017247154962496	
BAP31	-0.4134704665959592	-0.7542318119801441	-0.07270912121177425	6.585054721178218	-2.406140724650935	0.017885299579730212	0.6105281215775294	-3.9036554233662253	
PRDX1	-0.29434747755151486	-0.5399803140775895	-0.04871464102544021	6.629205709336634	-2.376297159125162	0.019315768205620924	0.6105281215775294	-3.924427421817694	
COA3	-0.3105800118080805	-0.570061091273765	-0.05109893234239593	6.54514823439604	-2.373529642873076	0.01945342697988234	0.6105281215775294	-3.926342863678666	
ARPC2	-0.314778877442424	-0.5788026517563528	-0.05075510312849518	6.57026554050495	-2.3642282420086733	0.019922480283230445	0.6105281215775294	-3.9327669930532885	
HORN	-0.521573569765656	-0.9608496476829778	-0.08229749184833429	6.494826141940594	-2.3545335141564325	0.020422001394991892	0.6105281215775294	-3.9394405636359515	
SFPQ	-0.3069475334656567	-0.5664062194906918	-0.04748884744062154	6.682470856376238	-2.3459717999384044	0.020872325876669356	0.6105281215775294	-3.945315303662295	
ANXA3	-0.5194305853747474	-0.9603177466091408	-0.07854342414035398	6.61323549790099	-2.3362909139531425	0.02139207256366327	0.6105281215775294	-3.951936580568484	
ASPH	-0.33708521715454476	-0.6234203347073445	-0.050750099601745036	6.476343132673267	-2.3344896105740127	0.02149003260104093	0.6105281215775294	-3.9531660784340947	
CAZA1	-0.350099848460606	-0.6495629090886942	-0.05063678783251779	6.484658307732674	-2.3183314011776224	0.02238662850515724	0.6105281215775294	-3.9641597324958386	
PTMS	0.5828338822323234	0.0802185524932697	1.085449211971377	6.60928435630693	2.299513239206772	0.023472271122158203	0.6105281215775294	-3.9768828667714384	
IMB1	-0.28890485765959606	-0.5383043004767544	-0.03950541484243772	6.631118072009901	-2.297133413906001	0.02361281615799982	0.6105281215775294	-3.978485717020493	
MCU	-0.4289715047070699	-0.8004533177498045	-0.05748969166433532	6.626753065940594	-2.2899064562999834	0.02404416806147723	0.6105281215775294	-3.983344675358718	
EMC8	-0.406257706712121	-0.7583049296673376	-0.05421048375690446	6.519653758683169	-2.288376839250948	0.02413634936466476	0.6105281215775294	-3.9843714513246793	
RB11B	-0.2259076464939395	-0.4224221273219162	-0.029393165665962784	6.627728391316832	-2.279624031406655	0.024669832627751246	0.6105281215775294	-3.9902358312313364	
COR1A	-0.3884065860707076	-0.7265431282052228	-0.05027004393619233	6.734722252504951	-2.2778301239626253	0.02478044200090511	0.6105281215775294	-3.9914354217723136	
KNG1	0.6932247131696969	0.08971688357679974	1.296732542762594	6.76461709029703	2.2778125516670817	0.024781527631261478	0.6105281215775294	-3.9914471684931523	
RALA	-0.358492023173737	-0.6711891317035685	-0.04579491464390545	6.649893427336634	-2.27343470290118	0.025053300076062955	0.6105281215775294	-3.9943713010913755	
PP2AB	-0.2940563060313127	-0.550673036377375	-0.03743957568525047	6.42056649119802	-2.2723351365681688	0.025121969995625888	0.6105281215775294	-3.995105001403802	
HCK	-0.3419035341030306	-0.6406373188513752	-0.04316974935468604	6.62898683709901	-2.2695831715968433	0.025294560219379283	0.6105281215775294	-3.9969399799584204	
HNRPQ	-0.29524510928585807	-0.553804238624174	-0.03668597994754208	6.648273507019802	-2.264381976451406	0.025623599329399258	0.6105281215775294	-4.000402973347254	
