	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
HPLN3	0.84102094395077	0.43958211072931336	1.2424597771722266	6.011133132297029	4.154410130365284	6.696905413917118e-05	0.06129401246313233	1.4430521844544586	
ASPN	1.2419483369717967	0.6403338162123109	1.8435628577312826	6.083525778950495	4.093616546713996	8.402194991519169e-05	0.06129401246313233	1.2509100982652361	
SODE	0.8141960463794876	0.38748852490565094	1.2409035678533242	6.238533538306931	3.7837342846239466	0.00025826074852079267	0.09803548958747435	0.3026454070654765	
FGL2	0.5872783088282059	0.278571982282365	0.8959846353740467	6.240702663881188	3.772422875300857	0.00026877447453728403	0.09803548958747435	0.26904914458209284	
HTRA1	0.6637211104230775	0.28475417591193797	1.0426880449342169	6.483095639712872	3.4730117410871664	0.0007508129752845312	0.11312905703191266	-0.5928310379258237	
TKT	-0.3798820469564105	-0.5976618359457881	-0.16210225796703284	6.5981574855049505	-3.4590205004647716	0.0007866387185838858	0.11312905703191266	-0.631781201586417	
SCUB3	0.7804733650435904	0.3321572362031138	1.228789493884067	6.093428283089109	3.452197726561426	0.0008046871296572137	0.11312905703191266	-0.6507311427148501	
PGCA	0.6265909648097437	0.2665242705580101	0.9866576590614774	6.007342799019802	3.450826431687999	0.0008083613753578088	0.11312905703191266	-0.6545363676462799	
S10A8	-1.297154576412822	-2.079348981895322	-0.514960170930322	5.695408275	-3.288508478621541	0.0013741147562690316	0.11312905703191266	-1.0966139577370155	
PGS1	0.7483231179235905	0.2942898716676141	1.202356364179567	6.237383910970297	3.268311531682385	0.0014661027528858606	0.11312905703191266	-1.1504483326970938	
TALDO	-0.40044821507435924	-0.6453251828009459	-0.15557124734777256	6.714332094138614	-3.2428014797267934	0.0015905216203368068	0.11312905703191266	-1.2180682514930474	
CATA	-0.5369526191815396	-0.8656082665420473	-0.20829697182103196	6.682734774	-3.239789585536533	0.0016058453305921611	0.11312905703191266	-1.2260241050693352	
GAS6	0.6233195899312826	0.24069744712148272	1.0059417327410825	6.466848773752475	3.230446967368368	0.0016542595419182734	0.11312905703191266	-1.2506649461054744	
COEA1	0.5065913162220514	0.19554223347672556	0.8176403989673773	6.169231004653465	3.2296150123988387	0.0016586362210147033	0.11312905703191266	-1.252856447923497	
CHM4B	0.3357306729923077	0.12928765640551818	0.5421736895790972	6.567395414	3.224874095479135	0.0016837838009928997	0.11312905703191266	-1.265336181102394	
NKPD1	0.5011711299733337	0.19150012613577355	0.8108421338108938	6.260810199316832	3.209278766052938	0.0017690395946865943	0.11312905703191266	-1.3062851386376089	
AEBP1	0.6033648576851283	0.23000702411427787	0.9767226912559787	6.170926149386139	3.204621062911484	0.0017952724633929647	0.11312905703191266	-1.3184841685587987	
PYGL	-0.41297859443692336	-0.6686815795894707	-0.15727560928437606	6.454607227019802	-3.202680996222314	0.0018063058331949098	0.11312905703191266	-1.3235612292900072	
LTBP4	0.5133357751379489	0.19508866249680878	0.8315828877790891	6.176653497851485	3.1985931213661374	0.0018297612672244549	0.11312905703191266	-1.3342509388210386	
G6PD	-0.30681133187487153	-0.4976382137706727	-0.11598444997907037	6.652874933475247	-3.1882603711253745	0.001890320296268049	0.11312905703191266	-1.3612220697777246	
HBD	-0.8059631634748722	-1.3076558021404456	-0.30427052480929884	6.482023030168317	-3.185659859580658	0.0019058530315477914	0.11312905703191266	-1.367999044607508	
IBP3	0.6839371363410262	0.2565455165776794	1.111328756104373	6.561645651663366	3.1733072390192665	0.001981271742438149	0.11312905703191266	-1.4001295032859273	
CNN3	0.561852279127693	0.21065627510587154	0.9130482831495144	6.076594360851485	3.172448058462895	0.001986619484631935	0.11312905703191266	-1.4023605894382127	
LTBP2	0.48272446799384583	0.18020989896084	0.7852390370268516	6.194303387792079	3.164280367441341	0.002038132502237044	0.11312905703191266	-1.4235458495550466	
6PGD	-0.5374344050558977	-0.8746860324277376	-0.2001827776840578	6.641252669980198	-3.160045606110914	0.0020653276311692484	0.11312905703191266	-1.4345126134479225	
FMOD	0.6402975244784621	0.23532816573730808	1.0452668832196161	5.848703678267326	3.135318012593468	0.0022309852388553656	0.11312905703191266	-1.4983130536211577	
PROF1	-0.45752395556461584	-0.7474581134009535	-0.16758979772827826	6.671295167673267	-3.1292221360355374	0.002273679544394846	0.11312905703191266	-1.5139789888697495	
IF5A1	-0.3573452091923083	-0.583840414064201	-0.13085000432041557	6.811694389168317	-3.1286061246826153	0.0022780359459772144	0.11312905703191266	-1.515560718632214	
BLVRB	-0.824730715487693	-1.352061848526105	-0.2973995824492811	6.493160167821782	-3.1013493943423445	0.002478741208284995	0.11312905703191266	-1.585295007728492	
PGBM	0.4568074370082053	0.16447516280103375	0.7491397112153768	6.299619159138614	3.098691492033978	0.0024991668152072937	0.11312905703191266	-1.592068549554897	
S10A9	-1.2754057973589752	-2.0950197010551075	-0.455791893662843	5.55962054719802	-3.085751926681529	0.002600855385614338	0.11312905703191266	-1.6249769779618157	
PODXL	0.45579155813025635	0.1626684358901605	0.7489146803703521	6.513161827257425	3.083458717980741	0.0026192725601824167	0.11312905703191266	-1.6307974699077077	
BCAM	0.6300710372097436	0.22375602683380358	1.0363860475856836	5.973955460841585	3.0750245623254306	0.002688054149635679	0.11312905703191266	-1.65217424023108	
PERM	-0.7879472352030776	-1.2963714248656248	-0.2795230455405304	6.398896799148515	-3.073214474466686	0.002703032207332301	0.11312905703191266	-1.6567557743795058	
GDIR2	-0.45448926403384676	-0.7478735043997751	-0.1611050236679184	6.76268059459406	-3.0719121143130725	0.002713856748538001	0.11312905703191266	-1.6600508323811267	
MIME	1.0221422894302565	0.3587277392824927	1.6855568395780205	6.010801645019802	3.0552609105392547	0.002855839491466489	0.11574082827915576	-1.7020790043649017	
ESTD	-0.32832834435794944	-0.5428156659127241	-0.11384102280317474	6.666047210118812	-3.0354891849966945	0.0030333542191728047	0.11667302934191674	-1.7517408207716527	
ITIH3	0.3842767745384614	0.13319142770281828	0.6353621213741045	6.6993705530396035	3.034902249560971	0.0030387766381033835	0.11667302934191674	-1.7532110253701765	
LAMA5	0.4508572784969236	0.15504403435146363	0.7466705226423835	6.327480917792079	3.022340633345632	0.0031569990021329034	0.11810414215671554	-1.7846204987608152	
HMCN1	0.55044238998	0.18375397199160848	0.9171308079683914	6.27725879150495	2.9767106288411815	0.0036231378947249146	0.12978860749883855	-1.8978130871177723	
LAMC1	0.37208591719230805	0.12366472861119032	0.6205071057734257	6.378242347534654	2.9701373750924205	0.00369529365494084	0.12978860749883855	-1.914002033878178	
MFGM	0.5186625609297438	0.17108439941525921	0.8662407224442285	6.276714357386139	2.959063993780882	0.0038198514239659396	0.12978860749883855	-1.9412071912502218	
PDLI4	0.4416263650502568	0.14562700694118208	0.7376257231593315	6.138293842990099	2.958599385352833	0.0038251611531528837	0.12978860749883855	-1.9423468060266211	
LAMB2	0.3871933764025646	0.1261861316395902	0.6482006211655391	6.3575987263069305	2.941692656137288	0.0040230684144504205	0.1334012912882537	-1.9837155805836786	
HBB	-1.0291248250984624	-1.7263110752178914	-0.33193857497903334	6.051196654257426	-2.9271244028672716	0.004201119795326408	0.1346496113021637	-2.0192045378641	
FBLN2	0.5201439111799998	0.16734456663660852	0.8729432557233912	6.15694365390099	2.9235982181336664	0.0042452927483889865	0.1346496113021637	-2.0277724799736676	
PRELP	0.565002405792821	0.18059077635987625	0.9494140352257658	6.338147069920792	2.9145782420272814	0.004360238717369683	0.13535294231153974	-2.049650158718463	
MIF	-0.41107054965333345	-0.6952147807140097	-0.12692631859265724	6.629431707158416	-2.8687946333778576	0.004989058696950443	0.14818201646724125	-2.159826718462207	
CO3A1	0.853283143958462	0.2615117284506827	1.4450545594662414	5.877023611039604	2.8593092034097634	0.005129320460604114	0.14818201646724125	-2.182470517080637	
CATF	0.43436092406820503	0.13260580111961195	0.7361160470167981	6.463184138316832	2.854421051066209	0.005203005056849026	0.14818201646724125	-2.1941150535039187	
AGRIN	0.41610540169282084	0.1260792071299443	0.7061315962556973	6.435629780673267	2.845037980764452	0.0053471715546422076	0.14818201646724125	-2.216420500984658	
LTBP1	0.41963755176359	0.12626301568530707	0.713012087841873	6.233571926188119	2.836441741541858	0.005482451202947683	0.14818201646724125	-2.236801327912846	
CSPG2	0.4497563163882054	0.13503265978166568	0.7644799729947451	6.272191041297029	2.8338040848716792	0.005524584205847954	0.14818201646724125	-2.2430445517726376	
CAVN1	0.500047886050257	0.149172465764717	0.8509233063357969	6.067431982415841	2.826054864564064	0.005650088034241507	0.14818201646724125	-2.261358358849148	
KV315	-0.5136532283553852	-0.8741961507995272	-0.1531103059112432	6.67042961350495	-2.825107554713101	0.005665608020047297	0.14818201646724125	-2.2635942493111396	
HV169	-0.7111937470271801	-1.210630573913615	-0.2117569201407452	6.488500621930693	-2.8237699094235986	0.0056875893914773885	0.14818201646724125	-2.266750354879187	
APOD	-0.6661772484420514	-1.1384168769850713	-0.1939376198990314	6.509455005960396	-2.797366095928857	0.006137763117981075	0.1527995901563151	-2.3287907113492237	
PODN	0.3562558866743592	0.10276157474047204	0.6097501986082463	6.389437092306931	2.7868639619012243	0.006325696268215325	0.1527995901563151	-2.3533304239877073	
IGKC	-0.5483572455928207	-0.9388621033231478	-0.15785238786249367	6.638992197603961	-2.784576057974512	0.006367328421930515	0.1527995901563151	-2.3586660749461412	
FA9	0.5370888536276929	0.1543126905947313	0.9198650166606545	6.6437720696534655	2.7824232510508007	0.006406730511959857	0.1527995901563151	-2.3636832773852503	
CFAD	-0.3750253186671801	-0.6424553283187184	-0.1075953090156418	6.650492643871287	-2.7808168599354794	0.006436276588242921	0.1527995901563151	-2.367424895745663	
IGHG2	-0.6304179578600002	-1.080465880628795	-0.1803700350912053	6.657589259425743	-2.7777410273959924	0.00649319711425054	0.1527995901563151	-2.374584041926134	
KV320	-0.5026423524030776	-0.862379746330209	-0.14290495847594636	6.746725786663366	-2.7707378292498666	0.0066245137553693125	0.15341532649339407	-2.390859273865997	
FRIH	-0.657332576924616	-1.1290917398355649	-0.18557341401366712	6.420105739306931	-2.763037321161272	0.006771698196684903	0.1542145693191148	-2.4087148189741163	
HPLN1	0.4658413732015388	0.13087916300334596	0.8008035833997316	6.090713259178218	2.7578089895160134	0.006873323176872883	0.1542145693191148	-2.42081397083296	
GSTP1	-0.3186215087056415	-0.5485633615080251	-0.08867965590325788	6.731519735534653	-2.7477612990083693	0.007072535266389435	0.1542145693191148	-2.4440111966579736	
IF4A1	-0.2299621942323081	-0.39595983721400385	-0.06396455125061232	6.776398560425743	-2.7471126043047387	0.007085575685756488	0.1542145693191148	-2.445506373079236	
PRDX2	-0.44978161826615426	-0.7750514215985049	-0.12451181493380353	6.697265113841584	-2.7420785701415404	0.007187519337696921	0.1542145693191148	-2.4570991134299733	
ITIH1	0.32781432111846265	0.08909346448149957	0.5665351777554257	6.647083847960396	2.7230743379169593	0.007584521320346419	0.157822745811735	-2.5007002443976374	
ZN648	-1.0537916286179496	-1.821521718630672	-0.2860615386052273	5.947722094217822	-2.721874650134006	0.007610240002027923	0.157822745811735	-2.503443998802602	
C1QB	0.3293806225471803	0.0889209696427791	0.5698402754515816	6.6496964134554455	2.716300223070288	0.007730786989795099	0.157822745811735	-2.5161795015086095	
CRYAB	0.5176499157943592	0.13865977927720408	0.8966400523115142	6.109240013980198	2.7085083545331656	0.007902195613867763	0.157822745811735	-2.533943689646478	
CALD1	0.5391445948020518	0.1440838693237983	0.9342053202803053	5.939131894485149	2.7062214856971454	0.007953154508410753	0.157822745811735	-2.5391491044937533	
CCL18	-0.5244020478164112	-0.9100722680888471	-0.13873182754397528	6.490192324326733	-2.696312420003671	0.008177427688142891	0.157822745811735	-2.5616608846619546	
HV102	-0.5590086498164107	-0.9707237066853096	-0.14729359294751182	6.715667587108911	-2.692425636965099	0.008266954495947679	0.157822745811735	-2.5704717355608815	
DEF1	-0.8253087477184621	-1.4347075260838036	-0.21590996935312057	6.2880283414455445	-2.685572049101373	0.008426987603725063	0.157822745811735	-2.585981455458681	
TINAL	0.43307595252564146	0.11124469236105067	0.7549072126902323	6.363949691336634	2.6684420921416474	0.00883933977975813	0.157822745811735	-2.624598500266025	
WISP2	-0.383689918869231	-0.6688313632644767	-0.09854847447398529	6.4821738923168315	-2.6683450132680577	0.008841727885145062	0.157822745811735	-2.624816746747171	
MAP1B	0.39982102235333306	0.10266160293421134	0.6969804417724548	6.284914378722772	2.6680751830060463	0.008848368683977497	0.157822745811735	-2.6254233260000697	
CERU	-0.48155904573025676	-0.8398794404627643	-0.12323865099774928	6.718964118712871	-2.665016832616397	0.008923954386409956	0.157822745811735	-2.632294826522122	
WDR1	-0.22533781477692288	-0.39322662903442707	-0.0574490005194187	6.58151800990099	-2.661547710619463	0.009010399898315497	0.157822745811735	-2.640081057419002	
GDIB	-0.24093206349076934	-0.42056220136351863	-0.06130192561802003	6.592917483405941	-2.659728678576169	0.009056030050068924	0.157822745811735	-2.6441602817394467	
PPIA	-0.3213645219364107	-0.5610184758354146	-0.08171056803740673	6.576066827316832	-2.6591036755865125	0.009071756402096816	0.157822745811735	-2.645561313401955	
CD166	0.35823513341179447	0.09065699624105356	0.6258132705825354	6.244675985861386	2.6548469514829236	0.009179523787146334	0.157822745811735	-2.6550958305482615	
NID2	0.3360876046666669	0.08465446508664343	0.5875207442466903	6.647954222534653	2.650647133244168	0.009286985152674863	0.157822745811735	-2.6644900170432377	
HBA	-0.7764891781297443	-1.358313136347065	-0.19466521991242358	6.360110697425743	-2.64646250892057	0.009395189011806802	0.157822745811735	-2.673837495704883	
IGHG4	-0.7840377878194866	-1.3716524723234476	-0.19642310331552582	6.009921212237623	-2.645856544286958	0.009410951943537317	0.157822745811735	-2.675190026809485	
DAF	0.27945466735743585	0.06959038180667923	0.4893189529081925	6.421014466633664	2.6405522736631695	0.00954995657695921	0.15833393915663052	-2.687017937376246	
TBCB	-0.289429485535898	-0.5077276971517404	-0.07113127392005564	6.517085401029703	-2.6291449722386058	0.009855209078629306	0.1591140217125552	-2.7123856369770105	
AQP1	0.4951885418753852	0.12088903607335805	0.8694880476774123	6.317346516346535	2.6234529055773597	0.010010799846288157	0.1591140217125552	-2.7250083178354894	
COIA1	0.39973676684666704	0.09727873182095514	0.7021948018723789	6.2083342706930695	2.6207820662120027	0.01008456854391203	0.1591140217125552	-2.73092301493208	
EGLN	0.3591487508015388	0.08730409927527083	0.6309934023278068	6.314264169029703	2.6198444508772982	0.010110581742885334	0.1591140217125552	-2.7329981745551746	
C1QC	0.2673290191225643	0.06489590302310241	0.46976213522202614	6.49749985640594	2.618704434577546	0.010142291994014828	0.1591140217125552	-2.7355204310544083	
PGK1	-0.3262330613984616	-0.574805463041169	-0.07766065975575415	6.685864627277228	-2.6025375380767173	0.010601755226272798	0.1635274550298356	-2.7711871864531177	
KVD11	-0.5093096047123085	-0.8976130738264276	-0.12100613559818935	6.683498446326733	-2.6009531822813914	0.010647778086247006	0.1635274550298356	-2.774672256545141	
IDHC	-0.19456198022871807	-0.34322165398989884	-0.04590230646753729	6.7190219353762375	-2.59529506874171	0.010813611459354363	0.16434436582497933	-2.787103289553253	
HEXB	-0.2949239014179491	-0.5213789043561831	-0.06846889847971518	6.839471663207921	-2.5825574404606915	0.011195490854899487	0.16839403254946753	-2.8150024289594757	
OMD	0.4582687970676928	0.10533548932383513	0.8112021048115505	6.220689782623762	2.5748360464136177	0.011432854847077305	0.16890818421451861	-2.8318566280357773	
PCOC1	0.3065297009917949	0.0703737404786843	0.5426856615049055	6.498724345445544	2.5739232282287374	0.011461213322301126	0.16890818421451861	-2.8338462275448255	
KVD15	-0.5049591252625647	-0.8950568931489029	-0.11486135737622655	6.51460646970297	-2.5668748728207462	0.011682325404572959	0.17044512765271946	-2.849188370705768	
CLC11	0.37246837040564057	0.08418658221508968	0.6607501585961915	6.411257553623763	2.56208852100632	0.01183465761659659	0.17095807388727152	-2.8595859902720466	
VATD	-0.2945701947128205	-0.5231597247875316	-0.06598066463810937	6.625278918752476	-2.5553736141470567	0.012051380803885178	0.17238200581243604	-2.874144681227601	
ITA3	0.33281936070102586	0.0732661580561626	0.5923725633458892	6.339250848178218	2.5427527292581216	0.012468397773294386	0.1766154597207428	-2.9014182906349832	
ENOA	-0.23682370174717982	-0.4219153617512307	-0.051732041743128954	6.6481088348118815	-2.5372324308320326	0.01265483923793729	0.17717804827869924	-2.913310650981887	
EF2	-0.22220864049948735	-0.39607090126035205	-0.04834637973862263	6.633925470366337	-2.534413999791633	0.01275099045185978	0.17717804827869924	-2.919373706022473	
FBLN4	0.2773841040794872	0.05918085803987727	0.49558735011909716	6.464662258237624	2.520822704074291	0.013223928320106226	0.18201614546259418	-2.948529041933757	
MGP	0.9461467418451283	0.2005997534198819	1.6916937302703747	5.91936887629703	2.5165491508476157	0.013375853720579794	0.18238664091893383	-2.957668178349989	
CSPG4	0.2858673833092309	0.06007386320351124	0.5116609034149505	6.362390412386139	2.5105858181579057	0.013590466294117459	0.1833063837851926	-2.970398334423352	
IGLL5	-0.49082739232820566	-0.8789519689770844	-0.10270281567932693	6.738214063920792	-2.5077231396639657	0.013694582476069906	0.1833063837851926	-2.97650003165974	
HINT1	-0.219944338324616	-0.3941392343719928	-0.045749442277239205	6.684968756821783	-2.503798069891768	0.0138384996504895	0.18354882718240165	-2.9848562879268825	
TENA	0.5695538125635902	0.1159355051836688	1.0231721199435115	6.520617367148515	2.489809551933405	0.014362485124164867	0.18357886452295005	-3.014543944229387	
ARF3	-0.23085615220000028	-0.41478302026769054	-0.046929284132309984	6.6841367157920795	-2.4889617140526026	0.014394806948871913	0.18357886452295005	-3.016338620656544	
CNN1	0.5833876102358984	0.11855995746525644	1.0482152630065402	5.791237801306931	2.4887838741452777	0.014401594928157922	0.18357886452295005	-3.016714998642725	
TRFL	-0.7933317139671808	-1.4257934299694552	-0.1608699979649063	6.226176292237624	-2.487382147202837	0.014455197825309792	0.18357886452295005	-3.0196807702726134	
SUSD2	0.5963940959415392	0.11999756609272749	1.072790625790351	6.127649194534653	2.482485298479521	0.014643859883639875	0.18357886452295005	-3.030030026951465	
HSP74	-0.16701442161948749	-0.30047091307169843	-0.03355793016727654	6.5556151442673265	-2.481625310232516	0.014677219233361625	0.18357886452295005	-3.031845726468872	
IGHG1	-0.47350528959692334	-0.8524257888363505	-0.09458479035749628	6.664029053732674	-2.4779850005651465	0.014819182382865993	0.18357886452295005	-3.039525431831914	
TCTP	-0.24460127389948721	-0.44039916370892396	-0.0488033840900505	6.657438343485149	-2.4772660265331035	0.014847365328106996	0.18357886452295005	-3.0410410320717554	
