logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
-0.170042824	-0.587585351	0.247499703	6.63322766	-0.80757528	0.421176365	0.978201495	-4.723579436
-0.044335173	-0.269620307	0.180949962	6.441042979	-0.390248542	0.69715006	0.978201495	-4.825900995
0.069667264	-0.239205373	0.378539901	6.386354981	0.447275119	0.655605589	0.978201495	-4.816091006
0.11843068	-0.137934521	0.374795882	6.364002527	0.91607403	0.361745093	0.978201495	-4.685499164
-0.01267128	-0.14576354	0.120420981	6.650705899	-0.188796133	0.85062014	0.988963134	-4.849890654
0.091259628	-0.220506571	0.403025826	6.424914932	0.580463728	0.562856227	0.978201495	-4.788015209
0.157410064	-0.064265047	0.379085174	6.025056233	1.408124266	0.162073373	0.978201495	-4.454963995
0.065615216	-0.090729029	0.22195946	6.523155328	0.832239041	0.407178945	0.978201495	-4.715334941
0.023864246	-0.181966081	0.229694572	6.605109272	0.229913127	0.818610389	0.98001219	-4.846347391
0.109690546	-0.068235778	0.287616871	6.49486493	1.22251561	0.224273052	0.978201495	-4.552903717
-0.280019442	-0.801059249	0.241020366	6.19173686	-1.065718986	0.289015938	0.978201495	-4.625332955
0.064320873	-0.121833134	0.250474879	6.530480188	0.68518045	0.494752768	0.978201495	-4.760887211
0.182440133	0.019913369	0.344966897	6.567620399	2.225978241	0.02817087	0.978201495	-3.873968464
-0.011702274	-0.202125878	0.178721331	6.593976332	-0.121863851	0.903241752	0.988991241	-4.854171371
-0.608416371	-1.154300208	-0.062532535	6.243646358	-2.21017203	0.029282234	0.978201495	-3.887382559
-0.134530072	-0.705309018	0.436248873	6.103697651	-0.467387241	0.641199624	0.978201495	-4.812314471
-0.011047586	-0.349970577	0.327875405	6.457740441	-0.064638576	0.948585719	0.990114989	-4.856369092
0.260420044	-0.432845891	0.953685978	6.035128715	0.744903422	0.458008335	0.978201495	-4.743434136
0.002011678	-0.565771882	0.569795238	6.17429313	0.007025885	0.994407646	0.996620353	-4.85721939
-0.542494404	-1.285144962	0.200156155	6.35717577	-1.448558946	0.150465894	0.978201495	-4.431899738
0.164488164	-0.087172835	0.416149163	6.716101917	1.296116859	0.197801075	0.978201495	-4.515635359
0.090409796	-0.142681024	0.323500616	6.482806512	0.76915832	0.443540773	0.978201495	-4.735936777
-0.018477385	-0.371601119	0.334646349	6.64125267	-0.103762164	0.917557711	0.988991241	-4.855012353
0.09802229	-0.149738431	0.345783012	6.596300925	0.784544915	0.434501919	0.978201495	-4.731058399
-0.120821767	-0.735611414	0.493967881	6.38733905	-0.389712251	0.697545409	0.978201495	-4.825986942
-0.07313468	-0.524337762	0.378068402	6.50560593	-0.321422837	0.748534368	0.978201495	-4.83596904
-0.044559148	-0.340680319	0.251562023	6.805596598	-0.298395893	0.765995747	0.978201495	-4.83890416
-0.075797565	-0.362070153	0.210475022	6.719210294	-0.525050304	0.600664549	0.978201495	-4.800572931
-0.316940924	-0.73473272	0.100850871	6.681098534	-1.504332491	0.135523426	0.978201495	-4.399083825
0.079048016	-0.182493369	0.340589402	6.605243447	0.599343745	0.550245719	0.978201495	-4.783452019
-0.199632299	-0.586303819	0.18703922	6.602010118	-1.023797456	0.308303908	0.978201495	-4.643075937
0.072900149	-0.192969205	0.338769504	6.388303495	0.543732835	0.587787782	0.978201495	-4.796478499
0.022514562	-0.262120526	0.307149649	6.71522557	0.156855764	0.875662301	0.988991241	-4.852163354
0.252901586	-0.023549108	0.52935228	6.50392742	1.814091925	0.072543689	0.978201495	-4.196086692
0.093394341	-0.176808283	0.363596965	6.670883389	0.685419445	0.494602607	0.978201495	-4.76082023
-0.048839176	-0.249558616	0.151880265	6.699153936	-0.482507767	0.630458224	0.978201495	-4.809366599
0.115266151	-0.118871415	0.349403717	6.654069119	0.976238913	0.331208991	0.978201495	-4.662369469
-0.03096483	-0.208730396	0.146800736	6.760594199	-0.345419206	0.73047617	0.978201495	-4.832679063
0.165298327	-0.093290731	0.423887384	6.494395048	1.267604394	0.207767023	0.978201495	-4.530318795
-0.032720967	-0.271535673	0.206093738	6.71821288	-0.271700534	0.786390329	0.978201495	-4.842034609
0.044651716	-0.174533835	0.263837267	6.52974636	0.403972363	0.687061638	0.978201495	-4.82366159
0.020626122	-0.318313538	0.359565782	6.664050985	0.120675918	0.90418032	0.988991241	-4.854230697
0.149894948	-0.187055138	0.486845034	6.089869612	0.882158955	0.379723064	0.978201495	-4.697905659
0.145040246	-0.064207923	0.354288415	6.258047669	1.374523861	0.1722305	0.978201495	-4.473662595
0.024249011	-0.281186437	0.329684459	6.359453377	0.157434539	0.875207319	0.988991241	-4.852125905
0.148865095	-0.147853532	0.445583721	6.259736698	0.994886391	0.322098199	0.978201495	-4.654910619
0.13208134	-0.200117177	0.464279858	6.158752645	0.788440999	0.432230405	0.978201495	-4.729808086
0.070100583	-0.117428189	0.257629355	6.460126112	0.741274639	0.460195702	0.978201495	-4.744535514
0.028410921	-0.205865133	0.262686974	6.70693652	0.240482141	0.810429406	0.98001219	-4.84532435
0.153152014	-0.108674998	0.414979026	6.346614248	1.159935084	0.248728355	0.978201495	-4.582954134
-0.084257768	-0.448490528	0.279974991	6.265336127	-0.458729183	0.647384862	0.978201495	-4.813960459
0.149357694	-0.079854125	0.378569514	6.391460211	1.292159168	0.199162806	0.978201495	-4.517692048
0.079874841	-0.172526582	0.332276264	6.184011404	0.627543203	0.531677184	0.978201495	-4.776367474
-0.069650182	-0.412487312	0.273186947	6.160879086	-0.402865269	0.687873403	0.978201495	-4.823845097
-0.163703467	-0.502395825	0.174988892	6.415925808	-0.958468622	0.340047024	0.978201495	-4.669349891
0.091438834	-0.149488932	0.3323666	6.672599803	0.752608723	0.453383392	0.978201495	-4.741077956
0.184485842	-0.106719312	0.475690997	6.464526748	1.25628857	0.211823021	0.978201495	-4.536060123
-0.123727057	-0.514428002	0.266973888	6.170926149	-0.627979755	0.531392279	0.978201495	-4.776255269
-0.053534037	-0.328317796	0.221249722	6.671687961	-0.386335271	0.700036796	0.978201495	-4.826525435
-0.099999976	-0.3369119	0.136911947	6.479346521	-0.837024944	0.404495766	0.978201495	-4.713706999
-0.00252469	-0.303681049	0.298631669	6.435629781	-0.016624227	0.986768213	0.992892982	-4.857172639
0.073954685	-0.158583891	0.306493261	6.449488558	0.630661189	0.529644032	0.978201495	-4.775564384
0.150254982	-0.285572544	0.586082507	6.242936679	0.683659175	0.495709169	0.978201495	-4.761313024
0.13089614	-0.112262492	0.374054771	6.55413972	1.067486938	0.288221039	0.978201495	-4.624569565
-0.087394008	-0.31175417	0.136966154	6.746321872	-0.772433914	0.441607446	0.978201495	-4.734906186
-0.011315529	-0.286422311	0.263791254	6.634083221	-0.081564087	0.935149957	0.98978507	-4.855859498
0.140574044	-0.162703024	0.443851112	6.230471601	0.91915973	0.36013669	0.978201495	-4.684347739
0.238970779	-0.010311268	0.488252827	6.667244539	1.900987314	0.06006897	0.978201495	-4.132973799
0.062561854	-0.217274486	0.342398193	6.615178831	0.443333879	0.65844415	0.978201495	-4.816811727
0.0729652	-0.135698369	0.28162877	6.569856985	0.693417136	0.489591917	0.978201495	-4.758565522
0.08280167	-0.14415298	0.309756319	6.579001535	0.723478171	0.471008527	0.978201495	-4.749860354
-0.161666476	-0.48088413	0.157551179	6.754730377	-1.004288503	0.317568023	0.978201495	-4.651097937
0.240831554	-0.015864329	0.497527437	6.435091306	1.860458156	0.065642968	0.978201495	-4.162740112
0.114107946	-0.072169311	0.300385203	6.572564249	1.214734803	0.22721511	0.978201495	-4.556722149
0.078612267	-0.168506419	0.325730953	6.553911573	0.630826831	0.529536133	0.978201495	-4.775521609
-0.040526355	-0.302805408	0.221752698	6.642940792	-0.306407479	0.759906336	0.978201495	-4.837907633
-0.030982484	-0.403925403	0.341960435	6.720999147	-0.164740088	0.869467993	0.988991241	-4.851641359
-0.183217512	-0.49247392	0.126038895	6.50980742	-1.174826404	0.242744176	0.978201495	-4.575940578
0.058736846	-0.177378318	0.294852009	6.663073103	0.493301193	0.622838733	0.978201495	-4.807205335
-0.058080197	-0.309543571	0.193383177	6.678034241	-0.458014012	0.647896888	0.978201495	-4.814095053
0.176417044	-0.019892897	0.372726985	6.488542576	1.782065533	0.077653788	0.978201495	-4.218676643
-0.004510715	-0.340403211	0.33138178	6.716882491	-0.026629962	0.978805853	0.992074906	-4.857083506
-0.045517102	-0.378829693	0.287795489	6.722729555	-0.270799779	0.787081172	0.978201495	-4.842135136
-0.193011786	-0.429387227	0.043363655	6.464811278	-1.619223879	0.108424501	0.978201495	-4.327857613
-0.289608805	-0.561479639	-0.017737971	6.586983152	-2.112392246	0.037044489	0.978201495	-3.968533537
0.037002655	-0.251787591	0.325792901	6.558408207	0.254083105	0.799932487	0.978201495	-4.843940305
-0.06993267	-0.41180412	0.271938779	6.721005383	-0.405641799	0.685838235	0.978201495	-4.823383923
-0.182204983	-0.634241506	0.269831541	6.47454138	-0.799304293	0.425933799	0.978201495	-4.726289803
0.184308759	-0.015500572	0.384118089	6.465531727	1.82917658	0.070235332	0.978201495	-4.185320929
-0.163561981	-0.452985699	0.125861737	6.77288154	-1.12065947	0.26501122	0.978201495	-4.601040119
-0.098387357	-0.39491193	0.198137215	6.280791379	-0.657966876	0.512011648	0.978201495	-4.768363423
-0.025740852	-0.194753901	0.143272198	6.499718792	-0.302014709	0.763243331	0.978201495	-4.838457291
0.018265722	-0.177292406	0.213823851	6.41928298	0.185219371	0.853417326	0.988963134	-4.85016602
0.130461529	-0.073815217	0.334738274	6.504909629	1.266452642	0.208177222	0.978201495	-4.530905401
-0.20035128	-0.520271298	0.119568738	6.613235498	-1.241869979	0.217074876	0.978201495	-4.543304646
0.045556969	-0.139384088	0.230498026	6.35827497	0.488480135	0.626237105	0.978201495	-4.808176564
0.065638615	-0.179617888	0.310895117	6.35892207	0.530718588	0.596744079	0.978201495	-4.799345675
0.107710348	-0.159820917	0.375241612	6.284044431	0.798377534	0.426468842	0.978201495	-4.726591794
-0.02572018	-0.226319944	0.174879584	6.439067846	-0.254254711	0.799800274	0.978201495	-4.843922357
0.192162167	-0.222000008	0.606324341	6.00951555	0.920074251	0.359660878	0.978201495	-4.684005762
-0.132195626	-0.435627345	0.171236094	6.386245175	-0.863935915	0.38960913	0.978201495	-4.704383126
-0.046761662	-0.323328893	0.22980557	6.410399474	-0.335285395	0.738084452	0.978201495	-4.834097224
0.038956875	-0.211652844	0.289566595	6.65543515	0.308256064	0.758503397	0.978201495	-4.837673958
0.055291225	-0.172154773	0.282737223	6.647155235	0.482062487	0.63077343	0.978201495	-4.809454742
0.061881833	-0.114609173	0.238372839	6.545645814	0.695290046	0.488422526	0.978201495	-4.758033788
-0.092355465	-0.291176299	0.106465368	6.686022541	-0.921141042	0.359106348	0.978201495	-4.683606426
0.103445675	-0.122354713	0.329246063	6.685468886	0.908475203	0.365725371	0.978201495	-4.688318566
-0.317829248	-0.765419977	0.12976148	6.250417533	-1.408115247	0.162076036	0.978201495	-4.45496907
-0.064223686	-0.572824196	0.444376824	6.443064557	-0.250405496	0.802767255	0.978201495	-4.844322036
-0.223511428	-0.556751753	0.109728896	6.775141493	-1.330048897	0.186408552	0.978201495	-4.497757196
-0.14782032	-0.533090626	0.237449986	6.528755397	-0.760841201	0.448471698	0.978201495	-4.738534245
0.037384636	-0.423130458	0.49789973	6.550467332	0.160981032	0.8724203	0.988991241	-4.851893423
-0.11728869	-0.488643216	0.254065835	6.526825735	-0.626315036	0.532479138	0.978201495	-4.77668273
-0.270144525	-0.777376098	0.237087048	6.441402859	-1.056124977	0.293355672	0.978201495	-4.629454271
-0.390173196	-0.803370138	0.023023745	6.556012951	-1.872516942	0.06394101	0.978201495	-4.15394365
-0.176860252	-0.574687906	0.220967402	6.691396444	-0.881577898	0.380035855	0.978201495	-4.698114236
-0.208139485	-0.696272326	0.279993356	6.509455006	-0.845555018	0.399740132	0.978201495	-4.710782813
-0.379554376	-0.69517094	-0.063937813	6.59463611	-2.384732325	0.018900992	0.978201495	-3.73475976
-0.140826489	-0.383350329	0.101697351	6.795179633	-1.151477185	0.252173461	0.978201495	-4.586899443
-0.136973389	-0.51943284	0.245486061	6.606272027	-0.710192739	0.479172376	0.978201495	-4.753752443
