	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
FETUA	1.5567511302526225	0.960419956887674	2.153082303617571	6.096401663571428	-5.174452903581091	1.060243395642089e-06	0.0003276152092534055	5.331106108520187	
OSTP	1.2989938249853321	0.7108496744491878	1.8871379755214766	5.9936540050380955	-4.377801503696282	2.7770920699761792e-05	0.004290607248113197	2.308814801897208	
CERU	-0.7374079951882293	-1.1004797041914542	-0.37433628618500436	6.605666756266666	4.025762908281809	0.00010563742223121571	0.008181718037522785	1.0825752354149074	
APOC2	0.7644420400260967	0.37905772413891714	1.1498263559132762	6.588995733257143	-3.931726397063294	0.00014911514167394667	0.008181718037522785	0.7675829177242193	
COLA1	0.6024708929353295	0.29825163959311024	0.9066901462775487	6.361053531495238	-3.9253838851496723	0.00015259353050127344	0.008181718037522785	0.746534914391499	
APOC3	0.7057180260857426	0.3472495010281085	1.0641865511433768	6.595755049066667	-3.9022307183256313	0.00016596015340102825	0.008181718037522785	0.669913454460513	
PRG4	0.5367242520360426	0.2613710814291967	0.8120774226428884	6.807707147104762	-3.863615497352154	0.00019077051928997456	0.008181718037522785	0.5428731393051933	
CO2A1	0.88210229103306	0.4228767087109161	1.3413278733552039	6.158305567104762	-3.8073748611498637	0.00023330759021492084	0.008181718037522785	0.35953944047316	
TRFL	-0.9743514736933311	-1.482396318165653	-0.4663066292210092	6.2645857055142855	3.801424411811702	0.00023830246711231408	0.008181718037522785	0.3402603908798376	
IGKC	-0.4782054629490862	-0.7365650647024793	-0.2198458611956931	6.715359886447619	3.668788602937936	0.0003799314667585535	0.011313572584009815	-0.08351268406917889	
FRIL	-0.8352728321289833	-1.2897596234591941	-0.3807860407987723	6.461220411352381	3.6428379437225047	0.00041569826298239236	0.011313572584009815	-0.16507580571574376	
PROC	0.9677548268315248	0.4388547114967163	1.4966549421663333	6.2753768516	-3.6268070055937716	0.0004393620420974686	0.011313572584009815	-0.21523776229421987	
CO1A2	0.7154845325613284	0.3184550083511611	1.1125140567714957	6.30089267967619	-3.571989781554633	0.0005302763556868808	0.012604261069788167	-0.38546695862924185	
IBP3	0.5961881352200857	0.25560466582660124	0.9367716046135702	6.549550755304762	-3.4697047869111097	0.0007493039350240995	0.015266040706622	-0.6976688353942482	
