	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
ITB2	-0.3177531817736068	-0.5571504415186963	-0.07835592202851732	6.248384368638889	2.6304888130960604	0.009752056774170929	0.7178219093126748	-3.696398851918382	
MGP	0.6377335874620124	0.1413193732145971	1.1341478017094277	5.883431583972222	-2.5460141215871506	0.01228420098131072	0.7178219093126748	-3.7626671874748423	
FHR3	-0.6337647984550604	-1.1342777594934859	-0.13325183741663493	5.982174252611111	2.5094497934274482	0.013552704827571763	0.7178219093126748	-3.7908065593731863	
CRLF1	0.4068248679214172	0.08540293053563847	0.728246805307196	6.586520738888889	-2.508405265574148	0.013590606100767141	0.7178219093126748	-3.791605531419256	
TRFL	-0.44442991652741887	-0.8040375544291654	-0.08482227862567232	5.544749992925926	2.449289407444646	0.0158965599645117	0.7178219093126748	-3.8363785965517323	
HPTR	-0.5456872889053419	-1.0195246726110174	-0.07184990519966639	6.009540445907407	2.2823394760918556	0.02439797984819585	0.7178219093126748	-3.958011573273383	
MFGM	0.35554802013926895	0.037706074767925646	0.6733899655106123	6.726847601518519	-2.216934084702858	0.028690478905080877	0.7178219093126748	-4.003682862010476	
CO8A1	0.3479526736877412	0.034051199067719584	0.6618541483077628	6.51113064837037	-2.1968102600173807	0.03013755209823949	0.7178219093126748	-4.017506489313131	
A1BG	-0.21299845211278823	-0.4074996479432511	-0.01849725628232532	6.456969099944445	2.170300636226019	0.032140594776207065	0.7178219093126748	-4.035551329486822	
C1R	-0.31443234914219526	-0.604038385549212	-0.02482631273517849	6.2323824648148145	2.151717919377297	0.033612741525981565	0.7178219093126748	-4.048087802419916	
ITAV	0.19132124224875294	0.0112843460509639	0.371358138446542	6.633021656583333	-2.106043809502903	0.03748177996812572	0.7178219093126748	-4.078504133976725	
FRIL	-0.45258391659701724	-0.8797274616924116	-0.025440371501622983	5.471870478944444	2.099863162153623	0.03803378372695489	0.7178219093126748	-4.082576548937734	
COEA1	0.31783926486585995	0.016995327509619906	0.6186832022221	6.595640400990741	-2.0937846412045595	0.038583487679258684	0.7178219093126748	-4.08657151029969	
FETUA	0.6005289700379761	0.007262605603442274	1.1937953344725099	5.530450678638889	-2.006087919591832	0.04730792176507053	0.7178219093126748	-4.143079131754461	
FHR5	-0.35464497745654444	-0.7094002206829016	0.00011026576981276737	6.262009121453704	1.9812109372640763	0.05007001405021992	0.7178219093126748	-4.158721290450151	
S10A6	0.21677475806661795	-0.0004761438216337732	0.43402565995486964	6.555740916907407	-1.9774834082144679	0.05049546469000641	0.7178219093126748	-4.161050229355648	
PRDX1	0.217959297499939	-0.0014778153741670519	0.4373964103740451	6.5738263212222225	-1.9684801736499038	0.05153575220783389	0.7178219093126748	-4.166659389303982	
CO8A2	0.31497512183203097	-0.002517068920496024	0.6324673125845579	6.436757861703704	-1.9661150661765947	0.05181202746828196	0.7178219093126748	-4.168129130198484	
LAMA5	0.2784520608180856	-0.0040798368083704295	0.5609839584445416	6.670450417657407	-1.9532088174098219	0.053341869409224266	0.7178219093126748	-4.176121820391584	
HTRA1	0.29122051236340935	-0.009539285871594305	0.5919803105984129	6.6089479596944445	-1.9189687524533325	0.05758689152586062	0.7178219093126748	-4.197099577121949	
HPT	-0.36580380388838357	-0.7473636195762359	0.015756011799468728	6.091805294620371	1.899989990787704	0.06006012621504414	0.7178219093126748	-4.208584814519504	
MFAP4	0.31353708285183096	-0.01424219123351661	0.6413163569371785	6.784525207444444	-1.8957154535911231	0.060629320391576653	0.7178219093126748	-4.211157540354555	
CFAH	-0.22561598231192617	-0.4636272344214807	0.012395269797628367	6.401660275083334	1.8786163522502943	0.06295173809604118	0.7178219093126748	-4.221397180031556	
HEMO	-0.20815823877504683	-0.43552953479822487	0.019213057248131243	6.325864418685185	1.8143609642878158	0.07235532679917249	0.7178219093126748	-4.259130751639529	
PEDF	-0.3264023185133162	-0.6846635041309526	0.03185886710432018	5.853926364666666	1.805590255798927	0.0737250625603392	0.7178219093126748	-4.264189516006288	
GDN	-0.29932219297933	-0.6295532948950313	0.030908908936371382	6.319488361907407	1.796332266137498	0.07519414411290927	0.7178219093126748	-4.269505304593588	
ITIH1	0.2000901693323851	-0.021941962279989763	0.42212230094476	6.750619427601852	-1.7859761274485673	0.07686610748413658	0.7178219093126748	-4.275422342343033	
