	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
SPP24	-0.9264320475877619	-1.3878256069692014	-0.4650384882063222	6.411699593361905	-3.9800433684526046	0.00012517420468146807	0.038678829246573634	0.9799406290197243	
PROC	-1.0373700315329812	-1.5964610300514228	-0.47827903301453956	6.2753768516	-3.677874957559448	0.000368517146079866	0.056935899069339296	0.026891795228867643	
HSP7C	0.3410370272687274	0.14898167541886229	0.5330923791185925	6.49455066512381	3.51982346759405	0.0006336682186861059	0.0652678265246689	-0.4488152991447736	
IBP3	-0.5988112042825678	-0.9612161438523892	-0.2364062647127465	6.549550755304762	-3.2752282524808414	0.0014197740970440253	0.10967754899665096	-1.152556271931588	
IBP5	-0.6042207258201326	-0.9968484215570452	-0.2115930300832201	6.451569377504762	-3.0504256864862342	0.0028758613719928614	0.14033039202827693	-1.7631012708432845	
CD97	0.30903861657820975	0.10727524573298156	0.510801987423438	6.523344111104762	3.0361008142763435	0.003004607541186756	0.14033039202827693	-1.8007932369983477	
OSTP	-0.9878452328349028	-1.6367432151299344	-0.3389472505398712	5.9936540050380955	-3.0175762081417927	0.0031790056446535228	0.14033039202827693	-1.849316736659282	
MGP	-0.924341934813366	-1.5526649728198023	-0.2960188968069297	5.902709978371429	-2.9160531449600056	0.004312398441284149	0.16656638979460026	-2.110827665470553	
APOH	0.4050870629232709	0.12302787468958909	0.6871462511569527	6.674209914438095	2.8467798566391407	0.0052875706407041895	0.18153992533084384	-2.2849294062851215	
FRIL	0.6937713102289474	0.2014182061073141	1.186124414350581	6.461220411352381	2.7930931408543307	0.006177965090439393	0.19089912129457723	-2.4174068071371746	
HS71B	0.3222506223305973	0.08843310654506961	0.556068138116125	6.35810829987619	2.7318854495753433	0.007358698522189134	0.19573118971408848	-2.5658048683853245	
ITA1	-0.34299945248885705	-0.5929196076660874	-0.0930792973116267	6.347696902380952	-2.7204322036196156	0.007601211251032563	0.19573118971408848	-2.593258922835391	
LTBP4	-0.400462078404358	-0.6965600770007883	-0.10436407980792767	6.322398037971428	-2.680844892499565	0.00849641747003291	0.20195330755693608	-2.6873840433744665	
CD44	0.4186869500114539	0.10241682354364107	0.7349570764792668	6.453019866523809	2.624079658694771	0.009947220767007018	0.20443214550096012	-2.820262106384725	
COLA1	-0.4392771654838498	-0.7729956524816798	-0.10555867848601985	6.361053531495238	-2.6091805036181692	0.010363386909249473	0.20443214550096012	-2.8547281349877984	
PDIA1	0.3281438219878455	0.07811233639270038	0.5781753075829905	6.681255836276191	2.6014488617748825	0.010585483262185637	0.20443214550096012	-2.87254610921865	
FRIH	0.4863160867519431	0.10972171619920756	0.8629104573046786	6.492948936619047	2.5597088752928463	0.011860288352288868	0.21331169178404494	-2.967938450189448	
SERPH	0.3418735865923867	0.07325074775916424	0.6104964254256091	6.316890414104762	2.522716083359694	0.01310373177287575	0.21331169178404494	-3.051348757978894	
ICAM1	0.36579807081845694	0.0783362826994004	0.6532598589375135	6.5302458425619045	2.522359881601591	0.013116252892870077	0.21331169178404494	-3.052146716719794	
THRB	-0.5754389703625411	-1.0407937253603055	-0.1100842153647767	6.5670446353714285	-2.4510991344833974	0.01584767336649848	0.2448465535124015	-3.209780585980611	
THSD4	-0.5000091729099488	-0.9083405558151246	-0.09167779000477305	6.101267214314285	-2.4272302417218725	0.01687001053896327	0.2482301550733167	-3.2616846984108623	
SOST	-0.6046404501006843	-1.1173661710802048	-0.09191472912116405	5.527807550019047	-2.3375335651313494	0.021255917681938873	0.2770115959981976	-3.4526812410555165	
HS90B	0.3448229418007055	0.052102020772030744	0.6375438628293802	6.506126938466667	2.3350068125024936	0.021392866782955346	0.2770115959981976	-3.4579683757874364	
PRDX1	0.3274748738801287	0.049212648271382387	0.605737099488875	6.330779383	2.3327569470475296	0.021515463766850297	0.2770115959981976	-3.4626718159990366	
MEGF6	-0.5103705877482669	-0.9487531035399801	-0.07198807195655377	5.966735859247619	-2.307693761582458	0.022923681180968773	0.28006301592275457	-3.514792019908277	
CADH1	-0.3587510207042027	-0.6683718251501041	-0.04913021625830133	6.4617965790190475	-2.296723811455613	0.023565172860814297	0.28006301592275457	-3.537445267723927	
CATD	0.49896292816361193	0.0653650627323552	0.9325607935948687	6.474619473371429	2.281008514825064	0.024511667062379817	0.2805224119361246	-3.569728344535174	
POSTN	0.48436170147921603	0.060031901175601365	0.9086915017828308	6.27992601087619	2.262622103759018	0.025661295776881168	0.2831907283948672	-3.607244695068656	
