	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
GRN	0.4448474094332123	0.158702404634458	0.7309924142319666	6.164293759694444	3.0809903552708957	0.0026084213021061804	0.414928560610547	-1.909109153535682	
IBP3	-0.45746248334239303	-0.7526279925794649	-0.16229697410532118	6.355876230407407	-3.0715339309354137	0.002685621751524576	0.414928560610547	-1.9286430350945087	
MMP12	0.7423367474072624	0.1987720795852066	1.2859014152293182	5.737587229	2.7065445630157803	0.007886367047173938	0.5397997260576485	-2.645034830702706	
HS90A	0.32527105040996845	0.055479150848935566	0.5950629499710014	6.336475732388889	2.3893619760475926	0.018583892486610236	0.5397997260576485	-3.205317730776244	
MGP	-0.6034020500136074	-1.111768486568443	-0.09503561345877176	5.883431583972222	-2.352314325589671	0.020440206587635207	0.5397997260576485	-3.266811827155719	
PERM	0.3330013603588268	0.043793917139160865	0.6222088035784927	6.176554067185185	2.2819282427117638	0.024422987658812744	0.5397997260576485	-3.3813126324468	
CO4A2	-0.31921066034222195	-0.5980089490242976	-0.04041237166014633	6.550513351555556	-2.2690952403209392	0.02521846237732294	0.5397997260576485	-3.401857459061172	
IBP5	-0.39450933482018186	-0.7483390151845717	-0.04067965445579197	6.3128799575925925	-2.2096753230773016	0.029205174589856803	0.5397997260576485	-3.4956429622242853	
CO6A3	0.32127081415366504	0.030282958304684138	0.612258670002646	6.369484744824074	2.188073222635056	0.030785233562136693	0.5397997260576485	-3.5291888644014566	
CCN2	-0.2500749367698719	-0.4768374788169729	-0.02331239472277094	6.4934563095	-2.1855678458399797	0.030973216128584516	0.5397997260576485	-3.533060409256887	
CATB	0.34672151699000353	0.0282692997575697	0.6651737342224373	6.132070161787037	2.1577541421905106	0.033128129364813436	0.5397997260576485	-3.57577402071834	
IBP7	-0.47004918071975715	-0.9048289898997042	-0.035269371539810135	6.432088843027778	-2.1425914836107927	0.034356785447974963	0.5397997260576485	-3.5988527715002423	
CO8A1	-0.34543691490287753	-0.6659500237829824	-0.024923806022772665	6.51113064837037	-2.135936766727292	0.03490837207456339	0.5397997260576485	-3.6089356231935126	
SCUB3	-0.36900297875050714	-0.7116353116216304	-0.02637064587938387	6.592525996675926	-2.134356547185997	0.03504047164736113	0.5397997260576485	-3.611325741776673	
GANAB	0.16861709862072802	0.011502084063911122	0.3257321131775449	6.5116871275	2.126911228746692	0.03566870475357584	0.5397997260576485	-3.6225655578662836	
CO4A1	-0.3543250932106501	-0.6855330629332932	-0.02311712348800704	6.474585829194444	-2.120149927817941	0.036247635499483025	0.5397997260576485	-3.632742133608875	
CLUS	-0.2271391339303695	-0.44444730091343887	-0.009830966947300124	6.596396252101852	-2.0714829301893496	0.04065918912987635	0.5397997260576485	-3.7051294434009887	
TENA	0.40674899325692654	0.014358929721966562	0.7991390567918866	6.1934710670185185	2.054347591969479	0.04231867253044284	0.5397997260576485	-3.730254793363317	
MXRA5	0.24876700339061059	0.00871948080230836	0.48881452597891284	6.410460203361111	2.0538134254516334	0.04237132444223274	0.5397997260576485	-3.7310349976755006	
APOC3	-0.32087208440538106	-0.6310442331090681	-0.01069993570169403	6.323637555157408	-2.050192208797489	0.04272974502662743	0.5397997260576485	-3.7363193031889503	
CATD	0.3917163117448308	0.011498645592312118	0.7719339778973495	6.016637744398148	2.0417605431049455	0.043574376267227856	0.5397997260576485	-3.748590553296058	
IGHG3	0.36232168284700117	0.007309031702717073	0.7173343339912852	6.2299370995	2.0226276362977518	0.045544154161453076	0.5397997260576485	-3.776265863388112	
LAMA5	-0.2922492018348998	-0.5801036889830002	-0.004394714686799306	6.670450417657407	-2.0120824446769494	0.04666196953819205	0.5397997260576485	-3.791418013329067	
BGH3	0.2615244404331232	0.0034261623195883106	0.519622718546658	6.3401852135925925	2.0081336621202626	0.04708653177838106	0.5397997260576485	-3.7970733891230015	
PLIN2	0.32229534634581863	-9.485965973110577e-05	0.6446855523513684	6.360977355138889	1.98124250600581	0.050066276520724554	0.5397997260576485	-3.835317233367615	
MMP7	0.7450377609434056	-0.0029230364210096615	1.492998558307821	4.818613021398148	1.9740806462216325	0.05088637631613081	0.5397997260576485	-3.845423326997751	
FRIH	0.31899090897830645	-0.003665181779845317	0.6416469997364582	6.00662996775926	1.9593132721783564	0.05261342605776579	0.5397997260576485	-3.8661560179522025	
SOST	-0.6198358517222277	-1.2492445372565948	0.00957283381213958	6.095349238092592	-1.9516835549104545	0.053525018355421304	0.5397997260576485	-3.876812012879195	
CO6A2	0.2941723759232741	-0.009909213109333292	0.5982539649558816	6.4284191828796295	1.9172431904778577	0.057808002032757815	0.5397997260576485	-3.924438872394628	
ECM2	-0.25881994989544965	-0.531639716805107	0.01399981701420766	6.56608132612037	-1.8801277398122922	0.06274334361163778	0.5397997260576485	-3.974893035583765	
