	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
KV315	-0.5224217189209938	-0.9064666478056592	-0.1383767900363283	6.4219811615686275	2.6969211267901683	0.008141573168910751	0.9852974745813214	-3.817521896569672	
FCG3A	-0.4603513167990162	-0.8266608521807457	-0.0940417814172867	6.22978886327451	2.491553530382036	0.014266874062153228	0.9852974745813214	-3.9478731810915173	
PLF4	-0.49473524640712657	-0.9414177881518236	-0.0480527046624295	6.406473319941177	2.195851313527644	0.030279718060176104	0.9852974745813214	-4.120693385917599	
KVD11	-0.40625899597510895	-0.7845850810826056	-0.02793291086761235	6.464581995147059	2.128951466344175	0.03557171327341076	0.9852974745813214	-4.157242504949094	
HV551	-0.37916732034595513	-0.7376537839882047	-0.020680856703705508	6.422147283970588	2.0969457467687853	0.038374764090061915	0.9852974745813214	-4.174385221899751	
PERM	-0.4946524246507831	-0.9652004790710051	-0.024104370230561056	5.758030337372549	2.0841319747880984	0.03954925975909639	0.9852974745813214	-4.1811857568036865	
ITB3	-0.32538501356867805	-0.6480354610290613	-0.0027345661082948114	6.363246959990196	1.999375339884245	0.04812382263460923	0.9852974745813214	-4.225256678690466	
HV439	-0.35658701217260796	-0.7123586047942634	-0.0008154195509524897	6.450506278735294	1.9871164085281825	0.04948659042049674	0.9852974745813214	-4.231498916504548	
KNG1	0.34184608721929793	-0.004823320150585841	0.6885154945891817	6.2787100306470585	-1.9549882509976897	0.053214760280854465	0.9852974745813214	-4.247698827762833	
TRFL	-0.4476359605415937	-0.9035266028154008	0.008254681732213387	5.626980237931373	1.9466745298038453	0.05421736993490005	0.9852974745813214	-4.251853048080712	
LV861	-0.4335875366620344	-0.8851406692766723	0.01796559595260344	6.211890918754902	1.9036933244867011	0.05965919026993679	0.9852974745813214	-4.273080841194153	
HV307	-0.29913904607786	-0.6199658412479021	0.021687749092182018	6.493149524705882	1.8485513871092516	0.06730683744875537	0.9852974745813214	-4.299698954649191	
KVD20	-0.35825573267275806	-0.7501361139658989	0.03362464862038278	6.357243186088235	1.8124610531760745	0.07274254000122375	0.9852974745813214	-4.316742619448222	
ANXA1	0.23051887044370523	-0.029557774637021916	0.49059551552443237	6.49101552077451	-1.757252561573198	0.08175885725704107	0.9852974745813214	-4.342231158922643	
ANT3	0.22902933920276777	-0.0316993371341098	0.4897580155396454	6.482310126862745	-1.741531670478767	0.08448833884033548	0.9852974745813214	-4.349359190910284	
CO8A	0.28449388563883454	-0.05228237052582191	0.6212701418034909	6.273286642529412	-1.6747906540137445	0.09692003947970813	0.9852974745813214	-4.378973730503152	
SFRP2	0.32091851091895945	-0.06030134712616847	0.7021383689640874	6.3937939710784315	-1.668969151892985	0.09807136319793419	0.9852974745813214	-4.381506985636362	
FA12	0.23963405555664946	-0.047605535912499275	0.5268736470257982	6.197595496911765	-1.6539915782193422	0.10108446929723881	0.9852974745813214	-4.387987583514843	
FCGBP	-0.35337282183926466	-0.7770715600310056	0.07032591635247626	6.225418207549019	1.653503164360884	0.10118397121316512	0.9852974745813214	-4.388198016291463	
CATL1	0.22342333615878818	-0.04549849939350409	0.49234517171108044	6.389171546215686	-1.647143823074934	0.10248676097988028	0.9852974745813214	-4.390932754226048	
PLTP	-0.33454634480872036	-0.7501035369910296	0.08101084737358893	6.482391349529411	1.5960795842745392	0.11344495730681688	0.9852974745813214	-4.412542252607258	
HV102	-0.3077251914610903	-0.6939120407033463	0.0784616577811657	6.419361254186274	1.579772779187647	0.11713523266080575	0.9852974745813214	-4.419311392988662	
LUM	-0.22045079021780342	-0.5019899905500346	0.061088410114427755	6.663001224656862	1.552393600098045	0.12354552347383044	0.9852974745813214	-4.4305327844437965	
LAMA4	0.21702872572220966	-0.06078059833351723	0.49483804977793655	6.634214151401961	-1.5488146901001019	0.12440360162936534	0.9852974745813214	-4.431986231615758	
HV374	-0.2918455450348049	-0.6663777398364295	0.08268664976681955	6.389092754833333	1.5448736620760886	0.12535394823573012	0.9852974745813214	-4.433583156440812	
IGLL5	-0.2651799789416328	-0.6067754441397248	0.07641548625645928	6.31517248827451	1.5390675857277005	0.12676447973493632	0.9852974745813214	-4.435928960394275	
S10AD	0.23384828197660068	-0.06850964860635056	0.5362062125595519	6.515417378107843	-1.5333520417372326	0.12816522649993742	0.9852974745813214	-4.438230212074555	
TIMP1	-0.3219598792953032	-0.7430456353142869	0.09912587672368056	6.15467798332353	1.515864078150468	0.13252700363764924	0.9852974745813214	-4.4452221836116586	
LV319	-0.2963365573998107	-0.6846879779264455	0.09201486312682416	6.370728645294117	1.5128274276055382	0.133296138145045	0.9852974745813214	-4.44642871667106	
PRDX1	0.19159396002106313	-0.06030386144611574	0.443491781488242	6.401469184078431	-1.5079483236152142	0.1345392683092583	0.9852974745813214	-4.448362603669683	
IGHG2	-0.23474771303213285	-0.5464650338038118	0.07696960773954611	6.4551744123529415	1.4930332912884903	0.13839583063915042	0.9852974745813214	-4.454238401357871	
SFRP4	-0.2478024387837664	-0.5804962070839341	0.08489132951640133	6.666367575235294	1.4766921511321114	0.14271972967363444	0.9852974745813214	-4.460613724946261	
IGF2	0.3067251355693841	-0.10602954613080501	0.7194798172695731	6.097405873166666	-1.4732838072158192	0.1436347020765716	0.9852974745813214	-4.461935230982749	
IGHD	-0.31418853250542034	-0.7373775297113836	0.10900046470054292	6.260579201009804	1.4719227527358603	0.14400135041263268	0.9852974745813214	-4.46246215432611	
FGL2	0.22395972152499077	-0.0819862475859251	0.5299056906359066	6.553817266607843	-1.451290123005488	0.14964902497455465	0.9852974745813214	-4.470394377947157	
THRB	0.36447581175130533	-0.13628588555280802	0.8652375090554187	5.8674727740588235	-1.4430011113262682	0.1519656201077853	0.9852974745813214	-4.4735516950258	
CD59	-0.2066945315923952	-0.49371609163831925	0.08032702845352885	6.601133307098039	1.4277215760235473	0.15630835527812684	0.9852974745813214	-4.479327476743067	
FA9	0.20990351278837646	-0.08229471995726304	0.502101745534016	6.36856789477451	-1.4242006452610152	0.15732247799677107	0.9852974745813214	-4.480650270655633	
CO8B	0.2575070566410624	-0.10681329495804587	0.6218274082401707	6.302944723529412	-1.4013117347912627	0.1640387895793522	0.9852974745813214	-4.489174979506758	
FETUA	0.4276234542972302	-0.19328781558308555	1.048534724177546	5.588406021735294	-1.3654035612381084	0.17501375726223856	0.9852974745813214	-4.5022875087666305	
S10AA	0.14619188394543112	-0.0675933415456614	0.3599771094365236	6.592420450088235	-1.3557344474992532	0.17806195992021498	0.9852974745813214	-4.5057637018646295	
MGP	0.4087829534337853	-0.19984176921644164	1.0174076760840123	5.823055666009804	-1.3315952702664178	0.18584657314563563	0.9852974745813214	-4.514340557294629	
IBP5	0.251488589993366	-0.13163396184367404	0.634611141830406	6.410741558323529	-1.3013964739165595	0.1959411956536955	0.9852974745813214	-4.524865690327916	
KV240	-0.23644976516158073	-0.6026416325596404	0.12974210223647892	6.369708843147059	1.280145248155062	0.2032854489006661	0.9852974745813214	-4.532135460738375	
KVD15	-0.26123375739277277	-0.667816469964001	0.14534895517845547	6.560132659362745	1.273824050968992	0.20550875145881115	0.9852974745813214	-4.5342759869402975	
S10A4	0.18538543153622533	-0.10402838822696425	0.4747992512994149	6.633968525323529	-1.2699464063981358	0.2068814431618995	0.9852974745813214	-4.535584091047685	
HV330	-0.21322104952234613	-0.546456544798339	0.12001444575364681	6.5371515470980395	1.268550842829826	0.20737712278402695	0.9852974745813214	-4.536053952209925	
F13A	-0.24746470797184672	-0.6364643534147769	0.14153493747108342	6.299129531705883	1.2612266009487914	0.2099928977745371	0.9852974745813214	-4.5385118586028375	
CO8G	0.22028117368325567	-0.13273366630817707	0.5732960136746884	6.122601648	-1.237124693462437	0.21877152285291035	0.9852974745813214	-4.546504686579016	
ICAL	-0.1416889260132918	-0.3690257441217989	0.08564789209521528	6.5204439414215685	1.235649186860607	0.21931750414438733	0.9852974745813214	-4.546989242969918	
APOA	-0.3847038278726312	-1.0044963721328817	0.23508871638761925	5.99104813982353	1.2305781979794068	0.22120148376573495	0.9852974745813214	-4.548650363018651	
IGJ	-0.2595358763291686	-0.6788379548805692	0.15976620222223198	6.36201848382353	1.227155056373307	0.22247988720550638	0.9852974745813214	-4.549768018622784	
SRPX2	0.20925007864494247	-0.13118857198228293	0.5496887292721678	6.5189328590294116	-1.218584994261328	0.22570396274959242	0.9852974745813214	-4.552553147976358	
ADIPO	-0.1814431087505378	-0.4773089262362439	0.11442270873516833	6.594396994215686	1.2158352832744985	0.22674554360328947	0.9852974745813214	-4.553442820998892	
PROP	-0.18608410801723957	-0.48969150241740433	0.1175232863829252	6.644634621882353	1.2151391036063746	0.2270098047446602	0.9852974745813214	-4.553667767304826	
ANXA4	0.1725857996579667	-0.11063411076520865	0.455805710081142	6.576156616647059	-1.2081207247622323	0.22968634156646334	0.9852974745813214	-4.555928656847973	
TINAL	0.20031918302357035	-0.1287060597524027	0.5293444257995434	6.588730904068627	-1.207041990403451	0.23009973936050176	0.9852974745813214	-4.556275052207194	
CYTC	0.150773429409279	-0.10281343773585208	0.4043602965544101	6.2676591872843135	-1.178764671557487	0.24112827782068041	0.9852974745813214	-4.565249956228594	
IGLC2	-0.1768696245027027	-0.4785898773151841	0.1248506283097787	6.4426814730588235	1.1621919082089291	0.24776473546734917	0.9852974745813214	-4.5704155054364	
APOC1	0.24780777924468947	-0.1756227755119407	0.6712383340013196	6.324887578676471	-1.1602773080753266	0.2485397007283809	0.9852974745813214	-4.571007758952959	
