	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
MGP	-1.6085971791859657	-2.3496739865979905	-0.8675203717739407	5.809310470361905	-4.302133013031397	3.705053076593431e-05	0.011707967722035242	2.068114641543909	
IGF2	-0.985247953899519	-1.4689071016972508	-0.5015888061017872	6.395016253	-4.037438203598559	0.00010078581338052524	0.013252782123830964	1.163936642714301	
IBP5	-0.8447294338029067	-1.2754592036895807	-0.41399966391623266	6.396725071514286	-3.8869816537969393	0.0001747743360064629	0.013252782123830964	0.668531158553006	
FCG3A	0.6378293223357564	0.3100615627577998	0.965597081913713	6.749129822047619	3.8568966452182503	0.0001947916383621379	0.013252782123830964	0.5711395654730111	
GAS6	-1.034699403993108	-1.5692581448684852	-0.5001406631177305	6.2748306666666664	-3.8363525999288384	0.00020969591968086969	0.013252782123830964	0.5049585153103617	
SPP24	-1.0750316733427696	-1.6512567782535021	-0.4988065684320372	6.225941072647619	-3.6976758522111606	0.0003425767749655138	0.018040305763719868	0.06520533921544835	
CYTB	0.6945682818608984	0.31479142504452545	1.0743451386772713	6.498797044228572	3.624817985163404	0.000441212378475881	0.018040305763719868	-0.16087520761415952	
FRIH	0.9132261040421157	0.40749731753631313	1.4189548905479183	6.405071025333333	3.5789892600733153	0.0005164352230624409	0.018040305763719868	-0.3013019936433041	
FRIL	1.0837140069681042	0.4769459155005564	1.690482098435652	6.373021250123809	3.539905800733859	0.0005900066110082338	0.018040305763719868	-0.4199613638576283	
FA9	-0.6480621790550315	-1.0132863695965417	-0.28283798851352115	6.568646303266667	-3.516874691232101	0.0006378814923017636	0.018040305763719868	-0.4894078161974251	
PROC	-1.0214980747787443	-1.5985612558127267	-0.4444348937447621	6.5879875456761905	-3.5084390794826503	0.0006563157937256234	0.018040305763719868	-0.5147550277390005	
CATD	0.7181562383217441	0.31097973409615765	1.1253327425473305	6.67194545492381	3.4957146994762645	0.0006850749024197418	0.018040305763719868	-0.5528985644260551	
CD44	0.5320137113883455	0.22533426190414368	0.8386931608725474	6.6202351189333335	3.43825357472547	0.0008303709737168888	0.02018440213034899	-0.7237854308790057	
