	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
PROP	0.36511364080064274	0.06298428436551856	0.667242997235767	6.644634621882353	2.3958848400233275	0.01833175855227752	0.9923161009371426	-4.017971885693316	
FHR1	0.5093876831520344	0.06436845690910725	0.9544069093949616	6.3220865152549015	2.2693447217083604	0.0252703232283986	0.9923161009371426	-4.090048348610928	
LV861	-0.44998503063616074	-0.9078425137417512	0.007872452469429692	6.211890918754902	-1.9484916835234571	0.053997797538108586	0.9923161009371426	-4.2578246016017385	
CFAD	0.28863083241381876	-0.007718503532754273	0.5849801683603918	6.497861440490196	1.9309435157327084	0.05615918622252354	0.9923161009371426	-4.26635964190436	
HSP72	-0.31000383136454746	-0.6309096066509416	0.010901943921846735	6.626373596745098	-1.9152273489311638	0.058156510786861994	0.9923161009371426	-4.273945826723748	
AMBP	0.21832071602969338	-0.013190477979764359	0.44983191003915113	6.473146770068627	1.8696217798189483	0.06429405399820186	0.9923161009371426	-4.295648768857229	
LECT2	-0.3155179281712313	-0.6507012209317713	0.01966536458930873	6.632105295284314	-1.866261448506725	0.06476698128478739	0.9923161009371426	-4.297229530832561	
RNAS4	0.37616265126414616	-0.045056494386424506	0.7973817969147168	6.573499884990196	1.7705099684966104	0.07951486000317086	0.9923161009371426	-4.341203950819012	
LYSC	0.3632753651064511	-0.04407979959819064	0.7706305298110928	6.567145281892157	1.7680458672623236	0.07992824144484185	0.9923161009371426	-4.342308175935278	
TETN	0.24630992225566825	-0.04186968872819122	0.5344895332395277	6.612577770470589	1.6945307836092343	0.09309841886006472	0.9923161009371426	-4.3746125663462205	
TRYB2	0.4696223393808178	-0.09308975183476192	1.0323344305963975	5.92704495927451	1.6546010932729578	0.10096143859069015	0.9923161009371426	-4.391636532004403	
LAMB1	-0.2307622016606509	-0.5150336593529999	0.05350925603169818	6.414264464666667	-1.6093934289258325	0.11050241461853409	0.9923161009371426	-4.4104631081688455	
PRDX2	-0.3160344996667346	-0.7100858098337293	0.07801681050026005	6.219140697205883	-1.5900563855875594	0.11479809640994955	0.9923161009371426	-4.418369957157661	
KV401	0.27607141059073964	-0.07966281168789696	0.6318056328693762	6.532518694529411	1.5386030663584664	0.1268789078336295	0.9923161009371426	-4.43898031944443	
PGS2	0.37103351421763653	-0.10995157954755702	0.85201860798283	6.254923981186274	1.5293691619535066	0.12914957038224525	0.9923161009371426	-4.442612856719827	
CCL18	0.3160166202709108	-0.10453145094844146	0.736564691490263	6.5996354020980394	1.4897901037187693	0.13924677827387966	0.9923161009371426	-4.457953381241706	
FHR3	0.37128789151146896	-0.12518075689224606	0.867756539915184	6.342053324490196	1.4826879714667032	0.14112220002322748	0.9923161009371426	-4.460666610712307	
PEPD	0.22070069376752877	-0.07506210234674893	0.5164634898818065	6.432614637117647	1.4794182146473185	0.1419922199734208	0.9923161009371426	-4.461911706173721	
ANGI	0.26806327517236367	-0.09234942156915205	0.6284759719138794	6.721298759794117	1.474578997246618	0.14328750374721327	0.9923161009371426	-4.463749748370788	
ANXA6	-0.23989163868184155	-0.5669861853890832	0.0872029080254001	6.441004338009804	-1.4540274781400409	0.14889105520098364	0.9923161009371426	-4.471493211334201	
ANXA2	-0.15838609042104232	-0.37933434901866653	0.06256216817658189	6.533741640549019	-1.4212067526567258	0.15818979358096164	0.9923161009371426	-4.483649233117873	
KVD15	0.29219617930017733	-0.11970132234255848	0.7040936809429131	6.560132659362745	1.4064237174346694	0.1625211048138771	0.9923161009371426	-4.489039770946421	
PA2GA	0.3414971010261218	-0.14820874253713273	0.8312029445893763	6.441791371058824	1.3825553953322178	0.16970504393719735	0.9923161009371426	-4.4976317236238605	
