	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
FETUA	1.3185908099557608	0.7517563939051555	1.8854252260063662	6.314955426295238	-4.61051534775889	1.0983592461204363e-05	0.003470815217740579	3.1727581037462214	
A1AG1	-0.9879047160990048	-1.4514194450053417	-0.5243899871926678	6.816519439095238	4.2242261255087215	4.992037436267807e-05	0.00599996137373417	1.7894687703390284	
FA10	1.0551744131235874	0.5454580077919188	1.5648908184552561	6.381876717133333	-4.102903272305951	7.894566200228415e-05	0.00599996137373417	1.3724560891048796	
MGP	1.4482212039271938	0.7428087347290555	2.153633673125332	5.809310470361905	-4.068997361770007	8.959701583555909e-05	0.00599996137373417	1.2574713339986143	
OSTP	1.4204509414091304	0.7203206086935596	2.120581274124701	5.8769239935333335	-4.021082503648424	0.0001070207594147354	0.00599996137373417	1.0961566504882265	
IGF2	0.9240078455200995	0.46664396617274867	1.3813717248674504	6.395016253	-4.004141666666057	0.00011392331722280071	0.00599996137373417	1.0394548274720785	
FGL2	0.549693253672165	0.27144879471084055	0.8279377126334895	6.531769111333333	-3.915520671596241	0.00015754184123906544	0.006554413465223918	0.7457029922794813	
SPRL1	0.7857729073884769	0.3865703192130282	1.1849754955639256	6.095908920209523	-3.9012101099546497	0.00016593451810693462	0.006554413465223918	0.6987233417979093	
VTNC	0.7145495947439424	0.3352694655730066	1.0938297239148782	6.7310077769714285	-3.7339450775356773	0.00030154409131879405	0.010587548095193215	0.1591974784535699	
CERU	-0.5121190978608989	-0.789792604472976	-0.23444559124882186	6.926051385380952	3.655376921542425	0.0003968137868174801	0.01253931566343237	-0.08801983908705235	
GAS6	0.9185211939992846	0.40961160108455663	1.4274307869140124	6.2748306666666664	-3.5772079142497515	0.0005194264616702511	0.014921705626163576	-0.3299507375780708	
AEBP1	0.5340866414723551	0.2339750217679994	0.8341982611767107	5.986901511057143	-3.527154986847809	0.0006158903505643042	0.01621844589819334	-0.48272160228231353	
FA9	0.6034704044614031	0.2578872998894544	0.9490535090333518	6.568646303266667	-3.4609801858183014	0.000769526307002565	0.018705408693293117	-0.6820990058100946	
PROC	0.9352131705312742	0.3882698366017169	1.4821565044608316	6.5879875456761905	-3.3889403081070215	0.0009774461110444498	0.02128702649299961	-0.895738510099072	
APOC3	0.7184457171592864	0.29702057919743313	1.1398708551211396	6.371226074666667	-3.378851936522278	0.001010460118338589	0.02128702649299961	-0.9253699030407461	
PROZ	0.8535079984189065	0.34743394638491765	1.3595820504528953	6.604242165209524	-3.342636596352089	0.0011377946986044101	0.0224714452974371	-1.0311568770177475	
IBP5	0.6857478061017888	0.2715519067023146	1.0999437055012629	6.396725071514286	-3.281362952316872	0.0013880422051525583	0.025801255107541672	-1.2080455042027252	
SPP24	0.8954077148115017	0.34357365420267993	1.4472417754203235	6.225941072647619	-3.215940224461993	0.001711468452443348	0.0291786575436011	-1.3939750337248027	
THRB	0.7852350248465079	0.2982650629675778	1.272204986725438	6.576175055190476	-3.1958996061547653	0.0018238133688805891	0.0291786575436011	-1.45031749982099	
KNG1	0.47029229705324294	0.1782757582983308	0.7623088358081551	6.837723358590476	-3.1919498184729473	0.0018467504774431075	0.0291786575436011	-1.4613879197887387	
S10A8	-1.0904447650991127	-1.7722408780657375	-0.408648652132488	5.844254993	3.1698943633392402	0.00197984611619254	0.029791970129373457	-1.5229979183890876	
CTHR1	0.4356199486270613	0.15783567227763567	0.7134042249764869	6.304631612295238	-3.1081054058586224	0.0024017437038268154	0.03449777320042153	-1.6937223658145797	
KVD15	-0.5272451075933725	-0.8737448990099046	-0.18074531617684048	6.913007162885714	3.015818629420002	0.0031892121396586	0.04381700157096164	-1.943505412575134	
S10A9	-0.9917921321977268	-1.6572116100476957	-0.32637265434775786	5.952319329647619	2.9540700406471783	0.0038426968192304097	0.05059550811986706	-2.1071064157809642	
CPXM2	0.45771042704176285	0.14420703525880463	0.7712138188247211	5.954781103476191	-2.8936380125518264	0.004599661261480933	0.058139718345118996	-2.264447303392526	
LTBP4	0.39571522084409816	0.12242731891742864	0.6690031227707677	6.2277090308666665	-2.869842001753772	0.004933603937229636	0.05996226323709865	-2.325644035067693	
APOC1	0.439872329314365	0.12950378890647324	0.7502408697222567	6.635888242904762	-2.808953745391052	0.005891760989561746	0.0689554249148708	-2.48026460383046	
FBLN2	0.42452590506500243	0.12204647230859406	0.7270053378214107	6.025862570495238	-2.7816596143370313	0.0063741304539105675	0.07193661512270498	-2.5486519577743514	
QSOX1	-0.3164716427035421	-0.5485290980492987	-0.0844141873577855	6.6490091188095235	2.702930720434972	0.007974146520405782	0.08592463334885955	-2.7426805170325115	
SMOC2	0.39220935522518385	0.1034064738280075	0.6810122366223602	6.190133754542857	-2.69160957911814	0.008232072309142415	0.08592463334885955	-2.770184454622886	
HDGR3	0.366886678677495	0.09439243208856479	0.6393809252664253	6.289102593219048	-2.6685186644548318	0.00878174112808965	0.08592463334885955	-2.8259708612673973	
APOA4	0.4012476951239493	0.10249476955878567	0.700000620689113	6.730521550523809	-2.661926271548639	0.008944659175914426	0.08592463334885955	-2.8418208827319424	
SFRP2	0.45395155947431287	0.11537378854710528	0.7925293304015204	6.547241623742857	-2.657337458914458	0.009059672854492839	0.08592463334885955	-2.8528335332238606	
COCA1	0.4463442067271892	0.111754050773267	0.7809343626811114	5.985036092495238	-2.6439447864649703	0.00940304025868991	0.08592463334885955	-2.8848796362577303	
FST	0.42948575074461537	0.10700300650641398	0.7519684949828167	6.374318232790476	-2.639598770071779	0.009516968883576216	0.08592463334885955	-2.8952484233222293	
APOC2	0.5428927270062028	0.13163373388428323	0.9541517201281224	6.506707022704762	-2.6163404414381293	0.010148152081560498	0.08907822382703105	-2.950484787674597	
APOH	-0.3326681761832251	-0.5916295970135717	-0.07370675535287846	6.673138345	2.546078717141723	0.012290830621128105	0.10497033719666164	-3.114740854272582	
IBP3	0.46351678948753755	0.09815190263219026	0.8288816763428848	6.593699848247619	-2.5143996116007115	0.013383537652540044	0.11129468153164879	-3.187509322412969	
SODE	0.5443772823172099	0.11249236465599227	0.9762621999784276	5.722316715714285	-2.498202242858264	0.013975203410763748	0.11323498148208574	-3.2244039032751677	
FMOD	0.3938461915939346	0.07852669843028953	0.7091656847575796	5.844755528914286	-2.4755486698600104	0.014841957406503464	0.11555850442342684	-3.2756497029549267	
TENX	0.3664221656760581	0.07217704947538306	0.6606672818767332	6.185553839114286	-2.468130464053527	0.015136050533716123	0.11555850442342684	-3.2923406744890653	
A4	0.4291508022894716	0.08375800728935945	0.7745435972895838	6.168835519790476	-2.462591031954177	0.015359041727164327	0.11555850442342684	-3.3047753543524183	
FBLN1	0.36385351121054127	0.06722640615763259	0.66048061626345	6.394784308666667	-2.4311478744670354	0.01668122046518166	0.1215705306701192	-3.3748860209309064	
TRFL	-0.6966314875248607	-1.266803029159036	-0.12645994589068554	6.448082584761905	2.421548669342007	0.017104577872529097	0.1215705306701192	-3.3961298155436443	
TARSH	0.34487291965077554	0.06152743524625637	0.6282184040552947	6.261385410761905	-2.4123395468773934	0.017519685898503435	0.1215705306701192	-3.416439766890923	
PERM	-0.6785871896142245	-1.2376842512043749	-0.1194901280240741	6.450018484219048	2.405548323568147	0.017831516899855463	0.1215705306701192	-3.4313729256720857	
APOD	-0.39364303980926124	-0.720150351993455	-0.06713572762506748	6.592199917333334	2.3894904749713692	0.01858853000115699	0.1215705306701192	-3.4665325193764978	
