	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
PYGL	0.5283788383235287	0.30065904104588137	0.7560986356011761	6.454607227019802	4.60120775927136	1.189199822185327e-05	0.017350425405683923	3.0845856036656043	
PROF1	0.5680594224545451	0.3078028086724758	0.8283160362366144	6.671295167673267	4.328318484749514	3.46280232937299e-05	0.021765264387704545	2.127637010720581	
HSP7C	0.296383933963458	0.15674885508590286	0.4360190128410132	6.588569115851485	4.209081546551378	5.455181784215459e-05	0.021765264387704545	1.7218199976540767	
KPYM	0.3408269949924242	0.17757787957907745	0.5040761104057709	6.679511983445544	4.140095556848938	7.070377061223921e-05	0.021765264387704545	1.4905923825424123	
PPIA	0.4427527637941167	0.22857167575752455	0.6569338518307088	6.576066827316832	4.099278046592544	8.232582265271297e-05	0.021765264387704545	1.3550342988733748	
ALDOA	0.33358825065775327	0.1713230694970359	0.49585343181847064	6.572564248613862	4.076736326483021	8.950759857863419e-05	0.021765264387704545	1.280575720762335	
EF2	0.31413326460784263	0.15884134871702116	0.4694251804986641	6.633925470366337	4.011366063188838	0.00011388856580318801	0.022998978567427213	1.0662923089465837	
ENOA	0.3324804897901063	0.16696903311422526	0.4979919464659873	6.6481088348118815	3.983504581678668	0.00012610817583236307	0.022998978567427213	0.9757127984648362	
EF1G	0.3356046417691613	0.16611429637355865	0.505094987164764	6.608409941148515	3.926541668390405	0.00015510452099326582	0.02514416623657498	0.7919355572002935	
ZN800	0.6231114890387689	0.3058116428644177	0.94041133521312	6.402628488336633	3.894243589589113	0.00017426789421153466	0.02542568576546291	0.6885845943881224	
TALDO	0.42461001766577494	0.19979043088962764	0.6494296044419222	6.714332094138614	3.745271511831363	0.00029583635581370104	0.038192033481103144	0.22001197375822823	
TKT	0.37840997194786086	0.17713164463840855	0.5796882992573131	6.5981574855049505	3.7281448196705322	0.0003141222767465646	0.038192033481103144	0.16701141226729188	
UBA1	0.2565520348061493	0.11920641615288496	0.39389765345941363	6.635265961267327	3.7041440702509645	0.0003415610310015774	0.038333657248561644	0.09304433165231973	
TYPH	0.4506704735423342	0.20715712879664225	0.6941838182880261	6.694841346980198	3.6699788026422233	0.0003845683916132556	0.04003515691455171	-0.011628727027419572	
CNDP2	0.4464114711506233	0.20389990121313714	0.6889230410881094	6.610308648316832	3.650312949238545	0.0004116020244813404	0.04003515691455171	-0.07154747601783384	
PSMD1	0.3491913496795897	0.1572946748874048	0.5410880244717746	6.494293488089109	3.608471201604853	0.00047522721112421863	0.04312674026667921	-0.1982196339618696	
VPS35	0.344640983888591	0.15388796499429203	0.53539400278289	6.641785879306931	3.5828012564536524	0.0005187541127847736	0.04312674026667921	-0.27538206968584333	
PDIA1	0.455904820964349	0.20274055604907554	0.7090690858796225	6.415767177732674	3.571075215607741	0.0005398676220440741	0.04312674026667921	-0.31048965854130195	
AIF1	0.6868069025681807	0.3021241957858172	1.0714896093505442	6.242936678544554	3.5404560234502713	0.0005988936226805719	0.04312674026667921	-0.401746329604757	
PGK1	0.40046166820855555	0.1743815983614018	0.6265417380557093	6.685864627277228	3.5125772953132657	0.0006578897718468174	0.04312674026667921	-0.4843085555206468	
NP1L1	0.2993000684643489	0.13000214935419138	0.46859798757450644	6.46643612180198	3.5057618636779435	0.0006731244511023856	0.04312674026667921	-0.5044155576534655	
IBP5	-0.8856722514073078	-1.3892266011012242	-0.3821179017133912	6.253099964217822	-3.4878187075446982	0.0007148395667630069	0.04312674026667921	-0.5572070305711501	
PCDH7	-0.4355933628912651	-0.6854181292953014	-0.18576859648722874	6.449973614673267	-3.4575859129274242	0.0007906850590304746	0.04312674026667921	-0.6456801047852867	
ARPC3	0.2870370873622991	0.12213143429222084	0.45194274043237737	6.656477822336633	3.451673330819791	0.0008063775970671112	0.04312674026667921	-0.6629124845084906	
FRIL	0.9815369869264691	0.4169957642756491	1.546078209577289	6.287998968722772	3.447769523712039	0.0008168988427849829	0.04312674026667921	-0.6742776182169994	
VATA	0.4555396127125664	0.19301535803988962	0.7180638673852431	6.602660603455446	3.4409941190843676	0.0008354667289428507	0.04312674026667921	-0.6939789683068405	
ARPC2	0.29451975263324365	0.12392493050938314	0.46511457475710416	6.57026554050495	3.4235430863857292	0.0008851361731607897	0.04312674026667921	-0.7445830040774775	
S10AB	0.39401679536630907	0.1651821633728562	0.622851427359762	6.626896922950495	3.414445611353828	0.000912117973707085	0.04312674026667921	-0.7708836606777254	
HXK3	0.6160422917263814	0.2582458794596331	0.9738387039931296	6.60392407779208	3.4143006650407135	0.0009125540562832387	0.04312674026667921	-0.7713022538585754	
CD47	-0.38961137014037417	-0.6166213098490714	-0.16260143043167694	6.557467438366337	-3.403407609123907	0.0009458932951482657	0.04312674026667921	-0.8027205799125996	
ERO1A	0.45849523297638123	0.190797524440806	0.7261929415119565	6.482898598871287	3.396388699629453	0.0009679780987057135	0.04312674026667921	-0.8229230798314875	
CD81	-0.476064017923796	-0.7543129328616834	-0.19781510298590854	6.583711821792079	-3.3928065239944702	0.000979435137476839	0.04312674026667921	-0.833220994724444	
MGP	-1.1604625582820836	-1.8401425626445311	-0.48078255391963587	5.91936887629703	-3.3857419575386354	0.001002404344393155	0.04312674026667921	-0.8535048862324706	
TPIS	0.34433622335338654	0.14261219266062197	0.5460602540461511	6.584287836920792	3.384950256127821	0.0010050097114921816	0.04312674026667921	-0.8557759558225042	
RLA1	0.3705588777803027	0.15202599628924018	0.5890917592713653	6.951476306990099	3.3625414497318897	0.0010814451562571059	0.0443727448426953	-0.9198838561510918	
SYWC	0.3759642073917106	0.1528866227839235	0.5990417919994977	6.692112860960396	3.342087252690832	0.0011559439695412173	0.0443727448426953	-0.9781058763226618	
WDR1	0.25853092821524076	0.10494446438353505	0.4121173920469465	6.58151800990099	3.338003443982866	0.0011713830792164316	0.0443727448426953	-0.9896965487317102	
GDIR2	0.4567108514901953	0.18522477130723913	0.7281969316731515	6.76268059459406	3.335961115974389	0.001179176542594303	0.0443727448426953	-0.9954888697298703	
ERH	0.3811422794670225	0.15445421853932248	0.6078303403947225	6.359514624277228	3.3341543094752577	0.0011861117538486065	0.0443727448426953	-1.0006108739246722	
SOST	-0.6934661161261133	-1.1076076827442396	-0.2793245495079869	6.04486696839604	-3.3205011874364354	0.0012397668310132831	0.045220495161209504	-1.0392439905142945	
AMPL	0.349544209110517	0.14001234382136166	0.5590760743996723	6.6630731025148515	3.3081047182010455	0.001290444854536676	0.045920952262658785	-1.0742120098774057	
HS90A	0.23772709037745068	0.09428389690933434	0.38117028384556706	6.65842573970297	3.2864418013079013	0.001383689650157921	0.048066742847152545	-1.135068446584894	
MIF	0.43037202762343996	0.16824335722760891	0.6925006980192709	6.629431707158416	3.255792571488633	0.0015264226144912556	0.05179187429169167	-1.220623094046899	
LAMA5	-0.4485356373293219	-0.7226183338789378	-0.17445294077970597	6.327480917792079	-3.245208108642419	0.0015788302981206525	0.05199695834861971	-1.2500193008179865	
MAOM	0.5208783475494638	0.20202704501956803	0.8397296500793596	6.506389854574257	3.2394801670465387	0.0016078876088593114	0.05199695834861971	-1.2658954173441535	
LAMB2	-0.39356124326024894	-0.6349309870727659	-0.152191499447732	6.3575987263069305	-3.233379724473696	0.0016393831967350973	0.05199695834861971	-1.2827791795049208	
FCG3A	0.5677286018569506	0.21726064534601558	0.9181965583678857	6.552508290554456	3.2123264545313037	0.0017525558290734078	0.054403807545066	-1.3408498065003185	
1433Z	0.23819671081550753	0.09036338732916394	0.3860300343018511	6.567620399	3.195145471737355	0.001850268649797056	0.05576917590750354	-1.388012570996926	
