	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
OLFL3	0.6371538496318889	0.12959062138686783	1.14471707787691	6.443207786846154	-2.504503300711517	0.01464071884414241	0.9976212131247688	-4.287610369550549	
PRG4	0.5404373021996035	0.06110665328665932	1.0197679511125477	6.773709149153846	-2.2494563288705685	0.027692365670812936	0.9976212131247688	-4.355636647254853	
TRYB2	0.5624580813765215	-0.012684399266778112	1.1376005620198213	6.3025375702615385	-1.9511118327700088	0.05512442182975447	0.9976212131247688	-4.428193529448417	
C1R	-0.40819322013873194	-0.8781843258818187	0.06179788560435484	6.829595546353846	1.7327806745286864	0.0876231957832224	0.9976212131247688	-4.476014190319194	
HS90A	-0.34648566846246587	-0.7547619175159087	0.06179058059097697	6.600280388938462	1.6931623688987334	0.09495634735127632	0.9976212131247688	-4.484183571588904	
SLPI	0.6069573857293526	-0.12233913723966716	1.3362539086983725	6.206361013384615	-1.6604335707716587	0.1013867069442118	0.9976212131247688	-4.490811100377933	
NID2	0.4058654579464212	-0.08297674506657132	0.8947076609594138	6.1545254794615385	-1.6564595940587485	0.10219107752291688	0.9976212131247688	-4.4916083022028515	
TARSH	0.4411011054567584	-0.11105971861604214	0.9932619295295589	6.075468462292307	-1.5938226853913084	0.11556807658223164	0.9976212131247688	-4.503956421732555	
LAMA4	0.34096866156750183	-0.09101919214985488	0.7729565152848585	6.253826299030769	-1.5747455032873978	0.11991099964085837	0.9976212131247688	-4.507635468672974	
SDF1	0.400996947187092	-0.11794333206656105	0.919937226440745	6.312803851630769	-1.5416689765075688	0.1277495012044082	0.9976212131247688	-4.513922844216242	
COMP	0.4966171486030915	-0.15776383909959402	1.1509981363057769	6.503868660507692	-1.5141136929565866	0.13458592813013212	0.9976212131247688	-4.519071512523596	
MMP7	-0.9000782312061908	-2.091714873911789	0.291558411499407	5.778786086523077	1.506967398241013	0.13640531469881276	0.9976212131247688	-4.520393470490361	
IGJ	-0.622660321001065	-1.4553032290802494	0.20998258707811934	6.263511073123077	1.491969179564958	0.14028677892517868	0.9976212131247688	-4.523150005002244	
FBN1	0.3713580633234659	-0.12905633288046903	0.8717724595274008	6.3969386732461535	-1.4805753375321598	0.14329307111947506	0.9976212131247688	-4.5252278245031725	
CATG	0.45519340285508647	-0.16710058964651764	1.0774873953566906	6.445851500615385	-1.4593780123249678	0.14902016873972038	0.9976212131247688	-4.529055926630986	
CADH1	0.36597616292870844	-0.13770724222146374	0.8696595680788806	6.480813503107692	-1.4496481478384966	0.1517080803941742	0.9976212131247688	-4.530796680738652	
KVD11	-0.33925686466463456	-0.8095992995790604	0.13108557024979134	6.8117298968	1.4390700307160715	0.15467297459656812	0.9976212131247688	-4.5326774484553285	
LAMB1	0.27203676431390456	-0.11018271121194428	0.6542562398397533	6.388506121123077	-1.4199800286197188	0.16013721103472475	0.9976212131247688	-4.536040545310677	
APOB	-0.45309381136948274	-1.0977545316735484	0.1915669089345829	6.363269661907692	1.4022465144956757	0.1653456871859947	0.9976212131247688	-4.539128712806571	
ELNE	-0.6050144538749981	-1.4689868758231013	0.2589579680731052	6.466840065938461	1.3971187401022207	0.16687578783394402	0.9976212131247688	-4.540015202521285	
FBLN5	0.29470478785433124	-0.12645953704387453	0.715869112752537	6.3996083086153845	-1.3960567175883833	0.16719404500350143	0.9976212131247688	-4.540198441133665	
LAMC1	0.2796045104352762	-0.12326094780413921	0.6824699686746916	6.176698156215385	-1.3846869154391028	0.17063050397546078	0.9976212131247688	-4.542152322955661	
SBSPO	-0.38166427870374336	-0.9473335701537964	0.1840050127463097	6.083766038892308	1.346128006182942	0.1826878915056797	0.9976212131247688	-4.548671478702717	
KLKB1	-0.48791546028233773	-1.2212335684005604	0.245402647835885	6.631301113107693	1.327454420727223	0.18875430744602675	0.9976212131247688	-4.551768838643523	
APOC4	0.33980239281243835	-0.17225484492358184	0.8518596305484585	6.666372163723077	-1.3239615466225605	0.18990569107207167	0.9976212131247688	-4.552343845609214	
HS90B	-0.3118773339218993	-0.7834019144498795	0.15964724660608087	6.530995945138462	1.319614027759031	0.1913461746648206	0.9976212131247688	-4.5530576273876555	
KV240	-0.283256228812272	-0.7118434030726222	0.14533094544807812	6.893140298676923	1.318583832192775	0.19168871517689223	0.9976212131247688	-4.553226454202913	
CO6A1	0.4042789772857594	-0.2146736159848321	1.0232315705563508	6.277855681907692	-1.3031404312851764	0.19687902908305996	0.9976212131247688	-4.555742938116285	
CO2A1	0.5625211410867962	-0.30360255425703675	1.428644836430629	6.135864734892308	-1.2957653933014894	0.19939447396337467	0.9976212131247688	-4.556935178894337	
APMAP	-0.3243795533206699	-0.8276465382948076	0.17888743165346777	6.782667789753846	1.2859452492787975	0.2027810302527449	0.9976212131247688	-4.558513124934698	
CO5A3	0.5126252298616951	-0.2837676221274744	1.3090180818508648	6.085212332030769	-1.2842218995860222	0.20337973253355765	0.9976212131247688	-4.55878891195881	
HV307	-0.37913232120260276	-0.9711454652425349	0.21288082283732934	6.717500678846154	1.277694156516025	0.20565943778988902	0.9976212131247688	-4.559830484267297	
PON1	-0.5813716738560755	-1.4963758061275771	0.3336324584154262	6.259298779076923	1.2676467880789528	0.20920530939340268	0.9976212131247688	-4.561424177127177	
FETUA	0.685782060227134	-0.40248029895499304	1.774044419409261	6.285300882676923	-1.2572451236133992	0.21292368703035774	0.9976212131247688	-4.563061944197445	
APOD	-0.3738299397476431	-0.9723350721740988	0.22467519267881253	6.585284112892308	1.2461595488014694	0.21693998485710508	0.9976212131247688	-4.564793787798027	
HPT	-0.4156253103629998	-1.08303162556048	0.25178100483448024	6.660808729830769	1.2424505798758851	0.21829610202443622	0.9976212131247688	-4.565370081306593	
CO6A2	0.3620297197176615	-0.22185525678748075	0.9459146962228038	6.340007227123077	-1.2370417893921934	0.2202848713484123	0.9976212131247688	-4.566207664248953	
VWA1	0.30130050282437615	-0.19168495805715496	0.7942859637059072	6.436839447030769	-1.2193635062936286	0.22687763165252126	0.9976212131247688	-4.568921818446117	
C1S	-0.3170208168939162	-0.842920124405641	0.20887849061780855	6.830640315292308	1.2026870361153597	0.2332275178350617	0.9976212131247688	-4.5714491828117145	
HSP7C	-0.1872706897516883	-0.5006985181487262	0.12615713864534955	6.439874408507692	1.1920643615816995	0.23733888948917356	0.9976212131247688	-4.573042333341882	
CRLF1	0.27877930389880956	-0.19542093718660164	0.7529795449842207	6.462537790692307	-1.172914099192397	0.2448824585893819	0.9976212131247688	-4.575881396521302	
A1AG1	-0.4770710966067609	-1.300602929248248	0.3464607360347262	6.8533866190769235	1.1557666604580479	0.25178167292920606	0.9976212131247688	-4.578387375058652	
