	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
IBP5	0.8580527089068049	0.39477377981966727	1.3213316379939424	6.40465499827907	-3.7271890055117765	0.0005246039202124557	0.16210261134564882	-1.0870604125727805	
CRLF1	0.5336627946816421	0.16463135693310954	0.9026942324301748	6.430440978837209	-2.910137830380087	0.005530514582313426	0.7608408473420584	-2.516958386892796	
OSTP	1.1631114975183445	0.3277143012358672	1.9985086938008219	5.997011879116279	-2.801807755346593	0.007386804343126781	0.7608408473420584	-2.69226223304178	
FETUA	1.199204498919003	0.25216167540071543	2.1462473224372904	6.213536066883721	-2.548200692129352	0.014198155488298683	0.8161568560361598	-3.0862402595507987	
FIBA	-1.0918142576260792	-2.0084961461173036	-0.17513236913485486	6.4029572576744185	2.3968458737925435	0.020616304941615315	0.8161568560361598	-3.3094188101997455	
FIBB	-1.1593208475841692	-2.1331173657389315	-0.185524329429407	6.331036759790698	2.3957716747171625	0.020669973479690972	0.8161568560361598	-3.3109687506985708	
FIBG	-1.0866294248601114	-2.0278427024807173	-0.14541614723950536	6.401775443186047	2.3232899493856904	0.02459482389617598	0.8161568560361598	-3.4144065411063282	
RARR2	0.4154371176157196	0.04920834679042335	0.7816658884410159	6.375132348511628	-2.2827735648713143	0.027068120066771412	0.8161568560361598	-3.4712278605714673	
COGA1	0.5863081815219326	0.05558618807372928	1.117030174970136	6.226287745395349	-2.2231505138142613	0.03111102411048348	0.8161568560361598	-3.5535101434716756	
ICAM1	-0.4579967988664309	-0.8776593846281386	-0.038334213104723125	6.587982322348838	2.1962015208979073	0.033107838703246545	0.8161568560361598	-3.590170214358274	
MMP7	-1.0968282538921965	-2.1134703375954897	-0.08018617018890328	5.3464782858837205	2.1711035804231793	0.035068489190069226	0.8161568560361598	-3.624010635359745	
KNG1	0.629987740408009	0.040332721713765673	1.2196427591022523	6.679328860255814	-2.150027904444204	0.036793244703123465	0.8161568560361598	-3.652200872843548	
F13B	-0.6432563801033028	-1.2470541100734878	-0.03945865013311778	6.777295163511628	2.1438906199947567	0.03730932665356741	0.8161568560361598	-3.660370740371581	
ANGI	0.4111301097778439	0.022390670702532145	0.7998695488531558	6.124695537232558	-2.1282893811005477	0.03864996569474355	0.8161568560361598	-3.681058864991651	
APOA	-0.7891046780468961	-1.539105404565364	-0.03910395152842827	6.0850410478837205	2.1173026036265603	0.03961926485612426	0.8161568560361598	-3.695558735160879	
CYTC	0.3600714031899352	0.009159415228675805	0.7109833911511946	6.563997144883721	-2.064906654280662	0.04454042798414107	0.8601870154437243	-3.7639138222845183	
A2AP	-0.7334649820996677	-1.4720400171415955	0.005110052942259968	6.77255703327907	1.9984567691590351	0.05154091760268586	0.9368319728958782	-3.8486828364574133	
CO3A1	0.6975140881662022	-0.02347264168193175	1.4185008180143361	6.353355739883721	-1.946864428155189	0.05761358367473911	0.9615317255412346	-3.9129864560499126	
SLPI	0.5206364639330512	-0.0343831790785778	1.0756561069446802	6.271896331697675	-1.8877141250739171	0.06532190566879105	0.9615317255412346	-3.9850500332066945	
CO8G	0.42034350596399656	-0.036915500342773244	0.8776025122707664	6.422237498697674	-1.8499162683961783	0.0706942884056173	0.9615317255412346	-4.030155212936132	
CO2A1	0.63934060187564	-0.0663641506992565	1.3450453544505365	6.4998264580697676	-1.8231367311597277	0.07472316477650341	0.9615317255412346	-4.0616601160281816	
TARSH	0.5295999464300072	-0.05600910820394778	1.1152090010639621	6.244978208651163	-1.8199109875366004	0.07522128921187109	0.9615317255412346	-4.0654295820551045	
HS71B	-0.3213158193939582	-0.6775426949160558	0.034911056128139384	6.381287307209302	1.815162136234873	0.07595970592562924	0.9615317255412346	-4.0709688823429975	
BGH3	-0.4256429870069014	-0.9059081619429914	0.05462218792918866	6.594182623023256	1.7835052157177063	0.08103969358272987	0.9615317255412346	-4.107589376000678	
PROC	0.7726711831954228	-0.10898819831512585	1.6543305647059716	6.329392206837209	-1.7636153902780927	0.08437483531504532	0.9615317255412346	-4.1303241816980805	
SDF1	0.3387554489573244	-0.05858626565989178	0.7360971635745406	6.39279358344186	-1.7156635546652756	0.09288900714011052	0.9615317255412346	-4.184257794444255	
THRB	0.5933877945617938	-0.11579860811133602	1.3025741972349236	6.577401603255814	-1.6837910876255826	0.0989331207632777	0.9615317255412346	-4.219413277009457	
CYTB	-0.40657502337080587	-0.8957428748751772	0.08259282813356544	6.418363850348837	1.6726026716380629	0.10113024785913331	0.9615317255412346	-4.231621742214189	
PCOC1	0.344566840432357	-0.07322275303816894	0.762356433902883	6.657626326232558	-1.659685730497085	0.10371656035417004	0.9615317255412346	-4.245630277562139	
HSP7C	-0.26240088520482036	-0.5897153556563381	0.06491358524669744	6.484687526674419	1.613281255022402	0.11345891624907375	0.9615317255412346	-4.2951904297609245	
ELNE	-0.5621796154611332	-1.2640320177842468	0.13967278686198048	6.308090523023256	1.61190447497614	0.11375896890373619	0.9615317255412346	-4.296642426729349	
CADH1	0.35736999537200725	-0.0891065978932069	0.8038465886372215	6.455438343604651	-1.6107546302013573	0.1140100579026137	0.9615317255412346	-4.297854273627123	
LYOX	-0.4113958703213378	-0.9304215710111035	0.10762983036842794	6.395463119348837	1.5950748302206363	0.11747917866334437	0.9615317255412346	-4.314305248912678	
COMP	0.45276718746387234	-0.12403723831190616	1.0295716132396509	6.598978529302325	-1.5796335861472564	0.12097863503083009	0.9615317255412346	-4.330370201375814	
