	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
CO8A	0.46966801943531805	0.16489537077552374	0.7744406680951124	6.813724687394736	-3.0670803004888536	0.0029543416796223424	0.37777982160668727	-2.425827140743105	
IBP5	0.7026687570088547	0.23561151792085888	1.1697259960968505	6.332748343828947	-2.9942680943620577	0.0036659813170525613	0.37777982160668727	-2.5399243219680137	
CFAD	0.5615806381402241	0.18828270620372756	0.9348785700767206	6.685513008276316	-2.9941026711764365	0.0036677652583173522	0.37777982160668727	-2.5401813355677887	
CO9	0.4666705739073282	0.12413620752988291	0.8092049402847734	6.682093873039474	-2.711542483046735	0.008204645321142469	0.4336070865024766	-2.963990556575605	
CO8G	0.377904670711553	0.0920673614858325	0.6637419799372735	6.560390050236842	-2.631318937496098	0.010212898913476593	0.4336070865024766	-3.078559050703354	
PEDF	0.6493719998467397	0.15409884383351258	1.1446451558599668	6.599852824815789	-2.6095096989703355	0.010831100912025046	0.4336070865024766	-3.1092471542705677	
CO7	0.4350360986676482	0.10214812272997431	0.7679240746053221	6.764026263473684	-2.600981922171782	0.011081907038171494	0.4336070865024766	-3.121192881831642	
KNG1	0.5709921772329483	0.13325941736400287	1.0087249371018936	6.706196581697369	-2.5961588061348206	0.011226073436957322	0.4336070865024766	-3.127935667283264	
CO6	0.3829549871688095	0.06061863638060072	0.7052913379570183	6.77775322656579	-2.3645504872773304	0.02049153644392667	0.6212654699402598	-3.4400226781103225	
CO6A2	-0.5158528599833634	-0.9569854787492362	-0.07472024121749049	6.437547981	2.3273774238487537	0.022490687582146913	0.6212654699402598	-3.487922416869054	
CATG	-0.5408896287917019	-1.0119931974944834	-0.06978606008892052	6.496188133197369	2.285085248618005	0.02497356614913347	0.6212654699402598	-3.54166124012377	
CO6A1	-0.5280623148470436	-0.9932640145026673	-0.06286061519141983	6.3654371720789475	2.259196616924028	0.02661007565603898	0.6212654699402598	-3.574155519989379	
KVD11	0.3878968671152266	0.043501328841337894	0.7322924053891153	6.785757548894737	-2.2416556634057225	0.027771859707985878	0.6212654699402598	-3.595997723381355	
CO8B	0.4022412606351053	0.0387803325327285	0.7657021887374821	6.652534108473684	-2.202617231709038	0.0305186033304931	0.6212654699402598	-3.6440996177910043	
TTHY	0.44932718692888285	0.04316555144286932	0.8554888224148964	6.773677113236842	-2.2017801103122934	0.030580019770926718	0.6212654699402598	-3.6451233597040136	
FA12	0.5381974100189283	0.04553550811585061	1.030859311922006	6.715608357789474	-2.1742164186963713	0.03266358100375807	0.6212654699402598	-3.6786495379152697	
CO6A3	-0.4797913616867524	-0.9284964572744329	-0.031086266099071946	6.4615552873157895	2.128146737738337	0.03642306542809012	0.6212654699402598	-3.733890084398951	
HS71B	-0.293932161336716	-0.576645512075679	-0.011218810597752926	6.38356281981579	2.0692403419576593	0.041773107153066404	0.6212654699402598	-3.803058727130164	
A1AG1	0.6415383272574942	0.019452439195391857	1.2636242153195965	6.7011537909736845	-2.052496402240274	0.0434124758568005	0.6212654699402598	-3.822416973663373	
ANXA4	0.6436783699050379	0.01732745140516312	1.2700292884049127	6.477423251842105	-2.0453203688681976	0.044131847352497394	0.6212654699402598	-3.8306721559958916	
LAMA4	-0.33567264094582616	-0.6630242585718433	-0.008321023319808996	6.312106205578948	2.0408524199377487	0.04458490292275147	0.6212654699402598	-3.8357994684977057	
PCYOX	0.2751397983671837	0.004800011014219785	0.5454795857201477	6.658478521644737	-2.0255995575411267	0.04616180566664036	0.6212654699402598	-3.85323065902326	
F13A	-0.43298649277535484	-0.8596705955424591	-0.006302390008250669	6.695006618368421	2.0196589237624036	0.04678879622004081	0.6212654699402598	-3.859989241248079	
FCN3	0.40670656724388105	0.0017093199248784385	0.8117038145628837	6.592165373302631	-1.9986615626984656	0.049063755309748575	0.6212654699402598	-3.883740399943866	
APMAP	0.3475683202779612	-0.001726142345603865	0.6968627829015263	6.736002442986842	-1.980426052707512	0.05111558941728812	0.6212654699402598	-3.9041932949907925	
A2MG	0.3898347936367367	-0.008288816125255005	0.7879584033987284	6.688344997578947	-1.948824863398293	0.054844736627801864	0.6212654699402598	-3.9392516630476484	
CO5A3	-0.5635788374041736	-1.1433359954960922	0.016178320687745162	6.1842581756052635	1.9347225965335064	0.056582075520428335	0.6212654699402598	-3.9547382613047324	
PLTP	0.5346249810795002	-0.02470548727584443	1.0939554494348447	6.2108559428157895	-1.9023521662553275	0.06074715402322166	0.6212654699402598	-3.9899143978252978	
APOA4	0.45577494304318483	-0.025937157075143102	0.9374870431615128	6.4762860308026315	-1.8830984964976683	0.06334517138516818	0.6212654699402598	-4.010590030997274	
HEMO	0.29747414993158455	-0.017416191267711267	0.6123644911308803	6.871055154092105	-1.8801826436250109	0.06374666872045869	0.6212654699402598	-4.0137051171580325	
TIMP2	0.3175275597920019	-0.024074838128550213	0.659129957712554	6.526009409381579	-1.8499954567930257	0.0680305522114868	0.6212654699402598	-4.045704924652342	
OAF	0.2592066576742579	-0.020249456745235817	0.5386627720937516	6.700590197605263	-1.8460466964058615	0.06860837258141646	0.6212654699402598	-4.049856985419414	
RARR2	0.3537331306356153	-0.029356317319860936	0.7368225785910916	6.416533020236842	-1.8377468824682763	0.06983628516123012	0.6212654699402598	-4.058558542349269	
PROC	0.5831716121283416	-0.051562385754156614	1.2179056100108396	6.17777185481579	-1.8285833495008326	0.07121327553901154	0.6212654699402598	-4.0681253185200665	
LAMB1	-0.2532972699727519	-0.5342753051891326	0.027680765243628724	6.446655192381579	1.7941893908895294	0.07658540698862679	0.6212654699402598	-4.103654150516973	
BGH3	-0.3737561910245567	-0.7887145170061285	0.041202134957015135	6.55479299293421	1.792644028906622	0.07683448269864378	0.6212654699402598	-4.105236424886586	
HV307	0.38264625244846906	-0.043012258570971684	0.8083047634679098	6.698694678671052	-1.7891480911902014	0.07740042822117704	0.6212654699402598	-4.108811387201661	
KV240	0.27839318316194633	-0.03965663415513576	0.5964430004790284	6.8614810408815785	-1.7421020546170998	0.08535875611028264	0.6212654699402598	-4.156314548136352	
CYTC	0.2910815020640584	-0.04299536326553488	0.6251583673936517	6.585892448328948	-1.7341168252612749	0.08677427574778898	0.6212654699402598	-4.164264891104102	
PRELP	-0.4362088510470284	-0.9417803639613467	0.06936266186728984	6.1101923875263155	1.7172045284995794	0.08983606403863803	0.6212654699402598	-4.180995035502763	
OSTP	0.6895516946637971	-0.11325124429958722	1.4923546336271813	5.817483335894737	-1.709495740707208	0.0912607713838833	0.6212654699402598	-4.188571897044939	
F13B	-0.45986482059065303	-0.9966644574903544	0.0769348163090483	6.761010913815789	1.7050146730218783	0.09209741620121237	0.6212654699402598	-4.192962178349859	
ANGL4	-0.24943143498384515	-0.5409797914265371	0.04211692145884674	6.637241574973684	1.702749393924188	0.09252274179389722	0.6212654699402598	-4.1951776149769495	
CD44	-0.3298059888265326	-0.7157986879617058	0.056186710308640475	6.521187095842105	1.7005507371041741	0.09293709406643685	0.6212654699402598	-4.197325358353658	
CRAC1	0.2807900665329179	-0.04897133016744176	0.6105514632332776	6.455146127315789	-1.6946970462724942	0.09404766623986556	0.6212654699402598	-4.203031306337954	
NID2	-0.31417877618357865	-0.6859144180919684	0.05755686572481111	6.198148935776316	1.6821037816383706	0.09647364734839749	0.6212654699402598	-4.215246566586806	
SFRP2	0.33275058821649683	-0.0618859240488705	0.7273871004818642	6.6635036315	-1.6781536206337915	0.09724503852236813	0.6212654699402598	-4.219061211704616	
CD14	0.4195647319970299	-0.07949101361757549	0.9186204776116353	6.450701542342105	-1.6732470251966687	0.09821019160869339	0.6212654699402598	-4.2237881956369945	
OMD	0.3064469936249479	-0.0587107062580875	0.6716046935079834	6.460283347289474	-1.67026372414523	0.09880082407578694	0.6212654699402598	-4.226656173406189	
FHR1	0.4291649631782567	-0.08488181808017736	0.9432117444366908	6.620187028710526	-1.6616201941402466	0.10052839319421679	0.6212654699402598	-4.2349394374423674	
RNAS4	0.35163178927536826	-0.07531109603576658	0.7785746745865031	6.363950680618421	-1.6391869824096077	0.10512672699789752	0.6273291781066366	-4.256255923433044	
HEP2	0.2787263551937965	-0.061140169694833546	0.6185928800824265	6.791856763394737	-1.632224120558512	0.10658807611261661	0.6273291781066366	-4.2628187066705765	
ICAM1	-0.28659688336653316	-0.639980456516944	0.06678668978387775	6.6051432368289476	1.6141178945654027	0.11046505714124047	0.6273291781066366	-4.279765665286488	
HV169	0.35087368096477056	-0.08331864250113535	0.7850660044306765	6.7664171793157895	-1.6083434650814168	0.11172510599465017	0.6273291781066366	-4.285134193768528	
AGRIN	-0.24652057055173776	-0.5569746644984177	0.06393352339494213	6.420069049381579	1.5803959919559851	0.11798769254250967	0.6273291781066366	-4.310869094245127	
