	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
FETUA	-1.1457501949364866	-2.213666627268388	-0.0778337626045853	6.578772513689655	-2.1817406074128174	0.03625983593521184	0.9959991703299887	-4.44660328152284	
ITA1	0.5482282828317366	0.0011097668793245141	1.0953467987841488	6.6302339936896555	2.0376541270161734	0.049562991427437704	0.9959991703299887	-4.469003286460717	
MEGF6	0.7414774164299194	-0.030477142717068473	1.5134319755769072	6.227553763413793	1.953244616003111	0.059203238336168765	0.9959991703299887	-4.481717061579652	
COMP	-0.644056607753254	-1.3381543269550844	0.05004111144857637	6.6392874663103445	-1.8869216491676042	0.06788121997570905	0.9959991703299887	-4.491476704519826	
SBSPO	0.6371384714815448	-0.07017973759305152	1.344456680556141	6.173775362862069	1.83176364363615	0.07591052987317616	0.9959991703299887	-4.499430783185146	
APOA1	-0.9956580527331935	-2.145258556424783	0.15394245095839554	5.994881564103448	-1.7612204094507073	0.08734730626443292	0.9959991703299887	-4.50937784670852	
SOST	0.7846008334857255	-0.13431968114187187	1.703521348113323	5.752009891724138	1.7362859955582721	0.09172333844102534	0.9959991703299887	-4.512830985156057	
CO3A1	-0.781065334242572	-1.7015077922796291	0.1393771237944852	6.397883539103448	-1.7256040996838493	0.0936536147417717	0.9959991703299887	-4.51430002927957	
KNG1	-0.6470374430097083	-1.4213680727566438	0.12729318673722712	6.837238705965517	-1.6992348984081882	0.09856485852148768	0.9959991703299887	-4.517899727277556	
CO3	-0.44628323894576366	-0.9854727638401775	0.09290628594865019	6.9102262582068965	-1.6831374156445378	0.10166735769062257	0.9959991703299887	-4.52007826852637	
CO2A1	-0.7172767242637248	-1.5843105163411573	0.14975706781370757	6.541668630862069	-1.6822911425634663	0.10183268586158803	0.9959991703299887	-4.520192397037964	
SAA1	-0.713794094694363	-1.5777054248801001	0.15011723549137423	5.433375377827586	-1.68017386572411	0.10224729788310087	0.9959991703299887	-4.5204777569949215	
APOB	-0.6941828144893839	-1.5365999152392562	0.1482342862604884	5.760890670862069	-1.6757033115724613	0.10312734936701942	0.9959991703299887	-4.521079455457228	
FCGBP	-0.493156135454727	-1.10280583081191	0.11649355990245597	6.177494592586207	-1.644956901874644	0.10935184472571126	0.9959991703299887	-4.525186941957699	
CO4B	-0.5327662871438252	-1.2487917473189774	0.18325917303132688	6.650835143068965	-1.5130689343612462	0.1396606081170691	0.9959991703299887	-4.542176133196081	
HORN	-0.39727094720099604	-0.9337409057676627	0.13919901136567064	6.253076063827586	-1.5058851235673822	0.14148908213134936	0.9959991703299887	-4.543071161372262	
APOC2	-0.539103587571964	-1.2756441507962792	0.1974369756523514	6.766432215	-1.4884217124512669	0.14601420567490098	0.9959991703299887	-4.545233444776686	
APOC1	-0.4162277617859437	-0.9937009366876157	0.16124541311572838	6.579259409965517	-1.4657154746187626	0.15207014419259546	0.9959991703299887	-4.548016074945804	
HS71B	0.34976203699647535	-0.13793149400763988	0.8374555680005906	6.291399902793104	1.4583981978123786	0.1540637734420427	0.9959991703299887	-4.54890580127508	
ITIH2	-0.591940439395765	-1.4215593712337125	0.2376784924421823	6.308185781827587	-1.4509411598461766	0.1561167865653416	0.9959991703299887	-4.549808987284212	
OSTP	-0.7993356101245204	-1.9198407220204439	0.32116950177140313	6.455342655206897	-1.450660424516345	0.1561944981866479	0.9959991703299887	-4.549842919681365	
CRIP2	0.5205547729552105	-0.2181729075762463	1.2592824534866671	6.32522429937931	1.4329548430718728	0.16115791194772064	0.9959991703299887	-4.551972697829602	
APOA2	-0.5576202968958509	-1.3656467169553193	0.25040612316361743	6.541626033068965	-1.4033417844689007	0.16973666384814903	0.9959991703299887	-4.555489147206507	
PRDX2	0.41275917025539105	-0.1969412391649515	1.0224595796757336	6.468519521931034	1.3766726624941075	0.1777651649944979	0.9959991703299887	-4.558606467949575	
CO4A2	-0.47500774287102476	-1.182924546089608	0.23290906034755865	6.276146365586206	-1.3644854604268546	0.1815310555181006	0.9959991703299887	-4.560015199683594	
PGS2	-0.5497855533896786	-1.386485513879053	0.28691440709969573	6.000286716310344	-1.3362078524830991	0.19050704169891117	0.9959991703299887	-4.563245191754037	
COEA1	0.3395287189457618	-0.18050885356487462	0.8595662914563982	6.457525296620689	1.3276764038307183	0.19328117637997067	0.9959991703299887	-4.564208998662122	
APOL1	-0.4549095994756336	-1.1712173182492374	0.2613981192979702	6.585607449137931	-1.2914449984603869	0.20540872662603368	0.9959991703299887	-4.568246221807166	
A1AT	-0.393030402189648	-1.0123844881152766	0.22632368373598044	6.7167226806206894	-1.2904393064978446	0.2057534269943979	0.9959991703299887	-4.568356985198782	
CAD13	0.3794714376465564	-0.2189884907053759	0.9779313659984887	6.403575586172414	1.2894201737618871	0.2061031821703191	0.9959991703299887	-4.5684691568606155	
TSP1	-0.4201338491787752	-1.0853791420433596	0.24511144368580912	6.517518666931035	-1.2842699093698267	0.20787760368364008	0.9959991703299887	-4.5690349142055915	
PON1	-0.7485146865923302	-1.9464863307058844	0.44945695752122394	5.489191292448276	-1.2705864861912421	0.21264818457942725	0.9959991703299887	-4.570529004510679	
S10AC	-0.6868130074181609	-1.786072718271164	0.41244670343484224	5.850106352206897	-1.2705408855628377	0.21266421982309341	0.9959991703299887	-4.570533961619437	
FA10	-0.5133662721208039	-1.3355115900802255	0.3087790458386177	6.5816058277586205	-1.269782065671972	0.21293118921136042	0.9959991703299887	-4.570616429161179	
IBP5	-0.45780738322715214	-1.199363289481344	0.2837485230270396	6.762962431275862	-1.2554208539330474	0.2180315684551303	0.9959991703299887	-4.5721695160770714	
