	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
APOB	-0.9777473641601343	-1.5516950811494072	-0.40379964717086136	6.240935392790322	-3.4011079382974625	0.0011424623991704867	0.2033367798915103	-0.9521182535515793	
ITA1	0.6477742758008374	0.26234643781004596	1.0332021137916287	6.308391665532258	3.355418637372705	0.0013160956627282221	0.2033367798915103	-1.0663978071359033	
APMAP	-0.6274155002014817	-1.0710703786983813	-0.18376062170458224	6.723155550322581	-2.823423831470112	0.006271489782393866	0.6459634475865682	-2.316571487453934	
PON1	-1.1168796544244264	-1.9606442314473038	-0.27311507740154883	6.145545200725806	-2.6427202026716414	0.010256915944224482	0.689477195680065	-2.7046361365480327	
APOA1	-0.9562712408720747	-1.7125202437743046	-0.20002223796984486	6.180984434967742	-2.5245406829168324	0.013991845404226953	0.689477195680065	-2.9475475459597837	
APOD	-0.7007850578583354	-1.26241594703283	-0.1391541686838409	6.556173593419355	-2.4911503612897103	0.01524982846118197	0.689477195680065	-3.0145728778248317	
OAF	-0.4505269957496821	-0.8129511553311649	-0.08810283616819925	6.687363279322581	-2.4818170999839357	0.015619224497606651	0.689477195680065	-3.0331794212883825	
A2MG	-0.5735438201697756	-1.0673894471109973	-0.07969819322855382	6.716556392951613	-2.3186835781195896	0.0235119848175239	0.8560084652049081	-3.349180732039937	
A1AG1	-0.897592300871871	-1.6808938879607531	-0.11429071378298894	6.787959798564516	-2.2877902570935262	0.025354446849326053	0.8560084652049081	-3.407026353372587	
FCGBP	-0.4903792810763686	-0.9270909579750002	-0.05366760417773703	6.325350223354839	-2.2418337454760744	0.02833172698479158	0.8560084652049081	-3.4918773482834586	
TRYB2	0.6897791622264748	0.06498045943823327	1.3145778650147164	6.351605256177419	2.2041241101376046	0.031000611697821576	0.8560084652049081	-3.5604208095321206	
APOE	-0.4383047876196352	-0.8407124083694293	-0.03589716686984118	6.4843744544193544	-2.174583616213567	0.033243047192423616	0.8560084652049081	-3.613428894961769	
PLTP	-0.7959838422509005	-1.549560791609087	-0.04240689289271393	6.259869646758064	-2.1088356768312075	0.03874937528793032	0.876529670226916	-3.7292213622738055	
ITIH2	-0.6531309167070162	-1.2821310961160253	-0.024130737298007077	6.550132183903226	-2.0730776363890713	0.042064629054514316	0.876529670226916	-3.7909175982396257	
SAA4	-0.5478214348014456	-1.1032443552405224	0.007601485637631189	6.31302855832258	-1.9691614146880547	0.05312619266779594	0.876529670226916	-3.9650213945244768	
CO8A	-0.4197531811602106	-0.850303890488187	0.010797528167765857	6.906335440677419	-1.9464165157252786	0.055854458612599966	0.876529670226916	-4.0020867105733995	
LOXL1	0.43794363205115405	-0.014170938206117534	0.8900582023084256	6.335031348225806	1.93390798460464	0.057405109868782035	0.876529670226916	-4.02230972669755	
TTHY	-0.4951953351490672	-1.0079549925983176	0.017564322300183233	6.821223363741935	-1.9280966055022986	0.05813789825350962	0.876529670226916	-4.03166622370621	
C1S	-0.5374942201969217	-1.096510640720838	0.0215222003269947	6.773080299354839	-1.919620271080459	0.05922096871731069	0.876529670226916	-4.045268960029252	
CO7	-0.44217563506474616	-0.9037360580825472	0.01938478795305487	6.83789612633871	-1.912636059573775	0.06012620669654421	0.876529670226916	-4.056437492243522	
PCYOX	-0.3362715366904743	-0.6917138070622737	0.019170733681324992	6.678756508790323	-1.8888050191724621	0.06330379985729173	0.876529670226916	-4.094275560944795	
C1R	-0.41024422241532693	-0.8494512136653676	0.02896276883471366	6.835237690483871	-1.8648303247943978	0.06664261794387503	0.876529670226916	-4.131918167008344	
FA10	-0.5021395185641002	-1.044499208804175	0.04022017167597436	6.608861645967742	-1.8484303542139104	0.0690109962895005	0.876529670226916	-4.157422012755325	
PERM	-0.6571794881271441	-1.3700868143022686	0.05572783804798043	6.757843053580645	-1.840420304215008	0.07019322503296617	0.876529670226916	-4.169805785833146	
KLKB1	-0.6211860524683277	-1.304981534383796	0.06260942944714065	6.601653711	-1.8136837541737933	0.07426305847377626	0.876529670226916	-4.210794369853229	
APOA4	-0.541879709142546	-1.143544895205749	0.059785476920656944	6.511803199887097	-1.7981010726804696	0.07672475021880755	0.876529670226916	-4.234436441832766	
CAD13	0.6327322286663247	-0.07202257682007218	1.3374870341527216	6.065763961403226	1.7924539381991733	0.07763349876881219	0.876529670226916	-4.242959241524153	
F13A	0.49207525554625947	-0.06510287159379063	1.0492533826863095	6.659799118612903	1.7632080557015384	0.08248437312504033	0.876529670226916	-4.286713286560932	
SAMP	0.4870709693168355	-0.07252093125766351	1.0466628698913345	6.378713323209677	1.737748487549692	0.08690938962373645	0.876529670226916	-4.324275899848217	
CRIP2	0.4637825708681093	-0.06968443228565652	0.9972495740218752	6.222205604967741	1.7356931744419084	0.08727500878644946	0.876529670226916	-4.3272868100728905	
PROS	-0.47140423383551705	-1.0221130660871742	0.07930459841614018	6.7384163319354835	-1.7089821668324228	0.09214309343236725	0.876529670226916	-4.366124260828546	
KNG1	-0.4888057452372349	-1.0677295499114527	0.09011805943698298	6.786124543403226	-1.6857027218949185	0.09656569278245286	0.876529670226916	-4.399527795922812	
LEG1	0.5323538912770468	-0.0988489773114023	1.163556759865496	6.05420623033871	1.6838273636151628	0.09692940629037484	0.876529670226916	-4.402200664599393	
ITB1	0.3401214628176978	-0.06946643367390148	0.749709359309297	6.271849880854838	1.6578797143016026	0.10207771313061859	0.876529670226916	-4.438905372959517	
APOA2	-0.419785279543888	-0.9402895276272111	0.10071896853943507	6.671007078258064	-1.6101599526365828	0.112125724714444	0.876529670226916	-4.505051769070616	
COEA1	0.3989855829742932	-0.09654455218491603	0.8945157181335024	6.206846069	1.6075083081185764	0.11270668273119017	0.876529670226916	-4.5086755681730875	
HORN	-0.364893794656932	-0.8201101024558997	0.09032251314203565	6.350820972112903	-1.6003492099994625	0.1142873210042081	0.876529670226916	-4.518432054560229	
CD97	0.25837477016744803	-0.06496814128645462	0.5817176816213507	6.526185271370967	1.5953385244449738	0.11540419687491209	0.876529670226916	-4.525236939755395	
FCN3	-0.4540981988760351	-1.0271134519843068	0.11891705423223675	6.652672985741935	-1.582157413693358	0.11838420055869213	0.876529670226916	-4.543044452360867	
CO9	-0.4076524773579429	-0.9260804464881824	0.11077549177229656	6.775374736774194	-1.5698846975317566	0.12121402389476128	0.876529670226916	-4.559502829915047	
THSD4	0.5063506409445568	-0.15114207109062483	1.1638433529797385	5.9458231685483875	1.5375403245110775	0.12893159899158807	0.876529670226916	-4.602313481959546	
HSPB1	0.39310449440502526	-0.12227916533543526	0.9084881541454858	5.948932581354839	1.5228020681354446	0.13257539883145744	0.876529670226916	-4.6215483854431705	
APOC1	-0.3302456752189853	-0.7672161739615231	0.10672482352355256	6.547459702451613	-1.5088675390907513	0.13609505116644321	0.876529670226916	-4.639576949196955	
PEDF	-0.5176604287749986	-1.2080265611642464	0.1727057036142492	6.729983396790322	-1.4970337235473323	0.13914167581421247	0.876529670226916	-4.654767220516781	
PLMN	-0.4475467508128683	-1.051522960322241	0.15642945869650426	6.887190739387097	-1.479396783741527	0.1437816856896455	0.876529670226916	-4.6772009259939304	
CD109	-0.35605933306016707	-0.837048542113435	0.1249298759931009	6.563110177596775	-1.4779275156413991	0.14417364083355774	0.876529670226916	-4.67905867081776	
FINC	-0.26395900912403686	-0.6213596893738895	0.09344167112581586	6.434675735629032	-1.4745082557735556	0.14508903644857085	0.876529670226916	-4.683375357004771	
CO4B	-0.4777369770268713	-1.1255558184852523	0.1700818644315097	6.693337849887096	-1.472317167110385	0.14567801888314358	0.876529670226916	-4.686136645023366	
PRDX1	0.3533376710855896	-0.1301639308307978	0.836839273001977	6.33958553533871	1.4590094968743756	0.14929552941762783	0.876529670226916	-4.7028255144111615	
CO4A	-0.3199708640959895	-0.7587429549017219	0.11880122670974291	6.827770506983871	-1.4559200692035827	0.15014529614562602	0.876529670226916	-4.70667975893276	
NID2	0.34771468821904983	-0.1313003326392958	0.8267297090773955	6.154963850306451	1.4492389521826738	0.15199587671737566	0.876529670226916	-4.714988864492977	
HEP2	-0.3484719056809879	-0.8289873252030086	0.13204351384103274	6.8206472586935485	-1.4478598856458478	0.15238006228297363	0.876529670226916	-4.71669954121227	
CO5A1	-0.405993178830889	-0.9659131951259254	0.15392683746414754	6.210693907580645	-1.4476342102057538	0.15244300371218675	0.876529670226916	-4.716979338245676	
CO3	-0.28045890274693785	-0.6706979724540432	0.1097801669601674	6.860218973354839	-1.4348436392984083	0.15604350694700272	0.876529670226916	-4.732770967733795	
CO6	-0.3266936432132295	-0.7838943461913581	0.130507059764899	6.850800048016129	-1.4265923423449947	0.158401012117112	0.876529670226916	-4.742888970420328	
IGJ	-0.5620448435322793	-1.3561700267934467	0.23208033972888786	6.327653595451613	-1.4130192976616793	0.16233888873049776	0.876529670226916	-4.75941423390552	
ECM2	-0.38276245715570506	-0.924426609437337	0.15890169512592683	6.324113597016129	-1.4107996171959123	0.16299000092030844	0.876529670226916	-4.762102676299487	
MEGF6	0.511831537024428	-0.21516949233953775	1.2388325663883937	5.998672859725806	1.4055882239889137	0.16452660476751174	0.876529670226916	-4.768399117307368	
CFAD	-0.3418672702071858	-0.8465395642281723	0.16280502381380074	6.815117536629033	-1.352428004288086	0.18084438643218992	0.8813018201524057	-4.831380705710849	
FIBA	-0.6685223990476833	-1.6654504285131764	0.3284056304178097	6.300847788306451	-1.3388078500975742	0.18521677277051446	0.8813018201524057	-4.847150446209591	
ASPN	0.460516353125042	-0.23679808894045384	1.157830795190538	6.142219158387097	1.3185071544981122	0.19188154587478556	0.8813018201524057	-4.870376303692483	
TAGL2	0.2857219365252055	-0.14932219310700046	0.7207660661574115	6.535582625193548	1.3112224189146588	0.19431662701167796	0.8813018201524057	-4.878629205216364	
FIBG	-0.6748553748790334	-1.713659415684734	0.3639486659266673	6.262742778467742	-1.297009552705974	0.19913423810941958	0.8813018201524057	-4.894606852160408	
IGHA1	-0.39558739622588673	-1.0155993376614818	0.22442454520970828	6.696550796741936	-1.273821239364877	0.20718494109945573	0.8813018201524057	-4.9203212942820205	
CO5	-0.28484750089795197	-0.7360175314411544	0.16632252964525052	6.764744190209678	-1.2604866895147868	0.21192262959639077	0.8813018201524057	-4.934909774050019	
HV118	-0.31478299894362655	-0.8165888944306403	0.18702289654338716	6.9352774813870965	-1.2523958018334083	0.21483604327734024	0.8813018201524057	-4.943690623181337	
