	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
RARR2	0.6449854068607009	0.23746289846570573	1.0525079152556962	6.38692169225	3.189726490023893	0.0026253519065608075	0.46476386013979815	-2.026204384792806	
APOB	-1.1234606035588641	-1.8443153855409542	-0.40260582157677416	6.17249391745	-3.1409803621342034	0.0030081803245294377	0.46476386013979815	-2.1104064710673605	
MEGF6	0.7463614545911983	0.1879530259041613	1.3047698832782353	6.109640807025	2.693719652821234	0.009963293910281864	0.6484038050447188	-2.8493231993242727	
ITA1	0.5040406162531523	0.11411978114127908	0.8939614513650256	6.55523152305	2.605219074279047	0.012479182487872881	0.6484038050447188	-2.9874460439221786	
FIBB	-1.1438934172356667	-2.039009432487846	-0.2487774019834873	6.345222607425	-2.575499029678346	0.013446763324108654	0.6484038050447188	-3.033166116776414	
FIBA	-1.075365169795106	-1.9284420427211735	-0.22228829686903873	6.4097000425	-2.5405219699452237	0.01467304982741241	0.6484038050447188	-3.086534384822196	
FIBG	-1.1548312137648056	-2.0711030079403647	-0.2385594195892463	6.36543540865	-2.5400914545073765	0.014688759337582628	0.6484038050447188	-3.087188279135057	
PERM	-0.6886359549856298	-1.3020461939231531	-0.07522571604810646	6.571806702225	-2.2625273135173014	0.02865413621156133	0.9984369187733166	-3.4928512513934153	
APOD	-0.6281416327692234	-1.2017412901981395	-0.05454197534030736	6.2621945465749995	-2.207007724242059	0.0325765023760635	0.9984369187733166	-3.569978540981193	
SAA4	-0.6614155902749878	-1.2770452189261854	-0.04578596162379023	6.3051479715	-2.165260093183415	0.03583201975599576	0.9984369187733166	-3.627043295346553	
CO5A1	-0.5127378841091939	-0.9900044131597685	-0.03547135505861926	6.4555123736999995	-2.16515796050428	0.03584032408838264	0.9984369187733166	-3.627181907428522	
A2AP	-0.8208865548031071	-1.616671585495069	-0.02510152411114508	6.730029117375	-2.078942771307057	0.04348483179960151	0.9984369187733166	-3.7424322409857034	
SAMP	0.6176615915814534	0.01330656691114629	1.2220166162517605	6.35293104075	2.0597457541632975	0.045369378652630445	0.9984369187733166	-3.767609324359068	
APOA	-0.7352106529255201	-1.4841153871356472	0.013694081284606918	6.1228908443	-1.978519671173584	0.05415188299050545	0.9984369187733166	-3.8721354663384133	
CRIP2	0.6141666341030636	-0.014061320923869247	1.2423945891299963	6.2017767218	1.9702626216312151	0.05512194844652141	0.9984369187733166	-3.8825771898583454	
PGCA	0.6008382786094586	-0.04585422515231119	1.2475307823712285	5.561350956475	1.872470239022611	0.06779676191432281	0.9984369187733166	-4.003602920798426	
HORN	-0.5753228047340276	-1.198533258840817	0.04788764937276169	6.435610285225	-1.8605100336767113	0.06950533346765266	0.9984369187733166	-4.018065646828687	
