	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
COLA1	0.5952086286433322	0.22431757402101205	0.9660996832656524	6.409927226493827	-3.1907005899814522	0.001987761669142891	0.44982780213439416	-3.655747132150031	
PODN	0.41437906466448654	0.1274293174891845	0.7013288118397886	6.492440205283951	-2.87114517434637	0.005159141286609009	0.44982780213439416	-3.8432634429386017	
PROC	0.9159393330938689	0.2730431705408686	1.558835495646869	6.397315538185185	-2.8326249024842634	0.005761597581829967	0.44982780213439416	-3.8649715850136017	
SPP24	0.7529201857888355	0.22375259300859274	1.2820877785690783	6.507429086765432	-2.8289084599635	0.005823013619862707	0.44982780213439416	-3.8670552780535745	
CO3A1	0.7462151768187221	0.15710564686089046	1.3353247067765537	6.124841063839506	-2.518437760371025	0.013657768801712822	0.5370551426292809	-4.034158694081108	
CO2A1	0.7024272825495691	0.13856555910371038	1.2662890059954277	6.243245294975309	-2.4768057657180687	0.015233988633455424	0.5370551426292809	-4.055472359847562	
CO1A2	0.5934751045755575	0.1151038904059864	1.0718463187451286	6.367081998320987	-2.4666109801571516	0.015644010093555292	0.5370551426292809	-4.060650502855995	
COGA1	0.5702162801128373	0.1051826346800655	1.0352499255456091	6.089913749641975	-2.4379142739545108	0.016851706830453773	0.5370551426292809	-4.075138516576451	
IBP3	0.5120807461747261	0.09354926432927202	0.9306122280201802	6.644664585802469	-2.4326157202825374	0.017083592135189705	0.5370551426292809	-4.077799366654893	
CO8A2	0.5082691456355345	0.08508374494602844	0.9314545463250405	6.335003580148148	-2.387955685207802	0.019154057411801678	0.5370551426292809	-4.100049350273593	
DERM	0.46943141924507015	0.07425768258914356	0.8646051559009967	6.473901976320987	-2.361822595783618	0.020466565324453387	0.5370551426292809	-4.112920598803803	
OSTP	0.8465391419394447	0.13164773447692868	1.5614305494019607	5.984447820716049	-2.354345302980795	0.02085651039337013	0.5370551426292809	-4.116583029428492	
FETUA	0.8698344530780413	0.12518303492416938	1.6144858712319132	6.13506955991358	-2.3224521646800773	0.02259472617801057	0.5370592606927128	-4.132102199251138	
APOB	-0.5358435024801667	-1.0072490205313422	-0.06443798442899096	6.222283317469135	2.2599899094576417	0.026373664926048344	0.5630023988838899	-4.162010933818526	
SDF1	0.37425883707764473	0.03638909775501453	0.7121285764002749	6.318125124111111	-2.2023480799930955	0.030343023349887734	0.5630023988838899	-4.189032523357881	
SCUB3	0.4567581551850326	0.03519602529376242	0.8783202850763028	6.126824976864198	-2.154209382848943	0.034048733518851695	0.5630023988838899	-4.211166174344921	
HPTR	-0.533694183286952	-1.0279021374062312	-0.039486229167672804	6.222644686037037	2.1470686541146518	0.034630692037072315	0.5630023988838899	-4.214415468504194	
MGP	0.7568501795937314	0.05562364780641682	1.4580767113810458	5.991051997086419	-2.1459261474318727	0.03472460252642655	0.5630023988838899	-4.214934533081468	
CFAH	-0.26901024530336726	-0.5207137967445679	-0.0173066938621666	6.689174957333333	2.1249204209814687	0.0364910684986368	0.5630023988838899	-4.224437548362967	
