	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
FINC	-0.390412470272683	-0.6325791531266959	-0.14824578741867012	6.4501432628133335	3.2090279197974034	0.001926578561608365	0.5953127755369848	-3.7259893231648165	
SERPH	-0.4193316918688618	-0.724016557435019	-0.11464682630270456	6.265555929506666	2.7394981501127464	0.0076063678089609895	0.8201435719834204	-3.9729571763037552	
FHR5	0.4980689838148004	0.10958745788292734	0.8865505097466735	6.67299835108	-2.552015655812904	0.012642424853651852	0.8201435719834204	-4.064181833419611	
POSTN	-0.6311401745491847	-1.1350922975533688	-0.12718805154500046	6.233805203973334	2.4928764447381337	0.014766439662183793	0.8201435719834204	-4.091991156882669	
LG3BP	-0.5277577189711337	-0.9769139392397366	-0.07860149870253069	5.960333182106667	2.338844686358706	0.02187692239605933	0.8201435719834204	-4.1621333521047745	
TENA	-0.5082793949583148	-0.9430539393932096	-0.07350485052341987	6.443357511346667	2.3270333263372267	0.02253086030663874	0.8201435719834204	-4.16737165916211	
CD44	-0.4305147261550866	-0.7995961313944804	-0.06143332091569287	6.405158174653334	2.321828049277927	0.02282450715892096	0.8201435719834204	-4.169673714603581	
HPTR	-0.6559887304805009	-1.222329514943978	-0.08964794601702397	6.2172290307599996	2.305593546853648	0.02376222667370302	0.8201435719834204	-4.176827965308481	
CADH1	0.3976280651805426	0.05243355491166607	0.7428225754494191	6.4997191218533334	-2.292859045057735	0.02452145559352643	0.8201435719834204	-4.182412670198594	
APMAP	-0.42176670564838664	-0.8119202658945469	-0.03161314540222637	6.639095989826667	2.151795161346386	0.03447345034975024	0.8201435719834204	-4.242648406064424	
APOC4	0.41822714799625405	0.030679899428235236	0.8057743965642729	6.744433462933333	-2.1480865206223347	0.034776852301487124	0.8201435719834204	-4.244191059202517	
PROC	0.6938246685789629	0.039296705510144525	1.3483526316477812	6.48079442788	-2.110015953395882	0.03802814760352344	0.8201435719834204	-4.259903220430661	
PA2GA	-0.49220037296945124	-0.957794350715069	-0.0266063952238334	6.082868555346667	2.1042570536378897	0.03854223550032799	0.8201435719834204	-4.262260251262037	
APOC3	0.4934878947778781	0.01372199877596919	0.9732537907797869	6.644891666866666	-2.0474407291158987	0.043945021364459574	0.8201435719834204	-4.28523351023414	
IBP3	0.4711515980044205	0.010888986513015508	0.9314142094958255	6.663655772053334	-2.0376011572756	0.04494407052006308	0.8201435719834204	-4.2891598900746315	
APOB	-0.5515973406256702	-1.0905882994771954	-0.012606381774145081	6.181972302826667	2.037065018087346	0.04499906309026291	0.8201435719834204	-4.289373385396124	
APOA1	-0.6777583820447727	-1.3484681395078848	-0.007048624581660445	6.11734119248	2.011427948539017	0.0476970321714557	0.8201435719834204	-4.299528364019392	
CO8G	0.3165414692674852	0.0031789788634858374	0.6299039596714846	6.60263917724	-2.010702469267895	0.047775353707772056	0.8201435719834204	-4.299814189098517	
CATD	-0.5072237063576448	-1.018419653282637	0.0039722405673473515	6.373694294493333	1.9750420605955468	0.05176331451835095	0.8418349571668655	-4.313758535117302	
BGH3	-0.4031568616565182	-0.8198810145323048	0.013567291219268307	6.476446272226666	1.9257042586782946	0.05774629490554679	0.8554290105270315	-4.332708460587666	
SPP24	0.5487389013230441	-0.028206333041584042	1.1256841356876723	6.57724117492	-1.8931950769575325	0.06200073747133755	0.8554290105270315	-4.344974921300244	
ITAV	-0.24754227373748935	-0.5124067240582353	0.01732217658325655	6.38975855576	1.8603296643585399	0.06656748024040247	0.8554290105270315	-4.357196412192486	
SOST	0.540872486932906	-0.04182346337017928	1.1235684372359913	5.634895088013334	-1.847638903172006	0.06840491456306934	0.8554290105270315	-4.361867052475635	
APOL1	-0.4261969471275898	-0.9122147628482226	0.05982086859304292	6.5537835268133335	1.7455100460771473	0.08479157710807893	0.8554290105270315	-4.398455332452736	
APOC2	0.462734545576075	-0.06611612087384772	0.9915852120259978	6.61532798564	-1.7416587843391897	0.08546799273202431	0.8554290105270315	-4.399799956560665	
HSP7C	-0.2028549641764124	-0.4438175303321723	0.03810760197934751	6.4585851383733335	1.6757154269466832	0.09775529814982951	0.8554290105270315	-4.42242170829415	
CO1A2	0.43708705351523036	-0.08298442367212266	0.9571585307025834	6.435252921653333	-1.672896661209794	0.0983110467575957	0.8554290105270315	-4.423371668375313	
A2MG	-0.35816227524030053	-0.7858259377446178	0.06950138726401678	6.544136930173333	1.6670234027778135	0.09947728154404081	0.8554290105270315	-4.425346524058814	
TIMP1	-0.3887044665756578	-0.8533068128303507	0.075897879679035	6.4761295662	1.6653378002609043	0.09981405605004365	0.8554290105270315	-4.425912174125495	
SFRP2	-0.3555788516292732	-0.7833074712164161	0.0721497679578697	6.73117268876	1.654747830328121	0.10195112953177124	0.8554290105270315	-4.429454424646884	
PLTP	-0.4759108599226504	-1.050805840483524	0.0989841206382232	6.122717822546667	1.647787886289851	0.10337576375740835	0.8554290105270315	-4.431771638669744	
SAA4	-0.41319264655531024	-0.9131395926534487	0.08675429954282815	6.35727728612	1.6451021559698307	0.10392980177886674	0.8554290105270315	-4.432663514748379	
PODN	0.2319431119222108	-0.04962908392007587	0.5135153077644974	6.56408825816	-1.6396679941158647	0.10505816592452168	0.8554290105270315	-4.434464167424219	
CO2A1	0.5072545869391859	-0.10902617715035279	1.1235353510287247	6.318405226466667	-1.6383684568814036	0.105329468462262	0.8554290105270315	-4.434894001185487	
CO1A1	0.4418497570425269	-0.09527816353604351	0.9789776776210972	6.434662311093334	-1.6374238047727463	0.1055270375336939	0.8554290105270315	-4.435206264817205	
APOA2	-0.3817717430026789	-0.846335772236005	0.08279228623064716	6.64764075232	1.635770638396354	0.10587350960062791	0.8554290105270315	-4.435752352226906	
VWA1	0.3046208354730033	-0.06729503937312925	0.6765367103191358	6.530053777933333	-1.6303434244301311	0.10701741827000423	0.8554290105270315	-4.437541691306575	
COLA1	0.3438611465436877	-0.07733785795414361	0.765060151041519	6.507544221826667	-1.6250247440432353	0.10814811266451528	0.8554290105270315	-4.439290151796215	
KNG1	0.36895945226771537	-0.08741258052222728	0.8253314850576581	6.831565876826667	-1.6092511421717324	0.1115581612734218	0.8554290105270315	-4.444445837561802	
SCUB3	0.3325549189371511	-0.08436018519938021	0.7494700230736824	6.1794145728	-1.5877420772093602	0.11634688925170561	0.8554290105270315	-4.451404322456737	
AEBP1	-0.34319008319984584	-0.7739491383784437	0.08756897197875202	6.279395145013333	1.5858588193260403	0.11677389417940136	0.8554290105270315	-4.452009623143157	
CO6	0.2954676055567615	-0.07605905079398151	0.6669942619075044	6.771678857026667	-1.5830116138903623	0.11742184264614715	0.8554290105270315	-4.452923534654018	
CFAH	-0.2290987900548954	-0.5225937946521819	0.06439621454239117	6.65745175296	1.5537684162587977	0.12424449332057172	0.8554290105270315	-4.462225448905258	
KV315	0.3298378285573799	-0.09391731362491579	0.7535929707396756	6.631354995253333	-1.5493505434651524	0.1253020920801918	0.8554290105270315	-4.463617259377364	
MMP2	-0.27706489632661274	-0.6371486396168932	0.08301884696366768	6.47785423936	1.5315888556010393	0.12962641202968106	0.8554290105270315	-4.469177120196116	
