	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
ITIH5	0.47370982951571317	0.08850478012564916	0.8589148789057772	6.269513453	2.462152900495744	0.016834216607512165	0.9935814025633555	-4.175056454839108	
PA2GA	0.6064226530490818	0.08141459990968314	1.1314307061884805	6.106317967740741	2.312618764194185	0.024348471040285584	0.9935814025633555	-4.2318382088021504	
MFAP4	0.46971857215545926	0.032556873811028675	0.9068802704998898	6.108313494611111	2.1512467226610616	0.03567615343973623	0.9935814025633555	-4.290333644417727	
LTBP4	0.45514370089291	0.029459503969617273	0.8808278978162027	6.254335622537037	2.140698984062303	0.036556252665221334	0.9935814025633555	-4.294051246047442	
AEBP1	0.44364911610752034	0.02567375650245801	0.8616244757125826	6.275180052277777	2.12512037239819	0.037890837027579095	0.9935814025633555	-4.299517563015377	
TENX	0.37328487323578136	0.0062658244828590615	0.7403039219887037	6.289040750407407	2.0363216566598403	0.04633863173277023	0.9935814025633555	-4.330109730386667	
CATF	0.3487143405678605	0.0002761517311298811	0.697152529404591	6.27852565562963	2.0037274795830142	0.04982467471407082	0.9935814025633555	-4.3410923415659965	
FCGBP	0.4269278121116756	-0.004658069080479332	0.8585136933038304	6.312844593055556	1.9805317685780268	0.05244092426540638	0.9935814025633555	-4.348825885410488	
SMOC2	0.3519518114250052	-0.020464581319734665	0.724368204169745	6.219313405444445	1.8921214527720265	0.06351978021554994	0.9935814025633555	-4.377662687987038	
EDIL3	0.3187531358851787	-0.02167071183372654	0.6591769836040839	6.18109014225926	1.8746883653122584	0.06592418134349262	0.9935814025633555	-4.383227185890794	
COGA1	0.4313925333755537	-0.03312739537306614	0.8959124621241736	5.851413306759259	1.8593573607356846	0.06810184390398334	0.9935814025633555	-4.388087077446787	
SULF1	0.3084924438116284	-0.03500011283725546	0.6519850004605122	6.427218403407408	1.7981329301836193	0.07741262003375673	0.9935814025633555	-4.407177456724101	
MFGM	0.3554325685296223	-0.045554343972823486	0.7564194810320681	5.972392513092593	1.7746863784182974	0.08124971003413214	0.9935814025633555	-4.414352123733216	
MIME	0.5176452170296001	-0.06721743457337948	1.1025078686325798	5.846066959777778	1.7720375105344575	0.08169299970966805	0.9935814025633555	-4.4151578871965995	
CLC11	0.3462229242599913	-0.046098047888377236	0.7385438964083598	6.300200153629629	1.7668874649291746	0.08256062686091362	0.9935814025633555	-4.416721692809677	
SFRP2	0.4067705576580085	-0.07574386729495786	0.8892849826109749	6.723454980592592	1.687849827721085	0.09686430507928008	0.9935814025633555	-4.4402535565733645	
ECM2	0.3635961915036175	-0.06878292102637223	0.7959753040336073	6.188530319481481	1.6836399175201096	0.09768002643937222	0.9935814025633555	-4.44148207910339	
OMD	0.308829231972103	-0.059099386406772814	0.6767578503509788	6.506418649962963	1.680542213299516	0.09828383516638965	0.9935814025633555	-4.442384417504943	
SODE	0.3915095875609315	-0.08093459050866653	0.8639537656305296	5.911859752740741	1.6591532207688688	0.10253695670966624	0.9935814025633555	-4.448577184323722	
HTRA1	0.35844366035560965	-0.08051723327345861	0.7974045539846779	6.176551868259259	1.6348942501576014	0.10754137987120256	0.9935814025633555	-4.4555207784686734	
COCA1	0.3113587978622465	-0.07132765137048003	0.6940452470949731	6.402516599962963	1.62896837015892	0.1087935462065416	0.9935814025633555	-4.457203915702467	
OSTP	0.6686202582801932	-0.18726154500578662	1.524502061566173	5.673846443407407	1.5640849317937553	0.12329177032059514	0.9935814025633555	-4.475295130212035	
CD109	0.3315652189244359	-0.0996643588121478	0.7627947966610196	6.513587667907407	1.539412539793475	0.12919578996119505	0.9935814025633555	-4.4820103744724635	
FBLN2	0.2744522711154309	-0.08455078199665961	0.6334553242275214	6.397054453740741	1.5306055406254655	0.13135707485241158	0.9935814025633555	-4.484385314405873	
PGS2	0.5095447924299141	-0.1573015118035469	1.1763910966633753	6.092721219592592	1.5298583210202952	0.13154176272257612	0.9935814025633555	-4.484586276029372	
