	N120B	N123B	N124B	N126B	N130B	N131B	N138B	N140B	N144B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N155B	N158B	N160B	N161B	N163B	N164B	N165B	N166B	N169B	N171B	N172B	N176B	N178B	N179B	N182B	N185B	N186B	N187B	N188B	N189B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N205B	N210B	N212B	N214B	N215B	N216B	N217B	N218B	N221B	N222B	N224B	N226B	N228B	N229B	N232B	N233B	N234B	N235B	N238B	N239B	N240B	N242B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N259B	N261B	N265B	N267B	N268B	N269B	N270B	N153AB
APOA1	5.730639956	5.680886921	6.411087227	4.566815154	6.255500733	7.866660751	5.5360529	7.187846909	7.445428759	4.867896464	6.383704292	5.754887502	7.369815424	5.385431037	6.057450272	7.187846909	8.223519087	7.886306263	5.64385619	4.364572432	6.201633861	7.624247146	6.0	5.672425342	4.061776198	3.201633861	6.918863237	7.680183682	4.44625623	5.744161096	5.802193217	4.129283017	6.21916852	4.277984747	5.918863237	5.850499414	3.485426827	5.255500733	4.529820947	4.608809243	7.653919873	5.185866545	6.678071905	4.867896464	4.078951341	5.452858965	5.121015401	4.62058641	5.599912842	6.827819025	6.817623258	5.274261661	6.87036472	6.75087444	6.397460726	5.350497247	7.518849829	4.822730148	6.730639956	6.385431037	5.918863237	5.837943242	7.17990909	6.964629667	7.557655155	6.332707934	5.465974465	4.070389328	6.590961241	7.102238194	6.050936965	6.760220946	5.855491443	5.658211483	7.461888664	6.911691582	8.022367813	5.968090752	6.287250643	5.161887682	5.738767837	4.285402219	6.06608919	7.067165427
APOA2	6.478971805	6.125155131	5.921245889	5.422905743	5.572889668	8.575539247	6.135452784	7.105384749	6.780047576	6.213347282	6.982993575	5.961160258	6.780047576	5.935459748	6.517275693	6.701826258	8.35887094	7.613236955	5.94016675	5.074676686	6.77478706	7.096978636	7.025693274	6.116863758	4.837943242	4.529820947	6.963474124	7.703903573	5.923624611	5.602884409	6.338067798	4.882643049	6.62058641	5.368069877	6.48058827	7.041111535	5.031218731	6.213347282	5.906890596	5.189824559	7.410239331	5.321928095	6.917670434	5.108524457	5.730639956	6.392317423	5.733354341	5.153805336	5.786596362	6.816343705	6.270528942	5.361066489	7.145677455	7.175923742	6.359310317	6.298291731	7.402585758	5.141596278	6.887525271	6.726558779	6.568336182	6.343407822	7.311067102	6.217230716	7.493455201	6.581953751	5.727920455	4.847996907	7.349612972	6.595443985	6.66106548	7.054197294	5.942514505	6.029011087	7.11997861	7.130313146	7.605849867	6.432959407	5.749534268	5.523561956	5.94016675	4.930737338	6.277984747	7.466790238
APOA4	5.669593751	5.776103988	5.937815169	5.62058641	4.995484519	6.636624621	6.246027981	7.590961241	6.817623258	5.981852653	6.330916878	6.330916878	7.523561956	7.390598906	6.385431037	6.575917361	8.885086225	6.834154981	6.121015401	6.454504938	5.958842675	8.077883864	5.827819025	6.682292371	5.022367813	5.412781525	7.209453366	6.343407822	5.193771743	5.807354922	6.223036338	4.491853096	5.43629512	6.026800059	6.568336182	6.809928866	4.371558863	6.074676686	6.01346226	5.263034406	7.105384749	5.259272487	6.112700133	5.689299161	4.632268215	5.855491443	6.10433666	5.354028938	5.078951341	6.483815777	6.373300197	6.217230716	6.818901676	5.855491443	6.938991439	5.942514505	6.680886921	5.274261661	7.728600811	7.24697806	6.669593751	5.539158811	7.155830172	5.581953751	7.027905997	6.627898616	5.925999419	3.916476644	6.309248961	6.66106548	5.83541884	5.501439145	6.22881869	6.441284272	7.331812684	5.548436625	8.709428501	5.741466986	6.155830172	6.361066489	5.605849867	6.270528942	5.694880193	6.92243574
APOB	5.165911939	5.99095486	5.385431037	5.181897643	6.48703608	8.710117632	6.321928095	6.336283388	7.062855655	4.277984747	6.714245518	5.930737338	7.098032083	5.083213368	5.700439718	6.296457407	8.344295908	7.126188211	7.113742166	4.711494907	7.46760555	6.137503524	7.206526016	6.465974465	4.09592442	4.465974465	6.193771743	7.560714954	5.566815154	5.617651119	6.607330314	5.240314329	5.930737338	4.807354922	6.155830172	7.556122818	3.95419631	5.456149035	5.0	5.64385619	7.309248961	5.332707934	6.707359132	4.121015401	4.336283388	6.348728154	4.797012978	4.232660757	6.395748328	6.478971805	5.857980995	5.137503524	6.97384084	7.148730779	5.09592442	5.646738698	6.705977902	5.708739041	4.99095486	6.74281467	6.181897643	6.055282436	7.139551352	5.855491443	7.217230716	6.404290064	5.584962501	5.14974712	7.208478242	7.224001674	5.608809243	6.270528942	5.213347282	5.692092375	7.746178381	7.55228484	7.287250643	6.577428828	5.646738698	5.09592442	5.517275693	4.472487771	6.903279342	8.20310325
APOC1	6.501439145	6.797012978	6.21916852	6.037821465	6.070389328	7.286326727	6.571373436	5.716990894	7.106432078	7.274261661	6.623515741	5.773468928	7.474111514	5.605849867	5.62935662	6.301953395	7.116863758	6.264911693	5.504620392	5.765534746	6.416164165	5.697662633	5.663913842	7.701826258	5.274261661	5.773468928	7.740792672	7.181897643	6.400879436	6.452858965	5.87774425	4.62058641	6.296457407	6.685099172	6.368069877	6.09592442	5.409390936	7.045486656	6.076815597	6.381975479	6.930737338	6.602884409	6.782670659	5.997744026	5.040015679	7.105384749	6.259272487	5.354028938	5.815063017	6.850499414	5.933100475	6.472487771	5.311067102	6.426264755	6.321928095	6.607330314	6.886306263	5.575917361	7.207502459	7.252665432	7.46515823	6.563768278	7.241268177	6.581953751	7.140574178	6.562242424	6.232660757	5.517275693	7.10433666	5.760220946	7.021257621	6.6794801	6.607330314	6.339850003	6.411087227	7.588714636	6.882643049	5.426264755	6.719731057	5.28169825	6.336283388	5.395748328	6.383704292	6.320123598
APOC2	7.139551352	6.534497434	4.807354922	5.970393538	5.563768278	6.652486495	7.061776198	4.887525271	6.711494907	7.931328485	6.002252452	5.584962501	9.129798173	5.28169825	7.287250643	7.100136671	7.13442632	5.532940288	5.100136671	5.62058641	6.345183447	4.632268215	4.867896464	7.541483864	5.510961919	6.253611152	7.006746832	7.549977143	7.951284715	4.867896464	6.482202926	5.5360529	6.106432078	5.837943242	6.048759312	5.392317423	5.635173947	7.245077275	6.244125943	7.884475819	7.224001674	5.958842675	6.515699838	5.116863758	4.548436625	7.372429792	6.407692649	5.10433666	5.590961241	6.118941073	5.213347282	6.165911939	4.882643049	6.54225805	6.046578367	6.135452784	7.50779464	5.03562391	6.74281467	7.579693063	7.826548487	7.198690586	6.712870868	6.50779464	6.649615459	5.875288598	6.700439718	4.744161096	7.30833903	6.106432078	7.311975314	8.823685681	6.95070169	6.244125943	6.098032083	6.995484519	5.329123596	5.153805336	6.102238194	4.897240426	6.48058827	4.517275693	5.791814071	5.548436625
APOC3	7.017921908	6.290940402	5.554588852	6.272396509	5.852997588	7.146695948	6.532940288	5.412781525	6.348728154	7.571373436	6.059614856	5.956521363	8.560332834	6.193771743	6.832890014	7.247927513	7.537606691	5.714245518	5.862947248	5.802193217	6.063934306	6.033423002	4.935459748	7.570614722	6.506208389	6.259272487	7.880195729	7.490249211	7.581953751	5.426264755	6.181897643	5.972692654	6.078951341	6.173926932	6.503030646	4.95419631	5.548436625	7.10433666	6.10433666	7.226893814	7.249824549	6.165911939	6.44625623	5.683696454	6.050936965	7.207502459	6.799605422	5.378511623	5.66106548	6.62058641	5.495055528	6.137503524	5.452858965	6.48864354	6.411087227	7.077883864	7.103287808	5.263034406	7.152791852	7.364572432	7.441284272	6.678071905	6.512542955	6.114783447	6.531381461	5.694880193	6.474111514	5.572889668	6.986410935	6.195741293	7.242221395	8.650333754	6.968090752	6.5360529	6.131342539	6.816343705	6.006746832	5.593951284	6.03562391	5.251719093	6.472487771	5.026800059	5.850499414	6.108524457
APOC4	7.135412051	7.917670434	6.622051819	7.608809243	6.037821465	6.085339669	7.00337736	5.263034406	7.271624588	7.466790238	7.605849867	5.395748328	7.79246496	5.445656269	7.817623258	6.574488797	7.081083929	6.858483322	5.981267553	5.705977902	6.806066226	6.121963186	6.123086751	7.287250643	5.984133595	6.745506266	8.587964989	6.254932706	8.294161219	6.50779464	6.73273946	5.993221467	6.074676686	6.376776572	6.897442057	6.66106548	6.063934306	6.655432547	6.744161096	6.910492832	6.665075999	7.147713722	6.074676686	6.203592714	5.498250868	5.94016675	7.661778098	5.161887682	6.758889433	6.855491443	3.906890596	5.809928866	6.197708158	6.373300197	6.272396509	7.670064827	6.373300197	6.091699834	7.204571144	8.124121312	7.833522636	6.610409633	6.214807678	6.081083929	6.682959321	6.261154673	7.22881869	5.311067102	7.022367813	6.597720119	7.402585758	7.404276417	6.496783314	5.918863237	5.62058641	7.027905997	5.858775384	6.464199888	6.30560579	4.887525271	7.368069877	4.963474124	5.94917432	5.960894944
APOD	5.680886921	6.339850003	5.694880193	5.862947248	6.289096702	7.62497818	6.726558779	6.167919866	6.697662633	4.797012978	5.655351829	5.303780748	6.125155131	4.770829046	6.070389328	5.916476644	7.495855027	7.530601415	6.020146573	4.678071905	6.974988112	7.490249211	7.300123725	6.598424761	3.307428525	5.205548911	6.523561956	6.87774425	5.28169825	5.485426827	6.083213368	4.897240426	6.217230716	5.266786541	6.682292371	7.624247146	4.364572432	5.605849867	5.070389328	6.417852515	6.820178962	5.605849867	6.646738698	4.797012978	4.554588852	6.323730338	5.692092375	4.626439137	5.303780748	6.189824559	6.199672345	5.354028938	8.147204925	6.54689446	6.125155131	4.95419631	6.786596362	5.593951284	6.456149035	5.44625623	6.171927354	6.376776572	7.186857067	6.100136671	6.963474124	6.375039431	5.646738698	4.224966365	7.238404739	8.324630615	5.827819025	6.762880293	4.786596362	5.730639956	7.833522636	7.505414609	7.841721581	7.461070114	5.840463234	5.201633861	5.459431619	5.074676686	6.572889668	6.795715007
APOE	5.545350645	6.903279342	5.339850003	6.469234794	6.808642468	6.896029603	6.411087227	6.369815424	7.345183447	7.812498225	6.837943242	4.459431619	6.352264173	4.614709844	6.910492832	6.64385619	8.101187815	8.036723106	5.646738698	5.857980995	7.273329387	6.727920455	7.361943774	6.904484098	4.649615459	5.412781525	7.802193217	6.607330314	6.359310317	6.399171094	6.311067102	5.54225805	7.117902789	5.572889668	6.287250643	6.145677455	4.137503524	6.368069877	6.14363831	6.352264173	7.413627929	6.671010241	6.499845887	6.330916878	4.300123725	6.091699834	6.399171094	4.432959407	6.330916878	7.152791852	5.968090752	5.412781525	6.557655155	6.378511623	4.827819025	6.211401637	6.537606691	5.663913842	6.787902559	6.696272084	6.786596362	6.834154981	7.756222713	6.509379149	7.656782364	7.447083226	6.905687849	4.40599236	7.573647187	7.144658243	6.191799501	6.223036338	5.899659026	5.99095486	6.571373436	7.783980414	6.829088444	5.87774425	6.159871337	5.008988783	5.963474124	4.161887682	6.478971805	6.431288654
