	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
S10A6	0.3450143539388171	0.10336862514916681	0.5866600827284674	6.525967452154762	-2.8378846258400636	0.00565156412054825	0.8574195535327207	-3.692196785858083	
CRLF1	0.49323216454088237	0.14439560931369982	0.842068719768065	6.659649643202381	-2.810386789956172	0.006112893804082602	0.8574195535327207	-3.7113334797212354	
ANXA6	0.3079846241552508	0.08019168718802139	0.5357775611224802	6.664696078821429	-2.6873576934231638	0.008629331436092227	0.8574195535327207	-3.7953096137536955	
CO1A2	0.4432813576089191	0.07952522760014752	0.8070374876176907	6.564708171261905	-2.422176805673395	0.017504988070965868	0.8574195535327207	-3.9667175150059633	
ANXA1	0.23662985480604914	0.035237492881900895	0.43802221673019737	6.638043987714286	-2.335410543446049	0.02182523232845345	0.8574195535327207	-4.019802176692679	
CO5A1	0.40379511865019513	0.058412196474364186	0.749178040826026	6.547746118142857	-2.323790113097145	0.02247034129614453	0.8574195535327207	-4.026795110472412	
CO1A1	0.460773598614981	0.06111044782857511	0.8604367494013869	6.477129552011905	-2.291554411273771	0.02434899642578675	0.8574195535327207	-4.046047848700773	
MGP	0.6317254446621323	0.05766273406903932	1.2057881552552252	5.991356399297619	-2.187286775044035	0.03140660474161791	0.8574195535327207	-4.106830218096446	
YBOX1	0.25360689180687557	0.013510731719218544	0.49370305189453256	6.523013313369048	-2.0994838182765734	0.03867370165754913	0.8574195535327207	-4.156210094489127	
ANXA2	0.20702550044632625	0.009478636508099186	0.40457236438455335	6.394300539547619	-2.083005411097806	0.04018876205128411	0.8574195535327207	-4.165290098756061	
FHR3	-0.6032937953517832	-1.1820202949888134	-0.024567295714752913	6.0545542552619045	2.0720116094866743	0.04122780256515225	0.8574195535327207	-4.171314687508264	
S10A9	0.5075506865283363	0.020430654359386347	0.9946707186972863	5.220921409952381	-2.0710001218642966	0.04132455247453966	0.8574195535327207	-4.171867640675639	
CO5A2	0.3608079804622489	0.009748383058045373	0.7118675778664524	6.566422574095238	-2.042828833218057	0.044098853501846454	0.8574195535327207	-4.18717704694555	
CO8A1	0.3654448406954371	0.006961473701337151	0.723928207689537	6.560638269357143	-2.026233631949511	0.04580686711951707	0.8574195535327207	-4.196112915806484	
F13B	-0.5807590034554337	-1.1508425580796353	-0.010675448831232281	6.030860240190476	2.02485595211648	0.045951176142520145	0.8574195535327207	-4.196851977962841	
CO2A1	0.43519115713246914	0.00176055444442208	0.8686217598205161	6.532576129297619	-1.9957088582435119	0.04909681403227974	0.8574195535327207	-4.212388324790115	
CO3A1	0.4808887069439262	-0.0027249266690776985	0.9645023405569302	6.400876091952381	-1.9764359160986578	0.05127629761638234	0.8574195535327207	-4.222556385778652	
PODN	0.2633737926469408	-0.002268796319710331	0.5290163816135919	6.606748400035714	-1.9706593041481997	0.05194538753065146	0.8574195535327207	-4.225587662674083	
ANXA5	0.18122589463368793	-0.00378122678974252	0.3662330160571184	6.622133198952381	-1.9470114300762602	0.054762443373906955	0.8574195535327207	-4.237917897551159	
CO5A3	0.38611754786666974	-0.013325106511213491	0.7855602022445529	6.375899093285715	-1.9213292526266956	0.05796759585368644	0.8574195535327207	-4.251164386846463	
MFGM	0.3419708036732586	-0.012238536872527017	0.6961801442190443	6.711765344142857	-1.918959081457639	0.058271231793485874	0.8574195535327207	-4.252379273881146	
CO4A1	0.35990905571017756	-0.01975601628582707	0.7395741277061822	6.476898514976191	-1.8842079137062102	0.06287962718718917	0.878114462830278	-4.270043374341718	
LEG3	0.24739311704614517	-0.018094155163398268	0.5128803892556886	6.25759500625	-1.8521689607418814	0.06739625063539513	0.878114462830278	-4.28608130390135	
FBN1	0.22926104391790617	-0.018533924453422806	0.4770560122892351	6.676237141380953	-1.8389692897363619	0.06933449327533175	0.878114462830278	-4.292619237980829	
KVD11	-0.4148024244005987	-0.87692079204265	0.04731594324145261	6.14577307072619	1.7841228279490786	0.0778935123629603	0.878114462830278	-4.319347567750553	
COGA1	0.38706029289019245	-0.06558184729551975	0.8397024330759046	6.539491031297619	-1.699653261508184	0.09277249778881176	0.878114462830278	-4.35911644959002	
S10A8	0.4218579728000894	-0.08322583214096801	0.9269417777411468	5.311952588845238	-1.6601201178335134	0.10049412424155954	0.878114462830278	-4.3771400814964005	
KV315	-0.29151133809443	-0.6406205422377287	0.05759786604886874	6.164944203619048	1.6597047869212491	0.10057793274922835	0.878114462830278	-4.377327425557215	
CO8A2	0.3081478920215555	-0.06104459603348672	0.6773403800765978	6.494446408547619	-1.658987217921383	0.10072286259214476	0.878114462830278	-4.377651001928258	
ITIH4	-0.24648278577581517	-0.5421085294076051	0.04914295785597478	6.334030413214285	1.6572233273710826	0.10107984120826674	0.878114462830278	-4.378445868536074	
CFAH	-0.2333498872652877	-0.5149952091344832	0.048295434603907755	6.377065605964286	1.6468033736887988	0.10320961478243557	0.878114462830278	-4.383125998722328	
HPTR	-0.4224738374940962	-0.935578887979106	0.09063121299091353	5.935730697559523	1.6365535661134387	0.10533987993130586	0.878114462830278	-4.387703901473081	
S10A4	0.22189121977779114	-0.04909567238992918	0.49287811194551145	6.677965350821428	-1.6275282212419664	0.10724491833864294	0.878114462830278	-4.391713686518414	
CO4A2	0.25725822770470363	-0.06240477585498927	0.5769212312643965	6.563304529571429	-1.599608091190801	0.11331450264442196	0.878114462830278	-4.403991767136194	
COLA1	0.2491190326738214	-0.061019584809016036	0.5592576501566588	6.7284740955833335	-1.5965692368542173	0.11399141785923156	0.878114462830278	-4.405316576998321	
OSTP	0.5223129952184697	-0.13591675701141137	1.1805427474483507	5.499475073	-1.5772117986011724	0.11837969432325397	0.878114462830278	-4.41370219660684	
