	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
PRG4	0.3770588136389455	-0.022151785155338666	0.7762694124332297	6.75314954078125	-1.8846242386354888	0.06374027203240511	0.9959563535285052	-4.440692098505241	
LAMA5	0.47148915811142655	-0.02998997241759449	0.9729682886404476	6.263645755125	-1.8760162030812515	0.06493087986218052	0.9959563535285052	-4.442643249430907	
S10AC	-1.1431498369363209	-2.4015941371964358	0.11529446332379423	6.032046327234375	1.8125370774188154	0.07430236025169117	0.9959563535285052	-4.456805304148298	
FETUA	0.8862048190638222	-0.09122755587709808	1.8636371940047425	6.585962679328125	-1.8091106329334996	0.07483881958081434	0.9959563535285052	-4.4575582962862725	
IBP5	0.6376916028886954	-0.08096092646614661	1.3563441322435374	6.589201737484375	-1.7705552297423957	0.08110110252158019	0.9959563535285052	-4.465949519863741	
KVD15	-0.5337698687926514	-1.1438375368885363	0.07629779930323344	6.948222461765625	1.745797164452812	0.08534715504117933	0.9959563535285052	-4.471258239654622	
A1AG1	-0.7592932151491004	-1.6302012768639491	0.11161484656574816	6.9190841100468745	1.7396222235770327	0.08643432571440793	0.9959563535285052	-4.472572520643554	
S10A8	-1.0637155549979334	-2.2849966928171437	0.15756558282127675	5.8916194976875	1.7379112682425066	0.08673757393608549	0.9959563535285052	-4.47293598954138	
MMP12	-0.7002490551151792	-1.5145253798464489	0.11402726961609033	6.53825099	1.7159256348446246	0.09071297777824111	0.9959563535285052	-4.477579709001507	
FBLN4	0.2980810520892136	-0.04868007981565753	0.6448421839940848	6.3255858994375	-1.715227366151651	0.09084165234178954	0.9959563535285052	-4.477726377027334	
SMOC2	0.39554997296328054	-0.07798438261879925	0.8690843285453603	6.284846447203125	-1.6667390271708236	0.10015038887960888	0.9959563535285052	-4.487787157888131	
PDIA1	-0.29481895810063247	-0.6546656820258749	0.06502776582461006	6.581606976953125	1.6347659844937164	0.10670351016167173	0.9959563535285052	-4.494286432685548	
CRIP2	0.547636390887056	-0.13606208489209237	1.2313348666662043	5.688620652265625	-1.5982526257722136	0.11460749234262804	0.9959563535285052	-4.50157617397694	
SODE	0.5830381324824133	-0.14814299086764027	1.3142192558324668	5.753456691140625	-1.5910716141992511	0.11621605269465764	0.9959563535285052	-4.502993096015107	
COIA1	0.3410375223826032	-0.09134701497958353	0.77342205974479	6.408524445328125	-1.573800752280577	0.12015904024261131	0.9959563535285052	-4.5063782454570305	
S10A9	-0.9321900964209379	-2.123721428374418	0.2593412355325423	6.04199444725	1.561049794702508	0.12313826097198924	0.9959563535285052	-4.508856875055956	
CADH1	0.3382558876449871	-0.09760196613378636	0.7741137414237605	6.467927822515625	-1.5485250217720246	0.12612174335056248	0.9959563535285052	-4.511274434225345	
CAD13	0.4608824086733631	-0.1358476784028652	1.0576124957495914	6.25576843709375	-1.5410968584164326	0.12791818878587238	0.9959563535285052	-4.512700204122617	
HV307	-0.33603459254994283	-0.7836887275481734	0.1116195424482877	6.8330293538125	1.4978182768063077	0.13879236818325577	0.9959563535285052	-4.520887580450997	
CYTC	0.333928736604073	-0.11777010636549395	0.78562757957364	6.718543041453125	-1.4751037086477328	0.14478404061572953	0.9959563535285052	-4.525102500500426	
SPON1	0.35827024716778444	-0.13292762395087498	0.8494681182864439	6.245764759390625	-1.4553652672040913	0.150153502603453	0.9959563535285052	-4.528718891922955	
LTBP1	0.35039562462316803	-0.13061046062628523	0.8314017098726213	6.03255659675	-1.4535361672536262	0.1506588317045723	0.9959563535285052	-4.529051824947812	
FBLN1	0.35313231262213357	-0.13793091808833913	0.8441955433326063	6.321964656046875	-1.4348872629409912	0.1558868966896272	0.9959563535285052	-4.5324250621001765	
CSPG2	0.33479263553644156	-0.1334527286216754	0.8030379996945585	6.06041894384375	-1.4266588950578367	0.1582379266789015	0.9959563535285052	-4.53390109110706	
HSPB1	0.37928741787739545	-0.15958980930515637	0.9181646450599472	5.94612105690625	-1.4044178605261453	0.16473003760766625	0.9959563535285052	-4.5378528262674305	
F13A	-0.3852178426636542	-0.9418883535503363	0.17145266822302785	6.314497552296875	1.3807845464374284	0.17185117235209516	0.9959563535285052	-4.54199099814588	
