	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
IBP5	1.1160573379742094	0.5607602326844094	1.6713544432640093	6.568649175046511	-4.04067106391905	0.00019090326919567763	0.06032543306583413	0.357315372910711	
IGF2	1.0927509035297545	0.38912010482560355	1.7963817022339055	6.4801149000697675	-3.1222576139886336	0.003032877327886866	0.3992030403343147	-1.7669893490832242	
FETUA	1.3227523247074089	0.44874061891760186	2.196764030497216	6.524031453372093	-3.0426618141841657	0.0037899022816548864	0.3992030403343147	-1.9368886331884996	
A4	0.6726063156196147	0.19769644378934914	1.1475161874498803	6.37072014127907	-2.8473584514443577	0.006461375328152005	0.42260416589823246	-2.342023578094618	
OSTP	1.4351169774997026	0.4035028573477861	2.466731097651619	5.998064814860465	-2.7968065249697105	0.007394593144308935	0.42260416589823246	-2.4440306986273868	
MIF	-0.6742454081145697	-1.1760062394028132	-0.17248457682632623	6.521911046348837	2.7015539268054423	0.009499653048465225	0.42260416589823246	-2.6328828151274526	
THRB	1.0051525212880392	0.25340585279220984	1.7568991897838686	6.617473051348838	-2.688146008954163	0.009836727570138466	0.42260416589823246	-2.659106061409059	
SDF1	0.4888383409193057	0.1148679270640171	0.8628087547745944	6.4425281620232555	-2.627970079902385	0.01148905766589091	0.42260416589823246	-2.7756789095439647	
HGF	0.6042649075486995	0.1387701756918161	1.069759639405583	6.257310005209303	-2.6097866369302394	0.01203619459836738	0.42260416589823246	-2.8105392120340067	
MGP	1.272914604493317	0.26927602951493945	2.2765531794716947	6.052489219674419	-2.5498481862268836	0.01401259284532939	0.44279793391240874	-2.924229403431991	
CAD13	0.5014804330677096	0.08525448822161363	0.9177063779138056	6.4154962763953485	-2.4222404050295907	0.01923586430776991	0.45565900076165017	-3.1598681591349806	
FA10	0.9364067723204748	0.15510336814715675	1.7177101764937928	6.535413626232558	-2.4095571382673486	0.01984091256986088	0.45565900076165017	-3.1828006088489023	
RNAS4	0.5643543951877711	0.0872927540986263	1.0414160362769158	6.328892756186047	-2.378317402727843	0.021404887414412432	0.45565900076165017	-3.238900294802883	
MIME	0.6760975408212309	0.10418814164124968	1.2480069400012122	6.022602258651163	-2.3767008528194102	0.02148875206839535	0.45565900076165017	-3.2417882989001283	
BGH3	-0.5067053534867533	-0.9358134138356626	-0.07759729313784391	6.576875442767442	2.374002763893145	0.021629382947546686	0.45565900076165017	-3.2466052041490303	
PROC	0.9671553425310329	0.12060007570536813	1.8137106093566975	6.78795982672093	-2.2968536243893527	0.026016222894277557	0.49342743735614986	-3.3825802042474975	
COIA1	0.45235345165199403	0.05337391493899979	0.8513329883649883	6.457947382953488	-2.2793955006614404	0.027112854065148732	0.49342743735614986	-3.41287294217518	
IGHG2	-0.4770210146125828	-0.907363856188774	-0.046678173036391546	6.686415411162791	2.2285138034578056	0.03054721927324986	0.49342743735614986	-3.500139877505867	
KVD15	-0.566405136530226	-1.0846499295290155	-0.04816034353143639	6.860036400325582	2.197276119640949	0.0328417569499055	0.49342743735614986	-3.552953674884553	
HV169	-0.5231577125256941	-1.0049522461913447	-0.041363178860043426	6.627936075465116	2.1830473910259056	0.033936450271807264	0.49342743735614986	-3.576816137487727	
KVD20	-0.5412091720401717	-1.0405393959984623	-0.041878948081881195	6.620548877465116	2.179062534241808	0.0342487382585986	0.49342743735614986	-3.5834770902233757	
ADIPO	0.4286765230698735	0.032931863117050486	0.8244211830226966	6.588540202674419	-2.1777450540342564	0.034352543107073724	0.49342743735614986	-3.5856772335629454	
HV307	-0.47073984442746114	-0.9130385031489283	-0.02844118570599402	6.7725955449767445	2.139723896751453	0.03747008029437809	0.5032108819219451	-3.648716794440193	
SODE	0.6688756794456511	0.037826115406223604	1.2999252434850785	5.978812167674419	-2.1309552711970294	0.03822336536703116	0.5032108819219451	-3.6631300102749504	
ANGI	0.43000982889165035	0.020862664477058535	0.8391569933062422	6.393414460302325	-2.1129598108968386	0.039810987493824765	0.5032108819219451	-3.6925615414021395	
GAS6	0.7872798487391739	0.031252924047353914	1.5433067734309938	6.528004657069768	-2.093554508119093	0.041587367398525754	0.5054464653051591	-3.724074659669077	
CSPG2	0.4519748045690504	0.006778587833902561	0.8971710213041983	6.220284790488372	-2.0410571276016274	0.04674396092684657	0.5353515435939408	-3.8081504944854974	
SMOC2	0.44263458121496435	-0.0006482199880870065	0.8859173824180158	6.379403240953488	-2.0075060318193025	0.05032279712478874	0.5353515435939408	-3.8609735310159614	
CYTC	0.42886362569038416	-0.001034567052506874	0.8587618184332753	6.600095822046511	-2.0056077232508236	0.05053218386416305	0.5353515435939408	-3.8639408435479528	
FA9	0.49535659433730045	-0.0018668755227142508	0.9925800641973151	6.745113671790698	-2.0028975196774015	0.050832428426217525	0.5353515435939408	-3.868173271512301	
PEPD	-0.4309306570576208	-0.8667425403364264	0.0048812262211848645	6.520879951813954	1.9879283324749575	0.05251866408674735	0.5353515435939408	-3.8914654940748017	
KV401	-0.38448578601373035	-0.7803233296092283	0.011351757581767652	6.767900438697675	1.952790735564043	0.05666726196018316	0.5484698418101884	-3.945574110237182	
IGLC7	-0.7658357470672016	-1.5575663284840893	0.02589483434968598	6.341451523418605	1.9446910419002763	0.05766251831429602	0.5484698418101884	-3.9579336872951716	
B2MG	0.5661277112888082	-0.022410017112188596	1.154665439689805	6.474568066744186	-1.9338932822985322	0.05901257791628609	0.5484698418101884	-3.9743440327659547	
CERU	-0.42804839019305185	-0.876865688176553	0.020768907790449265	6.866032925348837	1.9174130599388224	0.061125254557256946	0.5518737268598055	-3.9992439903855272	
ITB1	0.36198033192374496	-0.024420499725906986	0.7483811635733969	6.505840783	-1.883385928507981	0.06569233430863188	0.5766327122646576	-4.050092069867527	
KNG1	0.42000444154195676	-0.031694675076719026	0.8717035581606325	6.931094130488372	-1.8693776314741692	0.0676551355985955	0.5778114283555723	-4.07080326518309	
LTBP4	0.4072373942051306	-0.052596301209958785	0.8670710896202201	6.3608458641627905	-1.7804888472249136	0.08130258842304595	0.6382618579227447	-4.199170042738754	
GRN	-0.45295985223737106	-0.9702875223241423	0.06436781784940021	6.747901492302326	1.7602988378379703	0.08470488342658551	0.6382618579227447	-4.227583335409845	
ANT3	0.3479578033595366	-0.054457759699590824	0.750373366418664	6.793884786930232	-1.7383779795647654	0.08853250994432937	0.6382618579227447	-4.258117154326667	
PROP	-0.39793157553064595	-0.8586442246849721	0.0627810736236803	6.442298058023256	1.736483516026908	0.08886995105259583	0.6382618579227447	-4.260740506699409	
CO2	-0.42081125583145357	-0.9142405856355258	0.0726180739726186	6.745007357302326	1.7145682880527349	0.09285172597752389	0.6382618579227447	-4.290907962906283	
F13A	-0.452337693825445	-0.9837975147772636	0.07912212712637368	6.419604449604651	1.7111368437080838	0.09348836311997477	0.6382618579227447	-4.295601522210013	
MMP9	-0.6606931357467117	-1.4414833832483214	0.12009711175489779	6.548694611604651	1.7012095596209924	0.09535053925915439	0.6382618579227447	-4.309134265130402	
FBLN4	0.33211932475874945	-0.06058881257791804	0.7248274620954169	6.293801389930232	-1.700265120472289	0.09552928378630231	0.6382618579227447	-4.310418155512318	
A2AP	-0.40823460721738825	-0.8917027665140342	0.0752335520792578	6.633855874348837	1.6975959912473908	0.09603593961736683	0.6382618579227447	-4.314043281028188	
HDGR3	0.3175365425710095	-0.06459048511289417	0.6996635702549132	6.435996545627907	-1.670622612193812	0.10128151169777545	0.6382618579227447	-4.350399686042289	
KVD11	-0.4110906348475925	-0.9059346970476272	0.08375342735244223	6.775401515627907	1.6701736191402634	0.10137078180799294	0.6382618579227447	-4.3510005758404295	
IGHG4	-0.3734699583087019	-0.8255461566052879	0.07860623998788407	6.725004906604651	1.6608730224083308	0.10323453196623698	0.6382618579227447	-4.36341591691483	
CO4B	-0.3553876371287142	-0.7857061819423053	0.07493090768487698	6.836341761744186	1.6603691409821149	0.10333630213854814	0.6382618579227447	-4.364086818478449	
TARSH	0.4119972335864875	-0.09133634248156636	0.9153308096545414	6.401861407930233	-1.645624701813207	0.10635086925420749	0.6382618579227447	-4.383639742166033	
LAMA5	0.5349044409905334	-0.1417706795081497	1.2115795614892164	6.253940278302325	-1.5892360007277353	0.11854918138920564	0.6382618579227447	-4.457003886731136	
FGL2	0.34200022225875204	-0.09294976476545502	0.7769502092829591	6.789963294930232	-1.5808092406604068	0.12046573425307068	0.6382618579227447	-4.467773694707348	
LTBP1	0.34648033026500424	-0.0987902123218623	0.7917508728518707	6.205666365488372	-1.5643971631790274	0.1242701998187849	0.6382618579227447	-4.488603585756977	
LV310	-0.37378043006274697	-0.8544171003774982	0.10685624025200424	6.655725581534884	1.5634790163001375	0.12448585843360672	0.6382618579227447	-4.489763188073151	
HV330	-0.3483819790260872	-0.8008813157797312	0.10411735772755687	6.8704871064651165	1.5478545023473	0.12820216742417023	0.6382618579227447	-4.509403964385858	
C1QA	-0.3222956739503343	-0.7429416932768589	0.09835034537619025	6.524988927790698	1.5403878790568932	0.1300092612344282	0.6382618579227447	-4.518727931615477	
HV315	-0.3591663442971198	-0.8282556928506781	0.10992300425643847	6.633138111302325	1.539332584116207	0.13026630356977978	0.6382618579227447	-4.52004249737155	
CRIP2	0.5037833376853148	-0.16156192566452066	1.1691286010351503	5.832416080069767	-1.5222610308666373	0.13448124843279222	0.6382618579227447	-4.5411966939087645	
PLF4	0.6725207991591861	-0.2166408574308506	1.5616824557492226	6.154644405465116	-1.5206084304115315	0.13489498269149042	0.6382618579227447	-4.543233336952015	
PLTP	0.4919441457645846	-0.158996135692464	1.1428844272216332	6.622302688813954	-1.5193822525651608	0.1352026157227625	0.6382618579227447	-4.544743185708705	
S10A8	-0.7296085316039715	-1.6964081240685465	0.23719106086060338	5.500255778930232	1.5172105185247036	0.13574884889814934	0.6382618579227447	-4.547414671038695	
IGKC	-0.5210959047020531	-1.2117381899952289	0.1695463805911226	6.468461954046512	1.5168998030784493	0.13582714338095536	0.6382618579227447	-4.5477966080038374	
IGLC2	-0.30088333341443013	-0.7021117905696828	0.10034512374082255	6.617829613395349	1.507644000906655	0.13817596567042081	0.6382618579227447	-4.559141931720169	
SPRL1	0.48561492877281837	-0.16546787022534032	1.136697727770977	6.272825138139535	-1.4995059983401715	0.14026769303241718	0.6382618579227447	-4.56906577006202	
KV240	-0.3893429058189011	-0.9146768711898811	0.1359910595520789	6.742337258441861	1.4900100056674315	0.142740138221007	0.6382618579227447	-4.5805847480114465	
HV102	-0.3701815351769979	-0.8721109509422059	0.13174788058821008	6.878623891604651	1.4827382924971488	0.14465667805769222	0.6382618579227447	-4.589361205207098	
SULF1	0.3429395537556725	-0.12505069489679987	0.8109298024081448	6.3742418768372096	-1.473238888830697	0.1471909183500527	0.6382618579227447	-4.6007682202582325	
CD9	0.3497161665827345	-0.12857432077660563	0.8280066539420747	6.428381175953488	-1.4699967200749755	0.14806383061545814	0.6382618579227447	-4.604646371421542	
MFGM	0.3542315366784976	-0.13073112689668948	0.8391942002536847	6.249298639232558	-1.4684910996920555	0.14847058407815522	0.6382618579227447	-4.606444719823352	
PXDC2	0.2723353770849777	-0.10092246769091817	0.6455932218608735	6.451402210232558	-1.4668561187807385	0.14891328141446106	0.6382618579227447	-4.608395701067419	
RNAS1	0.4233747188700329	-0.160602288723995	1.0073517264640608	6.162601792325582	-1.4575436602293457	0.1514546254720742	0.6382618579227447	-4.619470694184697	
PEDF	-0.3619639048352619	-0.8667315649060863	0.1428037552355625	6.5666243135813955	1.441670932756002	0.15586462834760795	0.6382618579227447	-4.638200947153006	
KV320	-0.39360491399148567	-0.9427134565973337	0.1555036286143624	6.667105208627907	1.4411019686492987	0.15602455323804826	0.6382618579227447	-4.638868902456876	
VTNC	0.4198500197489687	-0.1672349213948569	1.0069349608927942	6.741370921488372	-1.437757484380561	0.15696722051901368	0.6382618579227447	-4.642790459922633	
CD59	0.3175515727297988	-0.12739902289102994	0.7625021683506275	6.548077190348837	-1.4348115875878327	0.15780122628055582	0.6382618579227447	-4.646237832835363	
MANF	-0.3778098661650516	-0.9073814132640132	0.15176168093391013	6.632594959581395	1.4343034781975303	0.15794542535061962	0.6382618579227447	-4.646831790527512	
FCGBP	0.43727164071395647	-0.1768068459491628	1.0513501273770758	6.075911477139535	-1.4315938668215729	0.15871613912294438	0.6382618579227447	-4.649995994833621	
FCG3A	-0.36576818563447777	-0.8812653659031153	0.14972899463415978	6.737034483534884	1.42650084686776	0.16017272411843053	0.6382618579227447	-4.655928820176134	
