	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
B2MG	0.5036196991002105	0.1339433578199411	0.8732960403804799	6.5050049756	-2.7113720022881576	0.008208010553999522	0.9805651900350838	-4.028676292085768	
MIF	-0.626112322447091	-1.1038131369092474	-0.14841150798493463	6.46575047228	2.6085809879672244	0.010857592841768569	0.9805651900350838	-4.075359768563294	
IGF2	0.6782867305413094	0.07581811902034918	1.2807553420622697	6.286530943893333	-2.2407167004216055	0.02783440575050463	0.9805651900350838	-4.231453398664131	
IPSP	-0.4029781754420205	-0.7686555934132364	-0.03730075747080458	6.4749517824	2.193266673944341	0.03120986514254615	0.9805651900350838	-4.250257738460118	
THRB	0.6453079762170777	0.030870676139986064	1.2597452762941694	6.480596072146667	-2.0902465548224063	0.039791164539886084	0.9805651900350838	-4.2899764511593546	
LEG1	-0.4185917167534996	-0.8374992859072621	0.00031585240026282824	6.0550480097333335	1.9887513056213169	0.05016885507312101	0.9805651900350838	-4.327584670601122	
RNAS1	0.599171702988973	-0.0010050679136593965	1.1993484738916056	6.41350085844	-1.9869190216874653	0.050375688737454696	0.9805651900350838	-4.3282494339011235	
THIO	-0.3832200761182597	-0.7762174019900105	0.009777249753491202	6.218368187293334	1.940737121066905	0.055834375465983924	0.9805651900350838	-4.3448360933298735	
CFAB	-0.36049888933347357	-0.7403382979474413	0.01934051928049424	6.683531274493333	1.8889130419816458	0.0625497541943557	0.9805651900350838	-4.363059844667481	
PROS	0.39046120167521203	-0.02222665791208228	0.8031490612625063	6.65371330464	-1.883060392768553	0.06334926139186407	0.9805651900350838	-4.365091783518164	
OSTP	0.8214045562338514	-0.07412208887824456	1.7169312013459475	5.801973551813333	-1.8255202321946291	0.07167742116668728	0.9805651900350838	-4.384783510180579	
CO9	0.31309281913416936	-0.04154593717189825	0.667731575440237	6.895440145333334	-1.7570938840397254	0.08275138173828525	0.9805651900350838	-4.407518976032436	
PGCA	0.4019755522700723	-0.05627845094329953	0.8602295554834442	5.97161577736	-1.745827894421474	0.08470362024029787	0.9805651900350838	-4.411190382114287	
LV321	-0.34538613090888504	-0.7391508958686945	0.04837863405092446	6.799487973426666	1.7457260710755258	0.0847214364429039	0.9805651900350838	-4.411223471461364	
HEP2	-0.29426198636419393	-0.6321459146629695	0.04362194193458163	6.752325100306667	1.733303774765023	0.08691827174598563	0.9805651900350838	-4.415247763635097	
APOA4	0.3383425716795227	-0.05020352408176104	0.7268886674408064	6.749356404546667	-1.7330941322216504	0.08695574453699119	0.9805651900350838	-4.415315464849289	
IBP5	0.4691654045090587	-0.07192493320912713	1.0102557422272445	6.27150659872	-1.725695858929329	0.08828668871581646	0.9805651900350838	-4.417700081042809	
ANT3	0.23308786666037196	-0.040919583205814514	0.5070953165265584	6.771321375453334	-1.6930327198885473	0.09436417782352707	0.9805651900350838	-4.428121825227431	
