	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
A4	-1.1454915945110162	-1.7684891942239855	-0.5224939947980469	6.216811311733333	-3.735599162406718	0.0006806329712223905	0.18660785104517438	-0.43681500822367614	
FETUA	-1.7947214488317613	-2.825276950834623	-0.7641659468288997	6.5851296077	-3.5381839073751213	0.0011810623483871796	0.18660785104517438	-0.8951729621162601	
IBP5	-1.1554516440573903	-1.8798730174392304	-0.43103027067555033	6.7097712535	-3.2405240994527533	0.002655875273146408	0.1891818952628544	-1.5670284775910162	
SMOC2	-0.8269790607941059	-1.3497609889906605	-0.3041971325975512	6.286688580766667	-3.213872792686817	0.0028518794373792854	0.1891818952628544	-1.6258897920524902	
FGL2	-0.819686574462248	-1.34080581512815	-0.29856733379634626	6.649396017333333	-3.1956959297921674	0.0029933844187160505	0.1891818952628544	-1.6659021634109523	
PRG4	-0.778321085945446	-1.2975223734801538	-0.2591197984107384	6.717657588433333	-3.04563441725994	0.004445119689307488	0.23410963697019435	-1.9919329145152584	
OSTP	-1.9959377756977466	-3.363910573205761	-0.6279649781897321	6.064300097833334	-2.9643144595046316	0.005488494750419047	0.24726763065724805	-2.165225957575659	
PROC	-1.4248645443585868	-2.42673329017538	-0.42299579854179337	6.849367365733333	-2.8894653260525716	0.006649069656417883	0.24726763065724805	-2.3224834401275265	
IGF2	-1.2119186883617195	-2.0707751116059487	-0.35306226511748995	6.666229525766667	-2.8668676930557417	0.00704243251871909	0.24726763065724805	-2.3695218893288548	
FCGBP	-0.8587009611010556	-1.4978331050293865	-0.2195688171727248	5.954480691366666	-2.729644093221895	0.0099389476619777	0.31407074611849534	-2.6505799737994957	
FA10	-1.3316707400016583	-2.369128155416394	-0.29421332458692273	6.591060410433333	-2.6078422322536747	0.013402666134762932	0.38366555845904005	-2.893095031560911	
KNG1	-0.7332879976696216	-1.312226373087701	-0.15434962225154203	6.879252882833334	-2.573338837462438	0.014569578169330636	0.38366555845904005	-2.9605387198820714	
B2MG	-0.9391069349797677	-1.6991821182040976	-0.17903175175543795	6.4891291077333335	-2.5102283542708013	0.01694885714326171	0.38502492293924345	-3.0824110098696886	
APOC2	-0.7512733433059097	-1.3633754370582993	-0.1391712495535199	6.630204457966666	-2.4936118347861362	0.0176319764208276	0.38502492293924345	-3.1141724151333783	
FINC	-0.6407792930519464	-1.1660465093322236	-0.11551207677166919	6.047212374933333	-2.478465678066304	0.01827649950660966	0.38502492293924345	-3.1430027827825513	
CYTC	-0.632183551056838	-1.1615499647097494	-0.10281713740392662	6.577225833133333	-2.4262834967175415	0.02066529376336306	0.3900802002199264	-3.2414377691282135	
F13A	0.7852401864182541	0.123559532193529	1.4469208406429792	6.506374282933333	2.4110644315117313	0.021413697701862154	0.3900802002199264	-3.269882415181568	
THRB	-1.104040459041388	-2.0405174899560246	-0.1675634281267515	6.8151225128	-2.3952044792539127	0.022219758240375552	0.3900802002199264	-3.2993962289389507	
LAMC1	-0.5247763961730179	-0.9750561735451404	-0.07449661880089536	6.3211969697	-2.3678085590123934	0.02367723582840272	0.39378981693554	-3.350065123626477	
SPRL1	-0.8575986304704827	-1.6050824140027382	-0.11011484693822715	6.094344757366667	-2.330971908272323	0.025773394697737605	0.40721963622425417	-3.4175633467024427	
PA2GA	-0.8176725969012492	-1.5525496584644718	-0.08279553533802653	6.0639453546	-2.2605779533134536	0.03025045547979915	0.4169410024965953	-3.5444940958672326	
SULF1	-0.5862870772301803	-1.121859909497277	-0.05071424496308352	6.350276453366667	-2.2240601010763985	0.03283782449928332	0.4169410024965953	-3.6092539200930953	
TIMP1	-0.79828769711642	-1.533234249100723	-0.06334114513211697	6.1613962235	-2.206776829994464	0.034129997670054535	0.4169410024965953	-3.639639845547978	
RNAS1	-0.6826616223295734	-1.3155973835239076	-0.04972586113523925	6.136251569533333	-2.191293700862017	0.03532591339393919	0.4169410024965953	-3.6667155336634196	
APOA4	-0.6214476241726516	-1.1977176198818997	-0.04517762846340356	6.6834344154666665	-2.1909540028580308	0.03535256514905701	0.4169410024965953	-3.667308023283278	
LG3BP	-0.7784648649142265	-1.5012676870367692	-0.05566204279168396	6.0597644283	-2.1881339901652606	0.03557450794618098	0.4169410024965953	-3.672224020098258	
ADIPO	-0.49115324697250484	-0.9486929409207079	-0.03361355302430186	6.6320237707	-2.1809362855278374	0.036146622610341426	0.4169410024965953	-3.6847505936049174	
HS90B	0.5008471630605342	0.03199775194772719	0.9696965741733412	6.529731542066667	2.1703340264485607	0.037004266207397274	0.4169410024965953	-3.703147573878457	
LTBP4	-0.513520088103493	-0.9976183781484416	-0.0294217980585445	6.3565916542	-2.1551555671019047	0.038263573013928055	0.4169410024965953	-3.729371126485943	
CO4A1	-0.7280610251688063	-1.4264547733752755	-0.029667276962337286	6.0288850744	-2.1179815658304966	0.04150972255685952	0.437235744265587	-3.793023804195511	
CLC11	-0.578757088125722	-1.1486883701353467	-0.00882580611609729	6.2616280597000005	-2.0631393579806776	0.046743038913190815	0.45745066917686755	-3.8854235082690787	
MIF	0.767782075290488	0.008159217663209373	1.5274049329177668	6.424797313433333	2.0534998730520213	0.04772054407102455	0.45745066917686755	-3.901476269999179	
ANT3	-0.5015909553880891	-0.9979724004959456	-0.005209510280232588	6.7824646288	-2.052999736950258	0.04777174709758427	0.45745066917686755	-3.9023076049165635	
GAS6	-1.01679145346699	-2.031742185284588	-0.0018407216493918632	6.582647407166666	-2.0353620004902333	0.049608557011402224	0.4610677651647972	-3.931527315762596	
FST	-0.5357268364473443	-1.093844135577268	0.022390462682579382	6.3760036931999995	-1.9501708222236989	0.05937650043171321	0.525762266511617	-4.069938306243324	
PGBM	-0.48040928155458446	-0.9871658748778216	0.026347311768652626	6.021070240466667	-1.9260462762940493	0.06242928905066693	0.525762266511617	-4.1083006958954185	
VTNC	-0.7913282379748313	-1.628270893373237	0.045614417423574416	6.684993893133333	-1.9209483904557427	0.06309146717230811	0.525762266511617	-4.116359508665608	
ANGI	-0.5911998644946845	-1.2168101015995307	0.034410372610161555	6.3476028386	-1.919929206351141	0.06322457635266279	0.525762266511617	-4.117968644045975	
PROZ	-0.9757614695687676	-2.0287913617205438	0.07726842258300859	6.778585297566667	-1.8825984696969802	0.06826981531818148	0.5531605548857781	-4.17644504572742	
CO4A2	-0.45985592240469125	-0.9701419990698679	0.050430154260485416	6.434854312433333	-1.8308923137595625	0.07582599000444774	0.5709566553072062	-4.255933849292671	
LAMA5	-0.6706925659923543	-1.4162048279368407	0.07481969595213211	6.2721657978000005	-1.827777966390874	0.07630303743208171	0.5709566553072062	-4.2606651194946314	
MGP	-1.203792322382287	-2.5510529397988098	0.14346829503423542	6.315648717366667	-1.8153262609828102	0.07823596869299894	0.5709566553072062	-4.279516936899827	
CATD	0.7739914440961987	-0.1009639792325071	1.6489468674249044	6.6593876737999995	1.7972354175471288	0.08111833619367181	0.5709566553072062	-4.306721407261161	
DCD	-0.5415508640293443	-1.1538194117141776	0.07071768365548903	6.414936392366667	-1.7970163928020007	0.08115377717277739	0.5709566553072062	-4.307049422745857	
CXCL7	-0.5183269856763493	-1.1077516591829806	0.07109768783028192	6.435460502133333	-1.786611991329329	0.08285252153917066	0.5709566553072062	-4.322593984671377	
IBP3	-0.6963218965672373	-1.488859761314548	0.09621596818007327	6.619392103166667	-1.7850269104618064	0.08311394349408698	0.5709566553072062	-4.324955738645279	
