	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
A4	-0.8326060272448943	-1.3713407563575326	-0.2938712981322559	6.0288187661774195	-3.085697455626801	0.002967138657180477	0.40169240097547415	-2.393198238032463	
CLC11	-0.5896746570952781	-0.9779793816910041	-0.20136993249955215	6.389699758467742	-3.0319955063780473	0.003470485621060874	0.40169240097547415	-2.4772484468657074	
FINC	-0.6707207563334655	-1.11719318446218	-0.22424832820475082	6.2605383007741935	-2.999410220592625	0.0038135354522988055	0.40169240097547415	-2.527779699986161	
FCGBP	-0.7457374574607889	-1.279135360945184	-0.2123395539763936	6.187062650032258	-2.7914086388727455	0.0068575414345227025	0.4799523393774333	-2.8416387864514965	
LECT2	-0.6668877196415801	-1.1537195940124427	-0.1800558452707175	6.290904091822581	-2.735032428530214	0.008003248874052665	0.4799523393774333	-2.924009999951654	
LG3BP	-0.673403745916582	-1.174542317313644	-0.17226517451952006	6.199839546903226	-2.6829122112923534	0.009215786401387644	0.4799523393774333	-2.9990971069741637	
PRDX1	0.482825047013186	0.09373316492817124	0.8719169290982007	6.614816431983871	2.477572583031124	0.015797272247415065	0.4799523393774333	-3.2845655238042935	
CO4A1	-0.6909837880440715	-1.2494185464963485	-0.1325490295917945	6.102909730967742	-2.470496146486371	0.016085556976043535	0.4799523393774333	-3.2940996486221508	
SPRL1	-0.754513413701371	-1.3806331895590724	-0.12839363784366964	5.973208962612903	-2.406014879560437	0.018938299150301798	0.4799523393774333	-3.3800137191751825	
TIMP1	-0.8281490437348481	-1.5221718466680048	-0.13412624080169133	6.558325812758064	-2.3824485446051273	0.020088880840985725	0.4799523393774333	-3.4109761224126425	
PGBM	-0.45443016938148734	-0.8374823089172637	-0.07137802984571096	5.983208895822581	-2.3686343802827636	0.020791975232856284	0.4799523393774333	-3.429015750377214	
PROP	-0.5176291069132475	-0.957880469564698	-0.077377744261797	6.3331202717741935	-2.347506185533128	0.02190979975298966	0.4799523393774333	-3.45644839837397	
TIMP2	-0.4532779983541577	-0.8451981855286046	-0.061357811179710786	6.389378262629032	-2.3091692754837707	0.02407529031041787	0.4799523393774333	-3.50573233198201	
B2MG	-0.5643560180427191	-1.0555204086766767	-0.07319162740876145	6.518432573096774	-2.294114302197917	0.024976297977026173	0.4799523393774333	-3.524911271552255	
ANXA6	0.5078408531379071	0.06549226665918839	0.9501894396166257	6.415866448016129	2.2921960284359204	0.02509322164034333	0.4799523393774333	-3.5273478856495726	
ITA1	0.42638833410715044	0.045625610477724066	0.8071510577365768	6.405345269145161	2.235834504692643	0.028751918597601456	0.4799523393774333	-3.5982145765790112	
