	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
LG3BP	-0.7883713876390471	-1.329188515523922	-0.24755425975417233	6.199495471634147	-2.9339402476621226	0.005196356293820495	0.8267015011754505	-4.185587671184479	
MMP9	-1.1591374133909749	-1.9549876771047383	-0.36328714967721143	6.515829258073171	-2.931395436375254	0.005232287982123105	0.8267015011754505	-4.186293330788923	
FINC	-0.7140318639463442	-1.257400841956954	-0.17066288593573453	6.207113077853658	-2.6448046565789474	0.01113158754950059	0.8439650751346988	-4.264007312993963	
CLC11	-0.606009990876496	-1.1387494770313147	-0.07327050472167718	6.356696729	-2.2894741525460027	0.02666908414678331	0.8439650751346988	-4.354500961363905	
TENX	-0.5447743560129993	-1.0363460715381405	-0.053202640487858055	6.249499688048781	-2.2304917335371583	0.030611996671695393	0.8439650751346988	-4.368772422932621	
KVD15	-0.5817091897715705	-1.1112934485946517	-0.052124930948489245	6.8580369402439025	-2.2107605447088314	0.032041989347255176	0.8439650751346988	-4.373494093085149	
PRG4	-0.4797960970769208	-0.9219098563114718	-0.037682337842369795	6.633005989536585	-2.184205659301467	0.03405970599348875	0.8439650751346988	-4.379806180728908	
PROP	-0.5512423163626171	-1.0598334094055568	-0.04265122331967752	6.347444378878048	-2.181446905273683	0.03427562417773665	0.8439650751346988	-4.380459111353855	
FCN3	-0.5649124728017421	-1.0944501921975864	-0.035374753405897796	6.690631172926829	-2.14711403701284	0.03706548051115659	0.8439650751346988	-4.388539815499573	
TIMP1	-0.669181362110664	-1.3404573374982662	0.002094613276938162	6.253307738219513	-2.0063818037475993	0.05068979039174118	0.8439650751346988	-4.420759836856604	
LV321	-0.4502772260512648	-0.9204754897669352	0.01992103766440556	6.8654707649999995	-1.9273909215549498	0.06009271592725391	0.8439650751346988	-4.438176645516625	
CO4A1	-0.5487415101755249	-1.1260822730283282	0.028599252677278475	6.04163641	-1.9129624295279068	0.06196276475418275	0.8439650751346988	-4.4413038993079255	
DCD	-0.4476341312961431	-0.9442664125488858	0.048998149956599624	6.433813419121951	-1.8140911141605962	0.07616102736095176	0.8439650751346988	-4.462268635746438	
HS90B	0.44505275734130506	-0.04979590369475334	0.9399014183773635	6.488531110439024	1.810130744356485	0.07678269847807949	0.8439650751346988	-4.463091164828796	
