	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
FCN3	-0.8051188245989467	-1.2707800396242488	-0.3394576095736446	6.7253572768	3.441028644004274	0.0009257070696012013	0.20885658450837855	-0.7940586963272054	
HPTR	-0.7244029947184829	-1.157477191274402	-0.2913287981625639	6.74586677564	3.3290192191976864	0.0013218771171416364	0.20885658450837855	-1.0814690650502268	
APOM	-0.6936648296003369	-1.1320402728930472	-0.25528938630762665	6.719824136426666	3.149211516968119	0.002305475078927653	0.24284337498037945	-1.5283512111982116	
LV861	-0.8539231218328831	-1.411361904419726	-0.2964843392460401	6.64119342624	3.048737034784265	0.003118841901895057	0.2463885102497095	-1.769991287286401	
ITIH2	-0.4970697850837227	-0.8432133914067113	-0.15092617876073405	6.875596771586666	2.8579815744697634	0.005438761198577087	0.2652044773882192	-2.212144580814294	
KV401	-0.5601394763981536	-0.9505466169070254	-0.16973233588928194	6.81624302492	2.8554647453870126	0.005477951885666294	0.2652044773882192	-2.217829192192887	
SOST	0.8194933421287525	0.234477403817541	1.404509280439964	5.830714254173333	-2.787893023243225	0.006632255152251518	0.2652044773882192	-2.368965367505759	
FHR5	0.6896480153915565	0.1965529473484675	1.1827430834346455	6.3592612332266665	-2.783525509950305	0.006714037402233397	0.2652044773882192	-2.3786350377275656	
FINC	-0.49022172436559824	-0.855251562084625	-0.12519188664657138	6.3158144608	2.6727759922544907	0.00912233204899791	0.29365854024099775	-2.6197561885439007	
PON1	-0.8471392238270411	-1.4795450891993354	-0.21473335845474695	6.536295618306666	2.6659823829133313	0.009292991779778409	0.29365854024099775	-2.6342891839060236	
HV309	-0.41020438679972854	-0.724224499394156	-0.09618427420530107	6.64009437	2.599807601584049	0.011113603459470886	0.3192635175629818	-2.7742697607127393	
COIA1	0.4153811102239985	0.08541654404956456	0.7453456763984324	6.40039910376	-2.5054042605349873	0.014270814018976072	0.35160185487808093	-2.968934915698525	
SRPX2	0.41984600186064247	0.0856463843680349	0.7540456193532501	6.41017021224	-2.500244307045223	0.014464633270300798	0.35160185487808093	-2.979402562774835	
PA2GA	-0.6298285929731091	-1.1437837823060775	-0.11587340364014076	6.2376228027066665	2.4389084095780715	0.016956399203244935	0.38273015344467143	-3.1024453503372835	
A2MG	-0.4583133967375472	-0.8391947750878157	-0.07743201838727864	6.613353000346667	2.3948106769562014	0.01897820490616252	0.39211807841329227	-3.189316175323868	
FCG3A	-0.49983808398224483	-0.9221583036077339	-0.07751786435675584	6.736010856666667	2.3555148254494807	0.020957964276004555	0.39211807841329227	-3.265594557004153	
IGJ	-0.5345854509095087	-0.9930347180790875	-0.07613618373992997	6.6991777493199995	2.320727913194748	0.02286139484600162	0.39211807841329227	-3.3322223744302994	
CO6	-0.29868391123269444	-0.5578260103056913	-0.0395418121596976	6.904530014146666	2.2938881148169297	0.024432982372150025	0.39211807841329227	-3.3830486487617746	
PRELP	0.49717357567830306	0.06564658179399285	0.9287005695626133	6.2018190683866665	-2.292970376921306	0.02448836722394831	0.39211807841329227	-3.3847775856489934	
TIMP1	-0.6376114992591745	-1.1999929640143285	-0.07523003450402044	6.543106472373333	2.2564385776272053	0.026784976280322444	0.39211807841329227	-3.453116237602698	
HV169	-0.4816044863123277	-0.9068786798707007	-0.056330292753954736	6.56219172432	2.2538233187573673	0.02695643260798911	0.39211807841329227	-3.4579721879855776	
APOC3	0.6588453273202093	0.0757189990245527	1.241971655615866	6.426985495533334	-2.248636177329428	0.027299359889533005	0.39211807841329227	-3.467589151628298	
KV240	-0.47186262568961285	-0.8932014912672777	-0.05052376011194798	6.720490617146667	2.2288581620990873	0.028642343371873727	0.39352089154400427	-3.504081650417648	
APOD	-0.42537112779904884	-0.8161136895775604	-0.03462856602053732	6.573268024506667	2.1665846552932257	0.03325662862859536	0.4259411365622332	-3.617151807577349	
FBLN2	0.3840095096358797	0.022051553368591714	0.7459674659031676	6.00450975452	-2.1114569239845005	0.03786935115014631	0.4259411365622332	-3.7149082801930318	
IGHD	-0.449181621583677	-0.8760790483360856	-0.022284194831268367	6.543183754386667	2.094097100305479	0.03943236158657743	0.4259411365622332	-3.745233417281096	
IGHA2	-0.4384070990607886	-0.8551931804146375	-0.02162101770693975	6.57344228416	2.0934507322554046	0.0394916201297518	0.4259411365622332	-3.746358270245473	
APOB	-0.45878916382778506	-0.8949624533638363	-0.022615874291733895	6.5539558744	2.093401152011626	0.0394961687886771	0.4259411365622332	-3.746444540462859	
PLTP	-0.634473957338001	-1.2419512708061369	-0.02699664386986511	6.792663813466667	2.0786535476113377	0.04086943288348091	0.4259411365622332	-3.772025516836833	
CERU	-0.3765333278241416	-0.7384256207787865	-0.01464103486949675	6.873834236133333	2.0707251685264625	0.04162460475364985	0.4259411365622332	-3.7857119425392893	
HV330	-0.36686015978245134	-0.7197403018917762	-0.01398001767312651	6.854308241613333	2.0690534261637015	0.04178536466275073	0.4259411365622332	-3.7885918984633715	
PLF4	0.6392519769369817	0.018694735816659924	1.2598092180573035	6.27917018912	-2.050164012608471	0.04363935103574761	0.43093859147800767	-3.8209901280167533	
CXCL7	0.41803129183903853	-0.0013795618108847219	0.8374421454889618	6.642118556573333	-1.9836612099815427	0.05074023279188733	0.46314701776239336	-3.932949987391039	
FA12	-0.3558941651727759	-0.7136367770221803	0.001848446676628479	6.70978285916	1.9799242195728626	0.051166973692318644	0.46314701776239336	-3.9391436599384106	
LV319	-0.43163588833865846	-0.8673589343052568	0.004087157627939819	6.679731550266666	1.9715390781373672	0.0521356582565861	0.46314701776239336	-3.953003161883185	
FCGBP	-0.46308378292667574	-0.9321428877852672	0.005975321931915745	6.191095084946666	1.9648544089328135	0.05291905253194906	0.46314701776239336	-3.964014316811114	
ITA1	0.3294399067232727	-0.006128453690825764	0.6650082671373712	6.490412620733333	-1.9538605944410194	0.05422923942154606	0.46314701776239336	-3.982050768173102	
DCD	0.41093248259365917	-0.013748007137831197	0.8356129723251495	6.58228882372	-1.9257793972380999	0.05770155433234227	0.4798339781321094	-4.027708518982834	
DERM	0.4787669476216509	-0.022571884264526998	0.9801057795078287	6.540059472533334	-1.9006020334410185	0.06097315515251947	0.4852101637522865	-4.068139290002461	
LG3BP	-0.4263506926707774	-0.8760780256527478	0.023376640311193075	6.289447111826667	1.8867574054613405	0.06283795103107365	0.4852101637522865	-4.090167079804855	
KVD11	-0.38640402801289797	-0.7968230199211539	0.024014963895357955	6.8086575649466665	1.873753984863626	0.0646329690299795	0.4852101637522865	-4.110723963662585	
HV439	-0.3701100728081346	-0.7648217744522725	0.02460162883600331	6.77049005416	1.866161721309771	0.06570081785287014	0.4852101637522865	-4.1226669935869875	
IGLL5	-0.35345835927228875	-0.7318223021887579	0.024905583644180385	6.6730569314	1.8592033289691179	0.06669248901763856	0.4852101637522865	-4.1335743607987	
CD44	-0.37597639612862577	-0.7797530297074562	0.027800237450204712	6.59529240752	1.8531807128323377	0.06756090887690065	0.4852101637522865	-4.142985088275002	
F13B	-0.4482724306866044	-0.9339085377719156	0.03736367639870686	6.656437171346667	1.8370857765063586	0.06992831036214775	0.4910521349875264	-4.167998575018414	
