	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
CO4A2	0.6736344972827627	0.1682804696995892	1.1789885248659362	6.363407345803571	2.6655032586475187	0.009825653292781043	0.967234413325137	-4.120856450143108	
FHR5	-0.6705384496269131	-1.2227054528923254	-0.11837144636150099	6.244982259982143	-2.428308529009814	0.018134245439751503	0.967234413325137	-4.209976442061534	
CTHR1	0.44421177894093844	0.06573065806997508	0.8226928998119019	6.139404869875	2.3469102333767475	0.022193711222433448	0.967234413325137	-4.239279524846893	
LV861	0.6401431659534839	0.07954147087178909	1.2007448610351785	6.768283350678572	2.2833544665444645	0.025907071347014376	0.967234413325137	-4.261675040395658	
PXDC2	0.3496457257369208	0.03582745992334607	0.6634639915504956	6.3729759975	2.227925349452354	0.029584559113996187	0.967234413325137	-4.280849218550026	
SPRL1	0.6706107990241215	0.060897866990575644	1.2803237310576674	5.852997793696429	2.1993571816628776	0.031653914355460125	0.967234413325137	-4.290598517007531	
PA2GA	0.6561533795183955	0.04740320675862131	1.2649035522781698	6.260238051178572	2.1553455245636743	0.0350909246362096	0.967234413325137	-4.305437626778881	
HTRA1	0.41863298200796617	0.02433072988356	0.8129352341323723	6.362658048178571	2.123023557166325	0.03781886060693369	0.967234413325137	-4.316193874691639	
PLTP	0.5878726160896416	0.0336883606910513	1.142056871488232	6.849284007910715	2.121190517586805	0.037978961991260454	0.967234413325137	-4.316800250591164	
HPTR	0.5032541716618758	0.027655925627514732	0.9788524176962369	6.861419995267857	2.1159128147361246	0.03844323000560923	0.967234413325137	-4.318543944544098	
SODE	0.5972820399861412	0.032694708215871504	1.1618693717564108	5.499558249982143	2.115431447631242	0.03848581978563893	0.967234413325137	-4.318702821005782	
TIMP2	0.37300762090436057	0.013839812437011156	0.73217542937171	6.394695846392857	2.076686452437666	0.04205135970643653	0.967234413325137	-4.331401433629033	
SFRP2	0.4990883246974971	0.014556291435997293	0.9836203579589968	6.443101160928571	2.059707477458338	0.043702028240177	0.967234413325137	-4.336910262762053	
MSRE	0.41490772857223474	-0.018544506709152475	0.8483599638536219	6.634640069464286	1.9140836219921218	0.06030513155907966	0.967234413325137	-4.382718280203652	
FBN1	0.41448627629681883	-0.028397383035622892	0.8573699356292606	6.319547653464285	1.8714194043439831	0.06608568437780855	0.967234413325137	-4.3956375044678015	
FCGBP	0.4577481530063631	-0.03648385565853657	0.9519801616712629	6.263239575178571	1.852022938166101	0.06886457739350006	0.967234413325137	-4.401433902148348	
TENA	0.4202458993035932	-0.042912552537333615	0.88340435114452	6.552137172410714	1.8143644182596712	0.07454113912947104	0.967234413325137	-4.412548470715547	
CO6	0.26393162224617583	-0.037420773743816305	0.565284018236168	6.945075366339285	1.7513276640495672	0.08491752163894313	0.967234413325137	-4.430736124334208	
OSTP	0.8782235749794751	-0.12581142707823467	1.882258577037185	5.532887672892857	1.7490686975235388	0.08531055544756018	0.967234413325137	-4.431378085987364	
TIMP1	0.5133511863476171	-0.07864883408747547	1.1053512067827098	6.717468589482142	1.7339775799332988	0.08797506097437692	0.967234413325137	-4.435649173827097	
MFGM	0.4091379583921038	-0.06511010839646042	0.883386025180668	5.925338196607143	1.7251022197621333	0.08957397097585591	0.967234413325137	-4.438146768747797	
ITIH2	0.3001280905957321	-0.05110958848696523	0.6513657696784294	7.021501133910714	1.7086620592260968	0.0925990149073885	0.967234413325137	-4.442745035327496	
CO4A1	0.4448481491689677	-0.07654395030068345	0.9662402486386188	6.152612331892857	1.7060744198161257	0.09308272017265135	0.967234413325137	-4.443465453797111	
A4	0.4610569110625004	-0.08121419826747905	1.00332802039248	5.985906198428571	1.7001557115075236	0.09419691384643186	0.967234413325137	-4.445109845783359	
APOM	0.40556109220085995	-0.07693784524250641	0.8880600296442263	6.862596757232143	1.68077876369078	0.09792148497403712	0.967234413325137	-4.4504599255764274	
LAMA5	0.47101221947381355	-0.10179683431739162	1.0438212732650187	6.116787209375	1.6442692307720845	0.10526652649485439	0.967234413325137	-4.460400417802553	
PON1	0.569413011379067	-0.1250898733977609	1.2639158961558947	6.7380787219642855	1.6394718428871946	0.10626415585519147	0.967234413325137	-4.461692925693608	
FST	0.37813753683370255	-0.08759202187873855	0.8438670955461436	6.291234115821428	1.6235535514639503	0.10962954971818373	0.967234413325137	-4.465958713961684	
IGJ	0.4184363978977993	-0.10597369387659261	0.9428464896721912	6.776634802392857	1.595544949747742	0.11576022130836428	0.967234413325137	-4.473378588561847	
FCN3	0.3887868074230382	-0.09922010342186421	0.8767937182679406	6.954847951571429	1.5930748337288685	0.11631389356536748	0.967234413325137	-4.474027677484084	
MIME	0.4077159119035193	-0.10955440502033809	0.9249862288273767	5.518302239107143	1.57612527296924	0.12017083447936124	0.967234413325137	-4.478458434021557	
IBP5	0.4502855198645748	-0.12156759218185026	1.022138631911	6.186144925285714	1.574541536760041	0.12053640259382375	0.967234413325137	-4.478870363365911	
