	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
DERM	0.7909443280802916	0.33655000590682943	1.2453386502537538	6.404152589417722	-3.4618962126686568	0.0008488595134208835	0.2682396062409992	-1.7622829977390047	
SPRL1	0.6971551035578205	0.21048333286760867	1.1838268742480325	6.082707748063291	-2.8490120023259338	0.005523672776704072	0.5198604145323931	-2.755639740531606	
MIME	0.6660873800928856	0.1930670430924692	1.139107717093302	5.890192061316456	-2.8006085861070837	0.006338746892655221	0.5198604145323931	-2.828140705433324	
HV309	-0.4103042585430365	-0.709596823795315	-0.111011693290758	6.665941289721519	2.726535267013407	0.00780113478454063	0.5198604145323931	-2.9372674025438394	
CTHR1	0.448189500763607	0.11751507895291802	0.7788639225742959	6.303923736822785	-2.69564128633186	0.008497325044479717	0.5198604145323931	-2.9821192220421486	
IGLC7	-0.6714325722016481	-1.199955748288028	-0.1429093961152681	6.256332524405063	2.5266168794996844	0.013407804225487957	0.5198604145323931	-3.220425841283763	
OSTP	1.0407628079981528	0.1971022499976891	1.8844233659986165	5.8302669942658225	-2.4534942355931	0.016232050139017455	0.5198604145323931	-3.3197145765971383	
TARSH	0.3806049782399396	0.06205630163969106	0.6991536548401882	6.314854360683544	-2.3762913272439308	0.01978071858890749	0.5198604145323931	-3.421976835649068	
A4	0.444609904265976	0.07140663522104124	0.8178131733109109	6.1693791558734175	-2.3693799950540426	0.020129798586639817	0.5198604145323931	-3.4310012012736877	
CO3A1	0.5719189344779848	0.085237289393019	1.0586005795629507	5.879693263708861	-2.337171227784107	0.021829804323168764	0.5198604145323931	-3.472772072030067	
PGS1	0.4809842483432533	0.0698936736093162	0.8920748230771904	6.240556938797468	-2.326989148372	0.02239307492587777	0.5198604145323931	-3.4858788881025284	
PRELP	0.44609066940538034	0.06058510712364035	0.8315962316871204	6.2027743535316455	-2.3014074490603638	0.023865377806541656	0.5198604145323931	-3.5185996484960578	
MFGM	0.4425545826816952	0.05608066900471875	0.8290284963586716	6.131453666759493	-2.2774438629655083	0.02532142672326329	0.5198604145323931	-3.548978035896794	
HV169	-0.45237576595125384	-0.8491710298927233	-0.05558050200978443	6.583039837873418	2.267429931148787	0.02595271129236404	0.5198604145323931	-3.5615940690987014	
CO1A1	0.47576046077938167	0.04060215116214133	0.910918770396622	6.057433967253164	-2.1744132644644876	0.0325097542332461	0.5198604145323931	-3.6765468935304577	
