	N120B	N123B	N124B	N126B	N130B	N131B	N137B	N138B	N140B	N144B	N145B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N154B	N155B	N156B	N158B	N160B	N163B	N164B	N165B	N166B	N169B	N170B	N171B	N172B	N173B	N176B	N177B	N178B	N179B	N180B	N182B	N185B	N186B	N187B	N188B	N189B	N190B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N204B	N205B	N209B	N210B	N211B	N212B	N214B	N215B	N216B	N217B	N219B	N220B	N221B	N222B	N223B	N224B	N226B	N228B	N229B	N230B	N232B	N233B	N234B	N235B	N237B	N238B	N240B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N257B	N258B	N259B	N261B	N263B	N264B	N265B	N266B	N267B	N268B	N269B	N270B	N153AB
MMP2	6.756222713	6.320123598	5.986410935	5.802193217	5.563768278	7.658211483	6.373300197	6.610286657	6.914086097	6.037821465	6.705977902	6.296457407	6.345183447	6.521992956	7.010108453	6.427941333	6.388878339	4.638073837	6.994353437	5.822730148	7.330020516	6.985272714	7.383704292	6.988684687	7.477353527	5.997744026	4.666756592	6.970393538	6.187846909	6.301953395	6.469234794	7.06501215	6.147713722	6.491853096	6.635173947	6.693486957	6.746850183	6.387155718	7.196725061	5.842978832	6.888743249	4.906890596	6.694880193	7.732676223	6.802193217	5.520422249	5.970393538	6.470862199	5.395748328	6.390598906	6.898450233	7.081083929	7.500642736	7.345183447	6.375039431	6.692092375	7.339850003	5.581953751	6.789207575	7.102238194	7.06501215	6.602884409	7.957682486	8.547665748	6.037821465	5.937815169	6.50779464	6.793115555	7.128252152	6.635173947	7.283551423	6.283551423	5.738767837	7.347842794	6.785288981	6.207502459	7.041111535	7.198690586	6.693486957	6.937815169	6.584962501	6.081083929	5.044394119	6.296457407	6.48864354	6.385431037	6.534497434	6.938991439	6.307428525	6.856736756	6.441284272	5.292781749	6.277984747	7.356672044	6.981852653	7.152791852	6.937815169	7.271463028	6.459431619	7.084276911	6.911691582	6.911691582
AEBP1	6.345183447	6.809928866	5.057450272	5.593951284	6.769507291	4.008988783	5.343407822	6.133399125	6.726558779	5.599912842	6.752213368	5.112700133	6.797012978	6.43629512	7.422064766	6.350497247	7.032321287	5.193771743	7.880195729	6.917670434	7.333602628	7.304693557	6.635173947	5.303780748	6.820178962	5.318316841	4.882643049	7.659639187	5.62058641	6.300123725	6.087462841	6.381975479	6.841721581	7.92659251	6.745506266	6.48864354	6.495055528	6.498250868	7.427941333	4.754887502	7.053111336	4.916476644	6.626439137	5.62058641	6.781359714	5.074676686	5.554588852	7.138527801	5.442943496	6.169925001	7.17990909	7.900866808	7.218199944	7.397460726	5.944858446	5.968090752	7.399171094	5.658211483	6.82527683	7.131342539	6.601399391	6.694880193	6.840463234	6.177917792	5.760220946	6.04220656	7.176921112	6.307428525	6.978424465	7.500642736	7.262094845	5.918863237	5.708739041	5.947198584	7.321026129	6.816343705	6.715618859	7.832257114	6.171927354	6.427941333	5.655351829	5.133399125	4.817623258	5.961160258	5.61176256	7.05202456	5.862947248	7.022367813	5.614709844	6.411087227	6.575917361	4.03562391	5.906890596	6.752213368	7.016808288	7.593204354	6.290940402	7.341630009	6.137503524	6.619119511	5.95419631	7.586464526
ADIPO	6.856736756	7.402585758	7.632268215	6.574404309	7.200653436	6.259272487	5.703211467	6.539158811	6.285402219	7.658211483	5.426264755	6.102238194	7.222070355	6.020488678	6.539755621	6.944858446	6.770967189	7.154818109	6.65645158	6.697222946	5.635173947	6.962317655	6.129013024	5.974988112	5.221103725	6.705977902	7.880195729	5.862947248	6.929554316	6.658211483	7.265849421	7.311067102	7.396604781	5.632268215	7.057450272	6.002252452	8.043300754	6.818901676	6.352264173	8.451211112	6.441284272	7.441284272	6.627898616	5.789207575	5.165911939	7.39145842	7.352264173	6.58044702	6.995778513	7.222070355	6.426264755	6.850673612	6.672425342	6.743396505	5.482202926	6.93191939	7.238404739	8.24697806	6.287250643	6.424586226	7.30560579	5.62058641	6.089582893	6.508072892	6.870745784	6.531381461	5.87774425	5.388878339	7.298291731	6.770062319	6.006746832	5.551516018	6.614709844	6.118941073	6.022367813	6.569855608	6.74819285	6.157852169	5.995484519	6.714245518	7.107478647	6.361066489	7.510170751	7.101187815	6.820971673	6.385431037	7.217230716	6.723149133	7.563005553	6.355791547	6.371558863	4.62058641	6.841721581	7.302867361	6.106432078	6.781067364	5.875288598	4.897240426	6.327328083	5.783980414	6.456149035	7.108524457
AFAM	6.627898616	5.857980995	7.093813673	6.696272084	6.177917792	6.783980414	8.40641762	5.053111336	6.253611152	7.144658243	6.51412226	4.044394119	7.419538892	7.325530332	6.287250643	6.694880193	6.296457407	6.74281467	6.974988112	6.437960088	6.139551352	5.770829046	6.906890596	5.61176256	6.169925001	6.203592714	6.417852515	6.296457407	6.03562391	6.046578367	6.361066489	6.022367813	4.930737338	6.806066226	5.572889668	6.224966365	5.749534268	6.758889433	5.270528942	6.215290306	5.236492618	4.5360529	5.762880293	6.462706751	6.892391026	6.638073837	6.033423002	6.749534268	6.037821465	5.82527683	5.852997588	5.554588852	6.341630009	7.410239331	6.426264755	6.996614715	6.40599236	4.972692654	6.268658955	5.8899602	6.002252452	7.501439145	5.897240426	6.622051819	6.953032377	6.093813673	7.378511623	6.887525271	5.802193217	5.981852653	6.953032377	5.169925001	7.077883864	7.047669251	7.464341533	6.520422249	6.139551352	5.984133595	6.171927354	6.133399125	4.008988783	8.079484784	6.577428828	7.648177796	7.002252452	6.469234794	7.302867361	6.23457796	7.023477152	5.232660757	6.971543554	7.721782768	6.760220946	6.311067102	6.51412226	5.285402219	4.911691582	5.617651119	6.352264173	4.498250868	5.475733431	6.309248961
PGCA	5.608809243	6.203592714	6.230741003	6.033423002	5.50779464	4.986410935	6.927185358	6.321928095	5.572889668	6.793115555	5.738767837	8.411510988	4.749534268	5.9795681	6.995484519	6.141596278	5.584962501	7.475733431	6.947198584	4.958842675	7.096978636	5.899659026	5.28169825	6.54225805	6.882643049	6.850499414	7.290940402	8.271929844	7.108524457	5.663913842	9.107478647	7.685099172	7.008988783	5.5360529	5.749534268	6.392317423	7.006746832	5.632268215	7.87036472	7.561478892	6.175923742	8.798957748	7.021257621	6.465974465	5.539158811	5.855491443	6.520422249	7.026800059	6.871597266	8.088523257	7.034523875	7.474111514	6.671010241	5.402585758	4.590961241	8.240314329	7.768184325	7.017921908	7.155830172	6.209453366	6.268658955	5.666756592	5.770829046	6.917670434	9.354690169	5.725195817	5.40599236	6.665335917	6.760220946	7.518849829	6.336283388	6.630813152	8.164906927	5.478971805	6.776103988	5.744161096	5.902073579	6.972692654	5.909293086	6.199672345	7.864186145	7.468420402	6.255500733	7.004501392	8.326878855	6.817623258	8.52160044	6.03562391	6.159871337	6.195741293	7.090641752	6.601399391	6.893604905	6.339850003	6.711494907	6.66106548	5.06608919	6.03562391	6.813781191	6.957682486	6.14974712	9.508190931
A1AG1	5.578938713	4.678071905	7.411087227	3.944858446	6.388878339	8.095397023	7.147713722	4.827819025	5.385431037	6.554588852	6.175923742	3.185866545	6.033423002	5.963474124	5.078951341	6.756222713	6.037821465	7.117902789	5.057450272	5.236492618	5.354028938	5.491853096	7.082149041	8.440453944	8.859845344	7.700439718	6.610286657	5.852997588	4.504620392	5.551516018	5.173926932	6.046578367	4.614709844	6.053111336	5.074676686	5.300123725	4.399171094	5.605849867	4.711494907	4.392317423	4.03562391	4.357552005	6.409390936	9.301267541	6.181897643	5.970393538	5.675251386	5.554588852	6.081083929	6.074676686	5.911691582	4.153805336	5.165911939	7.04220656	6.404290064	5.773468928	6.033423002	4.727920455	5.354028938	4.958842675	4.791814071	6.483815777	4.977279923	8.761551232	6.257387843	5.725195817	6.862947248	5.995484519	5.485426827	5.862947248	4.981852653	4.255500733	6.94602899	6.244125943	7.00337736	5.916476644	4.5360529	5.632268215	4.986410935	4.786596362	1.925999419	6.904484098	7.780703794	6.332707934	6.512542955	5.402585758	6.181897643	6.029011087	7.124121312	4.307428525	6.592457037	9.274960472	6.937815169	7.085339669	5.449561375	4.129283017	4.201633861	4.145677455	5.981852653	4.153805336	4.596935142	4.412781525
A1AG2	6.715618859	5.587964989	7.059614856	5.165910621	6.575917361	7.390598906	8.174426394	5.285402219	5.894817763	7.406842755	6.745506266	3.700439718	6.730639956	6.581953751	5.776103988	6.746850183	6.224966365	6.832890014	6.270528942	4.837943242	5.855491443	5.236492618	7.118941073	6.851749041	5.794415866	5.638073837	6.199672345	7.068240861	6.12722055	6.133399125	5.303780748	6.031218731	4.981852653	6.28169825	5.733354341	6.488302018	5.738767837	6.074676686	5.004501392	4.944858446	6.113802396	5.449561375	6.323730338	10.0965834	6.711494907	6.964629667	5.48864354	6.718361626	6.181897643	6.224966365	5.916476644	5.217230716	5.791814071	7.627898616	6.61795167	6.496654083	6.209453366	7.288173968	6.414473836	4.986410935	6.385431037	6.803485376	5.28169825	6.512542955	6.957682486	6.091699834	7.469234794	7.374170076	5.608809243	6.816343705	5.517275693	4.822730148	7.563768278	7.930737338	7.01346226	6.371177851	5.882643049	6.061776198	5.575917361	5.181897643	5.683696454	7.544578117	7.525912261	7.332707934	6.883865155	5.935459748	7.294620749	5.663913842	6.755013424	4.892391026	7.171927354	11.44589427	7.190812368	4.343407822	5.529820947	4.62058641	4.596935142	5.95419631	6.157852169	4.017921908	5.311067102	4.847996907
AACT	6.242221395	6.470862199	8.678424083	4.371558863	6.851749041	8.747185967	7.97441459	5.482202926	6.95070169	6.846744023	7.495855027	4.963474124	6.714245518	6.793115555	6.177917792	6.746850183	6.376776572	7.381975479	5.815063017	6.531381461	6.238404739	6.151777655	6.821455119	6.369815424	6.447909749	7.205548911	5.95419631	6.768184325	5.381975479	5.449561375	6.673839056	5.83541884	5.236492618	6.914086097	6.48864354	6.022367813	5.472487771	6.714245518	5.587964989	5.963474124	4.902073579	6.768184325	6.74281467	5.432959407	7.328226119	5.783980414	6.633721813	6.249824549	6.5360529	7.601399391	6.506208389	5.815063017	6.680886921	7.252665432	6.987548259	7.112700133	5.815063017	6.930737338	6.545350645	6.470862199	5.933100475	7.373300197	6.249824549	5.882643049	7.558420713	7.019034669	7.584210901	6.904484098	5.956521363	6.024585638	5.988684687	5.28169825	6.971543554	6.616181231	7.20261362	6.008988783	6.48703608	6.133399125	5.539158811	5.757556689	4.177917792	7.673132372	7.615445725	7.115823977	6.499845887	6.074676686	5.725195817	5.472487771	7.394891366	4.459431619	6.727920455	7.667466405	7.226893814	5.925999419	6.068240861	5.343407822	5.040015679	5.213347282	5.974988112	4.812498225	5.566815154	5.116863758
A1AT	6.972692654	6.711494907	7.841092545	5.581953751	6.898450233	8.364134655	8.131856961	5.649615459	6.951867504	7.099084761	7.214319121	4.209453366	6.948367232	7.399171094	6.203592714	6.86913112	6.008988783	7.110613806	6.263034406	5.914086097	6.685099172	5.925999419	6.768184325	6.54689446	6.44625623	6.949534933	6.307428525	6.754887502	5.545350645	6.253611152	6.296457407	6.714245518	5.381975479	6.559185866	5.99095486	6.213347282	5.892391026	6.669593751	5.812498225	5.54225805	4.949534933	5.432959407	6.704595348	6.992088609	7.648177796	7.03562391	6.752213368	7.123086751	6.183883459	6.923624611	6.355791547	5.683696454	6.195741293	7.041111535	6.653919873	6.520422249	6.321928095	6.141596278	6.232660757	5.510961919	5.482202926	7.50779464	6.074676686	6.944858446	7.314696526	6.165911939	7.478971805	6.902073579	5.894817763	6.504620392	6.834154981	4.87774425	7.520422249	8.09011242	7.429615964	6.61176256	6.287250643	6.346956889	5.937815169	5.977279923	4.247927513	7.383704292	8.135965742	6.978424465	6.804776378	5.716990894	6.441284272	6.292781749	7.578183968	5.09592442	6.58044702	7.976134473	7.12722055	5.557655155	6.832890014	5.274261661	5.439623138	5.22881869	6.246027981	4.694880193	5.746850183	5.456149035
A1BG	6.556122818	6.699051844	7.687900522	5.532940288	6.45779126	7.900866808	7.682292371	5.855491443	6.93191939	7.157852169	7.087462841	4.529820947	7.285402219	7.296457407	6.203592714	6.980710829	6.416164165	6.861707287	6.407692649	7.317412614	6.334496768	5.984133595	7.107478647	7.056366761	6.831623937	6.930737338	6.316507819	6.470862199	5.947198584	6.452858965	6.876516947	5.510961919	6.108524457	6.855491443	6.296457407	6.787902559	6.253611152	6.464341533	6.085339669	7.503825738	6.364572432	5.730639956	6.483815777	6.749534268	6.929554316	7.357552005	6.557655155	6.8008999	6.373300197	6.836681593	5.947198584	5.9795681	6.651051691	7.273329387	7.154818109	6.918863237	6.839203788	6.74281467	6.668175869	6.226893814	5.799605422	7.049848549	6.341630009	6.653919873	6.903279342	6.765534746	7.510170751	6.726558779	6.129283017	6.518849829	6.525129251	6.0725346	6.937815169	7.150762744	7.368942914	6.827819025	6.399171094	6.469234794	6.0	6.063934306	5.875288598	6.933100475	7.504620392	6.811214118	6.897240426	5.897240426	5.722466024	6.298291731	6.854245054	5.177917792	6.044394119	7.368069877	7.132371199	6.399171094	6.366322214	5.649615459	5.429615964	5.575917361	6.685099172	5.485426827	5.449561375	6.314696526
