	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
C1QBP	0.4026140728997298	0.10559373197694288	0.6996344138225167	6.596147441607843	-2.687100756074248	0.00835734814247596	0.8583545957930683	-3.849812393156622	
S10AA	0.27413275011939836	0.06012196410746429	0.48814353613133243	6.592420450088235	-2.5392558005405146	0.012544499919924592	0.8583545957930683	-3.940937680972677	
PEPD	0.3675474747783715	0.07397743956086011	0.6611175099958829	6.432614637117647	-2.4818921799607168	0.01462186388674719	0.8583545957930683	-3.975184204970372	
HMCN1	-0.37081056570674276	-0.6724093110375067	-0.06921182037597884	6.4869969463823525	2.437270668814808	0.01644499566020893	0.8583545957930683	-4.001385002400584	
FRIH	0.5939852613615618	0.09492311020549582	1.093047412517628	5.6831138113039215	-2.3594035414893892	0.02011569602043306	0.8583545957930683	-4.0461735890863135	
COEA1	-0.5448201469955625	-1.0102179334766386	-0.07942236051448626	6.342024654754902	2.3206520989332815	0.022199479500167915	0.8583545957930683	-4.068014992883942	
CO2	-0.352847378085243	-0.6579038753583716	-0.04779088081211447	6.521412305117647	2.2929142199397003	0.023805735923985914	0.8583545957930683	-4.083463819748261	
SFRP2	0.4436461849387342	0.056410443430353285	0.8308819264471151	6.3937939710784315	-2.2711326880062566	0.025137855815331185	0.8583545957930683	-4.095486247213402	
FRIL	0.644965111390763	0.05099257865933282	1.238937644122193	5.470995523186274	-2.1525391185150444	0.0335991253457734	0.8583545957930683	-4.159240810387304	
LBP	-0.5702910733401442	-1.1147525369628577	-0.025829609717430646	6.228462292784314	2.0763980852008053	0.04024978559353449	0.8583545957930683	-4.198631137558788	
CD59	0.3030182109458331	0.01213368962844541	0.5939027322632208	6.601133307098039	-2.065044002079769	0.0413327441078731	0.8583545957930683	-4.204400105046701	
COCA1	-0.4410477464804906	-0.8674393028010137	-0.014656190159967608	6.349456772058823	2.0504925880909304	0.04275717555708157	0.8583545957930683	-4.211753538899021	
ADIPO	0.2980711887316015	-0.0015046840565771102	0.5976470615197801	6.594396994215686	-1.9723971149713606	0.05114115619334268	0.8583545957930683	-4.250443497042233	
CATS	0.3423260396413991	-0.002464334315199601	0.6871164135979979	6.268576437529412	-1.968185353511321	0.05163048352330582	0.8583545957930683	-4.252492709218491	
