	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
HV372	-0.7337969115849697	-1.131915164659847	-0.3356786585100924	6.5747943787125	3.664634171322602	0.0004298853834733606	0.13584378117758195	-0.24504335009403366	
CCL18	-0.6911477726942905	-1.124754206061394	-0.25754133932718704	6.5521091259375	3.1691444346362716	0.0021246134495480685	0.18686610977201792	-1.4976541048570464	
IGHG3	-0.6546230145259817	-1.0661109003812903	-0.24313512867067305	6.3605865597	3.163013551675908	0.0021650012581231194	0.18686610977201792	-1.5123157375272154	
HDGF	0.4346757972241663	0.14734844048321993	0.7220031539651127	6.5258813871625	-3.007844074328935	0.0034591957942372705	0.18686610977201792	-1.8761642219221977	
S10AB	0.4111773416320162	0.13602500174718096	0.6863296815168514	6.5952491456	-2.97113784407499	0.0038559354704204335	0.18686610977201792	-1.9601655174852999	
KV240	-0.5996995325200809	-1.0022104441609414	-0.19718862087922034	6.3685228914875	2.962258056214017	0.003958035229612925	0.18686610977201792	-1.980365756874007	
IC1	-0.4416742977472367	-0.7474965233957431	-0.1358520720987303	6.4043752861625	2.871441148773353	0.00515540278255859	0.18686610977201792	-2.184225862636827	
A2AP	-0.6450319082843301	-1.0928869999203559	-0.1971768166483044	5.78704861755	2.8635879075086677	0.005273228621085279	0.18686610977201792	-2.201618196251849	
S10A6	0.4616704250232191	0.13866534511381307	0.7846755049326251	6.6310400805125	-2.841774014740902	0.005613619579031408	0.18686610977201792	-2.2497296523179906	
IGHG2	-0.5013038494752349	-0.8543030809088148	-0.148304618041655	6.4487945855	2.823541119635035	0.005913484486456263	0.18686610977201792	-2.289717574386328	
CFAH	-0.39597355078067803	-0.6849299407632147	-0.10701716079814139	6.515249765625	2.7245872013550274	0.007812704338805697	0.2244376882784182	-2.5031208108324425	
AMBP	-0.33694462524634666	-0.5868444965736923	-0.08704475391900099	6.3867337957375	2.6807686603809873	0.00881939407316449	0.2322440439266649	-2.59564245199068	
KVD20	-0.5434262306132875	-0.9650080300401493	-0.12184443118642568	6.3904767794625	2.5628641223476576	0.01213991511730134	0.2950933213128633	-2.838451119246385	
PROP	-0.4044972360987175	-0.7232601468045308	-0.08573432539290432	6.5764664161875	2.522984670172156	0.01349593092314971	0.2965377189749904	-2.9185205761470545	
FIBB	-0.5738757326284346	-1.040413232027683	-0.10733823322918618	6.200872306825	2.4456715980217107	0.016518513603881336	0.2965377189749904	-3.070737844946039	
ITIH4	-0.4116873333869946	-0.7511305531524958	-0.07224411362149341	6.271474864475	2.411388602462386	0.01804267564606583	0.2965377189749904	-3.1369511188510795	
ANXA1	0.33539102146656075	0.05551028155086446	0.615271761382257	6.539809325325	-2.382567733381776	0.01941968940860911	0.2965377189749904	-3.1919986005865257	
THIO	0.3511555808199201	0.05551585040739221	0.646795311232448	6.5959339228	-2.3615851782677755	0.020480200311748627	0.2965377189749904	-3.231718881259323	
C1R	-0.3614602634601204	-0.6711249012072422	-0.051795625712998505	6.3175335367375	2.3207896773987806	0.02269016518550221	0.2965377189749904	-3.3080814279121307	
CATL1	0.3500155046812668	0.04815344425605683	0.6518775651064768	6.4259773426375	-2.305396278577697	0.023577341333885043	0.2965377189749904	-3.3365974075257028	
FA12	-0.36682850154913743	-0.6833325148292679	-0.05032448826900693	6.16390728525	2.3043619083061286	0.023638039629453694	0.2965377189749904	-3.338507683907593	
LAMB1	0.33492696129857347	0.045469902774047166	0.6243840198230998	6.4195688614	-2.300555960558874	0.02386256747686176	0.2965377189749904	-3.3455301358917167	
LEG1	0.3806693101490934	0.05134414285036282	0.709994477447824	6.65649068415	-2.29821037583475	0.024001878479395694	0.2965377189749904	-3.349853037264184	
PRDX1	0.3143511752877609	0.040489349707338806	0.588213000868183	6.464251124675	-2.2821827932924883	0.024973156269181833	0.2965377189749904	-3.3792896646076205	
ZA2G	-0.4227844646491557	-0.7922239848795478	-0.05334494441876353	6.3452334389375	2.275320114624672	0.025399518706922822	0.2965377189749904	-3.39183925119714	
IGHG4	-0.4329008138324128	-0.8125952177634264	-0.05320640990139924	6.3338584158375	2.2668409159630376	0.02593515508262334	0.2965377189749904	-3.4072996462543728	
FIBA	-0.5112136021129401	-0.9618928199067827	-0.06053438431909747	6.239696773725	2.2552864260095618	0.02668104807886431	0.2965377189749904	-3.428286619370677	
HEMO	-0.4217816481467962	-0.7947668373186579	-0.048796458974934454	6.2760423383125	2.2483448807705435	0.027138165307325265	0.2965377189749904	-3.4408500454207656	
PLMN	-0.4768530002149418	-0.9019129895289997	-0.05179301090088395	6.0903243683875	2.2304943606560914	0.02834538891949867	0.2965377189749904	-3.4730026183629543	
CFAI	-0.36707633687307395	-0.69670284395036	-0.03744982979578798	6.3808526122375	2.214119708908081	0.029493946727023247	0.2965377189749904	-3.502300205764537	
ANX11	0.32694730142326633	0.031951820216533866	0.6219427826299988	6.4020761506375	-2.203582074076995	0.030254446126753074	0.2965377189749904	-3.521054408087242	
HV374	-0.4803198444918847	-0.9141005684333116	-0.046539120550457835	6.3868573250375	2.201542723316751	0.03040359013258774	0.2965377189749904	-3.524674873423248	
GANAB	0.28033601604815417	0.025964272097463992	0.5347077599988443	6.3905751506375	-2.1911740036421476	0.031171869222643995	0.2965377189749904	-3.5430370865432557	
KVD11	-0.48164261520229884	-0.9211878613232378	-0.04209736908135986	6.478494481275	2.178653457109556	0.03212214218444751	0.2965377189749904	-3.5651087286397125	
ANXA5	0.3409140727690899	0.02761749366507077	0.654210651873109	6.5063754377125	-2.163496083404425	0.03330626905332073	0.2965377189749904	-3.5916800435268925	
S10AA	0.26121640022076265	0.019420502227617015	0.5030122982139082	6.6121152401	-2.1479212193247035	0.034562427919247116	0.2965377189749904	-3.618813236585816	
FIBG	-0.5254809857931562	-1.0123325404120687	-0.038629431174243556	6.2111268818375	2.1459879643693345	0.03472118861416027	0.2965377189749904	-3.6221691434029712	
F13B	-0.5556291972220937	-1.0760974851776512	-0.03516090926653603	6.210385219925	2.1225485014943586	0.03669705409185211	0.30516497613224386	-3.662645206511719	
IGLC2	-0.36469990413785613	-0.7105265910007266	-0.018873217274985754	6.418512605025	2.096737112118778	0.03898493626608076	0.3158779451302954	-3.7067624104970274	
TRFE	-0.38011947807888463	-0.7430978402643631	-0.017141115893406167	6.3454070419375	2.082122247733683	0.040334269284630964	0.31806349750994956	-3.7315302058455613	
HV309	-0.34246374714014444	-0.6710412888560875	-0.013886205424201381	6.3724816142375	2.072256761301846	0.04126773227186054	0.31806349750994956	-3.7481622684510825	
CO4B	-0.38077360513880315	-0.7554480388280546	-0.0060991714495517435	6.2598994008624995	2.0205965792350042	0.04646552125720328	0.3425200717329275	-3.8341058709551854	
A1BG	-0.2877396810123062	-0.5710599372769334	-0.004419424747678924	6.560299310975	2.0192447804967038	0.0466087439383414	0.3425200717329275	-3.8363287615753814	
HV102	-0.43596122310280266	-0.867927594924648	-0.0039948512809573344	6.424412092625	2.0066182635182037	0.047964875217976065	0.3444750129291008	-3.8570274530298487	
FHR3	-0.531922937381238	-1.0625729935657056	-0.0012728811967702702	6.2258249889625	1.9930001929821006	0.04946518528395434	0.34735552332732383	-3.8792212290997563	
ANXA6	0.36272483290250507	-0.0056272267812108034	0.731076892586221	6.4802603850375	-1.9578572507589933	0.053523111310199496	0.34787336867574226	-3.935867557639444	
HV307	-0.35631029284769095	-0.7187586396024368	0.006138053907054852	6.4950646214	1.954560339291423	0.053917925317778746	0.34787336867574226	-3.9411352810282656	
CO3	-0.3166307884303685	-0.6413209599763272	0.00805938311559018	6.363478051325	1.938879580370517	0.05582976554100897	0.34787336867574226	-3.966080073115907	
VTDB	-0.2854581325656749	-0.5786632211422869	0.007746956010936945	6.4370266698	1.935698681482698	0.056224521732801486	0.34787336867574226	-3.9711181049802096	
KV315	-0.43688750114447017	-0.8859361037563962	0.01216110146745586	6.4039708619875	1.9343858561673535	0.056388134237999134	0.34787336867574226	-3.973195232618421	
HV330	-0.36785199354366943	-0.7469554064099226	0.011251419322583722	6.5149187305	1.929222227235933	0.05703557646354383	0.34787336867574226	-3.9813526863887936	
SRPX2	-0.32276068092276	-0.6568574660390318	0.011336104193511776	6.4804793046	1.9207691133772498	0.058109052250954724	0.34787336867574226	-3.9946643208614683	
PEDF	-0.3471866960695307	-0.707187195368634	0.012813803229572596	6.4882299999625	1.9174621900989561	0.058533628960744474	0.34787336867574226	-3.999857556947365	
