	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
CHIT1	-1.8417459621678136	-2.7741542393752328	-0.9093376849603945	5.24223168024	3.933891705436439	0.00018297398406745487	0.03779451291274845	0.6556059308571971	
SELE	-1.0587430439488104	-1.653358134048307	-0.4641279538493136	5.853906613546666	3.546120078172535	0.0006724168063896191	0.03779451291274845	-0.46838148831021886	
ANGPTL4	-1.0069077186209276	-1.5784165264413896	-0.43539891080046567	3.3198408802133335	3.5088559239266837	0.0007587875075828954	0.03779451291274845	-0.5722366334129472	
P4HB	-0.8925955749014416	-1.410560678208329	-0.3746304715945541	4.635884080213334	3.432045385631642	0.0009710366037524445	0.03779451291274845	-0.7838846666987127	
CD164	-0.8690002760381312	-1.3788367130322832	-0.3591638390439793	3.7097692802133335	3.3945939904400966	0.0010937997988012267	0.03779451291274845	-0.8858790006145405	
TIMD4	-0.9364358587545312	-1.4932742437452737	-0.3795974737637887	5.662119680213333	3.349250759528288	0.0012620251755749146	0.03779451291274845	-1.008295205527558	
AHCY	-0.6162501229479986	-0.9866773329425402	-0.2458229129534571	1.1905381723066666	3.3132402786333643	0.0014126756906873003	0.03779451291274845	-1.10467004295029	
LAMA4	-0.9898805393420717	-1.5860368563525484	-0.393724222331595	6.938292346906667	3.3069028020142266	0.0014408791103341736	0.03779451291274845	-1.1215529559561448	
GLRX	-0.7757680791109389	-1.2501193969580218	-0.301416761263856	1.2052980566266667	3.257096216603354	0.0016816748444260369	0.03779451291274845	-1.253416099717506	
SERPINB8	-1.288435922065684	-2.078137868702615	-0.49873397542875286	3.7467554135466665	3.249364340521735	0.001722280224143299	0.03779451291274845	-1.2737549319652794	
LILRA5	-0.563139623640485	-0.9084341460280672	-0.21784510125290274	0.9870516644266667	3.2480685872134747	0.001729174412393101	0.03779451291274845	-1.27715996067956	
IL-18BP	-0.9624045032435112	-1.5561948896727178	-0.36861411681430467	3.166637413546667	3.2279238334612748	0.001839740376297836	0.03779451291274845	-1.3299685281773055	
SNAP29	-1.0853241731234582	-1.7559005131367624	-0.41474783311015384	6.164697680266666	3.22336914165289	0.0018656409604176649	0.03779451291274845	-1.3418748807109546	
NID2	-0.7401235307560347	-1.204415808500993	-0.2758312530110762	2.14190594688	3.1747647206685685	0.0021641316735109936	0.03779451291274845	-1.4681548006820817	
SHPS-1	-1.1432060447443981	-1.8611687365286063	-0.42524335296019	3.3808408802133334	3.1711839081678925	0.002187801576754719	0.03779451291274845	-1.477401738876913	
RELT	-0.9637145599311445	-1.5749381090475552	-0.3524910108147339	4.467857280213333	3.1401264433312797	0.002403486340308521	0.03779451291274845	-1.5572758998241278	
TIE1	-0.7428353415112602	-1.215665137296262	-0.27000554572625857	1.1285570422533333	3.12886276969109	0.002486498310593591	0.03779451291274845	-1.586098382938851	
PAG1	-0.5736546734703303	-0.9408716651482014	-0.2064376817924592	0.8669526959866667	3.1111901964630673	0.00262215084109117	0.03779451291274845	-1.631163443929502	
CASP-3	-0.9214727625966237	-1.5144058814292216	-0.3285396437640258	8.014576480213334	3.095106431608725	0.0027515737793808244	0.03779451291274845	-1.6720096012063488	
CA13	-0.7019964363878273	-1.1538379971876105	-0.25015487558804406	1.1580417645466667	3.0941939049360827	0.002759092197230852	0.03779451291274845	-1.6743222462146967	
CD97	-0.720497341978868	-1.1850773590529404	-0.25591732490479535	5.11686434688	3.0886638948858174	0.002805065481037216	0.03779451291274845	-1.688326080898264	
ITGA5	-0.702215391325031	-1.1554926082026817	-0.2489381744473803	2.4249250135466665	3.0853557572843555	0.0028329073736683406	0.03779451291274845	-1.6966943208284357	
IL2-RA	-0.8562637871392916	-1.4099236707085427	-0.3026039035700405	2.7813652802133335	3.080089344676567	0.002877761809930051	0.03779451291274845	-1.7100021715068614	
DAB2	-0.8679556316331757	-1.4386877835163556	-0.29722347974999586	1.3494738054666666	3.028753858616171	0.0033509586812626507	0.03779451291274845	-1.8388159634878996	
IGF2R	-0.9018227964861202	-1.4962098214077941	-0.30743577156444624	3.3240884802133333	3.0216953959134143	0.0034214019626531023	0.03779451291274845	-1.856398020239499	
COMT	-0.8838678763934691	-1.4699788062112769	-0.2977569465756613	1.7713545553333334	3.0033526109846767	0.0036109405447579445	0.03779451291274845	-1.9019411308489533	
IL7R	-0.6046142888517618	-1.0060913726746359	-0.20313720502888782	1.5005545202266666	2.9992760511961354	0.0036543660575262694	0.03779451291274845	-1.9120338170391507	
STIP1	-0.787738968985022	-1.3118034472779112	-0.2636744906921329	4.433822480213333	2.9936181319389736	0.0037154397393460224	0.03779451291274845	-1.9260241141396022	
NADK	-1.1756701333334942	-1.9615226263906145	-0.3898176402763739	4.133323813546666	2.979499002139477	0.003871996988276347	0.03779451291274845	-1.9608475062320698	
CHL1	-0.5699863871006474	-0.9510973808244683	-0.18887539337682652	0.9570017997466667	2.9785973638976175	0.0038821993347318323	0.03779451291274845	-1.963066986454613	
IL-1RT1	-0.5932084613460066	-0.9898564163764587	-0.19656050631555438	2.33749834688	2.978522680903881	0.003883045514133064	0.03779451291274845	-1.9632508034558676	
PILRB	-0.7987840022114191	-1.334140171028317	-0.26342783339452114	4.246701280213333	2.971565729544575	0.003962623088651752	0.03779451291274845	-1.980358295567243	
PARK7	-0.5955378667306002	-0.9952801888280312	-0.19579554463316917	6.26394314688	2.967071718676367	0.004014828095183041	0.03779451291274845	-1.9913928364838513	
APOM	-0.9218783149819993	-1.5449369636949055	-0.2988196662690933	3.98251274688	2.94675116917956	0.0042589262639395956	0.03779451291274845	-2.041125981773781	
TYMP	-1.4594560675384791	-2.4500351820943256	-0.46887695298263254	5.63779474696	2.9342739186589872	0.004415534563074772	0.03779451291274845	-2.071531558476438	
BLM hydrolase	-0.7010440599497596	-1.1780116278924226	-0.22407649200709656	7.0154514135733335	2.92721928882314	0.004506419191572401	0.03779451291274845	-2.088678382157715	
FUCA1	-1.2344979708543071	-2.0788365138023823	-0.39015942790623204	8.003356613613333	2.911873873370933	0.0047101121305481546	0.03779451291274845	-2.1258653393654776	
FCGR3B	-0.81834157288903	-1.379303588483418	-0.257379557294642	4.42994234688	2.905360004295181	0.004799118864434775	0.03779451291274845	-2.1416043733888173	
TNF-R1	-0.7897055593612747	-1.3311189276169217	-0.24829219110562772	4.006385280213333	2.9049256042754235	0.0048051094432617234	0.03779451291274845	-2.1426530044791727	
SERPINB6	-0.7710878806387452	-1.3004573327068742	-0.2417184285706162	4.10374354688	2.900973724032816	0.00485992547246485	0.03779451291274845	-2.1521871076014345	
