	N120	N123	N124	N126	N130	N131	N138	N140	N141	N142	N144	N146	N148	N149	N150	N151	N153	N158	N160	N161	N163	N165	N166	N169	N171	N172	N175	N176	N178	N179	N182	N183	N185	N186	N187	N188	N189	N192	N197	N200	N201	N202	N203	N205	N210	N212	N214	N215	N216	N221	N222	N224	N226	N228	N229	N232	N233	N238	N239	N240	N242	N244	N245	N246	N248	N250	N252	N254	N255	N261	N262	N265	N267	N268	N270
PRCP	3.97530207	5.481558767	2.489264185	5.54600155	3.261134234	6.587712953	3.813161684	5.220097227	4.16922	4.70203	6.735196139	4.818536176	8.948028688	4.136155195	2.079936476	6.31139957	6.136518377	5.841013689	3.271878852	4.969531684	5.921984107	5.605078934	3.277137379	4.036353689	4.416598767	6.594926266	3.34916	4.110251268	4.039193093	2.497167499	4.348563754	3.58322	7.367728688	3.396546476	5.076730581	3.961740581	5.600296139	4.79442155	4.660615663	5.212340672	4.496741905	5.437340848	6.339697338	3.18276	5.656622759	3.998777379	4.96868207	5.435930581	4.180238934	4.594507379	3.266466476	5.19851147	4.564601733	5.377037227	3.632063093	4.49460147	4.251553349	2.219796176	6.395891905	2.801625663	1.978966999	4.03966	5.21227147	3.352995254	4.885101268	4.208893689	5.01048	0.822905254	6.556431503	4.788618852	1.71515	7.388268688	3.838326472	5.809158852	5.000437338
CA1	10.18711207	10.38600877	8.488524185	10.13044155	10.10786423	9.739882953	9.610361684	9.634737227	9.71845	8.86205	9.856706139	10.82878618	12.14739869	9.397885195	9.977446476	9.90844957	9.187528377	10.04649369	10.27386885	9.431451684	9.289014107	9.369308934	9.317887379	11.04080369	10.05045877	9.405506266	9.20362	9.536211268	10.18378309	10.2808275	9.624293754	10.05173	9.976538688	9.000136476	9.567200581	9.977450581	9.594166139	10.11454155	9.889445663	9.303080672	9.861631905	9.253590848	10.44272734	9.83719	10.40120276	10.15527738	9.67401207	10.18809058	9.876348934	9.076417379	9.246806476	8.33761147	10.09422173	9.648447227	9.127973093	9.69547147	10.22140335	9.824966176	9.826661905	9.322045663	8.475966999	9.77033	9.60932147	10.29345525	9.667531268	9.889553689	9.55337	7.946295254	9.611001503	9.630108852	9.57015	9.992158688	9.583396472	9.841678852	9.594127338
ICAM1	6.91715207	8.440538767	6.991184185	8.57183155	7.747864234	9.650312953	8.594271684	8.239267227	8.64437	6.45572	9.936956139	8.967516176	11.58351869	7.781755195	8.119336476	9.62865957	9.306688377	9.201223689	7.202498852	7.200201684	6.862954107	9.316178934	6.214707379	7.496753689	8.612618767	9.017686266	6.77682	8.045951268	8.352103093	6.531417499	9.318663754	7.40653	9.960358688	5.837386476	8.052330581	8.422200581	8.906166139	8.55429155	7.187325663	8.853090672	8.695061905	7.810570848	9.204227338	6.75389	9.063822759	7.754087379	8.73946207	8.858830581	7.835198934	9.606107379	7.566936476	8.72736147	8.710311733	8.366477227	8.304783093	8.65429147	9.045723349	7.783676176	9.679151905	7.891175663	6.326926999	8.20552	9.59503147	7.825835254	9.185451268	8.503003689	6.31838	6.734085254	9.759201503	8.493198852	7.66315	10.12972869	8.444846472	8.757948852	8.744267338
CHL1	0.67978207	2.349378767	0.0	1.25688155	1.195724234	2.232672953	0.493911684	3.299647227	0.70831	1.8051	1.821836139	2.971446176	3.630528688	0.941595195	0.0	1.47745957	0.077928377	1.776713689	0.0	0.712971684	-0.056565893	-0.221241066	0.152627379	1.617003689	1.054508767	0.759066266	0.0	0.966151268	0.603173093	0.670737499	1.131093754	0.47353	1.436368688	0.133006476	0.966970581	1.746650581	0.577386139	0.85897155	1.165605663	0.011970672	0.550591905	0.497870848	1.228847338	0.51103	2.134632759	0.698007379	-0.03457793	0.435790581	1.091238934	1.506007379	0.169276476	0.23619147	1.422851733	0.613527227	0.0	0.44658147	1.467263349	0.0	1.126211905	0.125245663	0.0	0.83735	0.67771147	2.849735254	0.925711268	0.816913689	1.03161	0.0	0.990411503	1.414888852	0.43188	3.089758688	0.217966472	2.133928852	0.651777338
TGFBI	10.61844207	10.57420877	10.20820419	10.41190155	10.02147423	9.650712953	9.738811684	10.02072723	10.11953	10.02307	9.887576139	11.14000618	11.97382869	9.747595195	10.72652648	10.07430957	9.842118377	10.08866369	10.36976885	9.939401684	9.298924107	9.629858934	8.852417379	11.23480369	10.43019877	9.581016266	9.53377	9.932621268	10.28359309	10.2784675	9.566423754	10.15077	9.773738688	7.778856476	10.20091058	10.25376058	9.560396139	9.96505155	10.06116566	10.01810067	9.685581905	9.692850848	10.20815734	10.08111	10.14987276	10.22500738	9.53732207	10.35583058	9.737438934	10.39361738	10.13585648	9.97458147	10.54985173	9.877847227	10.12601309	9.74605147	10.81900335	10.09084618	9.886281905	10.14447566	9.599036999	10.14391	9.96617147	10.44867525	9.851051268	10.29703369	8.36664	10.20664525	9.287151503	9.821828852	9.79471	9.855548688	9.815216472	9.778618852	10.10625734
ENG	7.51766207	7.947968767	7.509584185	7.19414155	4.038954234	7.856422953	6.887411684	5.425017227	7.35104	7.16201	8.085276139	7.471696176	9.022048688	6.420725195	7.688326476	7.66273957	7.286758377	7.074113689	8.099388852	6.866761684	5.881114107	7.374528934	4.999857379	7.214713689	6.529538767	7.104406266	6.51548	5.132441268	8.215163093	6.026607499	6.553553754	6.59962	7.206498688	5.626166476	7.187560581	5.307300581	6.920026139	6.31720155	6.633235663	7.541600672	6.683481905	6.503760848	7.606637338	5.86495	7.375922759	6.310267379	6.60046207	7.349080581	5.423208934	6.075377379	7.179106476	6.86120147	7.960911733	7.065647227	6.662953093	6.81154147	7.972113349	5.425156176	7.121731905	7.044615663	7.167116999	7.19894	7.84364147	5.951675254	7.888751268	7.968953689	4.80586	7.146345254	7.756461503	5.570458852	6.88029	7.672618688	7.107126472	7.549798852	7.239397338
PLTP	0.93626207	2.181228767	2.062384185	4.17321155	4.351714234	1.750372953	2.831041684	0.758367227	3.49365	0.56669	2.061506139	2.396526176	5.368228688	2.352905195	1.688136476	3.49244957	1.362348377	3.173803689	1.444578852	0.449561684	0.179534107	2.443208934	1.914787379	0.0	2.339088767	1.345386266	1.18774	4.864801268	0.380903093	1.932577499	4.194133754	2.14263	5.252638688	0.720516476	2.293420581	4.601970581	5.481796139	2.67973155	0.905005663	2.147030672	3.164891905	2.112310848	0.512607338	1.45655	1.402542759	1.628017379	0.77423207	2.795940581	2.996608934	3.889177379	1.410406476	2.55908147	1.235501733	2.667237227	3.226863093	2.53423147	2.058463349	4.833026176	4.205631905	2.798455663	-0.190853001	2.13924	2.52581147	4.207375254	2.340761268	0.854033689	1.34643	1.378285254	5.209661503	3.888188852	1.86346	4.275938688	1.182326472	1.362048852	3.933847338
SERPINA7	2.76493207	5.623368767	0.438214185	3.34810155	4.471984234	5.697372953	2.774281684	2.675357227	2.25195	4.29471	5.575356139	5.492496176	7.172748688	2.854025195	1.436816476	4.49671957	2.368868377	5.222913689	1.906588852	4.091041684	2.726394107	0.946608934	2.323367379	2.146413689	4.031348767	1.268996266	1.44757	4.122671268	2.906963093	2.765097499	2.756283754	3.99453	4.908788688	2.500526476	3.511200581	4.418130581	2.903566139	3.17697155	4.218705663	1.393250672	2.262471905	2.882900848	3.881627338	2.36332	3.910382759	3.184507379	0.82697207	2.139750581	3.268498934	5.051717379	1.914836476	2.55152147	3.212191733	2.826427227	1.376243093	3.63398147	3.833823349	0.866516176	3.062181905	1.215745663	-0.076673001	2.51671	3.17963147	5.240095254	2.574341268	2.420973689	3.53201	0.412775254	2.140031503	3.505578852	2.44162	6.712488688	2.685346472	3.667828852	3.363107338
IGFBP3	9.37584207	7.992698767	8.418564185	8.63968155	8.644174234	7.436282953	7.641681684	5.924677227	8.10225	8.34389	7.852846139	9.087076176	10.34326869	8.278375195	9.017106476	8.45277957	6.996148377	8.323963689	8.925088852	7.264901684	6.662024107	6.760618934	8.246607379	9.129553689	8.482148767	8.107126266	8.27176	8.037471268	8.388133093	8.532547499	7.169763754	8.3038	7.860958688	7.829116476	8.480220581	7.925530581	7.363936139	7.59870155	7.698845663	8.179060672	5.033361905	8.128270848	7.701497338	7.56162	7.964112759	8.413887379	6.11245207	8.511190581	7.306058934	8.722077379	8.041986476	7.88990147	8.130011733	8.041347227	7.782003093	7.65620147	8.706153349	6.778636176	7.903701905	8.050715663	4.370716999	8.51689	6.73508147	8.419045254	7.587181268	8.355973689	6.76608	8.865995254	7.656971503	7.803458852	8.40093	8.142988688	8.289026472	6.982608852	7.858867338
CR2	8.70508207	8.153018767	5.223704185	6.37761155	7.439894234	8.237052953	5.794091684	4.925617227	6.04573	7.06916	8.524976139	9.453496176	7.927518688	6.856185195	7.965276476	7.24717957	6.500328377	7.261533689	4.906758852	7.456841684	6.711304107	4.575418934	6.047637379	7.051003689	6.392768767	8.923626266	4.73392	5.310731268	11.29519309	6.662907499	7.068663754	6.40755	7.046268688	7.923286476	6.639510581	6.638630581	6.868286139	6.66093155	7.736895663	6.446470672	4.703841905	7.605160848	8.296517338	4.56067	8.994752759	6.531067379	5.74201207	6.234960581	6.105328934	7.858987379	8.900346476	3.95024147	10.99358173	7.038937227	8.052183093	7.16008147	8.003013349	4.457636176	6.208571905	5.543815663	3.423126999	5.96782	5.65850147	9.831945254	9.622301268	8.585443689	4.23642	3.552905254	7.148551503	6.995038852	7.02526	7.591388688	7.761506472	8.542468852	6.978127338
