	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
CHIT1	-1.697556937049787	-2.6147937628903035	-0.7803201112092703	5.183425	3.6876461504431255	0.00042904834365116874	0.05787201956647053	-0.09245133574027431	
SAHH	-0.5712791052190821	-0.8980176932963901	-0.24454051714177405	1.1577886842105263	3.4838085957295815	0.0008339704580300198	0.05787201956647053	-0.6553958991665763	
PON3	-0.2253972215172564	-0.3593744399941086	-0.09142000304040421	0.43720355263157895	3.352154103911202	0.0012656898039740275	0.05787201956647053	-1.0072670826059893	
TIE1	-0.6928023563573223	-1.1192329472639786	-0.2663717654506661	1.0973689473684212	3.237183950128884	0.0018073404328773136	0.05787201956647053	-1.3066606651844674	
ANGL4	-0.9223881525477725	-1.4936536004577898	-0.3511227046377553	3.270807236842105	3.217230175263359	0.0019211060370223217	0.05787201956647053	-1.3578533517653595	
LYAM2	-0.9777619283305217	-1.5880631989348322	-0.36746065772621106	5.805695131578948	3.192237707671262	0.002073068563451693	0.05787201956647053	-1.4216472716565338	
NID2	-0.6913520893793746	-1.126785431261191	-0.25591874749755844	2.1073544736842105	3.163617531662127	0.0022608810779859508	0.05787201956647053	-1.4942527492211664	
LIRA5	-0.5145759570043168	-0.8424178274163627	-0.1867340865922708	0.947761052631579	3.1274577125110237	0.0025209287539773597	0.05787201956647053	-1.5852950778666894	
NCHL1	-0.5144756776027255	-0.8448429700718589	-0.18410838513359207	0.9442357894736843	3.10294571848763	0.002712806034122174	0.05787201956647053	-1.6465688906965328	
PDIA1	-0.8228113578294257	-1.3594403532516193	-0.28618236240723216	4.590639868421053	3.055149856732822	0.0031266886491135757	0.05787201956647053	-1.7650091652235984	
PHAG1	-0.54105063454576	-0.895949619785201	-0.1861516493063189	0.8364317105263158	3.0376625548688865	0.003292271065497032	0.05787201956647053	-1.8079979658210061	
CAH13	-0.6332550213656734	-1.0491280686258921	-0.2173819741054545	1.1299748684210527	3.0340605391921516	0.003327374368765638	0.05787201956647053	-1.8168296173444438	
MUC24	-0.8242348842254604	-1.3678493514125825	-0.2806204170383384	3.671545	3.0211087572114694	0.003456489108099288	0.05787201956647053	-1.8485201218825433	
CYTM	-0.7670883714691548	-1.2765000659154688	-0.2576766770228407	1.7522302631578948	3.000425605106153	0.003672359360911133	0.05787201956647053	-1.8989145475430318	
LAMA4	-0.9054960911993465	-1.5102574065602172	-0.30073477583847585	6.892101842105263	2.983382593415944	0.0038595659537807663	0.05787201956647053	-1.9402417956813904	
APOM	-0.8724055344939372	-1.4567203711010241	-0.28809069788685027	3.945369342105263	2.974937682540268	0.003955570241026945	0.05787201956647053	-1.960653132428305	
IL7RA	-0.5648698386022718	-0.9451061039591419	-0.18463357324540175	1.4554731578947369	2.960064843786409	0.004130046948667783	0.05787201956647053	-1.9964931438000892	
IL1R1	-0.5788721457141304	-0.9704429843359488	-0.18730130709231196	2.3080355263157895	2.9456333346663794	0.004306132526500438	0.05787201956647053	-2.0311379826933185	
I18BP	-0.8754090915364785	-1.4755435222736084	-0.2752746607993485	3.1152257894736843	2.906490337521082	0.004819292719009266	0.05787201956647053	-2.12444930740791	
TIMD4	-0.8329329694278395	-1.4059369713601821	-0.25992896749549665	5.606165657894737	2.896401556638995	0.00496041478006283	0.05787201956647053	-2.148343077488431	
TR19L	-0.9047442547187186	-1.528549584970397	-0.2809389244670403	4.4253113157894735	2.889902076911528	0.005053338797497537	0.05787201956647053	-2.1637020005067593	
PARK7	-0.5590935607601483	-0.9447722784577988	-0.17341484306249771	6.227721052631579	2.8884522362982525	0.005074285223969248	0.05787201956647053	-2.1671244659801414	
ISK1	-0.538685605082041	-0.9110443702717095	-0.1663268398923725	0.757543947368421	2.8825719979547624	0.005160062964907208	0.05787201956647053	-2.1809915623906173	
IL2RA	-0.7970211845437452	-1.3486685817734585	-0.2453737873140318	2.7408086842105264	2.878821026496922	0.005215476425586782	0.05787201956647053	-2.1898258299514715	
FETUB	-0.40687565017238203	-0.6888047365974013	-0.1249465637473628	0.8716881578947369	2.8755981160366875	0.005263526385444683	0.05787201956647053	-2.197409263148684	
GLRX1	-0.6961885292717613	-1.179997391987644	-0.2123796665558786	1.1785888157894737	2.867209441860153	0.005390511396713234	0.05787201956647053	-2.217116599771743	
