	N120	N123	N124	N126	N130	N131	N138	N140	N141	N142	N144	N146	N148	N149	N150	N151	N153	N153A	N158	N160	N161	N163	N165	N166	N169	N171	N172	N175	N176	N178	N179	N182	N183	N185	N186	N187	N188	N189	N192	N197	N200	N201	N202	N203	N205	N210	N212	N214	N215	N216	N221	N222	N224	N226	N228	N229	N232	N233	N238	N239	N240	N242	N244	N245	N246	N248	N250	N252	N254	N255	N261	N262	N265	N267	N268	N270
PCP	3.37584	5.23002	2.20296	5.40994	3.14084	6.86272	4.11182	5.39642	4.16922	4.70203	6.93683	4.00757	7.05906	4.35028	1.21744	6.2969	6.51503	2.22897	5.78212	2.55876	5.26819	6.37616	5.97245	3.17244	2.97746	4.16506	6.92835	3.34916	4.27375	3.88719	2.08213	4.75999	3.58322	7.47876	3.53405	5.00273	3.88774	5.80193	4.65836	4.70326	5.28273	4.81867	5.46591	6.25043	3.18276	5.4885	3.89408	5.36922	5.36193	4.54761	4.48981	3.40397	5.42502	4.02927	5.55336	3.48006	4.72111	3.69516	2.40883	6.71782	2.84427	2.4012	4.03966	5.43878	3.11853	5.0486	4.15	5.01048	0.58844	6.90126	5.0755	1.71515	7.4993	3.89491	6.09604	4.91117
CAH1	9.58765	10.13447	8.20222	9.99438	9.98757	10.01489	9.90902	9.81106	9.71845	8.86205	10.05834	10.01782	10.25843	9.61201	9.11495	9.89395	9.56604	8.36404	9.9876	9.56075	9.73011	9.74319	9.73668	9.21319	9.98191	9.79892	9.73893	9.20362	9.69971	10.03178	9.86579	10.03572	10.05173	10.08757	9.13764	9.4932	9.90345	9.7958	9.97848	9.93209	9.37347	10.18356	9.28216	10.35346	9.83719	10.23308	10.05058	10.07455	10.11409	10.24372	8.97172	9.38431	8.56412	9.55889	9.82477	8.97597	9.92198	9.66501	10.014	10.14859	9.36469	8.8982	9.77033	9.83583	10.05899	9.83103	9.83066	9.55337	7.71183	9.95583	9.91699	9.57015	10.10319	9.63998	10.12856	9.50486
ICAM1	6.31769	8.189	6.70488	8.43577	7.62757	9.92532	8.89293	8.41559	8.64437	6.45572	10.13859	8.15655	9.69455	7.99588	7.25684	9.61416	9.6852	6.37466	9.14233	6.48938	7.49886	7.31713	9.68355	6.11001	6.43786	8.36108	9.35111	6.77682	8.20945	8.2001	6.11638	9.73009	7.40653	10.07139	5.97489	7.97833	8.3482	9.1078	8.41823	7.22997	8.92348	9.01699	7.83914	9.11496	6.75389	8.8957	7.64939	9.14	8.78483	8.20257	9.50141	7.70444	8.95387	8.17498	8.5428	8.15278	8.8808	8.48933	7.97271	10.00108	7.93382	6.74916	8.20552	9.82154	7.59137	9.34895	8.44411	6.31838	6.49962	10.10403	8.78008	7.66315	10.24076	8.50143	9.04483	8.655
NCHL1	0.08032	2.09784	0.0	1.12082	1.07543	2.50768	0.79257	3.47597	0.70831	1.8051	2.02347	2.16048	1.74156	1.15572	0.0	1.46296	0.45644	0.28679	1.71782	0.0	1.01163	0.39761	0.14613	0.04793	0.55811	0.80297	1.09249	0.0	1.12965	0.45117	0.2557	1.54252	0.47353	1.5474	0.27051	0.89297	1.67265	0.77902	0.72291	1.20825	0.08236	0.87252	0.52644	1.13958	0.51103	1.96651	0.59331	0.36596	0.36179	1.45861	1.40131	0.30678	0.4627	0.88752	0.78985	0.0	0.67309	0.91087	0.0	1.44814	0.16789	0.0	0.83735	0.90422	2.61527	1.08921	0.75802	1.03161	0.0	1.33524	1.70177	0.43188	3.20079	0.27455	2.42081	0.56251
BGH3	10.01898	10.32267	9.9219	10.27584	9.90118	9.92572	10.03747	10.19705	10.11953	10.02307	10.08921	10.32904	10.08486	9.96172	9.86403	10.05981	10.22063	9.93233	10.02977	9.65665	10.23806	9.7531	9.99723	8.74772	10.17591	10.17866	9.91444	9.53377	10.09612	10.13159	9.86343	9.97785	10.15077	9.88477	7.91636	10.12691	10.17976	9.76203	9.82899	10.10381	10.08849	10.00751	9.72142	10.11889	10.08111	9.98175	10.12031	9.93786	10.28183	10.10481	10.28892	10.27336	10.20109	10.01452	10.05417	9.97401	9.97256	10.26261	10.27988	10.20821	10.18712	10.02127	10.14391	10.19268	10.21421	10.01455	10.23814	8.36664	9.97218	9.63198	10.10871	9.79471	9.96658	9.8718	10.0655	10.01699
EGLN	6.9182	7.69643	7.22328	7.05808	3.91866	8.13143	7.18607	5.60134	7.35104	7.16201	8.28691	6.66073	7.13308	6.63485	6.82583	7.64824	7.66527	8.07688	7.01522	7.38627	7.16542	6.33529	7.7419	4.89516	6.15582	6.278	7.43783	6.51548	5.29594	8.06316	5.61157	6.96498	6.59962	7.31753	5.76367	7.11356	5.2333	7.12166	6.18114	6.67588	7.61199	7.00541	6.53233	7.51737	5.86495	7.2078	6.20557	7.001	7.27508	5.79058	5.97068	7.31661	7.08771	7.42558	7.24197	6.51095	7.03805	7.41572	5.61419	7.44366	7.08726	7.58935	7.19894	8.07015	5.71721	8.05225	7.91006	4.80586	6.91188	8.10129	5.85734	6.88029	7.78365	7.16371	7.83668	7.15013
PLTP	0.3368	1.92969	1.77608	4.03715	4.23142	2.02538	3.1297	0.93469	3.49365	0.56669	2.26314	1.58556	3.47926	2.56703	0.82564	3.47795	1.74086	0.0	3.11491	0.73146	0.74822	0.63371	2.81058	1.81009	0.0	2.08755	1.67881	1.18774	5.0283	0.2289	1.51754	4.60556	2.14263	5.36367	0.85802	2.21942	4.52797	5.68343	2.54367	0.94765	2.21742	3.48682	2.14088	0.42334	1.45655	1.23442	1.52332	1.17477	2.72194	3.36398	3.78448	1.54791	2.78559	0.70017	2.84356	3.07486	2.76074	1.50207	5.02206	4.52756	2.8411	0.23138	2.13924	2.75232	3.97291	2.50426	0.79514	1.34643	1.14382	5.55449	4.17507	1.86346	4.38697	1.23891	1.64893	3.84458
THBG	2.16547	5.37183	0.15191	3.21204	4.35169	5.97238	3.07294	2.85168	2.25195	4.29471	5.77699	4.68153	5.28378	3.06815	0.57432	4.48222	2.74738	3.23548	5.16402	1.19347	4.3897	3.18057	1.31398	2.21867	1.08752	3.77981	1.60242	1.44757	4.28617	2.75496	2.35006	3.16771	3.99453	5.01982	2.63803	3.4372	4.34413	3.1052	3.04091	4.26135	1.46364	2.5844	2.91147	3.79236	2.36332	3.74226	3.07981	1.22751	2.06575	3.63587	4.94702	2.05234	2.77803	2.67686	3.00275	1.22424	3.86049	3.27743	1.05555	3.38411	1.25839	0.34556	2.51671	3.40614	5.00563	2.73784	2.36208	3.53201	0.17831	2.48486	3.79246	2.44162	6.82352	2.74193	3.95471	3.27384
IBP3	8.77638	7.74116	8.13226	8.50362	8.52388	7.71129	7.94034	6.101	8.10225	8.34389	8.05448	8.27611	8.4543	8.4925	8.15461	8.43828	7.37466	7.15803	8.26507	8.21197	7.56356	7.1162	7.12799	8.14191	8.07066	8.23061	8.44055	8.27176	8.20097	8.23613	8.11751	7.58119	8.3038	7.97199	7.96662	8.40622	7.85153	7.56557	7.46264	7.74149	8.24945	5.35529	8.15684	7.61223	7.56162	7.79599	8.30919	6.51299	8.43719	7.67343	8.61738	8.17949	8.11641	7.59468	8.21767	7.63	7.88271	8.14976	6.96767	8.22563	8.09336	4.79295	8.51689	6.96159	8.18458	7.75068	8.29708	6.76608	8.63153	8.0018	8.09034	8.40093	8.25402	8.34561	7.26949	7.7696
CR2	8.10562	7.90148	4.9374	6.24155	7.3196	8.51206	6.09275	5.10194	6.04573	7.06916	8.72661	8.64253	6.03855	7.07031	7.10278	7.23268	6.87884	6.86987	7.20264	4.19364	7.7555	7.16548	4.94279	5.94294	5.99211	6.14123	9.25705	4.73392	5.47423	11.14319	6.24787	7.48009	6.40755	7.1573	8.06079	6.56551	6.56463	7.06992	6.52487	7.77954	6.51686	5.02577	7.63373	8.20725	4.56067	8.82663	6.42637	6.14255	6.16096	6.4727	7.75429	9.03785	4.17675	10.45825	7.21526	7.90018	7.38659	7.44662	4.64667	6.5305	5.58646	3.84536	5.96782	5.88501	9.59748	9.7858	8.52655	4.23642	3.31844	7.49338	7.28192	7.02526	7.70242	7.81809	8.82935	6.88886
