	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
CD46	-0.7151111574147573	-1.2109508005226797	-0.219271514306835	8.063982628029702	2.860193295648626	0.0051235388276126125	0.33871931141015893	-4.051497607818227	
IGFBP6	-0.8123685944601039	-1.3983832345250016	-0.22635395439520611	8.190838172544554	2.7492088684717397	0.007052462094356945	0.33871931141015893	-4.0966765970558345	
CD59	-0.5760765303506379	-1.0040142241287473	-0.14813883657252835	6.513409657732673	2.6697015697646638	0.008818533198099042	0.33871931141015893	-4.12821784949	
FAP	-0.5871159176866905	-1.0269777882595674	-0.14725404711381346	3.6201530240693067	2.647101625367164	0.009389060287788688	0.33871931141015893	-4.137055012500232	
NOMO1	-0.3784155490215735	-0.6713441880375017	-0.08548691000564518	1.2216470834752475	2.5619474411763603	0.01185100177937091	0.33871931141015893	-4.169831913860693	
EGFR	-0.4706353469263446	-0.8385210621764059	-0.10274963167628343	1.2408468616336634	2.537083105425746	0.012672152664593567	0.33871931141015893	-4.179245231562311	
MFAP5	-0.644978027695425	-1.1514183216832339	-0.13853773370761624	6.809936984465347	2.5256882520520527	0.013065267253401498	0.33871931141015893	-4.183535137562939	
CCL14	-0.6991321777232107	-1.2569865150596895	-0.14127784038673197	11.340760846188118	2.4854300996158782	0.014543241193246985	0.33871931141015893	-4.19856954278299	
NOV	-0.4017328506911232	-0.72304182151305	-0.08042387986919641	8.811383717158416	2.479576844109357	0.014770151463506433	0.33871931141015893	-4.200739533778535	
IGLC2	-0.5052893553008546	-0.9167244476590702	-0.09385426294263899	7.3724432220891085	2.435577171165903	0.016579652966293438	0.33871931141015893	-4.216921252227562	
CCL18	-0.7248233736323466	-1.317730951794747	-0.13191579546994603	10.896471539168317	2.4244222719299398	0.017068710329148373	0.33871931141015893	-4.220986900163071	
F7	-0.9222776379566411	-1.6819799473090313	-0.16257532860425072	6.023105895356435	2.4075832242759496	0.01783130984829	0.33871931141015893	-4.227095893226499	
LTBP2	-0.6318044190111165	-1.1576359936129497	-0.10597284440928323	8.724542331009902	2.382863006792684	0.019005704495908906	0.33871931141015893	-4.236001951686191	
LILRB2	-0.6916572394140361	-1.2684963643122324	-0.11481811451583979	9.240939558752475	2.377931249257762	0.01924804649427866	0.33871931141015893	-4.237769856908559	
ALCAM	-0.49641061746230336	-0.9183487097548662	-0.07447252516974057	5.532900944861386	2.3332184574642936	0.02157323324142259	0.33871931141015893	-4.253662518931001	
GAS6	-1.0667480177205038	-1.9870346816447495	-0.14646135379625802	11.566575103514852	2.298803196763382	0.023528482723075	0.33871931141015893	-4.265727319387622	
C1QTNF1	-0.6626413753420762	-1.2343392939773965	-0.09094345670675597	9.807706588435643	2.2986614641435703	0.02353684759037656	0.33871931141015893	-4.265776702189238	
CST3	-0.6515256541666034	-1.223583789086205	-0.0794675192470019	10.367614212475248	2.258678571397086	0.02600368278636252	0.33871931141015893	-4.279607494554757	
REG1A	-0.8632407931532051	-1.621803326832109	-0.1046782594743012	5.864124905247524	2.2568549268724913	0.026121415539363074	0.33871931141015893	-4.280233549645569	
ESAM	-0.46988985441490144	-0.8839388247913905	-0.055840884038412364	3.3079485686237624	2.250647267625561	0.026525687003910014	0.33871931141015893	-4.282361496123732	
SOD1	-0.41595342082076225	-0.7852391913111094	-0.046667650330415034	3.970218766643564	2.2338047150666953	0.02765029456209078	0.33871931141015893	-4.28811054667785	
PRCP	-0.694763240393743	-1.3128380538189046	-0.07668842696858158	4.7642259943663365	2.2292504456624846	0.027961468244439677	0.33871931141015893	-4.289658948202758	
CRIM1	-0.5772303809218109	-1.0915053018030645	-0.06295546004055741	5.802392033970297	2.2259577216424655	0.028188349493142927	0.33871931141015893	-4.290776802400709	
APEX1	-0.4417043736632542	-0.8414534476951299	-0.04195529963137856	7.704284509217822	2.191327604542288	0.03067365853869497	0.33871931141015893	-4.30245002217942	
F11	-0.5190439416670704	-0.9901823908917481	-0.047905492442392617	9.048141538930693	2.184835051875676	0.0311602902818062	0.33871931141015893	-4.304621525565478	
CFHR5	-0.5466795971306345	-1.045279536194551	-0.04807965806671799	9.785183024168317	2.1744214376187068	0.03195485336652565	0.33871931141015893	-4.308093195921454	
TNC	-0.5122974050804534	-0.9797975725771568	-0.04479723758374993	8.729137182514851	2.173218842098643	0.032047737247550584	0.33871931141015893	-4.308493218984049	
QPCT	-0.5212354489737412	-0.9988532158247652	-0.04361768212271727	6.7509087666435645	2.1642954529523206	0.03274430882520078	0.33871931141015893	-4.311455629082389	
CLEC14A	-0.5698761525762455	-1.0958648656518464	-0.04388743950064444	6.005663717138614	2.1486572104408945	0.03399680328773521	0.33871931141015893	-4.316622528594698	
CD99L2	-0.423258521419492	-0.8144963546450326	-0.032020688193951485	3.1845939151584157	2.145497150042605	0.03425488476033411	0.33871931141015893	-4.317662784977096	
MEGF9	-0.38899286113211606	-0.74858023613287	-0.029405486131362124	1.8597620214158417	2.1453604607994725	0.03426608636648665	0.33871931141015893	-4.317707752423558	
ICAM1	-0.6800461434994064	-1.312060163729747	-0.048032123269065696	8.364885895356435	2.1339033542789743	0.03521634867514963	0.33871931141015893	-4.321468269827492	
PROC	-0.8828903630077777	-1.7039899048001685	-0.061790821215386704	6.383925697336633	2.132426363515068	0.035340496901524555	0.33871931141015893	-4.321951819140469	
TIMP1	-0.608999985765494	-1.1767147061714	-0.041285265359587875	9.717456093465346	2.1274051375425036	0.03576539313026523	0.33871931141015893	-4.323593593173417	
GNLY	-0.5883586939198361	-1.1447162985512325	-0.03200108928843959	10.33376856880198	2.0972549258536746	0.038410786769143085	0.34109018541416103	-4.333382742509937	
NRP1	-0.5343828283516499	-1.041155137141332	-0.027610519561967917	3.6648021604356438	2.09123430598597	0.038958791532511396	0.34109018541416103	-4.3353233037890915	
FAS	-0.47045616646761373	-0.9171510306868074	-0.023761302248420046	5.929381142881188	2.088676991274406	0.03919359273392533	0.34109018541416103	-4.336146139710807	
ANG	-0.4927115953849376	-0.9691719743641328	-0.01625121640574234	8.718084014207921	2.0508271945174856	0.04281390569274693	0.3585929561943529	-4.348224152055686	
RNASE3	-0.2711088087660466	-0.5349667779960874	-0.00725083953600586	8.59996936070297	2.0376823780036717	0.04413659876142831	0.3585929561943529	-4.3523745032215935	
SERPINA5	-0.5408522120700155	-1.0702896299319031	-0.011414794208127965	8.832024905257425	2.025942220031611	0.04534738177354301	0.3585929561943529	-4.356061986267805	
Notch 3	-0.57199985085645	-1.134109098478232	-0.00989060323466795	3.3803373805049506	2.0180794584956336	0.0461740699777463	0.3585929561943529	-4.358521372940323	
FAM3C	-0.32670180745098576	-0.652718627663266	-0.0006849872387054701	1.1773503572475248	1.9873511316782253	0.04952940784014348	0.3585929561943529	-4.368053786218369	
PCOLCE	-0.4902218482249688	-0.9828956845880843	0.002451988138146788	9.899457281564356	1.9733141950646462	0.05112990221150948	0.3585929561943529	-4.372366201396882	
BLM hydrolase	-0.4252978106795493	-0.8577335883156401	0.007137966956541453	7.734650647831683	1.950449029071088	0.05383101039495603	0.3585929561943529	-4.3793340520969775	
COL18A1	-0.4573451339625069	-0.9228127602654976	0.008122492340483733	7.9028260933762375	1.9485773873187153	0.05405736678894809	0.3585929561943529	-4.3799012861264455	
NPDC1	-0.25840026851996245	-0.5218854383695217	0.00508490132959688	0.919346095019802	1.944911574897637	0.05450304578328193	0.3585929561943529	-4.381010902905313	
PDGFRB	-0.40587791168428744	-0.8236051707375684	0.011849347368993568	2.8656766874356436	1.9269288424684126	0.05673462667784888	0.3585929561943529	-4.386427792638814	
TGFBI	-0.5697930302047671	-1.157600815010482	0.018014754600947702	10.251423123178219	1.922404947990766	0.057308014576194624	0.3585929561943529	-4.387783605351943	
EFEMP1	-0.6241511829635827	-1.2730943740838838	0.024792008156718337	8.730390747009901	1.907419395497168	0.05924241910360046	0.3585929561943529	-4.392254892671223	
ITGB1	-0.3906292908577815	-0.7968381942511782	0.015579612535615184	7.2424858953564355	1.9071218572612676	0.05928137668143026	0.3585929561943529	-4.3923433603434905	
ENG	-0.5474188334300052	-1.1232768611542052	0.028439194294194836	7.505356687435643	1.8852432124844867	0.062205697973085027	0.3585929561943529	-4.398815446608489	
ANXA11	-0.5020449718527026	-1.0323604209011248	0.028270477195719512	4.788693222089109	1.8774631397605421	0.0632743625006741	0.3585929561943529	-4.401101135708946	
KIT	-0.40264604306232316	-0.829450990241682	0.02415890411703564	1.7589915022970297	1.870927968171145	0.06418388416775524	0.3585929561943529	-4.403014669285256	
NID1	-0.5573571103311585	-1.152857504658149	0.038143283995832	8.190196192366336	1.856156407972183	0.06628009508260842	0.3585929561943529	-4.407318223657627	
SCARF1	-0.4013737017268449	-0.8346849463488695	0.03193754289517964	4.906488766643564	1.837012159608927	0.06908167291742717	0.3585929561943529	-4.412850955966913	
CD74	-0.44031271349238055	-0.915685802070503	0.03506037508574189	5.287307875554456	1.8369177456403558	0.069095730378725	0.3585929561943529	-4.412878116307699	
CDH1	-0.35024734879980873	-0.729170055872765	0.028675358273147433	4.397035994366337	1.8331048302451476	0.0696654374164003	0.3585929561943529	-4.413973957661948	
PEAR1	-0.32782964302862533	-0.6828278611594827	0.027168575102232084	2.7369980735742576	1.8314080725056534	0.06992021369178306	0.3585929561943529	-4.414460962797642	
SERPINB6	-0.4633252358500965	-0.9653175158401113	0.03866704413991823	4.62274827159406	1.830425231560211	0.0700681465094676	0.3585929561943529	-4.414742876388094	
COLEC12	-0.404517235372187	-0.8456135488977641	0.03657907815339018	2.292142033970297	1.8187235015367391	0.07184954414894976	0.3585929561943529	-4.418089055837587	
CDHR5	-0.261552827360726	-0.5476879374656514	0.024582282744199435	0.7184840114356436	1.812806061004592	0.0727646121516286	0.3585929561943529	-4.41977394557448	
TNFRSF14	-0.41996192924015896	-0.8829333120530547	0.04300945357273683	4.370776687435644	1.7989490003627173	0.0749453640532987	0.3585929561943529	-4.423700444116934	
CD93	-0.4151099451924016	-0.8735420553781682	0.04332216499336505	9.493810549059406	1.7957719570906303	0.0754529091402604	0.3585929561943529	-4.4245969119041035	
LRIG1	-0.4218226654212053	-0.8932632242970682	0.04961789345465761	2.6535679843564357	1.7744593106085385	0.07893174692892954	0.3585929561943529	-4.430574255440735	
FCGR2A	-0.49101893060111357	-1.0409453793275372	0.05890751812531003	8.070249756742575	1.7707477760794499	0.07955090715553334	0.3585929561943529	-4.4316086929569245	
PLXNB2	-0.4025962689575093	-0.8592160191216038	0.05402348120658523	4.940580746841584	1.748550300597675	0.08333803072842136	0.3585929561943529	-4.4377549579946844	
CD164	-0.3747959580966561	-0.8004732049724032	0.05088128877909093	4.09002837060396	1.74613387659461	0.08375909693497612	0.3585929561943529	-4.438419859879441	
TNFRSF10C	-0.31585838184833614	-0.6753718990333012	0.0436551353366289	3.8389377765445545	1.7423694943213237	0.08441852781790617	0.3585929561943529	-4.43945402612166	
AXL	-0.4940978026368661	-1.0602530083328392	0.07205740305910713	6.267999657732673	1.7307745242403199	0.08647651879972977	0.3585929561943529	-4.442626882681155	
DAG1	-0.5257510246256503	-1.1325358513365957	0.08103380208529509	6.300334113178218	1.7183375949800719	0.08872945600679084	0.3585929561943529	-4.446009017006866	
SNAP23	-0.2860698766560688	-0.6179146695514206	0.04577491623928304	1.092343548960396	1.7096223938158484	0.09033662688733296	0.3585929561943529	-4.448366002651435	
TNF-R1	-0.3931845728428705	-0.8529477505100638	0.0665786048243227	4.301768172584159	1.6959980948387376	0.09289662824332068	0.3585929561943529	-4.452029035940359	
THOP1	-0.5089975633007106	-1.1043028364778926	0.08630770987647152	2.881750718881188	1.6956610729781032	0.092960695784192	0.3585929561943529	-4.452119313421603	
CCL24	-0.5542610898157434	-1.2033123115706403	0.09479013193915364	8.818906291663366	1.6935518442092279	0.09336247588460687	0.3585929561943529	-4.452683942022524	
CA1	-0.48386029444860945	-1.0555489491422674	0.08782836024504848	9.870644014376238	1.6785082813104817	0.09626923156903007	0.3585929561943529	-4.456692646157865	
