	N120	N123	N124	N126	N130	N131	N137	N138	N140	N144	N145	N146	N148	N149	N150	N151	N152	N153	N154	N155	N156	N158	N160	N163	N164	N165	N166	N169	N170	N171	N172	N173	N176	N177	N178	N179	N180	N182	N185	N186	N187	N188	N189	N190	N192	N193	N195	N197	N198	N199	N200	N202	N203	N204	N205	N209	N210	N211	N212	N214	N215	N216	N217	N219	N220	N221	N222	N223	N224	N226	N228	N229	N232	N233	N234	N235	N237	N238	N240	N243	N245	N246	N247	N248	N250	N254	N255	N256	N257	N258	N259	N261	N263	N264	N265	N266	N267	N268	N269	N270	N153A
PRCP	5.222203173	4.882988426	0.715627227	4.292858688	4.273630672	6.015106476	5.47886155	5.367083348	4.790920593	5.400354707	4.185012953	3.563643971	6.574151435	5.435338377	6.365563173	4.744649649	5.244901684	4.839195735	2.27882	3.143311268	5.69942907	6.370833173	5.355115254	4.347569203	4.394470323	5.190874707	3.484406346	8.65694619	6.844927499	4.740143173	2.821764571	4.153526999	5.294398852	4.963947338	5.360981188	3.316343173	5.811571188	3.887401268	5.003298688	5.538972824	3.857146266	5.754251733	4.985606999	4.91968619	6.547031268	3.37337	5.20582	3.753614707	3.028718767	5.10813907	5.878743689	4.179993348	6.173887338	6.480746176	3.838449879	5.093386346	2.694838767	5.266721268	5.935083173	6.163814185	6.924738095	5.486043349	5.717179649	4.42687957	6.77164	5.825839879	5.736566472	6.185634571	6.315071268	3.916755195	4.349808095	5.309006758	6.935517499	4.859231631	5.982485735	3.77968	6.281754707	4.583576187	5.695398095	3.31683	2.634566476	1.575066176	4.23632	4.709419879	2.982576472	-1.74333093	4.199696266	5.637888095	5.992876999	3.94269	0.29279	5.877514234	4.692451435	5.173911268	4.33542314	4.94821	5.690683971	3.350142824	4.17143	5.03257907	2.76409
CA1	10.24180317	9.763648426	7.223287227	9.738588688	9.900570672	9.603206476	10.25586155	10.19954335	9.133580593	9.822794707	8.786122953	10.23633397	10.16819144	10.38288838	10.93212317	10.13382965	8.629711684	10.68178574	9.6482	9.265911268	10.08604907	10.60287317	10.21115525	10.3067592	9.802320323	10.38561471	11.06212635	14.69699619	10.8552275	9.954593173	9.817714571	10.855977	10.39173885	10.30141734	11.26961119	10.37333317	10.82556119	10.68507127	8.053158688	9.835162824	8.670766266	10.47442173	10.421787	9.96157619	9.495591268	10.03878	9.97088	9.178004707	10.31132877	10.29344907	9.556753689	7.369393348	10.48254734	9.794306176	9.569389879	10.15875635	8.447088767	10.70233127	9.765163173	10.24080419	10.20453809	10.46822335	10.41136965	9.64924957	9.78739	10.68980988	10.00583647	11.20395457	9.813981268	8.949495195	10.02755809	10.20059676	10.5601975	10.05368163	10.74961574	9.102	10.14240471	10.21164619	10.63965809	7.86281	9.068496476	8.846216176	9.37224	10.71603988	9.265876472	-0.10303093	10.60109627	10.26857809	11.060447	9.83761	7.67039	10.50475423	9.328041435	11.12025127	10.08790314	9.93584	11.01067397	9.733362824	9.35653	10.53975907	7.95639
ICAM1	8.067473173	7.988568426	4.941567227	7.543068688	8.563970672	9.525656476	9.42642155	9.207463348	8.400110593	9.582664707	6.413862953	8.094633971	9.532581435	8.348638377	9.998753173	8.463789649	7.836091684	9.759995735	7.35415	7.395841268	9.27689907	10.50812317	7.759035254	9.138899203	8.047400323	8.130774707	6.639376346	11.19765619	9.914397499	8.337283173	7.070844571	9.424736999	9.826258852	7.823167338	9.025881188	6.397693173	10.09488119	8.654561268	8.549888688	9.399152824	5.660936266	9.960591733	8.683476999	9.33294619	8.230351268	5.94032	8.61785	5.782684707	6.682188767	9.45872907	9.418173689	7.026163348	8.488927338	9.983316176	7.999439879	9.146026346	5.690508767	8.662471268	9.125713173	9.785064185	10.06703809	9.500003349	8.873869649	6.79682957	9.74691	10.85800988	7.380016472	9.096444571	9.970161268	9.000695195	8.198388095	8.543826758	9.690187499	9.342311631	10.13197574	8.11985	9.046284707	8.463976187	9.317378095	6.51205	8.062766476	7.952946176	6.2678	8.040409879	7.161486472	0.00846907	9.270686266	8.689698095	8.430586999	6.08158	6.60074	8.925994234	8.908281435	9.122721268	8.71274314	9.30166	9.674213971	6.278972824	7.36481	8.11758907	7.88502
CHL1	0.731633173	1.627438426	0.0	0.570258688	1.994110672	2.555476476	1.58309155	1.163493348	0.019400593	1.075824707	-0.129907047	1.349583971	1.511541435	1.510698377	2.455843173	1.222219649	0.522091684	1.183895735	0.6703	0.0	1.14362907	2.230483173	0.889585254	0.999389203	0.511990323	0.951104707	1.788846346	5.15026619	1.796587499	1.489573173	0.703914571	1.144796999	2.790708852	0.583837338	2.603021188	0.719143173	1.701791188	1.387681268	-0.035481312	0.0	0.0	1.843081733	0.804966999	1.72085619	1.253921268	0.22528	1.2793	0.212094707	0.440088767	1.05823907	2.262613689	0.430483348	2.853997338	2.577036176	1.084099879	1.906806346	0.0	2.434251268	0.848743173	0.918414185	1.672708095	1.452903349	0.937089649	0.21081957	1.17867	2.370489879	2.118686472	1.845614571	2.061391268	2.158355195	0.0	1.193236758	2.270497499	1.408061631	1.840405735	1.20176	-0.008305293	1.433526187	1.190418095	0.0	0.653706476	0.619366176	0.41154	2.011369879	1.172956472	-0.41833093	0.900356266	2.371518095	0.644976999	0.64193	0.14232	1.606244234	1.486731435	1.952081268	1.24991314	0.4833	1.847203971	1.148912824	0.19207	1.31681907	0.57165
TGFBI	10.59538317	9.822408426	9.082937227	9.827898688	10.16333067	9.906576476	10.35547155	10.10457335	9.614080593	9.938784707	9.922792953	10.52218397	9.992271435	10.72617838	11.63415317	10.36619965	9.670451684	11.10531574	9.76897	10.98030127	10.71308907	10.35273317	10.17742525	9.621769203	9.977250323	10.12049471	11.12830635	14.58002619	10.5845175	10.79530317	10.06906457	10.701067	10.77733885	10.16191734	11.74992119	10.20739317	10.89874119	11.09857127	9.624618688	10.60906282	8.726596266	10.62398173	10.589837	10.64488619	9.964081268	9.84325	10.24187	8.625324707	10.11465877	10.70981907	11.29075369	9.696053348	11.19305734	9.031686176	10.43376988	11.06535635	7.579078767	10.92990127	10.58740317	10.03341419	10.30990809	10.58566335	10.53987965	8.65642957	10.05415	10.88853988	11.24488647	11.36836457	12.05158127	10.88450519	10.41116809	10.04726676	10.2797175	10.57304163	11.16785574	10.14608	10.31632471	10.49680619	10.71503809	10.08476	9.854496476	9.706246176	8.96957	10.89798988	11.07598647	-1.04395093	10.70606627	10.55561809	10.749367	9.3814	9.41336	10.31549423	10.26894144	11.01564127	11.08302314	9.94387	11.63587397	9.011172824	10.19313	10.68410907	10.18071
ENG	7.722533173	6.243758426	6.611707227	7.439788688	5.404650672	7.707926476	7.62605155	7.981313348	6.345960593	7.592494707	7.695692953	7.947863971	7.582461435	8.579178377	8.861603173	7.926939649	6.324501684	8.244065735	6.48206	6.952461268	7.93538907	7.682983173	8.191275254	6.944539203	5.202730323	6.788684707	8.776106346	11.87905619	8.032877499	8.216883173	7.222714571	8.188146999	8.209898852	7.945957338	9.117721188	7.737133173	8.464191188	8.684831268	7.334308688	7.938112824	7.715466266	8.067671733	6.647266999	8.00814619	6.720831268	6.92207	8.02407	4.354934707	5.999158767	8.18702907	8.794643689	6.920923348	7.831667338	7.796026176	7.776209879	8.381626346	6.265748767	8.653091268	8.159583173	8.313344185	8.416778095	7.937973349	7.977589649	5.60953957	7.99528	8.647969879	7.255836472	9.180394571	8.864361268	8.917895195	7.950778095	7.685986758	8.007927499	8.604641631	8.400255735	7.66917	7.526944707	6.422356187	7.878638095	7.47557	5.495256476	4.340756176	5.46876	8.172669879	8.346526472	0.26291907	8.033216266	7.209918095	7.614136999	6.23648	3.83864	7.735224234	7.744841435	7.953391268	8.60512314	7.47332	9.333973971	4.710242824	7.77271	7.76194907	8.19902
PLTP	1.450863173	0.366028426	2.263467227	2.612738688	2.835880672	4.027286476	3.70644155	1.770193348	3.802550593	4.526204707	0.055292953	1.634413971	2.997731435	3.546368377	3.617853173	1.792409649	3.546661684	2.622715735	1.25034	5.447131268	3.94734907	6.186513173	2.261235254	5.270169203	4.732090323	2.374634707	1.998186346	0.0	2.863657499	0.0	1.000944571	4.350536999	3.737518852	1.668887338	2.386511188	1.335233173	3.896771188	2.694141268	1.297278688	3.464332824	0.806526266	4.459781733	5.165526999	5.31129619	0.763731268	0.17928	1.59324	0.525334707	2.969968767	2.26276907	3.579203689	0.098133348	2.346027338	5.937906176	1.446089879	2.603366346	0.263058767	2.700151268	2.004013173	3.077004185	5.378988095	5.785723349	2.288609649	1.19965957	1.87833	3.286969879	2.288186472	2.356504571	4.655021268	3.964385195	1.004808095	3.240976758	3.041627499	2.604091631	2.716765735	3.64561	2.461334707	3.378506187	3.902438095	0.18898	3.307876476	4.246466176	1.33173	2.212009879	2.219626472	-0.76214093	5.140476266	3.188558095	1.619976999	0.0	4.13883	2.074784234	3.756461435	3.679421268	2.34514314	2.85813	3.092333971	0.864402824	1.03131	2.69797907	3.11177
SERPINA7	2.724203173	3.344118426	-0.128932773	2.165238688	4.877490672	5.853766476	2.77063155	3.553443348	2.094550593	4.343934707	0.666142953	3.815983971	4.960861435	3.891608377	5.554543173	3.447529649	2.283711684	3.355165735	1.90101	1.832331268	2.99776907	4.753353173	3.937055254	2.847429203	2.202350323	1.656814707	3.988096346	6.20776619	3.155537499	3.299473173	1.766564571	2.089866999	4.548748852	2.734597338	3.595501188	1.656743173	4.415111188	2.267381268	0.504198688	1.346542824	1.212906266	3.663551733	2.261536999	4.99418619	4.427421268	2.49187	3.52037	1.978474707	1.679338767	2.58718907	3.255913689	1.818043348	5.654617338	4.761126176	2.853949879	3.005806346	1.048418767	4.047941268	3.508423173	2.836694185	4.727448095	3.340703349	4.041669649	2.84349957	3.76155	6.268939879	4.966486472	4.097094571	3.668721268	3.801345195	1.788218095	3.706866758	5.967607499	3.216731631	3.312025735	2.81263	2.304784707	2.663096187	3.358958095	0.54435	2.473616476	1.688136176	2.59697	3.442279879	2.707576472	0.71515907	2.548446266	4.667178095	2.172306999	2.98626	0.68099	3.948714234	2.240441435	4.202231268	2.62563314	1.43084	3.541033971	2.015382824	1.53132	3.15691907	1.48625
IGFBP3	8.760403173	5.885488426	7.029097227	7.548898688	7.864010672	8.275106476	7.68280155	7.867743348	6.462170593	7.875224707	7.175412953	8.351083971	8.199631435	8.500928377	9.734653173	7.711379649	7.426521684	8.683245735	7.86268	9.466561268	8.59706907	8.589773173	8.580785254	7.180139203	7.642170323	7.279754707	9.277206346	12.87325619	7.675647499	8.526553173	8.798054571	9.004396999	8.893108852	7.023157338	9.944311188	6.424273173	8.365521188	9.065671268	5.441138688	7.978072824	7.063326266	9.100341733	8.272966999	9.10153619	7.510301268	7.81163	8.06729	6.798894707	8.342738767	8.23334907	9.669393689	5.220613348	8.892557338	7.839346176	8.593359879	9.023336346	8.011938767	8.718241268	7.546683173	7.715264185	8.593698095	8.095303349	8.182479649	7.04863957	6.95947	8.911569879	8.301396472	8.529274571	10.08120127	9.286925195	6.415478095	7.664796758	8.600117499	8.442941631	9.029755735	7.76591	5.154694707	8.174616187	7.371428095	5.91776	7.173686476	7.028186176	7.31371	8.602189879	9.059426472	1.61626907	8.948806266	8.923818095	7.465506999	7.12567	8.22995	7.899764234	7.842031435	9.509011268	9.10328314	7.73589	9.039223971	5.981162824	7.23035	8.66243907	7.90768
CR2	7.296723173	7.758028426	2.747307227	6.244548688	9.090600672	8.955656476	6.87760155	7.436253348	3.338200593	7.734424707	5.062662953	8.065303971	7.118091435	6.591098377	8.406263173	6.041289649	6.724201684	8.066035735	7.94041	6.578471268	5.67960907	7.193053173	5.388605254	9.072919203	6.285580323	5.928494707	7.808616346	9.69412619	9.788087499	7.320483173	7.585614571	6.185676999	6.991128852	5.516967338	11.18063119	5.579673173	7.346541188	9.049881268	7.058408688	6.011212824	5.797276266	7.622571733	6.891696999	8.47608619	5.487961268	7.75452	8.35031	7.154644707	5.463058767	8.31383907	7.397913689	5.041643348	7.124407338	9.055536176	6.527199879	10.08271635	6.098518767	7.662971268	5.024773173	6.806134185	8.411008095	5.728703349	8.105739649	5.02282957	5.96419	9.079349879	9.116806472	6.776934571	5.461401268	8.568285195	5.115808095	9.045616758	8.771347499	8.788041631	8.617915735	7.10677	5.170994707	7.355446187	6.515188095	3.66427	6.493316476	8.002176176	7.32514	7.867269879	6.877716472	-0.17851093	7.319736266	8.098988095	4.934346999	9.33658	6.51725	6.406404234	6.061741435	6.975951268	8.65227314	7.0021	6.377793971	7.257052824	4.12077	8.29321907	6.25834
