	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	
PGLYRP1	-0.4458322357235302	-0.916183680486051	0.02451920903899063	8.7673256287625	1.8854174800503165	0.06289001501444723	0.9991906372846477	-4.434552959273914	
RETN	-0.5703688560294031	-1.1798339532711157	0.03909624121230959	7.208187128775	1.861510579803618	0.06622988022910797	0.9991906372846477	-4.440200276276651	
MIF	0.5702529721188963	-0.10438699888035419	1.2448929431181468	9.8035632537	-1.6813341479708723	0.09647646072230198	0.9991906372846477	-4.480764130028489	
PDGF subunit A	0.49987144599781924	-0.12184048973360001	1.1215833817292384	7.6028372538125	-1.5992916474210328	0.11357500396952867	0.9991906372846477	-4.498037964928419	
GAL	0.4560076909808063	-0.11573256944290888	1.0277479514045216	1.667161176675	-1.586470266983516	0.11645456820900109	0.9991906372846477	-4.500668336097996	
CA4	-0.388040837974247	-0.8943867981758082	0.11830512222731421	2.7766393788	1.5243638084728222	0.1312384884056728	0.9991906372846477	-4.5131421593330945	
DEFA1	-0.4241895403674023	-0.9960222271342313	0.14764314639942666	5.9902951288	1.4755350277475976	0.14387149128807558	0.9991906372846477	-4.522634894156157	
PRTN3	-0.4151615053874686	-0.9894695303832182	0.15914651960828102	7.3940342538	1.4379068014360397	0.15423925869515792	0.9991906372846477	-4.529759397660961	
TIMD4	-0.45714907083806866	-1.125474489326736	0.21117634765059878	5.4440735038	1.3605935479840219	0.177344201374156	0.9991906372846477	-4.543871022610155	
LCN2	-0.3332520697807189	-0.8365189165040832	0.17001477694264538	2.8043615038	1.317143456089852	0.19143364214806688	0.9991906372846477	-4.55148749314736	
t-PA	-0.3883360000675158	-0.9840557873117521	0.20738378717672057	10.13528337895	1.2966542028027248	0.19836168996179243	0.9991906372846477	-4.554999943713007	
PI3	-0.31685582816226904	-0.806459169868667	0.17274751354412893	1.83317076005	1.2872884459667353	0.20159002428598363	0.9991906372846477	-4.556588534546675	
IL-18BP	-0.3810080856003854	-0.9790095716052245	0.21699340040445375	3.1979420038	1.2673322127198257	0.20859867158302062	0.9991906372846477	-4.559937828749197	
SEMA3F	0.17885652030510427	-0.10706654643949473	0.46477958704970324	0.7988534942875	-1.244268563112648	0.21692074453536292	0.9991906372846477	-4.563748062173218	
CCL15	-0.29347472846251843	-0.7670106798806788	0.18006122295564198	5.9044476288	1.232753651173698	0.22116559399295224	0.9991906372846477	-4.56562599519926	
CLEC14A	-0.36361833706094415	-0.9686310124512926	0.24139433832940427	5.9779767538	1.1954732083446684	0.2353238503052672	0.9991906372846477	-4.571594068031465	
USP8	0.2561683504201204	-0.18205121663697754	0.6943879174772184	1.3290570575	-1.1627658039174522	0.24827363435934438	0.9991906372846477	-4.576688630001985	
ANXA11	0.3347232023174138	-0.2508408427968485	0.9202872474316761	4.7096091288	-1.137024860216779	0.2588163893789719	0.9991906372846477	-4.580604644005824	
CGA	-0.21004083407475715	-0.5809693510311851	0.16088768288167077	1.262976014375	1.1263466089104048	0.2632813288406486	0.9991906372846477	-4.582204903295703	
SPINT2	0.26483462314742784	-0.214001592154195	0.7436708384490507	4.7281728788	-1.100135850071956	0.27446955218971003	0.9991906372846477	-4.586072421532424	
LILRB2	-0.3670670907800912	-1.0388957732132853	0.30476159165310296	9.1575527537	1.0867895487296222	0.2802918277404601	0.9991906372846477	-4.58800862906399	
RELT	-0.2723142401509922	-0.779594016261921	0.23496553595993658	4.8503076287999995	1.0677789347879791	0.2887317476516182	0.9991906372846477	-4.590727903191875	
